,date,open,close,high,low,volumme
0,2022-03-03,91.49,91.49,91.49,91.49,0
1,2022-03-07,86.34,86.34,86.34,86.34,0
2,2022-03-08,85.73,85.73,85.73,85.73,0
3,2022-03-09,90.67,90.67,90.67,90.67,0
4,2022-03-10,89.16,89.16,89.16,89.16,0
5,2022-03-11,90.47,90.47,90.47,90.47,0
6,2022-03-14,91.82,91.82,91.82,91.82,0
7,2022-03-15,91.2,91.2,91.2,91.2,0
8,2022-03-16,95.52,95.52,95.52,95.52,0
9,2022-03-17,96.42,96.42,96.42,96.42,0
10,2022-03-18,97.51,97.51,97.51,97.51,0
11,2022-03-21,98.38,98.38,98.38,98.38,0
12,2022-03-22,99.36,99.36,99.36,99.36,0
13,2022-03-23,98.59,98.59,98.59,98.59,0
14,2022-03-24,97.39,97.39,97.39,97.39,0
15,2022-03-25,97.79,97.79,97.79,97.79,0
16,2022-03-28,97.98,97.98,97.98,97.98,0
17,2022-03-29,99.38,99.38,99.38,99.38,0
18,2022-03-30,99.17,99.17,99.17,99.17,0
19,2022-03-31,97.99,97.99,97.99,97.99,0
20,2022-04-01,98.74,98.74,98.74,98.74,0
21,2022-04-04,99.46,99.46,99.46,99.46,0
22,2022-04-05,99.1,99.1,99.1,99.1,0
23,2022-04-06,96.28,96.28,96.28,96.28,0
24,2022-04-07,96.25,96.25,96.25,96.25,0
25,2022-04-08,97.54,97.54,97.54,97.54,0
26,2022-04-11,96.32,96.32,96.32,96.32,0
27,2022-04-12,96.79,96.79,96.79,96.79,0
28,2022-04-13,97.03,97.03,97.03,97.03,0
29,2022-04-19,97.56,97.56,97.56,97.56,0
30,2022-04-20,98.83,98.83,98.83,98.83,0
31,2022-04-21,99.54,99.54,99.54,99.54,0
32,2022-04-22,97.09,97.09,97.09,97.09,0
33,2022-04-25,94.01,94.01,94.01,94.01,0
34,2022-04-26,92.94,92.94,92.94,92.94,0
35,2022-04-27,93.88,93.88,93.88,93.88,0
36,2022-04-28,94.33,94.33,94.33,94.33,0
37,2022-04-29,95.3,95.3,95.3,95.3,0
38,2022-05-02,92.88,92.88,92.88,92.88,0
39,2022-05-03,93.45,93.45,93.45,93.45,0
40,2022-05-04,92.44,92.44,92.44,92.44,0
41,2022-05-05,91.51,91.51,91.51,91.51,0
42,2022-05-06,90.05,90.05,90.05,90.05,0
43,2022-05-10,86.27,86.27,86.27,86.27,0
44,2022-05-11,87.99,87.99,87.99,87.99,0
45,2022-05-12,87.18,87.18,87.18,87.18,0
46,2022-05-13,89.31,89.31,89.31,89.31,0
47,2022-05-16,89.72,89.72,89.72,89.72,0
48,2022-05-17,91.34,91.34,91.34,91.34,0
49,2022-05-19,89.69,89.69,89.69,89.69,0
50,2022-05-20,90.24,90.24,90.24,90.24,0
51,2022-05-23,91.51,91.51,91.51,91.51,0
52,2022-05-24,90.51,90.51,90.51,90.51,0
53,2022-05-25,91.08,91.08,91.08,91.08,0
54,2022-05-27,92.87,92.87,92.87,92.87,0
55,2022-05-30,93.89,93.89,93.89,93.89,0
56,2022-05-31,92.86,92.86,92.86,92.86,0
57,2022-06-01,92.27,92.27,92.27,92.27,0
58,2022-06-02,93.38,93.38,93.38,93.38,0
59,2022-06-03,93.28,93.28,93.28,93.28,0
60,2022-06-07,93.62,93.62,93.62,93.62,0
61,2022-06-08,92.58,92.58,92.58,92.58,0
62,2022-06-09,90.53,90.53,90.53,90.53,0
63,2022-06-10,87.57,87.57,87.57,87.57,0
64,2022-06-13,84.63,84.63,84.63,84.63,0
65,2022-06-14,83.44,83.44,83.44,83.44,0
66,2022-06-15,84.12,84.12,84.12,84.12,0
67,2022-06-16,80.97,80.97,80.97,80.97,0
68,2022-06-17,81.16,81.16,81.16,81.16,0
69,2022-06-20,82.15,82.15,82.15,82.15,0
70,2022-06-21,82.87,82.87,82.87,82.87,0
71,2022-06-22,81.39,81.39,81.39,81.39,0
72,2022-06-24,81.33,81.33,81.33,81.33,0
73,2022-06-27,82.52,82.52,82.52,82.52,0
74,2022-06-28,82.7,82.7,82.7,82.7,0
75,2022-06-29,81.87,81.87,81.87,81.87,0
76,2022-06-30,80.48,80.48,80.48,80.48,0
77,2022-07-01,79.67,79.67,79.67,79.67,0
78,2022-07-04,80.03,80.03,80.03,80.03,0
79,2022-07-05,77.81,77.81,77.81,77.81,0
80,2022-07-06,78.55,78.55,78.55,78.55,0
81,2022-07-07,81.16,81.16,81.16,81.16,0
82,2022-07-08,82.1,82.1,82.1,82.1,0
83,2022-07-11,81.43,81.43,81.43,81.43,0
84,2022-07-12,81.46,81.46,81.46,81.46,0
85,2022-07-13,80.56,80.56,80.56,80.56,0
86,2022-07-14,79.43,79.43,79.43,79.43,0
87,2022-07-15,80.84,80.84,80.84,80.84,0
88,2022-07-18,82.23,82.23,82.23,82.23,0
89,2022-07-19,83.42,83.42,83.42,83.42,0
90,2022-07-20,83.64,83.64,83.64,83.64,0
91,2022-07-21,84.18,84.18,84.18,84.18,0
92,2022-07-22,84.58,84.58,84.58,84.58,0
93,2022-07-25,84.93,84.93,84.93,84.93,0
94,2022-07-26,84.59,84.59,84.59,84.59,0
95,2022-07-27,85.45,85.45,85.45,85.45,0
96,2022-07-28,86.81,86.81,86.81,86.81,0
97,2022-07-29,88.12,88.12,88.12,88.12,0
98,2022-08-01,87.9,87.9,87.9,87.9,0
99,2022-08-02,87.57,87.57,87.57,87.57,0
100,2022-08-03,88.11,88.11,88.11,88.11,0
101,2022-08-04,88.22,88.22,88.22,88.22,0
102,2022-08-05,87.35,87.35,87.35,87.35,0
103,2022-08-08,87.55,87.55,87.55,87.55,0
104,2022-08-09,87.16,87.16,87.16,87.16,0
105,2022-08-10,88.36,88.36,88.36,88.36,0
106,2022-08-11,88.76,88.76,88.76,88.76,0
107,2022-08-12,88.7,88.7,88.7,88.7,0
108,2022-08-16,89.05,89.05,89.05,89.05,0
109,2022-08-17,87.97,87.97,87.97,87.97,0
110,2022-08-18,89.14,89.14,89.14,89.14,0
111,2022-08-19,88.17,88.17,88.17,88.17,0
112,2022-08-22,86.96,86.96,86.96,86.96,0
113,2022-08-23,87.39,87.39,87.39,87.39,0
114,2022-08-24,87.52,87.52,87.52,87.52,0
115,2022-08-25,87.93,87.93,87.93,87.93,0
116,2022-08-26,86.59,86.59,86.59,86.59,0
