,date,open,close,high,low,volumme
0,2021-09-01,999.88,999.88,999.88,999.88,0
1,2021-09-02,999.87,999.87,999.87,999.87,0
2,2021-09-03,999.87,999.87,999.87,999.87,0
3,2021-09-06,999.83,999.83,999.83,999.83,0
4,2021-09-07,999.82,999.82,999.82,999.82,0
5,2021-09-08,999.8,999.8,999.8,999.8,0
6,2021-09-09,999.79,999.79,999.79,999.79,0
7,2021-09-10,999.79,999.79,999.79,999.79,0
8,2021-09-13,999.75,999.75,999.75,999.75,0
9,2021-09-14,999.74,999.74,999.74,999.74,0
10,2021-09-15,999.72,999.72,999.72,999.72,0
11,2021-09-16,999.71,999.71,999.71,999.71,0
12,2021-09-17,999.71,999.71,999.71,999.71,0
13,2021-09-20,999.66,999.66,999.66,999.66,0
14,2021-09-21,999.64,999.64,999.64,999.64,0
15,2021-09-22,999.63,999.63,999.63,999.63,0
16,2021-09-24,999.61,999.61,999.61,999.61,0
17,2021-09-27,999.58,999.58,999.58,999.58,0
18,2021-09-28,999.58,999.58,999.58,999.58,0
19,2021-09-29,999.58,999.58,999.58,999.58,0
20,2021-09-30,999.58,999.58,999.58,999.58,0
21,2021-10-01,999.58,999.58,999.58,999.58,0
22,2021-10-04,999.57,999.57,999.57,999.57,0
23,2021-10-05,999.57,999.57,999.57,999.57,0
24,2021-10-06,999.57,999.57,999.57,999.57,0
25,2021-10-07,999.57,999.57,999.57,999.57,0
26,2021-10-08,999.57,999.57,999.57,999.57,0
27,2021-10-11,999.55,999.55,999.55,999.55,0
28,2021-10-12,999.55,999.55,999.55,999.55,0
29,2021-10-13,999.54,999.54,999.54,999.54,0
30,2021-10-14,999.54,999.54,999.54,999.54,0
31,2021-10-15,999.54,999.54,999.54,999.54,0
32,2021-10-19,999.54,999.54,999.54,999.54,0
33,2021-10-20,999.54,999.54,999.54,999.54,0
34,2021-10-21,999.52,999.52,999.52,999.52,0
35,2021-10-22,999.52,999.52,999.52,999.52,0
36,2021-10-25,999.51,999.51,999.51,999.51,0
37,2021-10-26,999.51,999.51,999.51,999.51,0
38,2021-10-27,999.51,999.51,999.51,999.51,0
39,2021-10-28,999.51,999.51,999.51,999.51,0
40,2021-10-29,999.51,999.51,999.51,999.51,0
41,2021-11-02,999.51,999.51,999.51,999.51,0
42,2021-11-03,958.26,958.26,958.26,958.26,0
43,2021-11-04,958.66,958.66,958.66,958.66,0
44,2021-11-05,961.98,961.98,961.98,961.98,0
45,2021-11-10,973.13,973.13,973.13,973.13,0
46,2021-11-16,986.33,986.33,986.33,986.33,0
47,2021-11-22,984.1,984.1,984.1,984.1,0
48,2021-11-23,981.67,981.67,981.67,981.67,0
49,2021-11-24,985.04,985.04,985.04,985.04,0
50,2021-11-25,983.31,983.31,983.31,983.31,0
51,2021-11-26,963.08,963.08,963.08,963.08,0
52,2022-01-21,972.49,972.49,972.49,972.49,0
53,2022-01-25,958.67,958.67,958.67,958.67,0
54,2022-01-26,963.71,963.71,963.71,963.71,0
55,2022-01-27,967.87,967.87,967.87,967.87,0
56,2022-01-28,963.2,963.2,963.2,963.2,0
57,2022-01-31,965.43,965.43,965.43,965.43,0
58,2022-02-01,970.2,970.2,970.2,970.2,0
59,2022-02-03,962.94,962.94,962.94,962.94,0
60,2022-02-04,952.92,952.92,952.92,952.92,0
61,2022-02-07,956.52,956.52,956.52,956.52,0
62,2022-02-08,958.96,958.96,958.96,958.96,0
63,2022-02-09,966.45,966.45,966.45,966.45,0
64,2022-02-10,963.52,963.52,963.52,963.52,0
65,2022-02-11,958.76,958.76,958.76,958.76,0
66,2022-02-14,948.8,948.8,948.8,948.8,0
67,2022-02-15,954.34,954.34,954.34,954.34,0
68,2022-02-16,955.29,955.29,955.29,955.29,0
69,2022-02-17,950.4,950.4,950.4,950.4,0
