,date,open,close,high,low,volumme
0,2021-10-04,94.47,94.47,94.47,94.47,0
1,2021-10-05,95.24,95.24,95.24,95.24,0
2,2021-10-06,94.44,94.44,94.44,94.44,0
3,2021-10-07,95.22,95.22,95.22,95.22,0
4,2021-10-08,94.83,94.83,94.83,94.83,0
5,2021-10-11,94.48,94.48,94.48,94.48,0
6,2021-10-12,94.7,94.7,94.7,94.7,0
7,2021-10-13,95.61,95.61,95.61,95.61,0
8,2021-10-14,96.3,96.3,96.3,96.3,0
9,2021-10-15,96.67,96.67,96.67,96.67,0
10,2021-10-18,96.64,96.64,96.64,96.64,0
11,2021-10-19,97.15,97.15,97.15,97.15,0
12,2021-10-20,97.67,97.67,97.67,97.67,0
13,2021-10-21,98.35,98.35,98.35,98.35,0
14,2021-10-22,98.93,98.93,98.93,98.93,0
15,2021-10-25,99.14,99.14,99.14,99.14,0
16,2021-10-26,99.23,99.23,99.23,99.23,0
17,2021-10-27,98.97,98.97,98.97,98.97,0
18,2021-10-28,99.6,99.6,99.6,99.6,0
19,2021-10-29,99.83,99.83,99.83,99.83,0
20,2021-11-02,101.37,101.37,101.37,101.37,0
21,2021-11-03,101.91,101.91,101.91,101.91,0
22,2021-11-04,102.62,102.62,102.62,102.62,0
23,2021-11-05,101.28,101.28,101.28,101.28,0
24,2021-11-08,101.9,101.9,101.9,101.9,0
25,2021-11-09,101.94,101.94,101.94,101.94,0
26,2021-11-10,101.61,101.61,101.61,101.61,0
27,2021-11-12,101.89,101.89,101.89,101.89,0
28,2021-11-15,102.21,102.21,102.21,102.21,0
29,2021-11-16,101.99,101.99,101.99,101.99,0
30,2021-11-17,101.88,101.88,101.88,101.88,0
31,2021-11-18,101.92,101.92,101.92,101.92,0
32,2021-11-19,102.62,102.62,102.62,102.62,0
33,2021-11-22,101.82,101.82,101.82,101.82,0
34,2021-11-23,99.78,99.78,99.78,99.78,0
35,2021-11-24,99.76,99.76,99.76,99.76,0
36,2021-11-25,100.41,100.41,100.41,100.41,0
37,2021-11-26,99.34,99.34,99.34,99.34,0
38,2021-11-29,99.45,99.45,99.45,99.45,0
39,2021-11-30,98.88,98.88,98.88,98.88,0
40,2021-12-01,99.27,99.27,99.27,99.27,0
41,2021-12-02,97.77,97.77,97.77,97.77,0
42,2021-12-03,97.38,97.38,97.38,97.38,0
43,2021-12-06,97.66,97.66,97.66,97.66,0
44,2021-12-07,99.92,99.92,99.92,99.92,0
45,2021-12-08,99.6,99.6,99.6,99.6,0
46,2021-12-09,99.94,99.94,99.94,99.94,0
47,2021-12-10,99.87,99.87,99.87,99.87,0
48,2021-12-13,99.82,99.82,99.82,99.82,0
49,2021-12-14,98.68,98.68,98.68,98.68,0
50,2021-12-15,100.11,100.11,100.11,100.11,0
51,2021-12-16,100.5,100.5,100.5,100.5,0
52,2021-12-17,99.72,99.72,99.72,99.72,0
53,2021-12-20,99.03,99.03,99.03,99.03,0
54,2021-12-21,99.75,99.75,99.75,99.75,0
55,2021-12-22,100.88,100.88,100.88,100.88,0
56,2021-12-23,100.95,100.95,100.95,100.95,0
57,2021-12-24,100.91,100.91,100.91,100.91,0
58,2021-12-27,101.64,101.64,101.64,101.64,0
59,2021-12-28,102.21,102.21,102.21,102.21,0
60,2021-12-29,102.29,102.29,102.29,102.29,0
61,2021-12-30,102.64,102.64,102.64,102.64,0
62,2021-12-31,102.41,102.41,102.41,102.41,0
63,2022-01-03,102.17,102.17,102.17,102.17,0
64,2022-01-04,101.03,101.03,101.03,101.03,0
65,2022-01-05,100.93,100.93,100.93,100.93,0
66,2022-01-06,99.15,99.15,99.15,99.15,0
67,2022-01-07,98.48,98.48,98.48,98.48,0
68,2022-01-10,96.36,96.36,96.36,96.36,0
69,2022-01-11,97.35,97.35,97.35,97.35,0
70,2022-01-12,97.25,97.25,97.25,97.25,0
71,2022-01-13,95.76,95.76,95.76,95.76,0
72,2022-01-14,94.64,94.64,94.64,94.64,0
73,2022-01-17,95.56,95.56,95.56,95.56,0
74,2022-01-18,94.32,94.32,94.32,94.32,0
75,2022-01-19,94.75,94.75,94.75,94.75,0
76,2022-01-20,95.66,95.66,95.66,95.66,0
77,2022-01-21,94.05,94.05,94.05,94.05,0
