,date,open,close,high,low,volumme
0,2021-09-30,98.054,98.054,98.054,98.054,0
1,2021-10-01,97.819,97.819,97.819,97.819,0
2,2021-10-04,97.115,97.115,97.115,97.115,0
3,2021-10-05,98.155,98.155,98.155,98.155,0
4,2021-10-06,97.171,97.171,97.171,97.171,0
5,2021-10-07,98.61,98.61,98.61,98.61,0
6,2021-10-08,98.156,98.156,98.156,98.156,0
7,2021-10-11,98.059,98.059,98.059,98.059,0
8,2021-10-12,98.005,98.005,98.005,98.005,0
9,2021-10-13,98.942,98.942,98.942,98.942,0
10,2021-10-14,100.124,100.124,100.124,100.124,0
11,2021-10-15,100.63,100.63,100.63,100.63,0
12,2021-10-18,99.899,99.899,99.899,99.899,0
13,2021-10-19,100.089,100.089,100.089,100.089,0
14,2021-10-20,100.579,100.579,100.579,100.579,0
15,2021-10-21,100.388,100.388,100.388,100.388,0
16,2021-10-22,101.232,101.232,101.232,101.232,0
17,2021-10-25,101.205,101.205,101.205,101.205,0
18,2021-10-26,102.138,102.138,102.138,102.138,0
19,2021-10-27,101.982,101.982,101.982,101.982,0
20,2021-10-28,102.895,102.895,102.895,102.895,0
21,2021-10-29,102.801,102.801,102.801,102.801,0
22,2021-11-02,103.995,103.995,103.995,103.995,0
23,2021-11-03,104.408,104.408,104.408,104.408,0
24,2021-11-04,104.746,104.746,104.746,104.746,0
25,2021-11-05,105.013,105.013,105.013,105.013,0
26,2021-11-08,105.033,105.033,105.033,105.033,0
27,2021-11-09,105.008,105.008,105.008,105.008,0
28,2021-11-10,104.981,104.981,104.981,104.981,0
29,2021-11-11,105.182,105.182,105.182,105.182,0
30,2021-11-12,105.58,105.58,105.58,105.58,0
31,2021-11-15,105.538,105.538,105.538,105.538,0
32,2021-11-16,105.867,105.867,105.867,105.867,0
33,2021-11-17,105.876,105.876,105.876,105.876,0
34,2021-11-18,105.399,105.399,105.399,105.399,0
35,2021-11-19,105.275,105.275,105.275,105.275,0
36,2021-11-22,104.957,104.957,104.957,104.957,0
37,2021-11-23,103.617,103.617,103.617,103.617,0
38,2021-11-24,103.567,103.567,103.567,103.567,0
39,2021-11-25,104.19,104.19,104.19,104.19,0
40,2021-11-26,100.304,100.304,100.304,100.304,0
41,2021-11-29,100.623,100.623,100.623,100.623,0
42,2021-11-30,99.702,99.702,99.702,99.702,0
43,2021-12-01,101.704,101.704,101.704,101.704,0
44,2021-12-02,100.196,100.196,100.196,100.196,0
45,2021-12-03,99.702,99.702,99.702,99.702,0
46,2021-12-06,101.136,101.136,101.136,101.136,0
47,2021-12-07,103.794,103.794,103.794,103.794,0
48,2021-12-08,102.752,102.752,102.752,102.752,0
49,2021-12-09,102.632,102.632,102.632,102.632,0
50,2021-12-10,102.388,102.388,102.388,102.388,0
51,2021-12-13,102.262,102.262,102.262,102.262,0
52,2021-12-14,101.272,101.272,101.272,101.272,0
53,2021-12-15,101.673,101.673,101.673,101.673,0
54,2021-12-16,102.465,102.465,102.465,102.465,0
55,2021-12-17,101.966,101.966,101.966,101.966,0
56,2021-12-20,100.831,100.831,100.831,100.831,0
57,2021-12-21,101.9421,101.9421,101.9421,101.9421,0
58,2021-12-22,102.8642,102.8642,102.8642,102.8642,0
59,2021-12-23,103.8161,103.8161,103.8161,103.8161,0
60,2021-12-24,103.7431,103.7431,103.7431,103.7431,0
61,2021-12-27,104.3917,104.3917,104.3917,104.3917,0
62,2021-12-28,104.9818,104.9818,104.9818,104.9818,0
63,2021-12-29,104.69,104.69,104.69,104.69,0
64,2021-12-30,104.9158,104.9158,104.9158,104.9158,0
65,2021-12-31,104.7183,104.7183,104.7183,104.7183,0
66,2022-01-03,105.4314,105.4314,105.4314,105.4314,0
67,2022-01-04,106.2981,106.2981,106.2981,106.2981,0
68,2022-01-05,106.6373,106.6373,106.6373,106.6373,0
69,2022-01-06,104.6477,104.6477,104.6477,104.6477,0
70,2022-01-07,104.328,104.328,104.328,104.328,0
71,2022-01-10,102.7165,102.7165,102.7165,102.7165,0
72,2022-01-11,103.6346,103.6346,103.6346,103.6346,0
73,2022-01-12,103.7059,103.7059,103.7059,103.7059,0
74,2022-01-13,103.5131,103.5131,103.5131,103.5131,0
75,2022-01-14,102.647,102.647,102.647,102.647,0
76,2022-01-17,103.1268,103.1268,103.1268,103.1268,0
77,2022-01-18,101.8605,101.8605,101.8605,101.8605,0
78,2022-01-19,102.3087,102.3087,102.3087,102.3087,0
79,2022-01-20,102.8765,102.8765,102.8765,102.8765,0
80,2022-01-21,101.0288,101.0288,101.0288,101.0288,0
81,2022-01-24,97.6805,97.6805,97.6805,97.6805,0
82,2022-01-25,98.2779,98.2779,98.2779,98.2779,0
83,2022-01-26,99.7945,99.7945,99.7945,99.7945,0
84,2022-01-27,100.0147,100.0147,100.0147,100.0147,0
85,2022-01-28,99.1037,99.1037,99.1037,99.1037,0
86,2022-01-31,100.0263,100.0263,100.0263,100.0263,0
87,2022-02-01,101.0738,101.0738,101.0738,101.0738,0
88,2022-02-02,101.405,101.405,101.405,101.405,0
89,2022-02-03,99.715,99.715,99.715,99.715,0
90,2022-02-04,98.3367,98.3367,98.3367,98.3367,0
91,2022-02-07,98.978,98.978,98.978,98.978,0
92,2022-02-08,99.1579,99.1579,99.1579,99.1579,0
93,2022-02-09,100.4592,100.4592,100.4592,100.4592,0
94,2022-02-10,100.243,100.243,100.243,100.243,0
95,2022-02-11,99.3428,99.3428,99.3428,99.3428,0
96,2022-02-14,97.2472,97.2472,97.2472,97.2472,0
97,2022-02-15,98.9625,98.9625,98.9625,98.9625,0
98,2022-02-16,98.7195,98.7195,98.7195,98.7195,0
99,2022-02-17,98.2428,98.2428,98.2428,98.2428,0
100,2022-02-18,97.4161,97.4161,97.4161,97.4161,0
101,2022-02-21,95.5405,95.5405,95.5405,95.5405,0
102,2022-02-22,95.1557,95.1557,95.1557,95.1557,0
103,2022-02-23,94.852,94.852,94.852,94.852,0
104,2022-02-24,91.7209,91.7209,91.7209,91.7209,0
105,2022-02-25,94.7973,94.7973,94.7973,94.7973,0
106,2022-02-28,94.2115,94.2115,94.2115,94.2115,0
107,2022-03-01,91.0646,91.0646,91.0646,91.0646,0
108,2022-03-02,91.7122,91.7122,91.7122,91.7122,0
109,2022-03-03,90.0501,90.0501,90.0501,90.0501,0
110,2022-03-04,86.0902,86.0902,86.0902,86.0902,0
111,2022-03-07,84.8035,84.8035,84.8035,84.8035,0
