,date,open,close,high,low,volumme
0,2022-01-20,102.56,102.56,102.56,102.56,0
1,2022-01-24,97.33,97.33,97.33,97.33,0
2,2022-01-25,98.01,98.01,98.01,98.01,0
3,2022-01-26,99.86,99.86,99.86,99.86,0
4,2022-01-28,99.51,99.51,99.51,99.51,0
5,2022-01-31,100.23,100.23,100.23,100.23,0
6,2022-02-01,101.15,101.15,101.15,101.15,0
7,2022-02-02,101.44,101.44,101.44,101.44,0
8,2022-02-03,100.33,100.33,100.33,100.33,0
9,2022-02-04,99.21,99.21,99.21,99.21,0
10,2022-02-08,99.97,99.97,99.97,99.97,0
11,2022-02-09,101.49,101.49,101.49,101.49,0
12,2022-02-10,101.61,101.61,101.61,101.61,0
13,2022-02-11,100.72,100.72,100.72,100.72,0
14,2022-02-14,98.51,98.51,98.51,98.51,0
15,2022-02-15,99.95,99.95,99.95,99.95,0
16,2022-02-16,99.9,99.9,99.9,99.9,0
17,2022-02-17,99.26,99.26,99.26,99.26,0
18,2022-02-18,98.36,98.36,98.36,98.36,0
19,2022-02-21,96.6,96.6,96.6,96.6,0
20,2022-02-22,96.34,96.34,96.34,96.34,0
21,2022-02-23,95.83,95.83,95.83,95.83,0
22,2022-02-24,92.13,92.13,92.13,92.13,0
23,2022-02-25,95.17,95.17,95.17,95.17,0
24,2022-02-28,93.86,93.86,93.86,93.86,0
25,2022-03-01,90.76,90.76,90.76,90.76,0
26,2022-03-02,91.67,91.67,91.67,91.67,0
27,2022-03-03,89.94,89.94,89.94,89.94,0
28,2022-03-04,85.76,85.76,85.76,85.76,0
29,2022-03-07,84.42,84.42,84.42,84.42,0
30,2022-03-08,84.86,84.86,84.86,84.86,0
31,2022-03-10,88.34,88.34,88.34,88.34,0
32,2022-03-11,89.23,89.23,89.23,89.23,0
33,2022-03-14,90.73,90.73,90.73,90.73,0
34,2022-03-15,90.73,90.73,90.73,90.73,0
35,2022-03-16,93.91,93.91,93.91,93.91,0
36,2022-03-17,93.94,93.94,93.94,93.94,0
37,2022-03-18,94.08,94.08,94.08,94.08,0
38,2022-03-21,93.72,93.72,93.72,93.72,0
39,2022-03-22,94.47,94.47,94.47,94.47,0
40,2022-03-24,92.99,92.99,92.99,92.99,0
41,2022-03-25,92.94,92.94,92.94,92.94,0
42,2022-03-28,93.5,93.5,93.5,93.5,0
43,2022-03-29,96.07,96.07,96.07,96.07,0
44,2022-03-30,95.37,95.37,95.37,95.37,0
45,2022-04-01,94.7,94.7,94.7,94.7,0
46,2022-04-04,94.95,94.95,94.95,94.95,0
47,2022-04-05,94.42,94.42,94.42,94.42,0
48,2022-04-06,92.61,92.61,92.61,92.61,0
49,2022-04-07,92.05,92.05,92.05,92.05,0
50,2022-04-08,93.49,93.49,93.49,93.49,0
51,2022-04-11,93.43,93.43,93.43,93.43,0
52,2022-04-12,93.08,93.08,93.08,93.08,0
53,2022-04-13,93.09,93.09,93.09,93.09,0
54,2022-04-14,93.69,93.69,93.69,93.69,0
55,2022-04-19,93.51,93.51,93.51,93.51,0
56,2022-04-20,94.75,94.75,94.75,94.75,0
57,2022-04-21,95.47,95.47,95.47,95.47,0
58,2022-04-25,92.29,92.29,92.29,92.29,0
59,2022-04-26,91.51,91.51,91.51,91.51,0
60,2022-04-27,91.82,91.82,91.82,91.82,0
61,2022-04-28,92.5,92.5,92.5,92.5,0
62,2022-04-29,93.19,93.19,93.19,93.19,0
63,2022-05-02,91.95,91.95,91.95,91.95,0
64,2022-05-03,93.05,93.05,93.05,93.05,0
65,2022-05-04,92.31,92.31,92.31,92.31,0
66,2022-05-05,91.72,91.72,91.72,91.72,0
67,2022-05-06,90.42,90.42,90.42,90.42,0
68,2022-05-10,88.52,88.52,88.52,88.52,0
69,2022-05-11,90.52,90.52,90.52,90.52,0
70,2022-05-12,89.79,89.79,89.79,89.79,0
71,2022-05-13,91.59,91.59,91.59,91.59,0
72,2022-05-16,91.44,91.44,91.44,91.44,0
73,2022-05-19,90.9,90.9,90.9,90.9,0
74,2022-05-20,91.28,91.28,91.28,91.28,0
75,2022-05-23,92.74,92.74,92.74,92.74,0
76,2022-05-24,91.71,91.71,91.71,91.71,0
77,2022-05-25,92.39,92.39,92.39,92.39,0
78,2022-05-27,94.61,94.61,94.61,94.61,0
79,2022-05-30,95.23,95.23,95.23,95.23,0
80,2022-05-31,94.11,94.11,94.11,94.11,0
81,2022-06-01,93.49,93.49,93.49,93.49,0
82,2022-06-02,94.41,94.41,94.41,94.41,0
83,2022-06-03,94.22,94.22,94.22,94.22,0
84,2022-06-07,94.63,94.63,94.63,94.63,0
85,2022-06-08,93.98,93.98,93.98,93.98,0
86,2022-06-10,89.85,89.85,89.85,89.85,0
87,2022-06-13,87.76,87.76,87.76,87.76,0
88,2022-06-14,87.01,87.01,87.01,87.01,0
89,2022-06-15,88.19,88.19,88.19,88.19,0
90,2022-06-16,85.99,85.99,85.99,85.99,0
91,2022-06-17,86.25,86.25,86.25,86.25,0
92,2022-06-21,87.37,87.37,87.37,87.37,0
93,2022-06-22,86.65,86.65,86.65,86.65,0
94,2022-06-24,87.14,87.14,87.14,87.14,0
95,2022-06-27,87.74,87.74,87.74,87.74,0
96,2022-06-29,86.97,86.97,86.97,86.97,0
97,2022-07-01,85.34,85.34,85.34,85.34,0
98,2022-07-04,85.41,85.41,85.41,85.41,0
99,2022-07-05,83.6,83.6,83.6,83.6,0
100,2022-07-06,84.55,84.55,84.55,84.55,0
101,2022-07-07,86.22,86.22,86.22,86.22,0
102,2022-07-08,86.86,86.86,86.86,86.86,0
103,2022-07-11,86.14,86.14,86.14,86.14,0
104,2022-07-12,86.03,86.03,86.03,86.03,0
105,2022-07-13,85.29,85.29,85.29,85.29,0
106,2022-07-15,85.23,85.23,85.23,85.23,0
107,2022-07-18,85.87,85.87,85.87,85.87,0
108,2022-07-19,87.48,87.48,87.48,87.48,0
109,2022-07-20,87.35,87.35,87.35,87.35,0
110,2022-07-21,87.78,87.78,87.78,87.78,0
111,2022-07-22,87.67,87.67,87.67,87.67,0
112,2022-07-25,87.77,87.77,87.77,87.77,0
113,2022-07-26,87.17,87.17,87.17,87.17,0
114,2022-07-27,87.83,87.83,87.83,87.83,0
115,2022-07-28,88.92,88.92,88.92,88.92,0
116,2022-07-29,90.19,90.19,90.19,90.19,0
117,2022-08-01,90.0,90.0,90.0,90.0,0
118,2022-08-02,89.68,89.68,89.68,89.68,0
119,2022-08-03,90.29,90.29,90.29,90.29,0
120,2022-08-04,90.88,90.88,90.88,90.88,0
121,2022-08-05,90.64,90.64,90.64,90.64,0
122,2022-08-08,91.11,91.11,91.11,91.11,0
123,2022-08-09,90.41,90.41,90.41,90.41,0
124,2022-08-10,91.15,91.15,91.15,91.15,0
125,2022-08-11,91.26,91.26,91.26,91.26,0
126,2022-08-12,91.23,91.23,91.23,91.23,0
127,2022-08-16,91.77,91.77,91.77,91.77,0
128,2022-08-17,90.47,90.47,90.47,90.47,0
129,2022-08-18,90.77,90.77,90.77,90.77,0
130,2022-08-19,89.87,89.87,89.87,89.87,0
131,2022-08-22,88.43,88.43,88.43,88.43,0
132,2022-08-23,88.31,88.31,88.31,88.31,0
133,2022-08-24,88.54,88.54,88.54,88.54,0
134,2022-08-25,88.63,88.63,88.63,88.63,0
135,2022-08-26,87.17,87.17,87.17,87.17,0
136,2022-08-29,86.62,86.62,86.62,86.62,0
137,2022-08-30,86.77,86.77,86.77,86.77,0
138,2022-08-31,86.06,86.06,86.06,86.06,0
139,2022-09-01,84.99,84.99,84.99,84.99,0
140,2022-09-02,86.93,86.93,86.93,86.93,0
141,2022-09-05,85.7,85.7,85.7,85.7,0
142,2022-09-06,85.85,85.85,85.85,85.85,0
143,2022-09-07,85.88,85.88,85.88,85.88,0
144,2022-09-08,86.24,86.24,86.24,86.24,0
145,2022-09-12,89.12,89.12,89.12,89.12,0
146,2022-09-13,87.75,87.75,87.75,87.75,0
147,2022-09-14,87.2,87.2,87.2,87.2,0
148,2022-09-15,86.78,86.78,86.78,86.78,0
149,2022-09-16,85.58,85.58,85.58,85.58,0
150,2022-09-19,85.63,85.63,85.63,85.63,0
151,2022-09-20,84.53,84.53,84.53,84.53,0
152,2022-09-21,85.0,85.0,85.0,85.0,0
153,2022-09-22,83.71,83.71,83.71,83.71,0
154,2022-09-23,81.9,81.9,81.9,81.9,0
155,2022-09-26,81.61,81.61,81.61,81.61,0
156,2022-09-27,81.22,81.22,81.22,81.22,0
157,2022-09-28,81.4,81.4,81.4,81.4,0
158,2022-09-29,79.89,79.89,79.89,79.89,0
159,2022-09-30,81.0,81.0,81.0,81.0,0
160,2022-10-03,81.69,81.69,81.69,81.69,0
161,2022-10-05,83.58,83.58,83.58,83.58,0
162,2022-10-06,83.0,83.0,83.0,83.0,0
163,2022-10-07,81.9,81.9,81.9,81.9,0
164,2022-10-10,81.64,81.64,81.64,81.64,0
165,2022-10-11,81.22,81.22,81.22,81.22,0
166,2022-10-12,80.83,80.83,80.83,80.83,0
167,2022-10-13,81.65,81.65,81.65,81.65,0
168,2022-10-14,82.2,82.2,82.2,82.2,0
169,2022-10-17,83.55,83.55,83.55,83.55,0
170,2022-10-18,84.18,84.18,84.18,84.18,0
171,2022-10-19,83.68,83.68,83.68,83.68,0
172,2022-10-20,83.85,83.85,83.85,83.85,0
173,2022-10-21,83.44,83.44,83.44,83.44,0
174,2022-10-24,84.66,84.66,84.66,84.66,0
175,2022-10-25,85.88,85.88,85.88,85.88,0
176,2022-10-26,86.34,86.34,86.34,86.34,0
177,2022-10-27,86.01,86.01,86.01,86.01,0
178,2022-10-28,86.05,86.05,86.05,86.05,0
179,2022-10-31,86.11,86.11,86.11,86.11,0
180,2022-11-02,86.03,86.03,86.03,86.03,0
181,2022-11-03,85.38,85.38,85.38,85.38,0
182,2022-11-04,87.09,87.09,87.09,87.09,0
183,2022-11-07,87.39,87.39,87.39,87.39,0
184,2022-11-08,88.18,88.18,88.18,88.18,0
185,2022-11-09,88.06,88.06,88.06,88.06,0
186,2022-11-10,90.35,90.35,90.35,90.35,0
187,2022-11-14,91.0,91.0,91.0,91.0,0
188,2022-11-15,91.34,91.34,91.34,91.34,0
189,2022-11-16,90.82,90.82,90.82,90.82,0
190,2022-11-17,90.6,90.6,90.6,90.6,0
191,2022-11-18,91.52,91.52,91.52,91.52,0
192,2022-11-21,91.29,91.29,91.29,91.29,0
193,2022-11-22,91.9,91.9,91.9,91.9,0
194,2022-11-24,92.63,92.63,92.63,92.63,0
195,2022-11-25,92.64,92.64,92.64,92.64,0
196,2022-11-28,91.88,91.88,91.88,91.88,0
197,2022-11-29,91.64,91.64,91.64,91.64,0
198,2022-11-30,92.2,92.2,92.2,92.2,0
199,2022-12-01,92.67,92.67,92.67,92.67,0
200,2022-12-02,92.74,92.74,92.74,92.74,0
201,2022-12-05,92.26,92.26,92.26,92.26,0
202,2022-12-06,91.8,91.8,91.8,91.8,0
203,2022-12-07,91.39,91.39,91.39,91.39,0
204,2022-12-08,91.16,91.16,91.16,91.16,0
205,2022-12-09,91.68,91.68,91.68,91.68,0
206,2022-12-12,91.24,91.24,91.24,91.24,0
207,2022-12-13,92.47,92.47,92.47,92.47,0
208,2022-12-14,92.28,92.28,92.28,92.28,0
209,2022-12-15,89.74,89.74,89.74,89.74,0
210,2022-12-16,89.09,89.09,89.09,89.09,0
211,2022-12-19,89.12,89.12,89.12,89.12,0
212,2022-12-20,89.1,89.1,89.1,89.1,0
213,2022-12-21,90.48,90.48,90.48,90.48,0
214,2022-12-22,89.68,89.68,89.68,89.68,0
215,2022-12-23,89.7,89.7,89.7,89.7,0
216,2022-12-27,89.94,89.94,89.94,89.94,0
217,2022-12-28,89.54,89.54,89.54,89.54,0
218,2022-12-29,90.36,90.36,90.36,90.36,0
219,2022-12-30,89.18,89.18,89.18,89.18,0
220,2023-01-02,90.56,90.56,90.56,90.56,0
221,2023-01-03,91.25,91.25,91.25,91.25,0
222,2023-01-04,93.01,93.01,93.01,93.01,0
223,2023-01-05,92.84,92.84,92.84,92.84,0
224,2023-01-06,93.9,93.9,93.9,93.9,0
225,2023-01-09,94.63,94.63,94.63,94.63,0
226,2023-01-10,94.41,94.41,94.41,94.41,0
227,2023-01-11,95.32,95.32,95.32,95.32,0
228,2023-01-12,96.02,96.02,96.02,96.02,0
229,2023-01-13,96.46,96.46,96.46,96.46,0
230,2023-01-16,96.82,96.82,96.82,96.82,0
231,2023-01-17,96.92,96.92,96.92,96.92,0
232,2023-01-18,97.06,97.06,97.06,97.06,0
233,2023-01-19,95.32,95.32,95.32,95.32,0
234,2023-01-20,95.56,95.56,95.56,95.56,0
235,2023-01-23,96.22,96.22,96.22,96.22,0
236,2023-01-24,96.37,96.37,96.37,96.37,0
237,2023-01-25,96.17,96.17,96.17,96.17,0
238,2023-01-26,96.91,96.91,96.91,96.91,0
239,2023-01-27,97.16,97.16,97.16,97.16,0
240,2023-01-30,96.97,96.97,96.97,96.97,0
241,2023-01-31,97.42,97.42,97.42,97.42,0
242,2023-02-01,97.77,97.77,97.77,97.77,0
243,2023-02-02,99.3,99.3,99.3,99.3,0
244,2023-02-06,98.47,98.47,98.47,98.47,0
245,2023-02-07,98.36,98.36,98.36,98.36,0
246,2023-02-08,98.41,98.41,98.41,98.41,0
247,2023-02-09,99.28,99.28,99.28,99.28,0
248,2023-02-10,98.19,98.19,98.19,98.19,0
249,2023-02-13,98.73,98.73,98.73,98.73,0
250,2023-02-14,98.84,98.84,98.84,98.84,0
251,2023-02-15,99.58,99.58,99.58,99.58,0
252,2023-02-16,100.38,100.38,100.38,100.38,0
253,2023-02-17,100.3,100.3,100.3,100.3,0
254,2023-02-20,100.15,100.15,100.15,100.15,0
255,2023-02-21,99.48,99.48,99.48,99.48,0
256,2023-02-22,99.09,99.09,99.09,99.09,0
257,2023-02-23,99.47,99.47,99.47,99.47,0
258,2023-02-24,98.17,98.17,98.17,98.17,0
259,2023-02-27,99.56,99.56,99.56,99.56,0
260,2023-03-01,98.79,98.79,98.79,98.79,0
261,2023-03-02,98.98,98.98,98.98,98.98,0
262,2023-03-03,100.26,100.26,100.26,100.26,0
263,2023-03-07,99.93,99.93,99.93,99.93,0
264,2023-03-08,100.1,100.1,100.1,100.1,0
265,2023-03-09,100.18,100.18,100.18,100.18,0
266,2023-03-10,98.59,98.59,98.59,98.59,0
267,2023-03-13,95.54,95.54,95.54,95.54,0
268,2023-03-14,97.11,97.11,97.11,97.11,0
269,2023-03-15,93.83,93.83,93.83,93.83,0
270,2023-03-16,95.33,95.33,95.33,95.33,0
271,2023-03-17,94.05,94.05,94.05,94.05,0
272,2023-03-21,96.52,96.52,96.52,96.52,0
273,2023-03-22,96.59,96.59,96.59,96.59,0
274,2023-03-23,96.85,96.85,96.85,96.85,0
275,2023-03-24,95.15,95.15,95.15,95.15,0
276,2023-03-27,96.08,96.08,96.08,96.08,0
277,2023-03-28,96.06,96.06,96.06,96.06,0
278,2023-03-29,97.44,97.44,97.44,97.44,0
279,2023-03-31,99.13,99.13,99.13,99.13,0
280,2023-04-03,98.73,98.73,98.73,98.73,0
281,2023-04-04,98.68,98.68,98.68,98.68,0
282,2023-04-05,98.2,98.2,98.2,98.2,0
283,2023-04-06,98.72,98.72,98.72,98.72,0
284,2023-04-11,99.12,99.12,99.12,99.12,0
285,2023-04-12,99.32,99.32,99.32,99.32,0
286,2023-04-13,99.52,99.52,99.52,99.52,0
287,2023-04-14,99.96,99.96,99.96,99.96,0
288,2023-04-18,100.07,100.07,100.07,100.07,0
289,2023-04-19,100.1,100.1,100.1,100.1,0
290,2023-04-20,99.43,99.43,99.43,99.43,0
291,2023-04-21,99.8,99.8,99.8,99.8,0
292,2023-04-24,99.74,99.74,99.74,99.74,0
293,2023-04-25,99.33,99.33,99.33,99.33,0
294,2023-04-26,98.66,98.66,98.66,98.66,0
295,2023-04-28,98.74,98.74,98.74,98.74,0
296,2023-05-02,97.7,97.7,97.7,97.7,0
297,2023-05-03,98.11,98.11,98.11,98.11,0
298,2023-05-04,97.64,97.64,97.64,97.64,0
299,2023-05-05,98.93,98.93,98.93,98.93,0
300,2023-05-10,98.4,98.4,98.4,98.4,0
301,2023-05-11,98.37,98.37,98.37,98.37,0
302,2023-05-12,98.91,98.91,98.91,98.91,0
303,2023-05-15,99.09,99.09,99.09,99.09,0
304,2023-05-16,98.86,98.86,98.86,98.86,0
305,2023-05-17,98.83,98.83,98.83,98.83,0
306,2023-05-19,100.39,100.39,100.39,100.39,0
307,2023-05-22,100.5,100.5,100.5,100.5,0
308,2023-05-23,99.92,99.92,99.92,99.92,0
309,2023-05-24,98.11,98.11,98.11,98.11,0
310,2023-05-25,98.04,98.04,98.04,98.04,0
311,2023-05-26,99.16,99.16,99.16,99.16,0
312,2023-05-30,98.55,98.55,98.55,98.55,0
313,2023-05-31,97.41,97.41,97.41,97.41,0
314,2023-06-01,98.31,98.31,98.31,98.31,0
315,2023-06-02,99.29,99.29,99.29,99.29,0
316,2023-06-05,98.7,98.7,98.7,98.7,0
317,2023-06-06,99.04,99.04,99.04,99.04,0
318,2023-06-07,98.9,98.9,98.9,98.9,0
319,2023-06-08,98.93,98.93,98.93,98.93,0
320,2023-06-09,98.61,98.61,98.61,98.61,0
321,2023-06-12,99.24,99.24,99.24,99.24,0
322,2023-06-14,100.67,100.67,100.67,100.67,0
323,2023-06-15,99.99,99.99,99.99,99.99,0
324,2023-06-16,100.56,100.56,100.56,100.56,0
325,2023-06-19,99.69,99.69,99.69,99.69,0
326,2023-06-21,98.63,98.63,98.63,98.63,0
327,2023-06-22,98.46,98.46,98.46,98.46,0
328,2023-06-26,97.41,97.41,97.41,97.41,0
329,2023-06-27,97.93,97.93,97.93,97.93,0
330,2023-06-28,98.92,98.92,98.92,98.92,0
331,2023-06-29,99.06,99.06,99.06,99.06,0
332,2023-06-30,100.03,100.03,100.03,100.03,0
333,2023-07-03,100.05,100.05,100.05,100.05,0
334,2023-07-04,99.93,99.93,99.93,99.93,0
335,2023-07-05,99.07,99.07,99.07,99.07,0
336,2023-07-06,96.68,96.68,96.68,96.68,0
337,2023-07-07,96.84,96.84,96.84,96.84,0
338,2023-07-10,97.12,97.12,97.12,97.12,0
339,2023-07-11,97.78,97.78,97.78,97.78,0
340,2023-07-12,99.45,99.45,99.45,99.45,0
341,2023-07-13,100.1,100.1,100.1,100.1,0
342,2023-07-17,99.31,99.31,99.31,99.31,0
343,2023-07-18,99.67,99.67,99.67,99.67,0
344,2023-07-19,99.67,99.67,99.67,99.67,0
345,2023-07-20,99.92,99.92,99.92,99.92,0
346,2023-07-21,100.13,100.13,100.13,100.13,0
347,2023-07-24,100.06,100.06,100.06,100.06,0
348,2023-07-25,100.34,100.34,100.34,100.34,0
349,2023-07-26,99.83,99.83,99.83,99.83,0
350,2023-07-27,101.91,101.91,101.91,101.91,0
351,2023-07-28,101.44,101.44,101.44,101.44,0
352,2023-07-31,101.39,101.39,101.39,101.39,0
353,2023-08-01,100.4,100.4,100.4,100.4,0
354,2023-08-02,99.21,99.21,99.21,99.21,0
355,2023-08-03,98.34,98.34,98.34,98.34,0
356,2023-08-04,98.71,98.71,98.71,98.71,0
357,2023-08-07,98.67,98.67,98.67,98.67,0
358,2023-08-08,97.68,97.68,97.68,97.68,0
359,2023-08-09,98.17,98.17,98.17,98.17,0
360,2023-08-10,99.13,99.13,99.13,99.13,0
361,2023-08-11,98.05,98.05,98.05,98.05,0
362,2023-08-14,98.27,98.27,98.27,98.27,0
363,2023-08-16,97.16,97.16,97.16,97.16,0
364,2023-08-17,96.23,96.23,96.23,96.23,0
365,2023-08-18,95.92,95.92,95.92,95.92,0
366,2023-08-21,96.07,96.07,96.07,96.07,0
367,2023-08-22,96.83,96.83,96.83,96.83,0
368,2023-08-23,97.11,97.11,97.11,97.11,0
369,2023-08-24,96.43,96.43,96.43,96.43,0
370,2023-08-25,96.51,96.51,96.51,96.51,0
371,2023-08-28,97.67,97.67,97.67,97.67,0
372,2023-08-29,98.54,98.54,98.54,98.54,0
373,2023-08-30,98.29,98.29,98.29,98.29,0
374,2023-08-31,97.88,97.88,97.88,97.88,0
375,2023-09-01,97.53,97.53,97.53,97.53,0
376,2023-09-04,97.31,97.31,97.31,97.31,0
377,2023-09-05,97.05,97.05,97.05,97.05,0
378,2023-09-06,96.52,96.52,96.52,96.52,0
379,2023-09-07,96.02,96.02,96.02,96.02,0
380,2023-09-08,96.34,96.34,96.34,96.34,0
381,2023-09-11,96.83,96.83,96.83,96.83,0
382,2023-09-12,96.4,96.4,96.4,96.4,0
383,2023-09-13,96.08,96.08,96.08,96.08,0
384,2023-09-14,97.28,97.28,97.28,97.28,0
385,2023-09-15,97.42,97.42,97.42,97.42,0
386,2023-09-18,96.21,96.21,96.21,96.21,0
387,2023-09-19,96.13,96.13,96.13,96.13,0
388,2023-09-20,96.95,96.95,96.95,96.95,0
389,2023-09-21,95.87,95.87,95.87,95.87,0
390,2023-09-22,95.55,95.55,95.55,95.55,0
391,2023-09-25,94.67,94.67,94.67,94.67,0
392,2023-09-26,93.79,93.79,93.79,93.79,0
393,2023-09-27,93.58,93.58,93.58,93.58,0
394,2023-09-28,94.0,94.0,94.0,94.0,0
395,2023-09-29,94.61,94.61,94.61,94.61,0
396,2023-10-02,93.59,93.59,93.59,93.59,0
397,2023-10-03,92.38,92.38,92.38,92.38,0
398,2023-10-04,92.58,92.58,92.58,92.58,0
399,2023-10-05,92.22,92.22,92.22,92.22,0
400,2023-10-06,93.1,93.1,93.1,93.1,0
401,2023-10-09,92.43,92.43,92.43,92.43,0
402,2023-10-10,94.24,94.24,94.24,94.24,0
403,2023-10-11,94.06,94.06,94.06,94.06,0
404,2023-10-12,93.96,93.96,93.96,93.96,0
405,2023-10-13,92.38,92.38,92.38,92.38,0
406,2023-10-16,92.62,92.62,92.62,92.62,0
407,2023-10-17,92.33,92.33,92.33,92.33,0
408,2023-10-18,91.28,91.28,91.28,91.28,0
409,2023-10-19,90.9,90.9,90.9,90.9,0
410,2023-10-23,89.79,89.79,89.79,89.79,0
411,2023-10-24,90.18,90.18,90.18,90.18,0
412,2023-10-25,89.84,89.84,89.84,89.84,0
413,2023-10-26,89.71,89.71,89.71,89.71,0
414,2023-10-27,88.78,88.78,88.78,88.78,0
415,2023-10-30,88.9,88.9,88.9,88.9,0
416,2023-10-31,89.84,89.84,89.84,89.84,0
417,2023-11-02,91.9,91.9,91.9,91.9,0
418,2023-11-03,92.4,92.4,92.4,92.4,0
419,2023-11-06,91.93,91.93,91.93,91.93,0
420,2023-11-07,91.85,91.85,91.85,91.85,0
421,2023-11-08,92.26,92.26,92.26,92.26,0
422,2023-11-09,93.42,93.42,93.42,93.42,0
423,2023-11-10,92.51,92.51,92.51,92.51,0
424,2023-11-13,93.02,93.02,93.02,93.02,0
425,2023-11-15,94.63,94.63,94.63,94.63,0
426,2023-11-16,94.71,94.71,94.71,94.71,0
427,2023-11-17,95.46,95.46,95.46,95.46,0
428,2023-11-20,95.67,95.67,95.67,95.67,0
429,2023-11-21,95.2,95.2,95.2,95.2,0
430,2023-11-22,95.82,95.82,95.82,95.82,0
431,2023-11-23,95.97,95.97,95.97,95.97,0
432,2023-11-24,96.19,96.19,96.19,96.19,0
433,2023-11-27,95.89,95.89,95.89,95.89,0
434,2023-11-28,95.83,95.83,95.83,95.83,0
435,2023-11-29,96.69,96.69,96.69,96.69,0
436,2023-11-30,96.89,96.89,96.89,96.89,0
437,2023-12-01,97.56,97.56,97.56,97.56,0
438,2023-12-04,97.53,97.53,97.53,97.53,0
439,2023-12-05,98.33,98.33,98.33,98.33,0
440,2023-12-06,98.64,98.64,98.64,98.64,0
441,2023-12-07,98.37,98.37,98.37,98.37,0
442,2023-12-08,99.1,99.1,99.1,99.1,0
443,2023-12-11,99.39,99.39,99.39,99.39,0
444,2023-12-12,99.09,99.09,99.09,99.09,0
445,2023-12-13,98.85,98.85,98.85,98.85,0
446,2023-12-14,99.74,99.74,99.74,99.74,0
447,2023-12-15,99.92,99.92,99.92,99.92,0
448,2023-12-18,99.23,99.23,99.23,99.23,0
449,2023-12-19,99.62,99.62,99.62,99.62,0
450,2023-12-20,99.75,99.75,99.75,99.75,0
451,2023-12-21,99.61,99.61,99.61,99.61,0
452,2023-12-27,99.97,99.97,99.97,99.97,0
453,2023-12-28,99.73,99.73,99.73,99.73,0
454,2023-12-29,99.87,99.87,99.87,99.87,0
455,2024-01-02,99.72,99.72,99.72,99.72,0
456,2024-01-03,98.32,98.32,98.32,98.32,0
457,2024-01-04,98.75,98.75,98.75,98.75,0
458,2024-01-05,98.55,98.55,98.55,98.55,0
459,2024-01-09,98.8,98.8,98.8,98.8,0
460,2024-01-11,97.96,97.96,97.96,97.96,0
461,2024-01-12,98.77,98.77,98.77,98.77,0
462,2024-01-15,98.48,98.48,98.48,98.48,0
463,2024-01-17,97.55,97.55,97.55,97.55,0
464,2024-01-19,98.57,98.57,98.57,98.57,0
465,2024-01-22,99.39,99.39,99.39,99.39,0
466,2024-01-23,99.17,99.17,99.17,99.17,0
467,2024-01-24,100.6,100.6,100.6,100.6,0
468,2024-01-25,100.78,100.78,100.78,100.78,0
469,2024-01-26,101.59,101.59,101.59,101.59,0
470,2024-01-29,101.48,101.48,101.48,101.48,0
471,2024-01-30,101.85,101.85,101.85,101.85,0
472,2024-01-31,101.83,101.83,101.83,101.83,0
473,2024-02-01,101.2,101.2,101.2,101.2,0
474,2024-02-02,101.08,101.08,101.08,101.08,0
475,2024-02-05,101.2,101.2,101.2,101.2,0
476,2024-02-06,101.51,101.51,101.51,101.51,0
477,2024-02-07,101.23,101.23,101.23,101.23,0
478,2024-02-08,101.72,101.72,101.72,101.72,0
479,2024-02-09,101.65,101.65,101.65,101.65,0
480,2024-02-12,102.28,102.28,102.28,102.28,0
481,2024-02-13,101.39,101.39,101.39,101.39,0
482,2024-02-14,101.98,101.98,101.98,101.98,0
483,2024-02-15,102.74,102.74,102.74,102.74,0
484,2024-02-16,103.21,103.21,103.21,103.21,0
485,2024-02-19,103.11,103.11,103.11,103.11,0
486,2024-02-20,102.99,102.99,102.99,102.99,0
487,2024-02-21,103.1,103.1,103.1,103.1,0
488,2024-02-22,104.34,104.34,104.34,104.34,0
489,2024-02-23,104.73,104.73,104.73,104.73,0
490,2024-02-26,104.55,104.55,104.55,104.55,0
491,2024-02-27,105.07,105.07,105.07,105.07,0
492,2024-02-28,104.83,104.83,104.83,104.83,0
493,2024-02-29,104.84,104.84,104.84,104.84,0
494,2024-03-01,105.27,105.27,105.27,105.27,0
495,2024-03-04,105.56,105.56,105.56,105.56,0
496,2024-03-05,105.33,105.33,105.33,105.33,0
497,2024-03-06,105.56,105.56,105.56,105.56,0
498,2024-03-07,106.7,106.7,106.7,106.7,0
499,2024-03-08,106.34,106.34,106.34,106.34,0
500,2024-03-11,105.75,105.75,105.75,105.75,0
501,2024-03-12,106.56,106.56,106.56,106.56,0
502,2024-03-13,106.84,106.84,106.84,106.84,0
503,2024-03-14,106.74,106.74,106.74,106.74,0
504,2024-03-15,106.29,106.29,106.29,106.29,0
505,2024-03-18,106.23,106.23,106.23,106.23,0
