,date,open,close,high,low,volumme
0,2022-06-27,999.53,999.53,999.53,999.53,0
1,2022-06-28,999.53,999.53,999.53,999.53,0
2,2022-06-30,999.52,999.52,999.52,999.52,0
3,2022-07-01,999.52,999.52,999.52,999.52,0
4,2022-07-04,999.52,999.52,999.52,999.52,0
5,2022-07-05,999.51,999.51,999.51,999.51,0
6,2022-07-07,999.52,999.52,999.52,999.52,0
7,2022-07-08,999.52,999.52,999.52,999.52,0
8,2022-07-19,999.51,999.51,999.51,999.51,0
9,2022-07-21,999.51,999.51,999.51,999.51,0
10,2022-07-25,999.51,999.51,999.51,999.51,0
11,2022-07-26,999.51,999.51,999.51,999.51,0
12,2022-07-27,999.52,999.52,999.52,999.52,0
13,2022-07-28,999.5,999.5,999.5,999.5,0
14,2022-07-29,999.5,999.5,999.5,999.5,0
15,2022-08-01,999.51,999.51,999.51,999.51,0
16,2022-08-02,999.51,999.51,999.51,999.51,0
17,2022-08-03,999.51,999.51,999.51,999.51,0
18,2022-08-04,999.51,999.51,999.51,999.51,0
19,2022-08-05,999.51,999.51,999.51,999.51,0
20,2022-08-08,999.51,999.51,999.51,999.51,0
21,2022-08-09,999.51,999.51,999.51,999.51,0
22,2022-08-10,999.51,999.51,999.51,999.51,0
23,2022-08-11,999.51,999.51,999.51,999.51,0
24,2022-08-12,999.51,999.51,999.51,999.51,0
25,2022-08-16,999.51,999.51,999.51,999.51,0
26,2022-08-17,999.51,999.51,999.51,999.51,0
27,2022-08-18,999.5,999.5,999.5,999.5,0
28,2022-08-19,999.5,999.5,999.5,999.5,0
29,2022-08-22,999.5,999.5,999.5,999.5,0
30,2022-08-23,999.5,999.5,999.5,999.5,0
31,2022-08-24,999.5,999.5,999.5,999.5,0
32,2022-08-25,999.49,999.49,999.49,999.49,0
33,2022-08-26,999.49,999.49,999.49,999.49,0
34,2022-08-29,971.99,971.99,971.99,971.99,0
35,2022-08-31,960.36,960.36,960.36,960.36,0
36,2022-09-01,950.2,950.2,950.2,950.2,0
37,2022-09-02,935.19,935.19,935.19,935.19,0
38,2022-09-05,927.17,927.17,927.17,927.17,0
39,2022-09-06,926.1,926.1,926.1,926.1,0
40,2022-09-08,936.14,936.14,936.14,936.14,0
41,2022-09-09,943.14,943.14,943.14,943.14,0
42,2022-09-12,950.1,950.1,950.1,950.1,0
43,2022-09-13,936.4,936.4,936.4,936.4,0
44,2022-09-14,933.05,933.05,933.05,933.05,0
45,2022-09-15,928.09,928.09,928.09,928.09,0
46,2022-09-16,919.1,919.1,919.1,919.1,0
47,2022-09-19,922.8,922.8,922.8,922.8,0
48,2022-09-20,917.68,917.68,917.68,917.68,0
49,2022-09-21,918.39,918.39,918.39,918.39,0
50,2022-09-22,908.35,908.35,908.35,908.35,0
