,date,open,close,high,low,volumme
0,2022-11-17,1000.29,1000.29,1000.29,1000.29,0
1,2022-11-24,1000.44,1000.44,1000.44,1000.44,0
2,2022-12-01,1000.67,1000.67,1000.67,1000.67,0
3,2022-12-08,1000.8,1000.8,1000.8,1000.8,0
4,2022-12-15,1001.0,1001.0,1001.0,1001.0,0
5,2022-12-22,1001.12,1001.12,1001.12,1001.12,0
6,2022-12-29,1001.36,1001.36,1001.36,1001.36,0
7,2023-01-12,1001.92,1001.92,1001.92,1001.92,0
8,2023-01-19,1002.18,1002.18,1002.18,1002.18,0
9,2023-01-26,1002.45,1002.45,1002.45,1002.45,0
10,2023-02-02,1002.73,1002.73,1002.73,1002.73,0
11,2023-02-09,1002.94,1002.94,1002.94,1002.94,0
12,2023-02-16,1003.29,1003.29,1003.29,1003.29,0
13,2023-02-23,1003.63,1003.63,1003.63,1003.63,0
14,2023-03-02,1004.14,1004.14,1004.14,1004.14,0
15,2023-03-09,1004.39,1004.39,1004.39,1004.39,0
16,2023-03-16,1004.68,1004.68,1004.68,1004.68,0
17,2023-03-23,991.92,991.92,991.92,991.92,0
18,2023-03-30,997.02,997.02,997.02,997.02,0
19,2023-04-06,1011.39,1011.39,1011.39,1011.39,0
20,2023-04-13,1020.3,1020.3,1020.3,1020.3,0
21,2023-04-20,1028.27,1028.27,1028.27,1028.27,0
22,2023-04-27,1013.25,1013.25,1013.25,1013.25,0
23,2023-05-04,1016.55,1016.55,1016.55,1016.55,0
24,2023-05-11,1024.42,1024.42,1024.42,1024.42,0
25,2023-05-25,1021.62,1021.62,1021.62,1021.62,0
26,2023-06-01,1020.34,1020.34,1020.34,1020.34,0
27,2023-06-08,1034.2,1034.2,1034.2,1034.2,0
28,2023-06-15,1026.82,1026.82,1026.82,1026.82,0
29,2023-06-22,1013.92,1013.92,1013.92,1013.92,0
30,2023-06-29,1023.53,1023.53,1023.53,1023.53,0
31,2023-07-06,1023.18,1023.18,1023.18,1023.18,0
32,2023-07-13,1017.1,1017.1,1017.1,1017.1,0
33,2023-07-20,1023.65,1023.65,1023.65,1023.65,0
34,2023-07-27,1039.9,1039.9,1039.9,1039.9,0
35,2023-08-10,1034.71,1034.71,1034.71,1034.71,0
36,2023-08-17,1023.04,1023.04,1023.04,1023.04,0
37,2023-08-24,1029.76,1029.76,1029.76,1029.76,0
38,2023-08-31,1031.69,1031.69,1031.69,1031.69,0
39,2023-09-07,1022.37,1022.37,1022.37,1022.37,0
40,2023-09-14,1032.52,1032.52,1032.52,1032.52,0
41,2023-09-28,1020.87,1020.87,1020.87,1020.87,0
42,2023-10-05,1015.72,1015.72,1015.72,1015.72,0
43,2023-10-12,1025.97,1025.97,1025.97,1025.97,0
44,2023-10-19,1012.85,1012.85,1012.85,1012.85,0
45,2023-10-26,986.71,986.71,986.71,986.71,0
46,2023-11-02,989.0,989.0,989.0,989.0,0
47,2023-11-09,991.69,991.69,991.69,991.69,0
48,2023-11-16,988.07,988.07,988.07,988.07,0
49,2023-11-23,1002.77,1002.77,1002.77,1002.77,0
50,2023-11-30,993.94,993.94,993.94,993.94,0
51,2023-12-07,1013.91,1013.91,1013.91,1013.91,0
52,2023-12-14,1042.94,1042.94,1042.94,1042.94,0
53,2023-12-21,1035.61,1035.61,1035.61,1035.61,0
54,2023-12-28,1040.01,1040.01,1040.01,1040.01,0
55,2024-01-04,1057.68,1057.68,1057.68,1057.68,0
56,2024-01-11,1067.11,1067.11,1067.11,1067.11,0
57,2024-01-18,1063.05,1063.05,1063.05,1063.05,0
58,2024-01-25,1062.12,1062.12,1062.12,1062.12,0
59,2024-02-01,1025.78,1025.78,1025.78,1025.78,0
60,2024-02-08,1085.94,1085.94,1085.94,1085.94,0
61,2024-02-15,1082.51,1082.51,1082.51,1082.51,0
62,2024-02-22,1092.13,1092.13,1092.13,1092.13,0
63,2024-02-29,1089.27,1089.27,1089.27,1089.27,0
64,2024-03-07,1092.79,1092.79,1092.79,1092.79,0
65,2024-03-14,1092.95,1092.95,1092.95,1092.95,0
66,2024-03-21,1087.84,1087.84,1087.84,1087.84,0
67,2024-03-28,1107.08,1107.08,1107.08,1107.08,0
68,2024-04-04,1092.49,1092.49,1092.49,1092.49,0
69,2024-04-11,1083.67,1083.67,1083.67,1083.67,0
70,2024-04-18,1079.59,1079.59,1079.59,1079.59,0
71,2024-04-25,1083.81,1083.81,1083.81,1083.81,0
72,2024-05-07,1059.89,1059.89,1059.89,1059.89,0
73,2024-05-16,1095.99,1095.99,1095.99,1095.99,0
74,2024-05-23,1098.21,1098.21,1098.21,1098.21,0
75,2024-05-30,1083.47,1083.47,1083.47,1083.47,0
76,2024-06-06,1099.22,1099.22,1099.22,1099.22,0
77,2024-06-13,1100.38,1100.38,1100.38,1100.38,0
78,2024-06-20,1104.05,1104.05,1104.05,1104.05,0
79,2024-06-27,1114.56,1114.56,1114.56,1114.56,0
80,2024-07-04,1100.19,1100.19,1100.19,1100.19,0
81,2024-07-11,1109.31,1109.31,1109.31,1109.31,0
82,2024-07-18,1120.65,1120.65,1120.65,1120.65,0
83,2024-07-25,1104.23,1104.23,1104.23,1104.23,0
84,2024-08-01,1122.61,1122.61,1122.61,1122.61,0
85,2024-08-08,1101.04,1101.04,1101.04,1101.04,0
86,2024-08-14,1111.65,1111.65,1111.65,1111.65,0
87,2024-08-22,1124.5,1124.5,1124.5,1124.5,0
88,2024-08-29,1128.48,1128.48,1128.48,1128.48,0
89,2024-09-05,1122.99,1122.99,1122.99,1122.99,0
