,date,open,close,high,low,volumme
0,2023-05-31,99.91,99.91,99.91,99.91,0
1,2023-06-01,99.94,99.94,99.94,99.94,0
2,2023-06-02,99.94,99.94,99.94,99.94,0
3,2023-06-05,99.94,99.94,99.94,99.94,0
4,2023-06-06,99.94,99.94,99.94,99.94,0
5,2023-06-07,99.94,99.94,99.94,99.94,0
6,2023-06-08,99.95,99.95,99.95,99.95,0
7,2023-06-09,99.95,99.95,99.95,99.95,0
8,2023-06-12,99.95,99.95,99.95,99.95,0
9,2023-06-13,99.96,99.96,99.96,99.96,0
10,2023-06-14,99.96,99.96,99.96,99.96,0
11,2023-06-15,99.96,99.96,99.96,99.96,0
12,2023-06-16,100.04,100.04,100.04,100.04,0
13,2023-06-19,99.6,99.6,99.6,99.6,0
14,2023-06-20,98.96,98.96,98.96,98.96,0
15,2023-06-21,98.07,98.07,98.07,98.07,0
16,2023-06-22,97.71,97.71,97.71,97.71,0
17,2023-06-23,97.52,97.52,97.52,97.52,0
18,2023-06-26,97.31,97.31,97.31,97.31,0
19,2023-06-28,98.43,98.43,98.43,98.43,0
20,2023-06-29,98.78,98.78,98.78,98.78,0
21,2023-06-30,99.57,99.57,99.57,99.57,0
22,2023-07-03,99.52,99.52,99.52,99.52,0
23,2023-07-04,99.54,99.54,99.54,99.54,0
24,2023-07-05,99.2,99.2,99.2,99.2,0
25,2023-07-06,97.66,97.66,97.66,97.66,0
26,2023-07-07,97.5,97.5,97.5,97.5,0
27,2023-07-10,97.79,97.79,97.79,97.79,0
28,2023-07-11,98.48,98.48,98.48,98.48,0
29,2023-07-12,99.01,99.01,99.01,99.01,0
30,2023-07-13,99.5,99.5,99.5,99.5,0
31,2023-07-17,99.32,99.32,99.32,99.32,0
32,2023-07-18,99.73,99.73,99.73,99.73,0
33,2023-07-19,100.12,100.12,100.12,100.12,0
34,2023-07-20,99.48,99.48,99.48,99.48,0
35,2023-07-21,99.58,99.58,99.58,99.58,0
36,2023-07-24,99.73,99.73,99.73,99.73,0
37,2023-07-25,100.36,100.36,100.36,100.36,0
38,2023-07-26,99.89,99.89,99.89,99.89,0
39,2023-07-27,100.83,100.83,100.83,100.83,0
40,2023-07-28,100.94,100.94,100.94,100.94,0
41,2023-07-31,101.31,101.31,101.31,101.31,0
42,2023-08-01,100.94,100.94,100.94,100.94,0
43,2023-08-02,99.58,99.58,99.58,99.58,0
44,2023-08-03,98.95,98.95,98.95,98.95,0
45,2023-08-04,98.33,98.33,98.33,98.33,0
46,2023-08-07,98.7,98.7,98.7,98.7,0
47,2023-08-08,98.35,98.35,98.35,98.35,0
48,2023-08-09,98.06,98.06,98.06,98.06,0
49,2023-08-10,98.42,98.42,98.42,98.42,0
50,2023-08-11,97.84,97.84,97.84,97.84,0
51,2023-08-14,98.26,98.26,98.26,98.26,0
52,2023-08-16,97.11,97.11,97.11,97.11,0
53,2023-08-17,96.06,96.06,96.06,96.06,0
54,2023-08-18,95.7,95.7,95.7,95.7,0
55,2023-08-21,95.89,95.89,95.89,95.89,0
56,2023-08-22,96.37,96.37,96.37,96.37,0
57,2023-08-23,96.89,96.89,96.89,96.89,0
58,2023-08-24,96.63,96.63,96.63,96.63,0
59,2023-08-25,96.72,96.72,96.72,96.72,0
60,2023-08-28,97.27,97.27,97.27,97.27,0
61,2023-08-29,97.84,97.84,97.84,97.84,0
62,2023-08-30,97.84,97.84,97.84,97.84,0
63,2023-08-31,98.19,98.19,98.19,98.19,0
