,date,open,close,high,low,volumme
0,2024-04-25,5.006,4.9951,5.006,4.9951,2000
1,2024-04-26,5.0,4.9979,5.0,4.9979,9500
2,2024-04-30,5.0047,4.9992,5.0063,4.9992,35623
3,2024-05-02,5.0143,5.0141,5.026,5.012,202532
4,2024-05-03,5.0219,5.023,5.0237,5.0219,28453
5,2024-05-06,5.0419,5.0398,5.0419,5.0398,7186
6,2024-05-07,5.0342,5.0391,5.0391,5.0342,68445
7,2024-05-08,5.0342,5.0361,5.0369,5.0331,89425
8,2024-05-09,5.0323,5.0392,5.0392,5.0323,24474
9,2024-05-10,5.0407,5.0407,5.0407,5.0407,0
10,2024-05-13,5.0376,5.0361,5.0376,5.0361,32529
11,2024-05-14,5.0386,5.0392,5.0396,5.0386,4500
12,2024-05-15,5.047,5.0566,5.0579,5.047,16700
13,2024-05-16,5.0622,5.0622,5.0622,5.0622,0
14,2024-05-17,5.0546,5.0523,5.0546,5.0523,23602
15,2024-05-20,5.051,5.051,5.051,5.051,25
16,2024-05-21,5.0478,5.0478,5.0478,5.0478,1000
17,2024-05-22,5.0453,5.0453,5.0453,5.0453,0
18,2024-05-23,5.0454,5.0454,5.0454,5.0454,0
19,2024-05-24,5.0392,5.0392,5.0392,5.0392,0
20,2024-05-27,5.0374,5.0374,5.0374,5.0374,0
21,2024-05-28,5.0395,5.0401,5.0401,5.0395,190
22,2024-05-29,5.0354,5.0286,5.0355,5.0261,983116
23,2024-05-30,5.0243,5.0243,5.0243,5.0243,0
24,2024-05-31,5.0418,5.0424,5.0424,5.0343,3928
25,2024-06-03,5.0455,5.0574,5.0574,5.0455,1550
26,2024-06-04,5.0554,5.0601,5.0601,5.0554,670
27,2024-06-05,5.0624,5.0624,5.0624,5.0624,0
28,2024-06-06,5.0722,5.0746,5.0746,5.0722,134
29,2024-06-07,5.0727,5.0727,5.0727,5.0727,0
30,2024-06-10,5.0526,5.0526,5.0526,5.0526,0
31,2024-06-11,5.0548,5.0572,5.0572,5.0548,4201
32,2024-06-12,5.0602,5.0602,5.0602,5.0602,0
33,2024-06-13,5.0489,5.0576,5.0576,5.0489,10000
34,2024-06-14,5.0593,5.0627,5.064,5.0593,20962
35,2024-06-17,5.059,5.059,5.059,5.059,0
36,2024-06-18,5.0522,5.05,5.0522,5.05,1
37,2024-06-19,5.0623,5.0623,5.0623,5.0623,0
38,2024-06-20,5.0586,5.0586,5.0586,5.0586,0
39,2024-06-21,5.0597,5.0637,5.0637,5.0597,49350
40,2024-06-24,5.0594,5.0606,5.0606,5.0594,634
41,2024-06-25,5.0614,5.0615,5.0615,5.0614,21
42,2024-06-26,5.0574,5.0574,5.0574,5.0574,0
43,2024-06-27,5.0532,5.0532,5.0532,5.0532,0
44,2024-06-28,5.06,5.06,5.06,5.06,900
45,2024-07-01,5.054,5.0487,5.0549,5.0487,5100
46,2024-07-02,5.0523,5.0523,5.0523,5.0523,0
47,2024-07-03,5.055,5.0598,5.0598,5.055,8000
48,2024-07-04,5.0631,5.0631,5.0631,5.0631,0
49,2024-07-05,5.0664,5.0664,5.0664,5.0664,0
50,2024-07-08,5.0759,5.0759,5.0759,5.0759,0
51,2024-07-09,5.0765,5.0765,5.0765,5.0765,0
52,2024-07-10,5.0783,5.0783,5.0783,5.0783,0
53,2024-07-11,5.0795,5.0795,5.0795,5.0795,0
54,2024-07-12,5.0987,5.0987,5.0987,5.0987,4480
55,2024-07-15,5.103,5.103,5.103,5.103,0
56,2024-07-16,5.1073,5.1073,5.1073,5.1073,0
57,2024-07-17,5.1065,5.1065,5.1065,5.1065,0
58,2024-07-18,5.1088,5.1088,5.1088,5.1088,0
59,2024-07-19,5.1083,5.1083,5.1083,5.1083,0
60,2024-07-22,5.1026,5.1026,5.1026,5.1026,0
61,2024-07-23,5.1003,5.1003,5.1003,5.1003,0
62,2024-07-24,5.1056,5.1056,5.1056,5.1056,0
63,2024-07-25,5.1156,5.1129,5.1156,5.1115,39080
64,2024-07-26,5.1088,5.1108,5.1108,5.1088,26500
65,2024-07-29,5.1201,5.122,5.1221,5.1201,66876
66,2024-07-30,5.1163,5.1177,5.1177,5.1163,100
67,2024-07-31,5.1224,5.1224,5.1224,5.1224,0
68,2024-08-01,5.1356,5.1378,5.1378,5.1356,12180
69,2024-08-02,5.1572,5.1572,5.1572,5.1572,0
70,2024-08-05,5.2019,5.2019,5.2019,5.2019,0
71,2024-08-06,5.1755,5.1755,5.1755,5.1755,0
72,2024-08-07,5.1743,5.1743,5.1743,5.1743,0
73,2024-08-08,5.1796,5.1634,5.1796,5.1634,22200
74,2024-08-09,5.169,5.169,5.169,5.169,0
75,2024-08-12,5.1652,5.1652,5.1652,5.1652,0
76,2024-08-13,5.1731,5.1763,5.1763,5.1731,44394
77,2024-08-14,5.1861,5.1861,5.1861,5.1861,0
78,2024-08-15,5.1879,5.1688,5.1879,5.1673,89176
79,2024-08-16,5.1701,5.1701,5.1701,5.1701,0
80,2024-08-19,5.176,5.176,5.176,5.176,0
81,2024-08-20,5.1737,5.1764,5.1764,5.1737,15000
82,2024-08-21,5.1839,5.1921,5.1921,5.1839,30766
83,2024-08-22,5.1942,5.1942,5.1942,5.1942,0
84,2024-08-23,5.186,5.186,5.186,5.186,0
85,2024-08-26,5.2002,5.2002,5.2002,5.2002,0
86,2024-08-27,5.1941,5.1941,5.1941,5.1941,0
87,2024-08-28,5.1978,5.1978,5.1978,5.1978,0
88,2024-08-29,5.1999,5.1954,5.1999,5.1954,1650
89,2024-08-30,5.1965,5.1965,5.1965,5.1965,0
90,2024-09-02,5.1925,5.1925,5.1925,5.1925,0
91,2024-09-03,5.1924,5.1924,5.1924,5.1924,0
92,2024-09-04,5.2045,5.2045,5.2045,5.2045,0
93,2024-09-05,5.2187,5.2187,5.2187,5.2187,0
94,2024-09-06,5.2252,5.2252,5.2252,5.2252,0
95,2024-09-09,5.2261,5.2261,5.2261,5.2261,0
96,2024-09-10,5.2298,5.2298,5.2298,5.2298,0
97,2024-09-11,5.2473,5.2473,5.2473,5.2473,0
98,2024-09-12,5.1811,5.1834,5.1834,5.1811,7750
99,2024-09-13,5.188,5.1877,5.188,5.1877,3950
100,2024-09-16,5.1917,5.1917,5.1917,5.1917,0
101,2024-09-17,5.1927,5.19,5.1927,5.19,1000
102,2024-09-18,5.1865,5.1865,5.1865,5.1865,0
103,2024-09-19,5.1849,5.1849,5.1849,5.1849,0
104,2024-09-20,5.1887,5.1887,5.1887,5.1887,0
