,Unnamed: 0,date,open,close,high,low,volumme
0,0.0,2018-02-01,7.93,7.93,7.93,7.93,0
1,1.0,2018-02-02,7.85,7.81,7.85,7.81,280
2,2.0,2018-02-05,7.65,7.66,7.66,7.65,400
3,3.0,2018-02-06,7.48,7.48,7.48,7.48,0
4,4.0,2018-02-07,7.67,7.67,7.67,7.67,0
5,5.0,2018-02-08,7.56,7.56,7.56,7.56,0
6,6.0,2018-02-09,7.37,7.37,7.37,7.37,0
7,7.0,2018-02-13,7.45,7.45,7.45,7.45,0
8,8.0,2018-02-14,7.46,7.46,7.46,7.46,0
9,9.0,2018-02-15,7.61,7.54,7.61,7.54,30
10,10.0,2018-02-16,7.62,7.64,7.64,7.62,265
11,11.0,2018-02-19,7.74,7.66,7.74,7.66,4324
12,12.0,2018-02-20,7.64,7.7,7.7,7.64,3744
13,13.0,2018-02-21,7.65,7.71,7.71,7.65,828
14,14.0,2018-02-22,7.6,7.7,7.7,7.6,257
15,15.0,2018-02-23,7.79,7.79,7.79,7.79,0
16,16.0,2018-02-26,7.81,7.81,7.81,7.81,0
17,17.0,2018-02-27,7.81,7.81,7.81,7.81,0
18,18.0,2018-02-28,7.72,7.72,7.72,7.72,0
19,19.0,2018-03-01,7.54,7.54,7.54,7.54,0
20,20.0,2018-03-02,7.34,7.34,7.34,7.34,0
21,21.0,2018-03-05,7.44,7.44,7.44,7.44,0
22,22.0,2018-03-06,7.51,7.49,7.53,7.49,6059
23,23.0,2018-03-07,7.44,7.44,7.44,7.44,0
24,24.0,2018-03-08,7.57,7.57,7.57,7.57,0
25,25.0,2018-03-09,7.66,7.66,7.66,7.66,0
26,26.0,2018-03-12,7.7,7.7,7.7,7.7,0
27,27.0,2018-03-13,7.63,7.63,7.63,7.63,0
28,28.0,2018-03-14,7.63,7.63,7.63,7.63,0
29,29.0,2018-03-15,7.67,7.67,7.67,7.67,0
30,30.0,2018-03-16,7.63,7.63,7.63,7.63,0
31,31.0,2018-03-19,7.49,7.49,7.49,7.49,0
32,32.0,2018-03-20,7.53,7.55,7.55,7.53,5500
33,33.0,2018-03-21,7.59,7.59,7.59,7.59,0
34,34.0,2018-03-22,7.48,7.48,7.48,7.48,0
35,35.0,2018-03-23,7.3,7.3,7.3,7.3,0
36,36.0,2018-03-26,7.22,7.22,7.22,7.21,2602
37,37.0,2018-03-27,7.4,7.39,7.42,7.39,2111
38,38.0,2018-03-28,7.26,7.24,7.28,7.23,4270
39,39.0,2018-03-29,7.25,7.28,7.28,7.24,2127
40,40.0,2018-04-03,7.24,7.23,7.25,7.23,1136
41,41.0,2018-04-04,7.2,7.2,7.2,7.11,2142
42,42.0,2018-04-05,7.32,7.38,7.38,7.32,1954
43,43.0,2018-04-06,7.31,7.28,7.32,7.28,2980
44,44.0,2018-04-09,7.27,7.27,7.27,7.27,0
45,45.0,2018-04-10,7.28,7.28,7.28,7.28,0
46,46.0,2018-04-11,7.22,7.25,7.25,7.22,0
47,47.0,2018-04-12,7.28,7.28,7.28,7.28,0
48,48.0,2018-04-13,7.29,7.32,7.32,7.29,0
49,49.0,2018-04-16,7.32,7.29,7.32,7.29,1109
50,50.0,2018-04-17,7.29,7.34,7.34,7.29,1109
51,51.0,2018-04-18,7.35,7.38,7.38,7.35,0
52,52.0,2018-04-19,7.39,7.39,7.39,7.39,0
53,53.0,2018-04-20,7.41,7.41,7.41,7.41,0
54,54.0,2018-04-23,7.4,7.42,7.42,7.4,60
55,55.0,2018-04-24,7.43,7.41,7.44,7.41,530
