,Unnamed: 0.1,Unnamed: 0,date,open,close,high,low,volumme
0,0.0,0.0,2023-06-22,7.113,7.113,7.113,7.113,0
1,1.0,1.0,2023-06-28,7.302,7.302,7.302,7.302,0
2,2.0,2.0,2023-07-04,8.206,8.206,8.206,8.206,0
3,3.0,3.0,2023-07-06,8.074,8.074,8.074,8.074,0
4,4.0,4.0,2023-07-10,8.823,8.823,8.823,8.823,350
5,5.0,5.0,2023-07-11,9.06,9.06,9.06,9.06,350
6,6.0,6.0,2023-07-12,9.289,9.368,9.368,9.289,1000
7,7.0,7.0,2023-07-13,9.288,9.288,9.288,9.288,0
8,8.0,8.0,2023-07-17,9.98,9.98,9.98,9.98,51
9,9.0,9.0,2023-07-18,9.73,9.35,9.73,9.35,1108
10,10.0,10.0,2023-07-19,9.825,9.825,9.825,9.825,44
11,11.0,11.0,2023-07-20,9.736,9.53,9.736,9.53,149
12,12.0,12.0,2023-07-21,9.262,9.03,9.262,9.03,413
13,13.0,13.0,2023-07-24,9.0,9.0,9.0,9.0,0
14,14.0,14.0,2023-07-26,9.296,9.296,9.296,9.296,100
15,15.0,15.0,2023-07-27,9.514,9.514,9.514,9.514,0
16,16.0,16.0,2023-07-31,10.38,9.482,10.38,9.437,506
17,17.0,17.0,2023-08-01,9.06,8.995,9.06,8.995,200
18,18.0,18.0,2023-08-02,9.274,8.96,9.274,8.96,150
19,19.0,19.0,2023-08-03,8.993,8.993,8.993,8.993,4
20,20.0,20.0,2023-08-04,8.881,8.81,8.881,8.81,145
21,21.0,21.0,2023-08-07,8.63,8.63,8.63,8.63,0
22,22.0,22.0,2023-08-10,8.419,8.263,8.419,8.263,107
23,23.0,23.0,2023-08-11,8.107,8.107,8.107,8.107,5
24,24.0,24.0,2023-08-16,8.0,7.809,8.0,7.762,459
25,25.0,25.0,2023-08-17,7.319,7.306,7.319,7.306,160
26,26.0,26.0,2023-08-18,7.43,7.165,7.43,7.165,428
27,27.0,27.0,2023-08-21,6.884,6.8,6.884,6.8,82
28,28.0,28.0,2023-08-22,6.7,6.7,6.7,6.7,0
29,29.0,29.0,2023-08-24,7.004,7.004,7.004,7.004,0
30,30.0,30.0,2023-08-30,7.452,7.452,7.452,7.452,0
31,31.0,31.0,2023-09-01,7.074,7.05,7.074,6.988,495
32,32.0,32.0,2023-09-04,7.08,7.0,7.08,7.0,664
33,33.0,33.0,2023-09-05,6.935,6.929,6.935,6.929,110
34,34.0,34.0,2023-09-06,6.88,6.88,6.88,6.88,2000
35,35.0,35.0,2023-09-07,6.605,6.605,6.605,6.605,0
36,36.0,36.0,2023-09-11,6.723,6.5,6.723,6.5,209
37,37.0,37.0,2023-09-12,6.575,6.575,6.575,6.575,0
38,38.0,38.0,2023-09-18,6.742,6.742,6.742,6.742,2
39,39.0,39.0,2023-09-19,6.4,6.4,6.4,6.4,0
40,40.0,40.0,2023-09-21,6.2,6.2,6.2,6.2,0
41,41.0,41.0,2023-09-25,5.905,5.861,5.905,5.861,150
42,42.0,42.0,2023-09-26,5.94,5.94,5.94,5.94,84
43,43.0,43.0,2023-09-27,5.906,5.949,5.949,5.906,11
44,44.0,44.0,2023-09-28,5.9,5.9,5.9,5.9,84
45,45.0,45.0,2023-09-29,6.082,6.082,6.082,6.082,80
46,46.0,46.0,2023-10-03,5.8,5.8,5.8,5.8,0
47,47.0,47.0,2023-10-10,6.073,6.073,6.073,6.073,0
48,48.0,48.0,2023-10-12,5.8,5.8,5.8,5.8,0
49,49.0,49.0,2023-10-18,6.094,6.094,6.094,6.094,1
50,50.0,50.0,2023-10-19,5.723,5.723,5.723,5.723,0
51,51.0,51.0,2023-10-23,5.728,5.815,5.817,5.728,2000
52,52.0,52.0,2023-10-24,6.85,6.85,6.85,6.85,0
53,53.0,53.0,2023-10-26,6.45,6.45,6.45,6.45,70
54,54.0,54.0,2023-10-27,6.314,6.314,6.314,6.314,234
55,55.0,55.0,2023-11-13,6.309,6.309,6.309,6.309,0
56,56.0,56.0,2023-11-28,6.65,6.898,6.968,6.65,12499
57,57.0,57.0,2023-11-29,7.27,7.27,7.27,7.27,0
58,58.0,58.0,2023-12-04,8.509,8.509,8.509,8.509,0
59,59.0,59.0,2023-12-27,11.289,12.097,12.27,11.289,4370
60,60.0,60.0,2023-12-28,12.961,12.961,12.961,12.961,0
61,61.0,61.0,2024-01-02,11.457,11.457,11.457,11.457,0
62,62.0,62.0,2024-01-08,10.022,10.022,10.022,10.022,0
63,63.0,63.0,2024-01-09,10.63,10.63,10.63,10.63,0
64,64.0,64.0,2024-01-16,8.489,8.489,8.489,8.489,0
65,65.0,65.0,2024-01-22,7.683,7.471,7.691,7.409,1970
66,66.0,66.0,2024-01-23,7.471,7.471,7.471,7.471,0
67,67.0,67.0,2024-01-24,7.44,7.489,7.492,7.44,4255
68,68.0,68.0,2024-01-25,7.322,7.341,7.341,7.322,270
69,69.0,69.0,2024-01-26,7.504,7.504,7.504,7.504,0
70,70.0,70.0,2024-01-30,8.577,8.568,8.577,8.568,355
71,71.0,71.0,2024-01-31,8.134,8.134,8.134,8.134,0
72,72.0,72.0,2024-02-05,8.025,8.025,8.025,8.025,0
73,73.0,73.0,2024-02-07,7.718,7.718,7.718,7.718,0
74,74.0,74.0,2024-02-09,8.599,9.38,9.487,8.599,7552
75,75.0,75.0,2024-02-12,10.77,10.77,10.77,10.77,0
76,76.0,76.0,2024-02-14,9.701,11.603,11.603,9.698,3405
77,77.0,77.0,2024-02-15,12.035,12.035,12.035,12.035,0
78,78.0,78.0,2024-02-19,11.303,11.303,11.303,11.303,0
79,79.0,79.0,2024-02-21,10.408,10.408,10.408,10.408,250
80,80.0,80.0,2024-02-22,10.644,10.644,10.644,10.644,0
81,81.0,81.0,2024-02-26,10.111,11.059,11.059,10.111,600
82,82.0,82.0,2024-02-27,12.291,12.197,12.291,12.197,845
83,83.0,83.0,2024-02-28,12.301,12.301,12.301,12.301,250
84,84.0,84.0,2024-02-29,12.6,11.9,12.6,11.9,20
85,85.0,85.0,2024-03-01,10.825,10.917,10.917,10.825,264
86,86.0,86.0,2024-03-04,11.816,11.429,11.843,11.429,1007
87,87.0,87.0,2024-03-05,11.148,11.108,11.148,11.108,300
88,88.0,88.0,2024-03-06,10.271,10.271,10.271,10.271,0
89,89.0,89.0,2024-03-12,10.894,10.894,10.894,10.894,0
90,90.0,90.0,2024-03-18,10.841,10.841,10.841,10.841,0
91,91.0,91.0,2024-03-20,10.609,10.609,10.609,10.609,0
92,92.0,92.0,2024-03-22,12.211,12.23,12.23,12.211,167
93,93.0,93.0,2024-03-25,11.801,11.801,11.801,11.801,60
94,94.0,94.0,2024-03-26,12.722,12.449,12.814,12.449,498
95,95.0,95.0,2024-03-27,12.445,12.445,12.445,12.445,50
96,96.0,96.0,2024-03-28,12.927,12.81,12.927,12.81,748
97,97.0,97.0,2024-04-08,11.314,11.314,11.314,11.314,0
98,98.0,98.0,2024-04-15,10.465,10.372,10.465,10.372,108
99,99.0,99.0,2024-04-16,10.106,10.026,10.106,10.026,20890
100,100.0,100.0,2024-04-17,9.35,9.35,9.35,9.35,1940
