,date,open,close,high,low,volumme
0,2019-11-15,4.5558,4.5513,4.5558,4.5513,14000
1,2019-11-18,4.5507,4.5238,4.5507,4.5238,16025
2,2019-11-19,4.524,4.5055,4.524,4.5055,0
3,2019-11-20,4.5095,4.5026,4.5095,4.5026,0
4,2019-11-21,4.496,4.496,4.496,4.496,0
5,2019-11-22,4.5205,4.5205,4.5205,4.5205,0
6,2019-11-25,4.5275,4.5443,4.5443,4.5275,0
7,2019-11-26,4.542,4.5501,4.5501,4.542,0
8,2019-11-27,4.552,4.5527,4.5527,4.552,0
9,2019-11-28,4.5525,4.553,4.553,4.5525,0
10,2019-11-29,4.552,4.548,4.552,4.548,0
11,2019-12-02,4.5465,4.5096,4.5465,4.5096,0
12,2019-12-03,4.5095,4.4985,4.5095,4.4985,0
13,2019-12-04,4.5055,4.5141,4.5141,4.5039,14000
14,2019-12-05,4.518,4.513,4.5224,4.513,2000
15,2019-12-06,4.513,4.5475,4.5475,4.513,0
16,2019-12-09,4.54,4.54,4.54,4.54,0
17,2019-12-10,4.542,4.532,4.542,4.532,0
18,2019-12-11,4.5421,4.5383,4.5421,4.5383,0
19,2019-12-12,4.5265,4.5425,4.5425,4.5265,14000
20,2019-12-13,4.529,4.5465,4.5465,4.529,0
21,2019-12-16,4.55,4.55,4.55,4.55,0
22,2019-12-17,4.55,4.5505,4.5505,4.55,0
23,2019-12-18,4.5627,4.5753,4.5753,4.5627,0
24,2019-12-19,4.5765,4.5767,4.5767,4.5765,0
25,2019-12-20,4.58,4.5995,4.5995,4.58,50
26,2019-12-23,4.5925,4.5885,4.5925,4.5885,0
27,2019-12-24,4.595,4.595,4.595,4.595,0
28,2019-12-27,4.5653,4.5653,4.5653,4.5653,0
29,2019-12-30,4.553,4.5387,4.553,4.5387,0
30,2019-12-31,4.5434,4.532,4.5434,4.532,0
31,2020-01-02,4.54,4.5625,4.5625,4.54,0
32,2020-01-03,4.577,4.5678,4.577,4.5678,0
33,2020-01-06,4.5725,4.5636,4.5725,4.5613,14000
34,2020-01-07,4.572,4.5845,4.5845,4.572,0
35,2020-01-08,4.5778,4.5906,4.5906,4.5778,0
36,2020-01-09,4.5986,4.6037,4.6037,4.5945,14000
37,2020-01-10,4.6065,4.6033,4.6065,4.6033,0
38,2020-01-13,4.6021,4.5972,4.6021,4.5972,0
39,2020-01-14,4.5945,4.6021,4.6021,4.5945,0
40,2020-01-15,4.6025,4.5897,4.6025,4.5897,0
41,2020-01-16,4.5958,4.5964,4.5964,4.5958,0
42,2020-01-17,4.5989,4.6166,4.6166,4.5989,0
43,2020-01-20,4.6119,4.6186,4.6186,4.6119,0
44,2020-01-21,4.6121,4.6104,4.6255,4.6104,76000
45,2020-01-22,4.614,4.6104,4.614,4.6104,0
46,2020-01-23,4.6133,4.6187,4.6187,4.6133,0
47,2020-01-24,4.6145,4.6213,4.6244,4.6145,28000
48,2020-01-27,4.6103,4.577,4.6103,4.577,16000
49,2020-01-28,4.5946,4.6159,4.6159,4.5946,44000
50,2020-01-29,4.6195,4.6285,4.6351,4.6195,16000
51,2020-01-30,4.6053,4.5997,4.6053,4.5997,0
52,2020-01-31,4.6092,4.5804,4.6092,4.5804,14000
53,2020-02-03,4.5873,4.5963,4.6048,4.5873,14000
54,2020-02-04,4.6009,4.6206,4.6206,4.6009,0
55,2020-02-05,4.6167,4.6442,4.6442,4.6167,0
56,2020-02-06,4.6517,4.6586,4.6586,4.6517,0
57,2020-02-07,4.673,4.673,4.673,4.673,0
58,2020-02-10,4.677,4.6897,4.6897,4.677,0
59,2020-02-11,4.6967,4.7005,4.7005,4.6967,0
60,2020-02-12,4.7078,4.7251,4.7251,4.7078,0
61,2020-02-13,4.7257,4.7437,4.7437,4.7257,15000
62,2020-02-14,4.7533,4.7536,4.7536,4.7533,0
63,2020-02-17,4.7541,4.7552,4.7552,4.7541,0
64,2020-02-18,4.7487,4.7513,4.7539,4.7487,14000
65,2020-02-19,4.7652,4.7679,4.7679,4.7652,0
66,2020-02-20,4.7683,4.7632,4.7683,4.7632,0
67,2020-02-21,4.7712,4.7411,4.7712,4.7411,0
68,2020-02-24,4.7493,4.6931,4.7493,4.6931,785
69,2020-02-25,4.7136,4.6839,4.7152,4.6839,14000
70,2020-02-26,4.6676,4.6703,4.6703,4.6676,0
71,2020-02-27,4.6406,4.5828,4.6406,4.5828,0
72,2020-02-28,4.5398,4.538,4.5398,4.538,6160
73,2020-03-02,4.5146,4.5206,4.5206,4.5146,14000
74,2020-03-03,4.5374,4.571,4.571,4.5374,14000
75,2020-03-04,4.5428,4.5836,4.5836,4.5428,0
76,2020-03-05,4.5774,4.5227,4.5774,4.5227,0
77,2020-03-06,4.3608,4.3744,4.3744,4.3608,50000
78,2020-03-11,4.2045,4.2045,4.2045,4.2045,0
79,2020-03-13,4.1977,4.1977,4.1977,4.1977,0
80,2020-03-18,3.9818,3.9818,3.9818,3.9818,0
81,2020-03-19,3.9082,3.9082,3.9082,3.9082,0
82,2020-03-23,3.7757,3.7757,3.7757,3.7757,0
83,2020-03-24,3.918,3.918,3.918,3.918,0
84,2020-03-26,3.9166,4.0092,4.0092,3.9166,14050
85,2020-03-27,4.0344,4.0743,4.0743,4.0344,0
86,2020-03-31,4.1108,4.1108,4.1108,4.1108,0
87,2020-04-01,4.0121,4.0121,4.0121,4.0121,0
88,2020-04-02,4.0496,4.0684,4.0684,4.0496,0
89,2020-04-03,4.0703,4.0703,4.0703,4.0703,0
90,2020-04-06,4.0938,4.0903,4.0938,4.0903,0
91,2020-04-07,4.1139,4.1139,4.1139,4.1139,0
92,2020-04-08,4.1083,4.1433,4.1433,4.1083,0
93,2020-04-09,4.2175,4.4329,4.4329,4.2175,31540
94,2020-04-15,4.3545,4.3545,4.3545,4.3545,0
95,2020-04-16,4.4,4.3881,4.4,4.3881,4545
96,2020-04-17,4.4302,4.411,4.4302,4.411,0
97,2020-04-20,4.3846,4.3846,4.3846,4.3846,0
98,2020-04-21,4.3488,4.2791,4.3488,4.2791,100000
99,2020-04-22,4.2896,4.3201,4.3201,4.2896,0
100,2020-04-23,4.3397,4.3397,4.3397,4.3397,0
101,2020-04-24,4.3394,4.3024,4.3394,4.3024,0
102,2020-04-27,4.3055,4.3176,4.3176,4.3055,0
103,2020-04-28,4.3038,4.3038,4.3038,4.3038,0
104,2020-04-29,4.3337,4.3326,4.3357,4.3326,28000
105,2020-04-30,4.315,4.315,4.315,4.315,0
106,2020-05-04,4.2751,4.2751,4.2751,4.2751,0
107,2020-05-05,4.3398,4.336,4.3398,4.336,2700
108,2020-05-06,4.352,4.352,4.352,4.352,0
109,2020-05-07,4.3571,4.3838,4.3838,4.3571,0
110,2020-05-08,4.3609,4.3609,4.3609,4.3609,0
111,2020-05-11,4.3677,4.3677,4.3677,4.3677,0
112,2020-05-12,4.3666,4.3666,4.3666,4.3666,0
113,2020-05-15,4.3284,4.3238,4.3528,4.3238,2110
114,2020-05-18,4.3497,4.3741,4.3741,4.3497,14000
115,2020-05-19,4.3504,4.3504,4.3504,4.3504,0
116,2020-05-20,4.3577,4.3577,4.3577,4.3577,0
117,2020-05-21,4.3635,4.3794,4.3999,4.3635,15000
118,2020-05-22,4.3799,4.3799,4.3799,4.3799,0
119,2020-05-25,4.4378,4.4378,4.4378,4.4378,0
120,2020-05-26,4.4229,4.4229,4.4229,4.4229,0
121,2020-05-27,4.4187,4.4187,4.4187,4.4187,0
122,2020-05-28,4.4258,4.4169,4.4258,4.4169,0
123,2020-05-29,4.3745,4.3745,4.3745,4.3745,0
124,2020-06-01,4.392,4.3995,4.3995,4.392,0
125,2020-06-02,4.4315,4.4258,4.4315,4.4258,0
126,2020-06-03,4.4208,4.4681,4.4681,4.4208,138819
127,2020-06-04,4.4668,4.4094,4.4668,4.4094,0
128,2020-06-05,4.4043,4.488,4.488,4.4043,0
129,2020-06-08,4.4809,4.4719,4.4809,4.4719,0
