,date,open,close,high,low,volumme
0,2021-07-30,4.9915,5.011,5.011,4.9915,0
1,2021-08-02,5.049,5.045,5.049,5.037,11970
2,2021-08-03,5.049,5.051,5.051,5.049,0
3,2021-08-04,5.082,5.095,5.095,5.082,3970
4,2021-08-05,5.105,5.118,5.118,5.105,7860
5,2021-08-06,5.127,5.116,5.127,5.116,0
6,2021-08-09,5.161,5.143,5.161,5.137,60917
7,2021-08-10,5.159,5.16,5.16,5.159,0
8,2021-08-11,5.172,5.182,5.182,5.172,0
9,2021-08-12,5.198,5.198,5.198,5.198,0
10,2021-08-13,5.199,5.209,5.209,5.199,0
11,2021-08-16,5.182,5.183,5.183,5.182,0
12,2021-08-17,5.161,5.186,5.186,5.161,0
13,2021-08-18,5.192,5.201,5.201,5.192,0
14,2021-08-19,5.133,5.138,5.138,5.133,0
15,2021-08-20,5.146,5.16,5.16,5.146,0
16,2021-08-23,5.193,5.189,5.193,5.189,0
17,2021-08-24,5.204,5.182,5.204,5.182,0
18,2021-08-25,5.189,5.176,5.189,5.176,0
19,2021-08-26,5.147,5.158,5.158,5.147,0
20,2021-08-27,5.148,5.18,5.18,5.148,0
21,2021-08-30,5.178,5.181,5.181,5.178,0
22,2021-08-31,5.188,5.165,5.188,5.165,0
23,2021-09-01,5.196,5.193,5.196,5.193,0
24,2021-09-02,5.199,5.207,5.207,5.199,0
25,2021-09-03,5.203,5.176,5.203,5.176,0
26,2021-09-06,5.193,5.207,5.207,5.193,0
27,2021-09-07,5.204,5.185,5.204,5.185,0
28,2021-09-08,5.14,5.123,5.14,5.123,0
29,2021-09-09,5.093,5.127,5.127,5.093,0
30,2021-09-10,5.139,5.109,5.139,5.109,0
31,2021-09-13,5.133,5.121,5.137,5.121,2318
32,2021-09-14,5.119,5.129,5.129,5.119,0
33,2021-09-15,5.129,5.078,5.129,5.078,0
34,2021-09-16,5.102,5.11,5.11,5.102,0
35,2021-09-17,5.147,5.07,5.147,5.07,0
36,2021-09-21,5.013,5.036,5.036,5.013,0
37,2021-09-22,5.07,5.077,5.077,5.07,0
38,2021-09-23,5.112,5.12,5.12,5.112,0
39,2021-09-24,5.103,5.063,5.103,5.063,0
40,2021-09-27,5.108,5.045,5.108,5.045,0
41,2021-09-28,5.029,4.93,5.029,4.93,7960
42,2021-09-29,4.961,4.963,4.963,4.961,0
43,2021-09-30,5.011,4.9495,5.011,4.9495,0
44,2021-10-01,4.883,4.943,4.943,4.883,0
45,2021-10-04,4.923,4.911,4.923,4.911,0
46,2021-10-05,4.928,4.963,4.963,4.928,0
47,2021-10-06,4.9215,4.9165,4.9215,4.9165,0
48,2021-10-07,4.9815,4.993,4.993,4.9815,0
49,2021-10-08,4.995,4.9645,4.995,4.9645,0
50,2021-10-11,4.963,4.9645,4.9645,4.963,0
51,2021-10-12,4.9175,4.9685,4.9685,4.9175,0
52,2021-10-13,4.9535,5.014,5.014,4.9535,0
53,2021-10-14,5.051,5.066,5.066,5.051,0
54,2021-10-15,5.089,5.104,5.104,5.089,0
55,2021-10-18,5.088,5.079,5.088,5.079,0
56,2021-10-19,5.103,5.105,5.105,5.098,9900
57,2021-10-20,5.105,5.123,5.123,5.105,0
58,2021-10-21,5.105,5.119,5.119,5.105,0
59,2021-10-22,5.141,5.154,5.154,5.141,0
60,2021-10-25,5.162,5.147,5.162,5.147,0
61,2021-10-26,5.172,5.192,5.192,5.172,0
62,2021-10-27,5.207,5.185,5.207,5.185,0
63,2021-10-28,5.188,5.211,5.211,5.188,0
64,2021-10-29,5.19,5.219,5.219,5.19,0
65,2021-11-01,5.237,5.253,5.253,5.237,0
66,2021-11-02,5.246,5.267,5.267,5.246,0
67,2021-11-03,5.269,5.285,5.285,5.269,0
68,2021-11-04,5.326,5.306,5.326,5.306,0
69,2021-11-05,5.312,5.298,5.312,5.298,0
70,2021-11-08,5.306,5.304,5.306,5.304,0
71,2021-11-09,5.293,5.297,5.297,5.293,0
72,2021-11-10,5.296,5.3,5.3,5.296,0
73,2021-11-11,5.303,5.324,5.324,5.303,0
74,2021-11-12,5.325,5.326,5.326,5.325,0
75,2021-11-15,5.329,5.339,5.339,5.329,0
76,2021-11-16,5.362,5.348,5.362,5.348,0
77,2021-11-17,5.351,5.357,5.357,5.351,0
78,2021-11-18,5.36,5.34,5.36,5.34,0
79,2021-11-19,5.344,5.34,5.344,5.34,0
80,2021-11-22,5.349,5.316,5.349,5.316,0
81,2021-11-23,5.272,5.239,5.272,5.239,0
82,2021-11-24,5.268,5.252,5.268,5.252,0
83,2021-11-25,5.273,5.28,5.28,5.273,0
84,2021-11-26,5.139,5.096,5.139,5.096,3840
85,2021-11-29,5.153,5.134,5.153,5.134,0
86,2021-11-30,5.093,5.094,5.094,5.093,0
87,2021-12-01,5.146,5.182,5.182,5.146,0
88,2021-12-02,5.132,5.104,5.132,5.104,0
89,2021-12-03,5.15,5.08,5.15,5.08,0
90,2021-12-06,5.129,5.143,5.143,5.129,0
91,2021-12-07,5.205,5.268,5.268,5.205,0
92,2021-12-08,5.276,5.231,5.276,5.231,0
93,2021-12-09,5.253,5.226,5.253,5.226,0
94,2021-12-10,5.198,5.203,5.203,5.198,0
95,2021-12-13,5.209,5.184,5.209,5.184,3000
96,2021-12-14,5.22,5.13,5.22,5.13,0
97,2021-12-15,5.156,5.156,5.156,5.156,0
98,2021-12-16,5.239,5.215,5.239,5.215,0
99,2021-12-17,5.203,5.187,5.203,5.187,7660
100,2021-12-20,5.078,5.117,5.117,5.078,0
101,2021-12-21,5.177,5.197,5.197,5.177,0
102,2021-12-22,5.208,5.239,5.239,5.208,0
103,2021-12-23,5.25,5.288,5.288,5.25,0
104,2021-12-24,5.279,5.285,5.285,5.279,0
105,2021-12-27,5.268,5.321,5.321,5.268,0
106,2021-12-28,5.334,5.358,5.358,5.334,0
107,2021-12-29,5.349,5.342,5.349,5.342,0
108,2021-12-30,5.356,5.354,5.356,5.354,0
109,2021-12-31,5.336,5.332,5.336,5.332,0
110,2022-01-03,5.374,5.368,5.378,5.368,3799
111,2022-01-04,5.394,5.386,5.394,5.386,0
112,2022-01-05,5.392,5.376,5.392,5.376,350
113,2022-01-06,5.304,5.284,5.304,5.284,3000
114,2022-01-07,5.284,5.265,5.284,5.265,0
115,2022-01-10,5.285,5.174,5.285,5.174,3715
116,2022-01-11,5.239,5.219,5.239,5.219,0
117,2022-01-12,5.246,5.243,5.246,5.243,0
118,2022-01-13,5.234,5.233,5.234,5.233,0
119,2022-01-14,5.19,5.168,5.19,5.168,0
120,2022-01-17,5.191,5.208,5.213,5.191,3900
121,2022-01-18,5.178,5.143,5.178,5.143,0
122,2022-01-19,5.113,5.154,5.154,5.113,0
123,2022-01-20,5.162,5.195,5.195,5.162,0
124,2022-01-21,5.121,5.092,5.121,5.092,0
125,2022-01-24,5.067,4.9005,5.067,4.9005,3950
126,2022-01-25,4.956,4.9375,4.956,4.9375,0
127,2022-01-26,4.985,5.015,5.015,4.985,0
128,2022-01-27,4.945,5.045,5.045,4.945,0
129,2022-01-28,5.031,4.994,5.031,4.994,0
130,2022-01-31,5.044,5.046,5.059,5.044,4000
131,2022-02-01,5.094,5.089,5.094,5.089,0
132,2022-02-02,5.115,5.12,5.12,5.115,0
133,2022-02-03,5.097,5.005,5.097,5.005,3910
134,2022-02-04,5.029,4.934,5.029,4.934,0
135,2022-02-07,4.974,4.963,4.974,4.963,0
136,2022-02-08,4.976,4.9565,4.976,4.9565,0
137,2022-02-09,5.007,5.039,5.039,5.007,0
138,2022-02-10,5.064,5.013,5.064,5.013,0
139,2022-02-11,4.9835,4.973,4.9835,4.973,0
140,2022-02-14,4.8815,4.8885,4.8885,4.8815,0
141,2022-02-15,4.904,4.9765,4.9765,4.904,27
142,2022-02-16,4.976,4.974,4.976,4.974,0
143,2022-02-17,4.99,4.9825,4.99,4.9825,1000
144,2022-02-18,4.96,4.905,4.96,4.905,0
145,2022-02-21,4.9345,4.8355,4.9345,4.8355,0
146,2022-02-22,4.7535,4.8475,4.8475,4.7535,0
147,2022-02-23,4.866,4.841,4.866,4.841,0
148,2022-02-24,4.67,4.722,4.722,4.67,0
149,2022-02-25,4.7845,4.885,4.885,4.7845,22547
150,2022-02-28,4.8325,4.903,4.903,4.8325,0
151,2022-03-01,4.9245,4.8085,4.9245,4.8085,0
152,2022-03-02,4.799,4.8345,4.8345,4.799,0
153,2022-03-03,4.853,4.7475,4.853,4.7475,0
154,2022-03-04,4.7195,4.6005,4.7195,4.6005,0
155,2022-03-07,4.5055,4.558,4.558,4.5055,0
156,2022-03-08,4.553,4.5375,4.553,4.5375,0
157,2022-03-09,4.649,4.7575,4.7575,4.649,0
158,2022-03-10,4.7475,4.672,4.7475,4.672,0
159,2022-03-11,4.6985,4.725,4.725,4.6985,0
160,2022-03-14,4.752,4.78,4.8,4.752,19364
161,2022-03-15,4.7205,4.769,4.769,4.7205,0
162,2022-03-16,4.8605,4.9035,4.9035,4.8605,2572
163,2022-03-17,4.9365,4.929,4.9365,4.929,0
164,2022-03-18,4.936,4.974,4.974,4.936,0
165,2022-03-21,4.971,4.9655,4.971,4.9655,0
166,2022-03-22,4.9745,5.007,5.007,4.9745,0
167,2022-03-23,5.009,4.945,5.009,4.945,0
168,2022-03-24,4.961,4.9345,4.961,4.9345,2030
169,2022-03-25,4.946,4.9355,4.946,4.9355,0
170,2022-03-28,4.9635,4.9445,4.9635,4.9445,0
171,2022-03-29,4.9975,5.033,5.033,4.9975,0
172,2022-03-30,4.997,5.011,5.011,4.997,0
173,2022-03-31,5.024,4.98,5.024,4.98,0
174,2022-04-01,5.002,5.003,5.003,5.002,0
175,2022-04-04,5.034,5.036,5.036,5.034,0
176,2022-04-05,5.058,5.069,5.069,5.058,0
177,2022-04-06,5.06,4.9915,5.06,4.9915,20
178,2022-04-07,5.009,4.9885,5.009,4.9885,0
179,2022-04-08,5.051,5.055,5.055,5.051,0
180,2022-04-11,5.043,5.018,5.043,5.018,0
181,2022-04-12,4.9585,4.991,4.991,4.9585,0
182,2022-04-13,4.977,4.9775,4.9775,4.977,0
183,2022-04-14,4.989,5.016,5.016,4.989,0
184,2022-04-19,4.984,4.97,4.984,4.97,0
185,2022-04-20,4.9605,5.024,5.024,4.9605,0
186,2022-04-21,5.023,5.03,5.03,5.023,0
187,2022-04-22,4.9835,4.938,4.9835,4.938,0
188,2022-04-25,4.849,4.871,4.871,4.849,0
189,2022-04-26,4.906,4.8245,4.906,4.8245,0
190,2022-04-27,4.8265,4.863,4.863,4.8265,0
191,2022-04-28,4.909,4.8945,4.909,4.8945,0
192,2022-04-29,4.927,4.921,4.927,4.921,0
193,2022-05-02,4.869,4.827,4.869,4.827,0
194,2022-05-03,4.86,4.8655,4.8655,4.86,0
195,2022-05-04,4.859,4.804,4.859,4.804,0
196,2022-05-05,4.894,4.7635,4.894,4.7635,0
197,2022-05-06,4.736,4.657,4.736,4.657,0
198,2022-05-09,4.638,4.518,4.638,4.518,0
199,2022-05-10,4.5555,4.5575,4.5575,4.5555,0
200,2022-05-11,4.5795,4.6215,4.6215,4.5795,0
201,2022-05-12,4.527,4.527,4.527,4.527,0
202,2022-05-13,4.6235,4.6235,4.6235,4.6235,0
203,2022-05-16,4.6015,4.62,4.62,4.6015,0
204,2022-05-17,4.6665,4.6815,4.6815,4.6665,0
205,2022-05-18,4.6935,4.6235,4.6935,4.6235,32101
206,2022-05-19,4.586,4.5685,4.586,4.5685,0
207,2022-05-20,4.5955,4.6,4.6,4.5955,0
208,2022-05-23,4.6585,4.662,4.662,4.6585,0
209,2022-05-24,4.6165,4.622,4.622,4.6165,0
210,2022-05-25,4.655,4.641,4.655,4.641,0
211,2022-05-26,4.655,4.6905,4.6905,4.655,1
212,2022-05-27,4.707,4.75,4.75,4.707,0
213,2022-05-30,4.782,4.7775,4.782,4.7775,0
214,2022-05-31,4.7585,4.729,4.7585,4.729,960
215,2022-06-01,4.749,4.677,4.749,4.677,0
216,2022-06-02,4.697,4.718,4.718,4.697,0
217,2022-06-03,4.745,4.7025,4.745,4.7025,0
218,2022-06-06,4.737,4.7495,4.7495,4.737,0
219,2022-06-07,4.7175,4.7175,4.7175,4.7175,0
220,2022-06-08,4.727,4.6845,4.727,4.6845,0
221,2022-06-09,4.6525,4.6275,4.6525,4.6275,0
222,2022-06-10,4.5985,4.512,4.5985,4.512,0
223,2022-06-13,4.4655,4.4055,4.4655,4.4055,0
224,2022-06-14,4.4445,4.34,4.4445,4.34,0
225,2022-06-15,4.3825,4.4085,4.4085,4.3825,0
226,2022-06-16,4.398,4.3065,4.398,4.3065,0
227,2022-06-17,4.32,4.3235,4.3235,4.32,0
228,2022-06-20,4.332,4.3535,4.3535,4.332,0
229,2022-06-21,4.37,4.361,4.37,4.361,0
230,2022-06-22,4.305,4.3395,4.3395,4.305,0
231,2022-06-23,4.3165,4.3165,4.3165,4.3165,0
232,2022-06-24,4.3405,4.454,4.454,4.3405,0
233,2022-06-27,4.476,4.4605,4.476,4.4605,0
234,2022-06-28,4.491,4.467,4.491,4.467,0
235,2022-06-29,4.44,4.444,4.444,4.44,0
236,2022-06-30,4.385,4.384,4.385,4.384,0
237,2022-07-01,4.3455,4.3975,4.3975,4.3455,0
238,2022-07-04,4.4305,4.41,4.4305,4.41,0
239,2022-07-05,4.4395,4.3545,4.4395,4.3545,0
240,2022-07-06,4.417,4.444,4.4465,4.417,500
241,2022-07-07,4.483,4.5125,4.5125,4.483,0
242,2022-07-08,4.5135,4.53,4.53,4.5135,0
243,2022-07-11,4.486,4.5215,4.5215,4.486,0
244,2022-07-12,4.5025,4.54,4.54,4.5025,0
245,2022-07-13,4.5335,4.5015,4.5335,4.5015,0
246,2022-07-14,4.4955,4.44,4.4955,4.44,0
247,2022-07-15,4.4585,4.5245,4.5245,4.4585,0
248,2022-07-18,4.5395,4.5535,4.5535,4.5395,0
249,2022-07-19,4.5345,4.6105,4.6105,4.5345,0
250,2022-07-20,4.6225,4.6045,4.6225,4.6045,0
251,2022-07-21,4.596,4.638,4.638,4.596,0
252,2022-07-22,4.6325,4.6585,4.663,4.6325,12960
253,2022-07-25,4.6445,4.663,4.663,4.6445,0
254,2022-07-26,4.6615,4.657,4.6615,4.657,0
255,2022-07-27,4.6775,4.675,4.6775,4.675,0
256,2022-07-28,4.7045,4.735,4.735,4.7045,0
257,2022-07-29,4.765,4.796,4.796,4.765,0
258,2022-08-01,4.7945,4.789,4.7945,4.789,0
259,2022-08-02,4.766,4.771,4.771,4.766,0
260,2022-08-03,4.759,4.788,4.788,4.759,0
261,2022-08-04,4.7945,4.803,4.803,4.7945,0
262,2022-08-05,4.811,4.758,4.811,4.758,0
263,2022-08-08,4.801,4.7955,4.801,4.7955,0
264,2022-08-09,4.793,4.7515,4.793,4.7515,0
265,2022-08-10,4.7435,4.8165,4.8165,4.7435,0
266,2022-08-11,4.841,4.814,4.841,4.814,0
267,2022-08-12,4.8125,4.811,4.8125,4.811,0
268,2022-08-15,4.8295,4.8365,4.8365,4.8295,0
269,2022-08-16,4.8605,4.8365,4.8605,4.8365,0
270,2022-08-17,4.8425,4.7815,4.8425,4.7815,0
271,2022-08-18,4.775,4.8045,4.8045,4.775,0
