,date,open,close,high,low,volumme
0,2014-09-22,32.82,32.835,32.98,32.79,126118
1,2014-09-23,32.68,32.33,32.685,32.3,129472
2,2014-09-24,32.355,32.71,32.71,32.19,86713
3,2014-09-25,32.7,32.3,32.855,32.22,167331
4,2014-09-26,32.245,32.47,32.59,32.165,370941
5,2014-09-29,32.485,32.16,32.485,31.97,105191
6,2014-09-30,32.29,32.55,32.65,32.22,232302
7,2014-10-01,32.45,32.25,32.645,32.22,79057
8,2014-10-02,32.125,31.36,32.24,31.36,94751
9,2014-10-03,31.57,31.705,31.815,31.47,299345
10,2014-10-06,31.945,31.695,31.945,31.62,164503
11,2014-10-07,31.455,31.095,31.505,31.085,216346
12,2014-10-08,30.97,30.795,31.105,30.74,188590
13,2014-10-09,31.11,30.685,31.11,30.525,182819
14,2014-10-10,30.46,30.185,30.58,30.15,262387
15,2014-10-13,29.94,30.25,30.43,29.92,133581
16,2014-10-14,30.095,30.29,30.34,29.74,389722
17,2014-10-15,30.24,29.205,30.31,29.155,606837
18,2014-10-16,29.425,29.01,29.54,28.18,3028308
19,2014-10-17,29.13,29.905,29.92,29.0,527174
20,2014-10-20,29.735,29.575,29.82,29.41,319044
21,2014-10-21,29.495,30.22,30.225,29.355,202658
22,2014-10-22,30.29,30.4,30.4,30.105,362325
23,2014-10-23,30.14,30.76,30.785,30.14,134455
24,2014-10-24,30.53,30.645,30.745,30.5,54792
25,2014-10-27,30.945,30.285,30.945,30.13,137628
26,2014-10-28,30.48,30.65,30.705,30.48,41715
27,2014-10-29,30.77,30.51,30.8,30.465,24583
28,2014-10-30,30.7,30.565,30.7,29.915,140363
29,2014-10-31,31.045,31.34,31.4,30.99,229210
30,2014-11-03,31.265,31.04,31.375,31.0,150928
31,2014-11-04,30.98,30.56,31.185,30.5,289667
32,2014-11-05,30.86,31.125,31.15,30.685,133762
33,2014-11-06,30.98,31.245,31.625,30.95,1123285
34,2014-11-07,31.335,30.875,31.335,30.67,497964
35,2014-11-10,30.795,31.17,31.17,30.795,325620
36,2014-11-11,31.255,31.275,31.43,31.17,353486
37,2014-11-12,31.17,30.72,31.2,30.67,163742
38,2014-11-13,30.89,30.8,31.005,30.52,139372
39,2014-11-14,30.91,30.83,30.91,30.6,64406
40,2014-11-17,30.555,31.075,31.15,30.55,72109
41,2014-11-18,31.115,31.445,31.49,31.115,156489
42,2014-11-19,31.44,31.47,31.675,31.37,127230
43,2014-11-20,31.4,31.29,31.4,31.0,286655
44,2014-11-21,31.385,32.2,32.23,31.385,380121
45,2014-11-24,32.235,32.425,32.65,32.235,306206
46,2014-11-25,32.455,32.565,32.765,32.4,135182
47,2014-11-26,32.66,32.54,32.705,32.46,144568
48,2014-11-27,32.585,32.735,32.79,32.505,144408
49,2014-11-28,32.715,32.775,32.775,32.515,104488
50,2014-12-01,32.57,32.605,32.67,32.435,280639
51,2014-12-02,32.685,32.68,32.895,32.575,302560
52,2014-12-03,32.75,32.77,32.85,32.64,249952
53,2014-12-04,32.855,32.19,33.03,32.14,370122
54,2014-12-05,32.54,33.07,33.07,32.535,171567
55,2014-12-08,32.955,32.78,33.0,32.78,82487
56,2014-12-09,32.435,31.925,32.505,31.9,314153
57,2014-12-10,32.135,31.79,32.265,31.715,625620
58,2014-12-11,31.785,31.875,32.055,31.64,462595
59,2014-12-12,31.62,30.955,31.675,30.895,284016
60,2014-12-15,30.915,30.11,31.23,30.08,386745
61,2014-12-16,30.265,30.81,30.81,29.5,1587884
62,2014-12-17,30.39,30.835,30.95,30.355,185474
