,date,open,close,high,low,volumme
0,2021-07-30,5.0,5.011,5.011,4.981,54808
1,2021-08-02,5.051,5.046,5.051,5.038,7980
2,2021-08-03,5.054,5.051,5.054,5.051,0
3,2021-08-04,5.082,5.094,5.094,5.082,0
4,2021-08-05,5.105,5.119,5.119,5.105,7860
5,2021-08-06,5.127,5.115,5.127,5.115,7820
6,2021-08-09,5.161,5.144,5.161,5.144,32331
7,2021-08-10,5.159,5.16,5.16,5.159,0
8,2021-08-11,5.172,5.182,5.192,5.172,31000
9,2021-08-12,5.181,5.199,5.199,5.181,0
10,2021-08-13,5.199,5.209,5.209,5.199,0
11,2021-08-16,5.182,5.18,5.182,5.18,0
12,2021-08-17,5.161,5.184,5.184,5.161,0
13,2021-08-18,5.191,5.2,5.2,5.191,0
14,2021-08-19,5.134,5.138,5.138,5.134,0
15,2021-08-20,5.142,5.16,5.16,5.142,0
16,2021-08-23,5.189,5.187,5.189,5.187,0
17,2021-08-24,5.204,5.18,5.204,5.18,0
18,2021-08-25,5.189,5.174,5.189,5.174,0
19,2021-08-26,5.146,5.157,5.157,5.146,0
20,2021-08-27,5.148,5.177,5.177,5.148,0
21,2021-08-30,5.182,5.178,5.189,5.178,1300
22,2021-08-31,5.188,5.164,5.204,5.164,226
23,2021-09-01,5.196,5.195,5.196,5.195,0
24,2021-09-02,5.205,5.208,5.208,5.205,829
25,2021-09-03,5.203,5.18,5.203,5.18,0
26,2021-09-06,5.192,5.208,5.213,5.192,476
27,2021-09-07,5.204,5.186,5.204,5.186,0
28,2021-09-08,5.14,5.125,5.14,5.125,0
29,2021-09-09,5.099,5.129,5.133,5.099,1947
30,2021-09-10,5.138,5.112,5.138,5.112,0
31,2021-09-13,5.133,5.124,5.133,5.124,0
32,2021-09-14,5.119,5.132,5.132,5.119,0
33,2021-09-15,5.129,5.081,5.129,5.081,0
34,2021-09-16,5.102,5.113,5.113,5.102,0
35,2021-09-17,5.146,5.073,5.146,5.073,15
36,2021-09-21,5.013,5.045,5.045,5.013,0
37,2021-09-22,5.074,5.088,5.088,5.074,0
38,2021-09-23,5.123,5.129,5.129,5.123,0
39,2021-09-24,5.103,5.073,5.103,5.073,0
40,2021-09-27,5.108,5.056,5.108,5.056,0
41,2021-09-28,5.037,4.939,5.037,4.939,10
42,2021-09-29,4.9735,4.9725,4.9735,4.9725,0
43,2021-09-30,5.01,4.9595,5.01,4.9595,0
44,2021-10-01,4.8905,4.948,4.948,4.8905,0
45,2021-10-04,4.923,4.9165,4.923,4.9165,0
46,2021-10-05,4.928,4.974,4.974,4.928,0
47,2021-10-06,4.921,4.9225,4.9225,4.921,0
48,2021-10-07,4.9815,4.9975,4.9975,4.9815,0
49,2021-10-08,4.995,4.9755,4.995,4.9755,0
50,2021-10-11,4.963,4.9675,4.9675,4.963,0
51,2021-10-12,4.9175,4.974,4.974,4.9175,0
52,2021-10-13,4.9575,5.019,5.019,4.9575,0
53,2021-10-14,5.051,5.073,5.073,5.051,0
54,2021-10-15,5.089,5.11,5.11,5.089,0
55,2021-10-18,5.088,5.084,5.088,5.084,0
56,2021-10-19,5.103,5.111,5.111,5.103,0
57,2021-10-20,5.104,5.128,5.128,5.104,0
58,2021-10-21,5.108,5.126,5.128,5.108,2900
59,2021-10-22,5.141,5.16,5.16,5.141,0
60,2021-10-25,5.162,5.153,5.162,5.153,0
61,2021-10-26,5.172,5.198,5.198,5.172,0
62,2021-10-27,5.214,5.189,5.214,5.189,110
63,2021-10-28,5.188,5.221,5.221,5.188,0
64,2021-10-29,5.19,5.223,5.229,5.19,1510
65,2021-11-01,5.237,5.259,5.259,5.237,15000
66,2021-11-02,5.246,5.274,5.274,5.246,0
67,2021-11-03,5.269,5.29,5.29,5.269,0
68,2021-11-04,5.326,5.311,5.326,5.311,0
69,2021-11-05,5.312,5.304,5.321,5.304,10
70,2021-11-08,5.313,5.31,5.313,5.31,580
71,2021-11-09,5.293,5.301,5.301,5.293,0
72,2021-11-10,5.302,5.307,5.307,5.302,0
73,2021-11-11,5.316,5.332,5.332,5.316,4692
74,2021-11-12,5.34,5.35,5.35,5.34,0
75,2021-11-15,5.347,5.364,5.364,5.347,0
76,2021-11-16,5.379,5.372,5.379,5.37,1440
77,2021-11-17,5.368,5.38,5.38,5.368,0
78,2021-11-18,5.384,5.363,5.384,5.363,0
79,2021-11-19,5.376,5.361,5.376,5.361,0
80,2021-11-22,5.367,5.341,5.367,5.341,0
81,2021-11-23,5.3,5.262,5.3,5.262,0
82,2021-11-24,5.286,5.265,5.286,5.211,485000
83,2021-11-25,5.288,5.296,5.296,5.288,2000
84,2021-11-26,5.156,5.111,5.156,5.111,0
85,2021-11-29,5.17,5.147,5.17,5.147,0
86,2021-11-30,5.11,5.11,5.11,5.11,0
87,2021-12-01,5.163,5.198,5.198,5.163,7820
88,2021-12-02,5.149,5.12,5.149,5.12,0
89,2021-12-03,5.167,5.097,5.167,5.097,0
90,2021-12-06,5.146,5.16,5.16,5.146,0
91,2021-12-07,5.222,5.285,5.285,5.222,0
92,2021-12-08,5.292,5.248,5.292,5.248,0
93,2021-12-09,5.27,5.243,5.27,5.243,0
94,2021-12-10,5.213,5.22,5.22,5.213,0
95,2021-12-13,5.224,5.201,5.224,5.201,0
96,2021-12-14,5.235,5.147,5.235,5.147,0
97,2021-12-15,5.173,5.174,5.174,5.173,0
98,2021-12-16,5.256,5.232,5.256,5.232,0
99,2021-12-17,5.22,5.204,5.22,5.198,4320
100,2021-12-20,5.095,5.133,5.133,5.095,0
101,2021-12-21,5.194,5.214,5.214,5.194,0
102,2021-12-22,5.225,5.257,5.257,5.225,0
103,2021-12-23,5.274,5.306,5.306,5.274,0
104,2021-12-24,5.297,5.303,5.303,5.297,0
105,2021-12-27,5.288,5.339,5.339,5.288,0
106,2021-12-28,5.351,5.375,5.386,5.351,100
107,2021-12-29,5.366,5.359,5.366,5.352,3730
108,2021-12-30,5.373,5.371,5.373,5.371,0
109,2021-12-31,5.353,5.355,5.379,5.353,60
110,2022-01-03,5.391,5.383,5.391,5.383,0
111,2022-01-04,5.412,5.4,5.423,5.4,100
112,2022-01-05,5.41,5.39,5.41,5.39,929
113,2022-01-06,5.317,5.297,5.317,5.297,0
114,2022-01-07,5.298,5.278,5.308,5.278,2266
115,2022-01-10,5.302,5.186,5.302,5.186,3790
116,2022-01-11,5.256,5.239,5.256,5.239,50
117,2022-01-12,5.271,5.255,5.271,5.243,811
118,2022-01-13,5.251,5.247,5.251,5.247,47
119,2022-01-14,5.205,5.182,5.21,5.182,120
120,2022-01-17,5.207,5.221,5.221,5.207,0
121,2022-01-18,5.194,5.155,5.194,5.155,2059
122,2022-01-19,5.129,5.166,5.171,5.129,1900
123,2022-01-20,5.179,5.207,5.207,5.179,1232
124,2022-01-21,5.133,5.106,5.133,5.106,0
125,2022-01-24,5.11,4.914,5.11,4.914,1005
126,2022-01-25,4.968,4.9495,4.968,4.9495,0
127,2022-01-26,4.9915,5.028,5.028,4.9915,0
128,2022-01-27,4.961,5.057,5.057,4.961,0
129,2022-01-28,5.043,5.005,5.043,5.005,0
130,2022-01-31,5.058,5.055,5.062,5.055,2441
131,2022-02-01,5.099,5.103,5.103,5.099,3745
132,2022-02-02,5.12,5.129,5.129,5.12,0
133,2022-02-03,5.142,5.017,5.142,5.017,450
134,2022-02-04,5.043,4.946,5.043,4.946,0
135,2022-02-07,4.9795,4.971,4.9795,4.971,0
136,2022-02-08,4.9815,4.9665,4.9815,4.959,3544
137,2022-02-09,5.013,5.05,5.05,5.013,0
138,2022-02-10,5.071,5.026,5.071,5.026,0
139,2022-02-11,4.9895,4.984,4.9895,4.984,0
140,2022-02-14,4.8945,4.898,4.898,4.8925,406
141,2022-02-15,4.909,4.987,4.987,4.909,0
142,2022-02-16,4.9885,4.9855,4.9885,4.9855,0
143,2022-02-17,4.9955,4.9955,4.9955,4.9955,0
144,2022-02-18,4.965,4.9175,4.965,4.9175,2816
145,2022-02-21,4.942,4.847,4.942,4.847,100
