,date,open,close,high,low,volumme
0,2014-09-22,87.05,86.86,87.3,86.74,8864
1,2014-09-23,86.72,86.31,86.9,85.98,8271
2,2014-09-24,87.64,88.17,88.17,87.0,1386
3,2014-09-25,87.69,86.87,87.69,86.87,351
4,2014-09-26,87.06,87.38,87.41,86.51,5574
5,2014-09-29,86.3,85.32,86.57,85.25,1412
6,2014-09-30,85.3,85.61,85.96,85.0,2552
7,2014-10-01,85.56,85.01,85.73,84.8,2121
8,2014-10-02,83.99,82.76,84.03,82.76,55226
9,2014-10-03,85.59,86.03,86.27,85.59,1345
10,2014-10-06,87.45,87.31,87.7,87.06,1384
11,2014-10-07,86.79,86.29,87.15,86.29,1967
12,2014-10-08,86.49,85.77,86.79,85.77,10103
13,2014-10-09,86.14,86.15,86.35,85.9,5142
14,2014-10-10,85.58,84.55,85.58,84.5,1320
15,2014-10-13,85.12,85.63,85.83,85.12,9272
16,2014-10-14,85.09,85.26,85.26,84.55,3890
17,2014-10-15,85.78,83.02,85.78,83.02,386
18,2014-10-16,83.62,83.65,83.65,82.27,496
19,2014-10-17,83.78,85.39,85.39,83.78,7244
20,2014-10-20,85.07,84.68,85.07,84.42,3423
21,2014-10-21,83.77,85.81,85.87,83.77,4641
22,2014-10-22,85.78,86.09,86.28,85.78,636
23,2014-10-23,85.93,86.55,86.68,85.93,8969
24,2014-10-24,85.93,86.54,86.6,85.93,2113
25,2014-10-27,85.44,84.83,85.44,84.83,4068
26,2014-10-28,86.65,87.15,87.15,86.65,405
27,2014-10-29,88.14,88.16,88.3,88.05,5678
28,2014-10-30,88.74,88.49,88.86,87.89,19478
29,2014-10-31,89.6,90.01,90.67,89.6,5193
30,2014-11-03,89.99,89.08,89.99,89.08,1470
31,2014-11-04,89.87,89.26,90.12,89.26,21546
32,2014-11-05,89.23,89.71,89.75,89.15,60712
33,2014-11-06,89.1,89.86,90.09,89.1,2335
34,2014-11-07,89.6,89.62,89.62,89.4,393
35,2014-11-10,89.47,89.99,90.0,89.47,6771
36,2014-11-11,89.95,89.76,90.18,89.76,7039
37,2014-11-12,89.99,89.92,90.4,89.88,21777
38,2014-11-13,90.27,90.16,90.68,90.16,4047
39,2014-11-14,90.48,91.26,91.96,90.43,3307
40,2014-11-17,88.78,89.34,89.49,88.78,2933
41,2014-11-18,87.61,87.57,88.0,87.48,16004
42,2014-11-19,87.17,87.14,87.26,86.75,4444
43,2014-11-20,87.09,87.09,87.09,86.63,645
44,2014-11-21,87.46,91.23,91.25,87.46,1808
45,2014-11-24,91.61,91.11,91.96,91.11,9072
46,2014-11-25,91.32,90.36,91.62,90.36,7461
47,2014-11-26,92.14,92.64,92.8,92.14,12090
48,2014-11-27,91.46,92.18,92.29,91.46,3295
49,2014-11-28,92.26,92.31,92.65,91.62,13651
50,2014-12-01,90.02,89.29,90.02,89.21,15548
51,2014-12-02,91.39,92.37,92.44,91.38,15482
52,2014-12-03,91.05,92.32,92.39,91.05,1233
53,2014-12-04,94.29,93.73,95.55,93.58,4514
54,2014-12-05,94.76,95.87,95.87,94.76,24139
55,2014-12-08,96.85,96.09,97.13,96.09,4390
56,2014-12-09,92.59,91.29,92.97,91.11,5691
57,2014-12-10,92.57,91.4,92.85,91.19,7046
58,2014-12-11,90.95,91.72,91.75,90.66,211
59,2014-12-12,90.56,89.5,91.02,89.5,2805
60,2014-12-15,90.18,88.89,90.64,88.89,8526
61,2014-12-16,89.48,90.22,90.22,87.17,20564
62,2014-12-17,89.82,91.28,91.28,89.69,16223
63,2014-12-18,92.0,92.89,93.47,91.77,6689
64,2014-12-19,93.29,93.85,93.96,93.2,47502
65,2014-12-22,95.4,95.83,95.97,95.4,46795
66,2014-12-23,95.5,95.63,95.71,95.09,1646
67,2014-12-24,94.8,94.47,94.8,94.41,37912
68,2014-12-29,96.95,97.99,98.14,96.95,13979
69,2014-12-30,96.65,96.68,96.84,96.36,5552
70,2014-12-31,98.23,98.32,98.62,98.08,4326
71,2015-01-02,99.9,99.18,100.22,99.11,14921
72,2015-01-05,100.27,99.64,101.2,99.64,3545
73,2015-01-06,99.61,98.66,99.95,98.64,8208
74,2015-01-07,100.27,101.35,101.98,100.27,18522
75,2015-01-08,102.04,102.97,103.27,102.0,2953
76,2015-01-09,103.0,102.22,103.45,102.0,8299
77,2015-01-12,102.03,101.87,102.88,101.25,16704
78,2015-01-13,102.68,103.75,104.03,102.68,9070
79,2015-01-14,102.75,102.03,103.49,101.67,6029
80,2015-01-15,104.31,105.21,108.0,104.0,8256
81,2015-01-16,104.5,104.33,104.6,102.8,5702
82,2015-01-19,102.22,101.08,102.22,100.62,14824
83,2015-01-20,102.99,103.15,103.3,102.49,15032
84,2015-01-21,105.41,106.01,106.01,104.44,2275
85,2015-01-22,105.82,108.42,108.64,105.63,24253
86,2015-01-23,109.86,111.23,111.95,109.86,18879
87,2015-01-26,111.0,110.8,111.17,110.48,11196
88,2015-01-27,108.96,107.64,108.96,107.27,3307
89,2015-01-28,108.14,107.02,108.14,106.49,3982
90,2015-01-29,106.26,106.33,107.35,105.71,8409
91,2015-01-30,106.15,105.42,106.15,105.35,9054
92,2015-02-02,104.83,105.94,105.94,104.83,19325
93,2015-02-03,106.52,106.37,107.01,105.82,5338
94,2015-02-04,106.1,109.63,109.97,105.68,5615
95,2015-02-05,107.56,107.54,107.62,106.76,13158
96,2015-02-06,105.95,106.66,106.84,105.25,1506
97,2015-02-09,106.34,106.13,106.34,105.78,1191
98,2015-02-10,106.8,106.57,106.91,106.27,1351
99,2015-02-11,106.19,106.14,106.19,105.87,6254
100,2015-02-12,107.11,106.81,107.42,106.81,12934
101,2015-02-13,107.3,107.88,108.0,107.3,12546
102,2015-02-16,107.76,107.65,107.76,107.41,11414
103,2015-02-17,108.23,108.12,108.46,107.81,7397
104,2015-02-18,108.35,108.5,108.57,108.18,10623
105,2015-02-19,108.02,108.54,108.57,107.73,1331
106,2015-02-20,108.64,108.72,109.09,108.42,20948
107,2015-02-23,108.97,108.62,109.39,108.49,7502
108,2015-02-24,109.22,110.13,110.17,108.96,6491
109,2015-02-25,109.0,109.15,109.29,108.87,1487
110,2015-02-26,110.42,111.58,111.63,110.0,3537
111,2015-02-27,111.52,111.85,111.92,111.21,3276
112,2015-03-02,111.8,111.89,111.89,110.9,1219
113,2015-03-03,109.61,108.7,109.71,108.67,19477
114,2015-03-04,108.05,108.13,108.41,107.09,11626
115,2015-03-05,108.35,108.45,108.7,108.02,19871
116,2015-03-06,108.8,108.59,109.75,108.5,16841
117,2015-03-09,110.02,110.12,110.23,109.72,9381
118,2015-03-10,109.54,109.04,109.95,108.75,34834
119,2015-03-11,109.57,110.73,111.18,109.57,3646
120,2015-03-12,110.72,111.88,112.09,110.72,1434
121,2015-03-13,112.17,113.07,113.07,112.15,3888
122,2015-03-16,113.98,114.18,114.69,113.98,1640
123,2015-03-17,113.86,114.38,114.39,113.03,8163
124,2015-03-18,115.38,114.83,115.44,114.73,5741
125,2015-03-19,116.16,115.87,116.49,115.57,10404
126,2015-03-20,115.42,114.62,115.63,114.62,6700
127,2015-03-23,114.72,113.25,115.11,113.2,20687
128,2015-03-24,112.53,112.84,113.01,111.94,9397
129,2015-03-25,112.35,111.51,112.47,111.19,5543
130,2015-03-26,111.0,111.53,111.53,110.15,11890
131,2015-03-27,113.06,113.57,113.78,113.06,2465
132,2015-03-30,115.67,117.61,117.7,115.41,4740
133,2015-03-31,117.37,118.47,118.47,117.14,1061
134,2015-04-01,118.61,119.78,119.99,118.61,6386
135,2015-04-02,120.0,120.09,120.09,119.43,2352
136,2015-04-07,120.4,122.87,122.87,120.16,20300
137,2015-04-08,124.81,130.08,130.23,124.81,15896
138,2015-04-09,130.72,134.72,134.72,130.72,21876
139,2015-04-10,134.17,135.69,136.32,133.89,14031
140,2015-04-13,138.57,139.42,140.85,138.11,9627
141,2015-04-14,138.12,135.76,138.12,134.61,26015
142,2015-04-15,136.41,137.21,137.89,136.41,6294
143,2015-04-16,138.71,138.02,140.48,137.17,53483
144,2015-04-17,137.9,132.08,137.99,130.39,28500
145,2015-04-20,132.44,134.0,134.49,132.21,36994
146,2015-04-21,137.0,137.18,138.68,136.68,18414
147,2015-04-22,138.31,139.59,139.66,137.46,18249
148,2015-04-23,139.57,136.55,139.57,136.33,11127
149,2015-04-24,135.57,136.36,137.82,135.03,12590
150,2015-04-27,138.9,137.94,139.0,137.9,1978
151,2015-04-28,137.36,136.73,138.0,136.56,6096
152,2015-04-29,136.08,133.15,136.08,133.0,5601
153,2015-04-30,132.58,131.31,132.58,130.8,32934
154,2015-05-04,132.0,132.82,132.82,131.65,3085
155,2015-05-05,129.99,128.77,130.2,128.77,2760
156,2015-05-06,128.19,125.51,128.5,125.27,3157
157,2015-05-07,124.01,124.34,124.44,121.97,7917
158,2015-05-08,127.15,128.4,128.4,126.75,10028
159,2015-05-11,129.92,129.05,129.92,128.83,4722
160,2015-05-12,128.23,125.9,128.23,125.01,7791
161,2015-05-13,125.38,123.88,125.87,123.85,3869
162,2015-05-14,123.34,124.6,124.6,123.34,1148
163,2015-05-15,125.06,125.77,126.71,125.06,2335
164,2015-05-18,123.78,125.17,125.17,123.78,1190
165,2015-05-19,127.77,129.24,129.24,127.77,1672
166,2015-05-20,128.37,128.34,128.44,127.39,2033
167,2015-05-21,127.21,127.83,127.83,126.59,10113
168,2015-05-22,129.6,132.27,132.37,129.07,3034
169,2015-05-25,133.1,133.82,133.89,133.0,2781
170,2015-05-26,135.47,135.15,136.0,134.7,1369
171,2015-05-27,133.6,134.35,134.76,133.31,7817
172,2015-05-28,128.82,129.27,129.69,127.78,9640
173,2015-05-29,128.54,127.15,128.7,127.15,9299
174,2015-06-01,129.86,128.63,130.33,128.5,3573
175,2015-06-02,128.3,126.14,128.3,126.14,4146
176,2015-06-03,126.16,125.72,126.52,125.72,3430
177,2015-06-04,125.82,124.9,125.82,124.36,767
178,2015-06-05,124.25,125.2,125.51,123.35,1641
179,2015-06-08,126.92,125.6,126.92,125.6,8691
180,2015-06-09,122.62,122.59,122.75,121.68,6638
181,2015-06-10,120.81,121.13,121.13,119.45,3566
182,2015-06-11,121.18,122.99,123.53,121.18,5289
183,2015-06-12,124.17,123.86,125.45,123.69,402
184,2015-06-15,122.26,120.27,122.26,120.27,3789
185,2015-06-16,117.97,118.78,118.78,117.5,3706
