,Unnamed: 0,date,open,close,high,low,volumme
0,0.0,2019-07-24,42.025,42.025,42.025,42.025,0
1,1.0,2020-07-15,132.38,132.38,132.38,132.38,0
2,2.0,2020-07-22,132.38,47.13,132.38,132.38,0
3,3.0,2020-07-31,4.9,4.8175,4.922,4.8175,1700
4,4.0,2020-08-03,4.821,4.927,4.927,4.821,0
5,5.0,2020-08-04,4.985,4.927,4.985,4.927,0
6,6.0,2020-08-05,4.9845,4.972,4.9845,4.972,0
7,7.0,2020-08-06,4.944,4.932,4.944,4.932,0
8,8.0,2020-08-07,4.9225,4.9465,4.9465,4.9225,0
9,9.0,2020-08-10,4.96,4.934,4.969,4.931,191593
10,10.0,2020-08-11,4.9835,5.011,5.011,4.9835,0
11,11.0,2020-08-12,5.003,5.094,5.094,5.003,0
12,12.0,2020-08-13,5.083,5.053,5.083,5.053,0
13,13.0,2020-08-14,5.027,4.976,5.027,4.976,5708850
14,14.0,2020-08-17,4.985,4.9945,5.0,4.985,6195
15,15.0,2020-08-18,4.9655,4.96,4.9655,4.96,0
16,16.0,2020-08-19,4.9315,4.97,4.97,4.9315,8230
17,17.0,2020-08-20,4.8905,4.8975,4.8975,4.8905,0
18,18.0,2020-08-21,4.9045,4.8905,4.9045,4.86,1000
19,19.0,2020-08-24,4.96,4.9785,4.994,4.96,641419
20,20.0,2020-08-25,5.02,4.9655,5.02,4.9655,1398357
21,21.0,2020-08-26,4.953,5.023,5.023,4.953,32203
22,22.0,2020-08-27,5.033,4.99,5.044,4.99,477359
23,23.0,2020-08-28,4.982,4.9385,4.982,4.9385,79649
24,24.0,2020-08-31,4.9805,4.87,4.99,4.87,689668
25,25.0,2020-09-01,4.91,4.8985,4.91,4.8985,483294
26,26.0,2020-09-02,4.9335,4.982,4.982,4.9335,0
27,27.0,2020-09-03,5.033,4.876,5.033,4.876,240
28,28.0,2020-09-04,4.828,4.7945,4.84,4.79,22218
29,29.0,2020-09-07,4.815,4.8545,4.8545,4.815,16033
30,30.0,2020-09-08,4.8645,4.7995,4.8645,4.77,100
31,31.0,2020-09-09,4.824,4.8975,4.8975,4.824,2000
32,32.0,2020-09-10,4.911,4.8865,4.911,4.871,1000
33,33.0,2020-09-11,4.8845,4.901,4.901,4.8845,0
34,34.0,2020-09-14,4.9325,4.902,4.9325,4.902,8
35,35.0,2020-09-15,4.9095,4.9365,4.9365,4.9095,0
36,36.0,2020-09-16,4.9515,4.9525,4.9525,4.9365,4
37,37.0,2020-09-17,4.878,4.901,4.901,4.878,0
38,38.0,2020-09-18,4.914,4.884,4.914,4.884,0
39,39.0,2020-09-21,4.8325,4.755,4.8325,4.742,2668
40,40.0,2020-09-22,4.789,4.8005,4.8005,4.789,0
41,41.0,2020-09-23,4.8415,4.841,4.8415,4.841,50018
42,42.0,2020-09-24,4.7775,4.8005,4.8005,4.7775,450
43,43.0,2020-09-25,4.8095,4.7985,4.8095,4.7985,0
44,44.0,2020-09-28,4.859,4.8985,4.8985,4.859,0
45,45.0,2020-09-29,4.892,4.8705,4.892,4.8705,140
46,46.0,2020-09-30,4.8615,4.863,4.863,4.8545,210
47,47.0,2020-10-01,4.9035,4.8855,4.9035,4.8855,0
48,48.0,2020-10-02,4.827,4.909,4.909,4.827,0
49,49.0,2020-10-05,4.9645,4.9505,4.9645,4.9505,0
50,50.0,2020-10-06,4.9585,4.929,4.9585,4.92,42532
51,51.0,2020-10-07,4.9205,4.9215,4.9215,4.9205,10
52,52.0,2020-10-08,4.95,4.9695,4.9695,4.95,0
53,53.0,2020-10-09,4.985,5.032,5.032,4.985,0
54,54.0,2020-10-12,5.049,5.082,5.082,5.049,21000
55,55.0,2020-10-13,5.08,5.079,5.08,5.079,100
56,56.0,2020-10-14,5.061,5.076,5.076,5.061,0
57,57.0,2020-10-15,5.007,4.971,5.007,4.95,1000
58,58.0,2020-10-16,5.005,5.042,5.042,5.005,0
59,59.0,2020-10-19,5.029,5.029,5.029,5.029,0
60,60.0,2020-10-20,5.027,5.002,5.027,5.0,2000
61,61.0,2020-10-21,5.007,4.944,5.007,4.944,500
62,62.0,2020-10-22,4.8955,4.9175,4.9175,4.8955,0
63,63.0,2020-10-23,4.903,4.919,4.9345,4.903,24921
64,64.0,2020-10-26,4.8665,4.8455,4.8975,4.8455,100
65,65.0,2020-10-27,4.8515,4.8425,4.8515,4.8425,21397
66,66.0,2020-10-28,4.786,4.739,4.786,4.698,3770
67,67.0,2020-10-29,4.7825,4.746,4.7825,4.714,364166
68,68.0,2020-10-30,4.711,4.7445,4.7605,4.711,425
69,69.0,2020-11-02,4.749,4.8335,4.8335,4.749,100
70,70.0,2020-11-03,4.872,4.925,4.925,4.872,4755
71,71.0,2020-11-04,4.881,5.022,5.022,4.881,2000
72,72.0,2020-11-05,5.073,5.08,5.08,5.073,0
73,73.0,2020-11-06,5.072,5.03,5.072,5.03,1000
74,74.0,2020-11-09,5.156,5.274,5.3,5.156,78234
75,75.0,2020-11-10,5.263,5.259,5.279,5.25,66594
76,76.0,2020-11-11,5.242,5.325,5.325,5.242,18025
77,77.0,2020-11-12,5.3,5.336,5.336,5.3,20212
78,78.0,2020-11-13,5.334,5.309,5.347,5.303,1290
79,79.0,2020-11-16,5.338,5.354,5.375,5.33,45315
80,80.0,2020-11-17,5.345,5.344,5.345,5.309,2650
81,81.0,2020-11-18,5.32,5.343,5.343,5.32,8000
82,82.0,2020-11-19,5.315,5.299,5.315,5.29,19000
83,83.0,2020-11-20,5.313,5.349,5.349,5.313,2850
84,84.0,2020-11-23,5.391,5.35,5.391,5.35,21371
85,85.0,2020-11-24,5.405,5.4,5.405,5.388,3521
86,86.0,2020-11-25,5.403,5.39,5.403,5.38,2037
87,87.0,2020-11-26,5.409,5.401,5.425,5.401,2546
88,88.0,2020-11-27,5.41,5.41,5.439,5.41,0
89,89.0,2020-11-30,5.421,5.382,5.454,5.382,49462
90,90.0,2020-12-01,5.424,5.436,5.45,5.424,43200
91,91.0,2020-12-02,5.414,5.43,5.43,5.412,184
92,92.0,2020-12-03,5.445,5.429,5.445,5.415,5116
93,93.0,2020-12-04,5.442,5.473,5.473,5.442,0
94,94.0,2020-12-07,5.48,5.477,5.48,5.477,2467
95,95.0,2020-12-08,5.477,5.479,5.479,5.462,1850
96,96.0,2020-12-09,5.502,5.508,5.508,5.502,0
97,97.0,2020-12-10,5.508,5.495,5.52,5.47,1004
