,date,open,close,high,low,volumme
0,2014-09-25,198.79,198.83,199.01,198.63,12806
1,2014-09-26,199.1,199.07,199.28,198.98,3226
2,2014-09-29,198.93,199.03,199.4,198.8,4082
3,2014-09-30,198.9,199.55,199.55,198.9,5008
4,2014-10-01,199.5,199.39,199.55,199.19,3744
5,2014-10-02,199.38,198.88,199.44,198.56,10214
6,2014-10-03,198.86,198.47,198.86,198.27,4043
7,2014-10-06,199.1,198.25,199.1,198.06,9749
8,2014-10-07,198.27,197.84,198.28,197.58,4220
9,2014-10-08,198.15,198.0,198.15,197.87,2947
10,2014-10-09,198.25,197.74,198.49,197.74,6820
11,2014-10-10,197.5,197.27,197.89,197.25,7316
12,2014-10-13,196.63,196.64,197.22,196.52,3446
13,2014-10-14,196.64,196.9,196.92,196.45,5496
14,2014-10-15,197.07,197.29,197.35,196.5,6588
15,2014-10-16,196.92,196.2,197.08,196.0,17494
16,2014-10-17,195.45,196.27,196.66,195.45,10393
17,2014-10-20,195.76,197.03,197.12,195.76,921
18,2014-10-21,196.58,197.8,197.98,196.58,2277
19,2014-10-22,197.55,197.92,198.26,197.55,2966
20,2014-10-23,197.66,197.46,197.66,197.32,2028
21,2014-10-24,197.79,197.39,197.99,197.29,6089
22,2014-10-27,197.38,197.68,197.7,197.28,14685
23,2014-10-28,197.9,197.95,198.11,197.74,4134
24,2014-10-29,198.06,198.45,198.55,197.95,3883
25,2014-10-30,198.47,198.78,199.08,198.34,3730
26,2014-10-31,199.5,199.52,199.54,198.73,9189
27,2014-11-03,200.1,198.38,200.1,198.38,3585
28,2014-11-04,198.7,198.91,199.0,198.47,4302
29,2014-11-05,198.87,198.54,198.87,198.47,4498
30,2014-11-06,198.54,198.36,199.58,198.3,4403
31,2014-11-07,198.81,198.65,199.22,198.65,2517
32,2014-11-10,199.27,199.33,199.59,199.26,8021
33,2014-11-11,199.15,199.29,199.46,199.0,3472
34,2014-11-12,199.24,199.22,199.72,199.19,3423
35,2014-11-13,199.1,198.7,199.33,198.7,2902
36,2014-11-14,198.89,199.08,199.08,198.53,4385
37,2014-11-17,198.27,197.98,199.81,197.98,2392
38,2014-11-18,199.05,198.15,199.05,197.91,14634
39,2014-11-19,198.28,197.91,198.28,197.41,6371
40,2014-11-20,197.3,197.68,198.39,197.3,3245
41,2014-11-21,198.0,198.86,198.86,198.0,6368
42,2014-11-24,198.63,198.83,198.91,198.42,9683
43,2014-11-25,198.8,199.62,199.63,198.79,7605
44,2014-11-26,199.75,199.81,200.49,199.49,2884
45,2014-11-27,200.0,199.87,200.17,199.73,3249
46,2014-11-28,200.11,199.64,200.11,199.02,7802
47,2014-12-01,199.3,198.53,199.78,198.53,6837
48,2014-12-02,199.42,198.49,199.42,198.28,5443
49,2014-12-03,199.12,198.66,199.12,198.35,2321
50,2014-12-04,198.69,199.0,199.46,198.41,3359
51,2014-12-05,198.73,198.88,199.14,198.61,2407
52,2014-12-08,199.1,199.0,199.37,198.82,6922
53,2014-12-09,199.6,199.4,199.62,199.12,4359
54,2014-12-10,199.05,197.99,199.15,197.99,3169
55,2014-12-11,198.54,197.9,198.54,197.3,55320
56,2014-12-12,198.23,197.51,198.23,196.68,12398
57,2014-12-15,198.37,197.0,198.37,196.51,8031
58,2014-12-16,197.4,195.97,197.4,195.97,4613
59,2014-12-17,196.8,196.74,196.88,195.55,2957
60,2014-12-18,196.87,196.96,198.65,196.74,5104
61,2014-12-19,196.6,197.57,197.57,196.45,4072
62,2014-12-22,197.55,198.69,198.69,197.25,3129
63,2014-12-23,199.06,199.23,199.23,198.2,2690
64,2014-12-24,200.21,198.74,200.21,198.46,1284
65,2014-12-29,199.13,199.06,199.21,198.54,6944
66,2014-12-30,199.97,198.51,199.97,198.39,2835
67,2014-12-31,199.88,198.58,199.88,198.21,847
68,2015-01-02,198.32,198.62,198.7,198.2,2027
69,2015-01-05,199.13,197.55,199.13,197.49,3070
70,2015-01-06,197.02,196.55,197.88,196.55,12752
71,2015-01-07,196.41,196.77,197.36,196.41,2253
72,2015-01-08,196.5,197.76,197.76,196.45,7082
73,2015-01-09,197.44,197.63,198.08,197.32,5494
74,2015-01-12,198.06,197.38,198.06,197.0,2514
75,2015-01-13,197.71,197.46,197.71,197.0,3493
76,2015-01-14,197.4,198.85,198.85,197.4,3801
77,2015-01-15,198.6,198.88,199.45,198.58,2201
78,2015-01-16,198.3,199.77,199.88,198.3,4194
79,2015-01-19,200.0,200.45,201.02,199.78,3726
80,2015-01-20,201.34,200.35,201.34,199.98,22629
81,2015-01-21,200.3,200.88,201.05,200.27,3160
82,2015-01-22,200.58,203.25,203.4,200.3,8891
83,2015-01-23,204.66,203.96,205.6,203.8,5823
84,2015-01-26,204.14,203.19,204.14,202.94,4319
85,2015-01-27,203.72,202.85,203.72,201.96,2705
86,2015-01-28,202.8,202.09,202.84,202.09,6045
87,2015-01-29,201.79,201.79,202.56,201.49,5234
88,2015-01-30,201.94,202.99,203.32,201.69,29032
89,2015-02-02,203.32,203.45,203.99,203.0,4188
90,2015-02-03,203.72,203.78,204.06,203.57,4539
91,2015-02-04,203.45,203.47,204.45,203.36,7147
92,2015-02-05,203.77,204.06,204.23,203.1,3903
93,2015-02-06,205.02,203.54,205.02,203.54,6276
94,2015-02-09,204.27,202.95,204.27,202.95,5577
95,2015-02-10,203.63,202.53,203.63,202.25,3157
96,2015-02-11,202.58,202.34,202.58,202.03,3632
97,2015-02-12,202.18,202.5,202.88,202.18,2308
98,2015-02-13,202.68,203.51,203.51,202.37,4216
99,2015-02-16,203.41,203.1,203.47,203.03,2117
100,2015-02-17,203.23,202.95,203.62,202.9,3293
101,2015-02-18,203.1,202.78,203.13,202.68,4522
102,2015-02-19,204.01,202.91,204.01,202.28,7834
103,2015-02-20,203.04,203.06,204.0,202.96,3973
104,2015-02-23,203.53,203.74,204.02,203.42,3623
105,2015-02-24,203.5,203.65,203.87,203.41,5450
106,2015-02-25,204.4,204.12,204.4,203.64,4438
107,2015-02-26,204.95,204.36,204.95,204.3,3822
108,2015-02-27,204.1,205.14,205.27,204.1,10617
109,2015-03-02,204.32,204.86,205.28,204.32,16481
110,2015-03-03,204.95,205.12,205.18,204.7,7655
111,2015-03-04,205.33,205.99,206.07,204.65,7913
112,2015-03-05,205.64,207.07,207.3,205.64,9874
113,2015-03-06,208.36,207.17,208.91,207.0,6993
114,2015-03-09,207.21,207.39,207.86,206.99,15999
115,2015-03-10,207.99,208.67,208.94,207.37,7225
116,2015-03-11,209.33,209.29,209.35,208.61,12047
117,2015-03-12,208.61,209.55,210.04,208.61,14829
118,2015-03-13,209.9,209.61,210.2,209.3,32794
119,2015-03-16,209.61,208.28,210.36,208.28,7536
120,2015-03-17,208.8,208.02,208.8,207.66,23013
121,2015-03-18,208.61,208.5,208.75,207.76,9306
122,2015-03-19,209.0,208.84,209.68,208.84,13734
123,2015-03-20,209.23,210.19,210.19,208.83,4740
124,2015-03-23,210.02,209.52,210.37,209.52,7920
125,2015-03-24,210.18,208.61,210.18,208.46,18767
126,2015-03-25,209.55,208.62,210.7,207.89,6668
127,2015-03-26,209.06,208.42,209.34,208.42,8348
128,2015-03-27,208.63,207.98,208.63,207.9,10065
129,2015-03-30,208.59,207.13,208.59,207.13,11890
130,2015-03-31,206.95,207.91,208.02,205.95,28765
131,2015-04-01,208.74,208.11,208.74,207.52,42033
132,2015-04-02,209.33,208.72,209.33,207.85,4741
133,2015-04-07,209.72,208.89,209.72,208.43,18241
134,2015-04-08,209.54,208.62,209.54,208.51,11872
135,2015-04-09,208.55,208.85,210.14,208.37,9970
136,2015-04-10,208.95,208.7,209.0,208.34,11256
137,2015-04-13,209.66,208.97,209.66,208.58,14272
138,2015-04-14,209.0,209.36,209.36,209.0,7198
139,2015-04-15,208.86,210.06,210.11,208.84,7014
140,2015-04-16,210.13,209.8,210.45,209.68,5564
141,2015-04-17,210.4,209.33,210.72,208.88,10296
142,2015-04-20,209.35,209.43,209.77,209.29,11558
143,2015-04-21,209.61,209.01,209.7,208.94,9496
144,2015-04-22,209.79,209.46,209.79,208.6,6228
145,2015-04-23,209.95,208.47,209.95,208.41,5868
146,2015-04-24,208.7,208.15,208.8,208.15,8764
147,2015-04-27,208.26,208.45,208.45,207.71,4604
148,2015-04-28,208.44,208.15,208.84,208.15,6663
149,2015-04-29,208.39,207.15,208.39,207.0,12327
150,2015-04-30,206.99,206.19,207.28,205.93,16105
151,2015-05-04,206.52,205.86,206.93,205.86,11291
152,2015-05-05,206.83,203.19,206.83,203.19,16154
153,2015-05-06,202.53,201.94,204.03,201.94,72282
154,2015-05-07,201.7,201.97,202.88,199.71,34846
155,2015-05-08,204.09,203.18,204.09,201.83,13283
156,2015-05-11,202.89,202.6,202.89,202.02,13698
157,2015-05-12,202.31,201.67,202.31,200.81,15203
158,2015-05-13,201.7,201.4,203.19,201.4,24319
159,2015-05-14,201.9,201.74,202.11,201.15,8725
160,2015-05-15,202.09,202.6,203.0,201.94,4329
161,2015-05-18,202.29,202.03,202.65,201.72,2858
162,2015-05-19,203.49,202.93,203.71,202.33,6925
163,2015-05-20,203.34,201.9,204.15,201.9,10672
164,2015-05-21,203.0,201.73,203.0,201.43,9894
165,2015-05-22,202.97,201.77,202.97,201.53,4402
166,2015-05-25,201.23,201.52,202.79,200.16,631
167,2015-05-26,201.92,200.97,202.06,200.83,8507
168,2015-05-27,200.99,201.02,201.02,200.42,5865
169,2015-05-28,200.97,201.18,201.76,200.73,7748
170,2015-05-29,202.12,202.44,203.0,201.37,21201
171,2015-06-01,202.36,201.84,202.38,201.75,5651
172,2015-06-02,200.69,200.0,201.34,200.0,13463
173,2015-06-03,199.75,198.22,200.71,198.0,10260
174,2015-06-04,198.0,199.15,199.15,196.74,9261
175,2015-06-05,198.0,198.42,198.56,197.51,3843
176,2015-06-08,198.4,198.16,198.46,197.84,4745
177,2015-06-09,198.48,197.67,198.6,197.67,21229
178,2015-06-10,197.76,197.88,197.92,197.06,7716
179,2015-06-11,196.87,198.98,199.35,196.87,4242
180,2015-06-12,199.06,198.4,199.06,198.02,5069
181,2015-06-15,198.02,197.76,198.54,197.11,7358
182,2015-06-16,196.91,197.09,197.67,196.21,25508
183,2015-06-17,197.48,197.8,198.03,197.48,5469
184,2015-06-18,197.83,198.33,198.48,197.83,8368
185,2015-06-19,197.94,198.04,198.9,197.94,3828
186,2015-06-22,198.02,198.85,199.1,198.02,2779
187,2015-06-23,198.89,199.54,199.81,198.57,3968
188,2015-06-24,199.37,199.39,199.68,199.09,13070
189,2015-06-25,199.3,199.62,199.62,199.0,4903
190,2015-06-26,199.4,198.8,199.54,198.63,5279
191,2015-06-29,197.2,197.55,198.7,197.2,1475
192,2015-06-30,197.86,198.24,198.45,197.27,3905
193,2015-07-01,198.29,198.15,198.72,197.84,9738
194,2015-07-02,197.44,197.56,197.79,197.15,4278
195,2015-07-03,197.74,198.0,198.1,197.38,4555
196,2015-07-06,197.33,197.57,198.35,197.31,8288
197,2015-07-07,197.83,197.85,198.58,197.72,4220
198,2015-07-08,197.92,198.17,198.65,197.9,3061
199,2015-07-09,198.62,198.37,198.78,198.2,2965
200,2015-07-10,199.1,197.77,199.1,197.55,4888
201,2015-07-13,198.48,198.07,198.48,197.18,3381
202,2015-07-14,197.47,197.89,198.63,197.41,5357
203,2015-07-15,198.87,198.72,198.99,198.0,4657
204,2015-07-16,199.41,199.19,199.41,198.43,3457
205,2015-07-17,199.5,199.8,199.8,199.27,3739
206,2015-07-20,199.16,200.09,201.2,198.51,3268
207,2015-07-21,200.41,199.28,200.41,199.28,4831
208,2015-07-22,199.33,199.42,199.62,199.03,4483
209,2015-07-23,199.8,200.2,200.2,199.62,1850
210,2015-07-24,200.03,200.06,200.15,199.79,1602
211,2015-07-27,200.22,199.72,200.43,199.72,3580
212,2015-07-28,199.54,199.68,199.99,198.83,2806
213,2015-07-29,199.68,199.97,200.17,199.32,2461
214,2015-07-30,200.87,201.1,201.13,200.37,858
215,2015-07-31,201.12,201.5,201.5,200.61,2484
216,2015-08-03,201.44,200.84,201.44,200.75,8064
217,2015-08-04,201.0,200.66,201.21,200.39,8238
218,2015-08-05,200.39,199.5,200.69,199.24,4967
219,2015-08-06,199.58,199.58,200.51,199.57,3730
220,2015-08-07,199.64,199.93,199.93,199.2,5313
221,2015-08-10,199.63,199.68,199.92,199.46,5189
222,2015-08-11,200.48,199.84,200.48,199.84,1965
223,2015-08-12,200.4,199.25,200.4,198.75,8874
224,2015-08-13,198.69,198.76,198.91,198.5,4176
225,2015-08-14,199.59,198.68,199.59,198.5,7801
226,2015-08-17,199.23,199.42,199.72,199.12,766
227,2015-08-18,199.53,198.66,199.71,198.36,9789
228,2015-08-19,198.67,198.57,198.95,198.57,2955
229,2015-08-20,198.86,198.21,198.86,198.21,3026
230,2015-08-21,198.05,197.42,198.51,197.42,3276
231,2015-08-24,197.36,196.51,197.36,196.38,6824
232,2015-08-25,197.09,195.41,197.09,195.41,5567
233,2015-08-26,195.05,195.25,196.47,195.05,4223
234,2015-08-27,194.83,195.87,196.07,194.83,18441
235,2015-08-28,196.63,197.21,197.43,196.36,9243
236,2015-08-31,198.24,196.93,198.24,196.74,1558
237,2015-09-01,196.92,196.62,197.68,196.62,7958
238,2015-09-02,197.3,196.58,197.3,196.57,8784
239,2015-09-03,196.68,197.53,197.8,196.54,12414
240,2015-09-04,197.8,197.85,198.09,197.76,1829
241,2015-09-07,197.91,197.06,197.92,197.06,13199
242,2015-09-08,196.9,196.97,197.28,196.57,3090
243,2015-09-09,196.9,197.06,197.46,196.5,13317
244,2015-09-10,197.42,196.65,197.42,196.65,12767
245,2015-09-11,196.78,196.99,197.1,196.64,1529
246,2015-09-14,196.33,196.94,197.3,196.33,1728
247,2015-09-15,197.02,196.2,197.12,196.2,3529
248,2015-09-16,195.26,196.37,196.4,195.26,1223
249,2015-09-17,196.04,196.34,196.5,195.78,1419
250,2015-09-18,196.8,197.75,197.83,196.8,1691
251,2015-09-21,197.79,197.55,197.81,197.49,1934
252,2015-09-22,198.0,198.47,198.57,197.7,1204
253,2015-09-23,198.25,198.9,199.03,198.25,5199
254,2015-09-24,198.62,198.65,199.08,198.49,2047
255,2015-09-25,198.0,197.92,198.2,197.73,3242
256,2015-09-28,198.03,198.07,198.35,197.9,2861
257,2015-09-29,197.75,197.84,197.88,197.54,520
258,2015-09-30,197.9,198.09,198.34,197.79,6659
259,2015-10-01,198.03,199.06,199.06,197.84,1802
260,2015-10-02,199.09,199.56,199.84,198.61,1167
261,2015-10-05,199.37,199.36,199.83,199.24,2526
262,2015-10-06,199.45,198.94,199.45,198.92,889
263,2015-10-07,198.69,199.77,199.77,198.43,3341
264,2015-10-08,199.81,199.67,200.23,199.55,2188
265,2015-10-09,199.99,199.56,200.14,199.36,1891
266,2015-10-12,199.52,199.83,200.03,199.52,4904
267,2015-10-13,199.81,199.86,200.09,199.66,2251
268,2015-10-14,200.19,200.23,200.23,199.87,1248
269,2015-10-15,200.04,199.81,200.24,199.72,2656
270,2015-10-16,199.41,200.46,200.46,199.41,948
271,2015-10-19,199.77,200.31,200.53,199.77,3798
272,2015-10-20,200.5,199.65,200.69,199.44,9647
273,2015-10-21,199.41,200.41,200.41,199.41,2179
274,2015-10-22,199.35,202.23,202.23,199.35,8355
275,2015-10-23,202.56,202.7,202.72,202.36,1686
276,2015-10-26,202.68,202.77,203.0,202.6,1198
277,2015-10-27,202.83,203.07,203.19,202.57,2622
278,2015-10-28,202.52,203.65,203.65,202.52,3179
279,2015-10-29,202.29,203.19,203.65,202.29,4799
280,2015-10-30,202.97,202.6,203.11,202.41,1076
281,2015-11-02,202.83,201.5,202.83,201.32,4037
282,2015-11-03,201.65,201.61,201.81,201.27,11379
283,2015-11-04,202.07,201.75,202.61,201.56,16828
284,2015-11-05,201.51,200.95,201.72,200.95,6980
285,2015-11-06,201.2,200.33,201.54,200.15,1683
286,2015-11-09,200.63,200.79,200.79,199.92,3351
287,2015-11-10,200.27,201.75,201.79,200.27,1720
288,2015-11-11,201.42,201.64,202.03,201.42,3538
289,2015-11-12,201.44,201.7,202.19,201.31,1735
290,2015-11-13,202.04,202.13,202.31,201.77,2674
291,2015-11-16,201.78,202.03,202.18,201.5,4309
292,2015-11-17,202.24,201.93,202.24,201.69,997
293,2015-11-18,202.15,202.47,202.53,201.97,5493
294,2015-11-19,202.58,202.69,202.91,202.09,1693
295,2015-11-20,202.84,203.02,203.07,202.64,4708
296,2015-11-23,202.75,202.5,202.88,202.13,4465
297,2015-11-24,202.9,203.24,203.44,202.7,10998
298,2015-11-25,203.25,203.68,203.97,202.93,5553
299,2015-11-26,203.54,204.16,204.16,203.49,2984
300,2015-11-27,203.9,204.32,204.91,203.9,6144
301,2015-11-30,204.99,204.9,204.99,204.0,7453
302,2015-12-01,204.6,205.28,205.42,204.33,6335
303,2015-12-02,204.99,205.06,205.27,204.84,2847
304,2015-12-03,205.0,201.81,205.08,201.69,6757
305,2015-12-04,201.45,200.41,202.06,200.41,12681
306,2015-12-07,201.09,201.24,201.61,200.73,7418
307,2015-12-08,201.4,201.69,202.13,201.1,2057
308,2015-12-09,202.1,201.91,202.38,201.61,2939
309,2015-12-10,202.14,202.27,202.57,201.76,3191
310,2015-12-11,201.75,201.49,202.52,201.49,17163
311,2015-12-14,201.1,200.64,201.32,200.28,2888
312,2015-12-15,200.1,200.4,200.66,199.97,8434
313,2015-12-16,200.49,200.04,201.15,199.97,4037
314,2015-12-17,200.21,200.36,201.32,200.21,10520
315,2015-12-18,200.71,200.74,201.1,200.44,6084
316,2015-12-21,199.9,200.48,200.62,199.67,2166
317,2015-12-22,200.47,199.65,200.55,199.57,4366
318,2015-12-23,199.62,199.5,199.92,199.28,12471
319,2015-12-24,199.5,199.37,199.5,199.1,1763
320,2015-12-28,198.69,200.07,200.07,198.69,2256
321,2015-12-29,200.0,199.79,200.07,199.33,1012
322,2015-12-30,199.9,199.99,200.08,199.63,3512
323,2015-12-31,202.0,199.82,202.0,199.63,1237
324,2016-01-04,200.67,199.93,200.82,199.93,4785
325,2016-01-05,200.23,199.77,200.33,199.68,6075
326,2016-01-06,200.34,199.74,200.34,199.53,2155
327,2016-01-07,199.52,199.25,199.79,199.0,1496
328,2016-01-08,199.33,200.06,200.71,199.33,6523
329,2016-01-11,199.79,199.4,200.02,199.19,3042
330,2016-01-12,198.92,199.08,199.08,198.33,3044
331,2016-01-13,198.82,199.37,199.78,198.82,3026
332,2016-01-14,199.72,199.07,199.72,198.87,5962
333,2016-01-15,199.12,198.95,199.18,198.92,1163
334,2016-01-18,199.27,198.91,199.27,198.52,8310
335,2016-01-19,198.78,198.98,199.1,198.67,4874
336,2016-01-20,199.1,197.71,199.3,197.71,1108
337,2016-01-21,196.92,198.9,199.19,196.92,4266
338,2016-01-22,199.22,199.03,199.38,198.69,9071
339,2016-01-25,198.58,199.22,199.31,198.58,3573
340,2016-01-26,199.5,199.88,199.88,198.83,7178
341,2016-01-27,199.99,199.6,199.99,199.17,2010
342,2016-01-28,199.5,200.43,200.43,199.5,1454
343,2016-01-29,200.75,201.08,201.35,200.75,1373
344,2016-02-01,201.5,200.38,201.54,199.91,26315
345,2016-02-02,200.42,199.9,200.42,199.72,2619
346,2016-02-03,199.79,200.54,200.54,199.69,3936
347,2016-02-04,199.96,200.49,200.57,199.96,3118
348,2016-02-05,200.69,200.58,200.82,200.35,8576
349,2016-02-08,200.52,199.81,200.77,199.71,2407
350,2016-02-09,199.43,199.43,199.85,199.02,7766
351,2016-02-10,199.05,199.29,199.68,199.05,32489
352,2016-02-11,199.62,198.67,199.62,198.27,1906
353,2016-02-12,198.59,197.97,198.6,197.97,4707
354,2016-02-15,198.65,199.73,199.73,198.65,5145
355,2016-02-16,199.55,198.8,199.71,198.72,10680
356,2016-02-17,199.19,198.99,199.19,198.81,1772
357,2016-02-18,199.85,199.48,200.09,199.46,864
358,2016-02-19,199.88,199.4,199.88,199.18,959
359,2016-02-22,199.31,200.28,200.67,198.55,4531
360,2016-02-23,199.89,200.15,200.26,199.8,1482
361,2016-02-24,200.33,199.89,200.33,199.41,2906
362,2016-02-25,199.53,199.58,199.94,199.19,2708
363,2016-02-26,199.38,199.56,199.65,199.21,1367
364,2016-02-29,199.56,199.19,199.82,199.19,164842
365,2016-03-01,199.12,199.14,199.67,198.78,13388
366,2016-03-02,197.99,199.01,199.23,197.99,38608
367,2016-03-03,198.65,200.46,200.46,198.65,4529
368,2016-03-04,200.21,200.08,200.72,200.08,5130
369,2016-03-07,201.43,200.82,201.43,200.51,11656
370,2016-03-08,201.08,201.12,201.96,201.08,6082
371,2016-03-09,200.95,200.92,201.02,200.68,1740
372,2016-03-10,201.02,200.47,202.52,200.0,17303
373,2016-03-11,199.77,201.35,201.35,199.77,1780
374,2016-03-14,201.58,201.2,201.74,201.07,4307
375,2016-03-15,200.99,199.9,201.16,199.9,3613
376,2016-03-16,200.15,200.22,200.54,200.09,3312
377,2016-03-17,201.2,201.48,201.51,200.88,3323
378,2016-03-18,201.79,201.99,202.25,201.77,9121
379,2016-03-21,201.74,201.67,202.29,201.37,32242
380,2016-03-22,201.91,201.79,201.95,201.32,1983
381,2016-03-23,201.54,201.53,201.59,201.19,3401
382,2016-03-24,201.53,201.27,201.6,201.27,4964
383,2016-03-29,201.65,201.65,201.99,201.58,11003
384,2016-03-30,201.81,202.09,202.19,201.81,127881
385,2016-03-31,202.15,202.16,202.4,202.07,66411
386,2016-04-01,202.24,202.1,202.38,201.93,1811
387,2016-04-04,202.26,202.61,202.68,202.07,46978
388,2016-04-05,202.72,202.95,203.04,202.61,10819
389,2016-04-06,202.83,202.95,202.95,202.43,2983
390,2016-04-07,203.01,202.66,203.14,202.43,4357
391,2016-04-08,202.78,203.05,203.08,202.55,7128
