,date,open,close,high,low,volumme
0,2014-09-25,204.36,204.67,204.68,204.36,1702
1,2014-09-26,205.22,205.05,205.28,205.0,231
2,2014-09-29,205.13,205.04,205.13,204.04,15151
3,2014-09-30,204.75,205.61,205.61,204.72,10307
4,2014-10-01,205.75,207.12,207.12,205.75,542
5,2014-10-02,206.83,206.54,206.89,206.54,177
6,2014-10-03,206.86,206.62,206.86,206.07,3682
7,2014-10-06,207.07,206.57,207.1,206.5,8626
8,2014-10-07,206.62,206.17,206.62,205.7,574
9,2014-10-08,205.9,206.54,206.59,205.9,7836
10,2014-10-09,207.07,206.79,207.5,206.79,380
11,2014-10-10,205.99,207.13,207.22,205.99,388
12,2014-10-13,207.03,206.46,207.03,206.32,2725
13,2014-10-14,206.5,208.09,208.09,205.91,445
14,2014-10-15,208.41,209.07,209.54,208.21,12230
15,2014-10-16,208.53,206.11,208.63,206.11,10552
16,2014-10-17,205.05,205.43,205.68,205.05,19742
17,2014-10-20,206.28,204.45,206.28,204.45,388
18,2014-10-21,205.18,204.87,205.18,204.44,1232
19,2014-10-22,205.29,205.05,205.45,205.03,10841
20,2014-10-23,205.21,204.44,205.21,204.38,297
21,2014-10-24,204.82,204.77,205.25,204.63,389
22,2014-10-27,205.52,205.16,205.52,204.7,112
23,2014-10-28,205.36,205.35,205.48,205.13,43
24,2014-10-29,205.16,205.27,205.82,205.16,1402
25,2014-10-30,202.75,203.64,203.64,202.56,695
26,2014-10-31,204.91,204.61,204.91,204.1,960
27,2014-11-03,205.0,203.76,205.0,203.5,15149
28,2014-11-04,203.62,204.57,205.06,203.62,26440
29,2014-11-05,203.91,203.45,204.2,203.45,183
30,2014-11-06,203.26,203.58,203.59,203.26,23754
31,2014-11-07,204.11,203.9,204.11,203.17,30188
32,2014-11-10,203.53,204.36,204.51,203.53,511
33,2014-11-11,204.42,204.72,204.76,204.09,233
34,2014-11-12,204.88,205.03,205.65,204.88,5343
35,2014-11-13,204.19,205.26,205.56,204.19,1238
36,2014-11-14,205.51,205.67,205.7,205.24,290
37,2014-11-17,206.59,205.61,206.59,205.48,344
38,2014-11-18,205.72,205.18,205.86,205.18,402
39,2014-11-19,205.17,204.37,205.17,204.21,2067
40,2014-11-20,204.16,205.27,205.27,204.16,1281
41,2014-11-21,205.32,206.51,206.67,205.32,210
42,2014-11-24,207.69,206.7,207.69,206.1,642
43,2014-11-25,207.61,207.54,207.61,206.8,2358
44,2014-11-26,207.6,208.37,208.39,207.6,1883
45,2014-11-27,208.77,210.52,210.55,208.77,237
46,2014-11-28,210.82,211.55,211.67,210.82,320
47,2014-12-01,212.26,211.56,212.29,211.56,5952
48,2014-12-02,211.64,211.1,211.64,211.05,436
49,2014-12-03,211.08,211.53,211.7,211.08,551
50,2014-12-04,211.49,210.79,211.59,210.38,1916
51,2014-12-05,211.39,211.57,212.0,211.39,10321
52,2014-12-08,211.87,213.01,213.01,211.25,3240
53,2014-12-09,213.21,213.27,213.49,212.74,4189
54,2014-12-10,213.76,213.19,213.76,212.4,959
55,2014-12-11,213.93,213.31,214.01,213.25,3387
56,2014-12-12,214.52,214.68,215.0,213.2,376
57,2014-12-15,215.21,215.26,215.31,214.63,2532
58,2014-12-16,214.89,216.15,216.35,214.89,18550
59,2014-12-17,216.36,216.23,216.8,215.94,654
60,2014-12-18,217.0,216.01,217.0,215.98,901
61,2014-12-19,216.49,216.17,216.49,215.65,359
62,2014-12-22,216.69,216.59,216.69,215.98,1507
63,2014-12-23,217.01,216.25,217.01,216.25,1046
64,2014-12-24,216.58,216.73,216.85,216.21,71
65,2014-12-29,217.85,217.58,217.85,216.44,1507
66,2014-12-30,217.53,218.42,218.42,217.45,704
67,2014-12-31,218.67,218.49,218.67,218.48,88
68,2015-01-02,219.03,221.19,221.19,218.9,997
69,2015-01-05,220.42,219.95,220.49,219.57,490
70,2015-01-06,220.97,223.08,224.31,220.97,1046
71,2015-01-07,223.85,221.47,224.09,221.45,640
72,2015-01-08,222.3,220.96,222.3,220.48,762
73,2015-01-09,221.07,220.99,221.22,219.77,1916
74,2015-01-12,221.51,222.28,222.35,221.0,369
75,2015-01-13,224.09,222.38,224.09,222.38,291
76,2015-01-14,222.76,224.33,224.37,222.76,2595
77,2015-01-15,223.65,223.85,225.19,223.6,529
78,2015-01-16,225.36,225.7,225.84,225.3,679
79,2015-01-19,226.06,226.31,226.39,225.72,792
80,2015-01-20,226.39,226.1,226.39,225.58,6069
81,2015-01-21,226.32,224.15,226.32,224.15,967
82,2015-01-22,222.45,228.69,228.69,222.22,1826
83,2015-01-23,232.08,232.92,235.91,232.08,23119
84,2015-01-26,233.3,234.57,234.69,232.7,1210
85,2015-01-27,235.1,233.91,235.1,233.63,36003
86,2015-01-28,234.11,233.64,234.11,231.7,4766
87,2015-01-29,233.86,233.18,234.13,233.05,10683
88,2015-01-30,233.61,235.43,235.43,233.6,12808
89,2015-02-02,235.86,235.82,236.26,235.7,1654
90,2015-02-03,236.5,235.4,236.7,235.25,1672
91,2015-02-04,235.94,235.68,235.94,235.25,3810
92,2015-02-05,235.96,235.73,236.0,234.95,797
93,2015-02-06,237.29,235.15,237.29,235.13,2210
94,2015-02-09,236.0,234.06,236.0,233.99,2595
95,2015-02-10,234.94,233.69,234.94,233.26,752
96,2015-02-11,233.93,233.79,234.24,233.68,2824
97,2015-02-12,234.08,235.37,235.37,234.08,621
98,2015-02-13,235.6,235.5,236.12,235.29,3916
99,2015-02-16,235.15,234.83,235.15,234.31,3064
100,2015-02-17,236.9,234.03,236.9,234.03,1065
101,2015-02-18,234.59,233.16,234.59,233.16,858
102,2015-02-19,232.6,232.99,233.37,232.55,1238
103,2015-02-20,232.74,233.46,233.46,232.73,751
104,2015-02-23,233.8,233.81,233.82,232.64,1993
105,2015-02-24,233.13,234.26,234.26,233.13,585
106,2015-02-25,234.79,236.02,236.02,234.56,1921
107,2015-02-26,235.82,238.6,239.28,235.82,823
108,2015-02-27,239.14,238.41,239.14,237.65,2950
109,2015-03-02,239.05,237.55,239.05,237.55,22358
110,2015-03-03,238.59,236.35,238.59,236.35,1181
111,2015-03-04,236.0,236.21,236.77,235.99,3477
112,2015-03-05,235.61,238.32,238.32,234.9,7722
113,2015-03-06,240.22,238.05,241.4,238.05,1365
114,2015-03-09,239.9,240.84,240.84,238.9,8445
115,2015-03-10,242.2,245.57,245.97,242.1,10915
116,2015-03-11,247.71,249.93,250.7,247.37,19751
117,2015-03-12,251.53,249.73,254.26,249.63,18904
118,2015-03-13,249.07,249.17,250.19,248.86,21621
119,2015-03-16,250.85,249.92,250.93,249.91,7379
120,2015-03-17,251.14,248.34,251.14,247.65,2000
121,2015-03-18,247.99,247.64,249.1,246.2,3363
122,2015-03-19,249.86,248.62,249.86,248.14,3409
123,2015-03-20,249.07,249.29,249.29,248.8,2278
124,2015-03-23,248.92,247.44,248.92,247.34,24344
125,2015-03-24,246.0,246.61,247.8,246.0,2153
126,2015-03-25,246.89,246.81,246.89,245.97,6668
127,2015-03-26,246.47,247.11,247.27,246.14,705
128,2015-03-27,246.77,246.96,247.71,245.96,7424
129,2015-03-30,247.95,247.52,247.95,247.07,4495
130,2015-03-31,248.11,249.49,249.49,246.85,5729
131,2015-04-01,249.35,249.8,250.48,249.11,6620
132,2015-04-02,250.54,248.42,250.54,248.42,6974
133,2015-04-07,248.13,248.67,248.9,248.13,3003
134,2015-04-08,248.87,248.14,249.09,248.08,16881
135,2015-04-09,249.0,247.59,249.0,247.51,1299
136,2015-04-10,248.41,248.25,248.41,247.47,12622
137,2015-04-13,249.0,248.34,249.0,248.08,17682
138,2015-04-14,249.0,248.03,249.26,248.03,4849
139,2015-04-15,247.82,249.97,249.97,247.82,14403
140,2015-04-16,250.23,249.24,250.88,249.24,5726
141,2015-04-17,249.75,248.19,249.99,248.15,2182
142,2015-04-20,247.59,248.29,249.32,247.59,10494
143,2015-04-21,250.07,247.14,250.07,247.14,8947
144,2015-04-22,247.15,246.99,248.03,246.99,6561
145,2015-04-23,246.65,246.75,247.64,246.65,859
146,2015-04-24,247.57,245.8,247.57,245.5,2824
147,2015-04-27,245.95,246.26,246.26,245.59,4706
148,2015-04-28,246.64,246.04,246.8,245.75,24275
149,2015-04-29,245.53,240.25,245.53,240.22,10685
150,2015-04-30,237.68,236.39,237.68,233.78,28842
151,2015-05-04,233.01,233.06,234.93,232.99,32565
152,2015-05-05,231.19,226.44,233.75,226.44,12107
153,2015-05-06,223.46,222.94,227.29,222.12,74025
154,2015-05-07,220.12,225.05,225.85,216.78,17551
155,2015-05-08,226.47,227.37,228.28,224.85,12655
156,2015-05-11,226.8,224.68,226.8,224.59,7640
157,2015-05-12,223.33,221.2,223.33,220.07,21448
158,2015-05-13,219.78,219.29,224.04,219.29,85062
159,2015-05-14,219.59,219.31,219.79,218.59,342
160,2015-05-15,219.8,222.4,222.87,219.8,3411
161,2015-05-18,222.4,220.58,222.4,220.58,12927
162,2015-05-19,222.58,223.38,225.18,222.48,31374
163,2015-05-20,224.06,222.63,224.44,222.63,787
164,2015-05-21,223.06,222.47,223.4,221.14,1666
165,2015-05-22,223.73,223.15,224.88,222.97,14916
166,2015-05-25,225.98,223.17,225.98,221.73,20030
167,2015-05-26,223.06,223.2,223.64,222.84,18228
168,2015-05-27,223.32,224.42,224.58,223.09,2788
169,2015-05-28,224.51,224.26,224.89,224.04,1710
170,2015-05-29,224.7,225.93,225.93,224.7,3665
171,2015-06-01,225.32,224.13,226.29,224.13,7310
172,2015-06-02,223.35,218.72,223.36,218.72,22446
173,2015-06-03,217.97,213.93,218.99,213.93,6725
174,2015-06-04,212.0,215.21,215.21,210.23,17864
175,2015-06-05,212.68,212.61,213.09,212.18,12197
176,2015-06-08,212.38,210.8,212.63,210.8,793
177,2015-06-09,211.49,208.86,211.49,208.75,435
178,2015-06-10,207.91,207.61,208.0,205.96,2320
179,2015-06-11,206.15,210.71,211.49,205.76,7432
180,2015-06-12,210.96,210.02,210.96,208.71,2849
181,2015-06-15,210.24,208.82,210.52,208.82,5209
182,2015-06-16,207.88,209.78,210.37,207.77,12777
183,2015-06-17,209.69,210.05,210.59,209.69,544
184,2015-06-18,211.12,211.42,212.52,211.12,283
185,2015-06-19,211.51,212.14,212.65,211.51,567
186,2015-06-22,210.38,210.7,211.86,210.38,1884
187,2015-06-23,210.54,211.18,211.71,210.54,3135
188,2015-06-24,211.62,210.48,212.14,210.37,1877
189,2015-06-25,210.91,210.21,210.92,208.86,8382
190,2015-06-26,210.5,208.74,210.5,208.45,2027
191,2015-06-29,208.74,208.42,210.69,207.87,3032
192,2015-06-30,208.85,209.41,209.41,208.06,1334
193,2015-07-01,209.0,208.02,209.8,208.02,6849
194,2015-07-02,206.38,206.75,206.8,205.74,1017
195,2015-07-03,207.01,208.97,208.97,206.75,1620
196,2015-07-06,208.94,208.43,209.67,208.43,322
197,2015-07-07,209.4,213.1,213.2,209.4,649
198,2015-07-08,213.65,214.26,215.1,213.65,1043
199,2015-07-09,214.82,213.5,214.82,213.35,2496
200,2015-07-10,213.56,210.22,213.56,210.07,2117
201,2015-07-13,208.81,209.97,209.97,207.82,4027
202,2015-07-14,212.22,210.52,212.22,209.14,563
203,2015-07-15,210.9,213.64,213.64,210.9,1615
204,2015-07-16,213.71,213.48,213.71,212.5,1625
205,2015-07-17,214.38,215.87,215.87,214.38,921
206,2015-07-20,215.19,216.72,218.24,215.19,5361
207,2015-07-21,217.82,215.35,217.95,215.35,719
208,2015-07-22,215.98,216.61,216.61,215.28,602
209,2015-07-23,218.33,217.3,218.33,217.28,12666
210,2015-07-24,218.08,219.25,219.25,218.08,2545
211,2015-07-27,219.71,219.41,220.44,219.41,6485
212,2015-07-28,219.51,219.61,219.72,219.19,2798
213,2015-07-29,219.25,218.68,219.57,218.68,733
214,2015-07-30,218.2,221.04,221.04,218.2,9263
215,2015-07-31,221.88,222.12,222.12,219.79,21765
216,2015-08-03,222.28,222.25,222.31,221.25,542
217,2015-08-04,222.96,221.71,223.28,221.51,1005
218,2015-08-05,220.94,217.12,220.94,217.12,1299
219,2015-08-06,217.53,218.98,218.98,217.31,9491
220,2015-08-07,218.59,220.07,220.07,218.53,264
221,2015-08-10,219.48,219.84,220.43,219.48,1713
222,2015-08-11,221.58,222.92,223.06,220.69,4372
223,2015-08-12,224.37,222.88,224.59,222.69,4921
224,2015-08-13,221.86,222.34,222.55,221.86,2053
225,2015-08-14,222.08,221.77,223.37,221.77,1094
226,2015-08-17,222.25,223.09,223.09,222.25,272
227,2015-08-18,224.02,222.03,224.02,222.03,1177
228,2015-08-19,222.06,222.03,222.53,221.44,511
229,2015-08-20,222.48,222.85,223.28,222.48,276
230,2015-08-21,223.32,223.18,223.32,222.16,3084
231,2015-08-24,223.23,223.15,223.68,222.26,27477
232,2015-08-25,222.03,217.22,222.03,216.65,2788
233,2015-08-26,217.4,217.68,219.16,217.3,321
234,2015-08-27,217.32,217.27,218.36,216.9,16769
235,2015-08-28,218.08,217.54,218.46,217.54,6678
236,2015-08-31,216.97,215.95,218.14,215.95,234
237,2015-09-01,216.32,215.11,216.42,214.84,5355
238,2015-09-02,215.21,215.4,216.09,214.77,823
239,2015-09-03,216.38,217.11,217.24,215.6,32
240,2015-09-04,217.56,219.1,219.1,217.56,8
241,2015-09-07,218.93,217.43,218.93,217.43,337
242,2015-09-08,216.84,217.94,218.15,216.84,3311
243,2015-09-09,217.23,217.72,217.9,217.23,296
244,2015-09-10,218.67,217.85,218.67,217.85,144
245,2015-09-11,218.2,218.16,218.36,217.43,141
246,2015-09-14,218.35,218.06,218.79,218.06,82
247,2015-09-15,218.19,216.57,218.28,216.57,144
248,2015-09-16,216.71,215.71,216.71,215.4,1009
249,2015-09-17,215.76,216.12,216.34,215.75,120
250,2015-09-18,219.97,220.76,220.76,219.1,146
251,2015-09-21,221.31,219.37,221.31,219.37,917
252,2015-09-22,219.89,221.45,221.81,219.89,402
253,2015-09-23,221.79,222.03,222.04,221.5,165
254,2015-09-24,221.69,222.3,223.08,221.69,831
255,2015-09-25,221.87,220.33,221.87,220.33,12906
256,2015-09-28,220.7,222.05,222.05,220.7,761
257,2015-09-29,222.58,222.81,222.81,221.86,797
258,2015-09-30,223.58,222.4,223.58,222.24,3603
259,2015-10-01,222.57,224.03,224.03,222.4,5203
260,2015-10-02,223.01,225.46,225.46,222.81,140
261,2015-10-05,224.46,223.46,224.6,223.46,267
262,2015-10-06,223.51,222.08,223.51,221.97,1862
263,2015-10-07,222.72,222.5,222.72,221.26,177
264,2015-10-08,222.97,223.18,224.05,222.97,221
265,2015-10-09,222.53,222.59,223.11,222.53,156
266,2015-10-12,222.53,223.8,223.97,222.53,307
267,2015-10-13,223.89,223.42,224.54,223.22,780
268,2015-10-14,223.93,224.67,224.75,223.93,3842
269,2015-10-15,224.56,224.25,225.16,224.25,1624
270,2015-10-16,224.66,224.87,225.34,224.66,5429
271,2015-10-19,224.37,224.55,224.55,223.93,1225
272,2015-10-20,224.48,222.58,224.48,222.39,16268
273,2015-10-21,223.17,224.88,224.88,222.8,983
274,2015-10-22,224.46,228.06,228.06,224.46,4305
275,2015-10-23,228.64,227.53,228.64,227.19,87
276,2015-10-26,228.39,227.98,228.39,227.84,906
277,2015-10-27,229.87,229.87,230.06,228.1,96
278,2015-10-28,230.04,230.62,231.23,229.72,1971
279,2015-10-29,231.05,228.12,231.05,228.12,193
280,2015-10-30,228.54,227.95,229.36,227.3,7287
281,2015-11-02,226.0,225.81,226.82,225.67,533
282,2015-11-03,225.5,225.04,226.0,224.82,1943
283,2015-11-04,224.56,224.02,225.55,224.02,2984
284,2015-11-05,222.93,222.53,223.64,222.41,2918
285,2015-11-06,223.11,219.53,223.11,219.53,4212
286,2015-11-09,219.94,218.14,219.94,217.6,670
287,2015-11-10,218.25,219.92,220.36,218.25,6188
288,2015-11-11,219.05,220.81,221.09,219.05,58
289,2015-11-12,219.23,220.23,220.23,219.23,127
290,2015-11-13,221.03,221.92,221.92,220.93,614
291,2015-11-16,222.28,222.27,222.38,221.4,450
292,2015-11-17,222.54,222.48,222.6,222.3,1253
293,2015-11-18,223.11,223.92,223.92,222.92,94
294,2015-11-19,224.82,225.42,225.63,224.68,476
295,2015-11-20,225.22,226.74,226.74,225.22,248
296,2015-11-23,226.56,225.12,226.56,225.11,7683
297,2015-11-24,225.61,225.15,226.19,224.94,1985
298,2015-11-25,225.2,226.45,226.45,225.2,8828
299,2015-11-26,226.5,226.53,226.53,226.32,380
300,2015-11-27,227.49,226.87,227.49,226.57,8639
301,2015-11-30,227.57,225.94,227.57,225.86,1129
302,2015-12-01,224.87,225.19,226.18,224.41,9402
303,2015-12-02,225.96,226.12,226.34,225.96,2090
304,2015-12-03,225.54,220.19,225.61,220.19,1142
305,2015-12-04,220.38,220.09,221.41,220.09,14638
306,2015-12-07,221.1,223.31,223.32,221.1,1315
307,2015-12-08,223.33,224.23,224.23,223.33,152
308,2015-12-09,223.31,223.28,224.79,223.27,246
309,2015-12-10,222.55,223.66,224.1,222.55,205
310,2015-12-11,223.33,224.73,224.73,223.1,2249
311,2015-12-14,224.77,223.0,224.77,223.0,9604
312,2015-12-15,222.83,221.06,222.83,220.66,13605
313,2015-12-16,221.51,220.52,222.16,220.52,1857
314,2015-12-17,222.0,222.75,222.87,222.0,1778
315,2015-12-18,223.92,224.84,224.84,223.92,83
316,2015-12-21,223.01,224.06,224.43,223.01,287
317,2015-12-22,223.72,222.47,223.79,222.47,263
318,2015-12-23,222.07,221.04,222.07,221.04,191
319,2015-12-24,221.03,220.59,221.03,220.59,0
320,2015-12-28,222.99,223.1,223.1,221.39,635
321,2015-12-29,221.89,220.09,222.21,220.09,869
322,2015-12-30,220.19,220.69,220.72,219.28,1849
323,2015-12-31,221.03,221.25,221.87,221.03,278
324,2016-01-04,223.92,222.39,223.92,222.37,596
325,2016-01-05,222.21,222.71,222.89,222.21,500
326,2016-01-06,223.51,223.54,224.27,223.51,10661
327,2016-01-07,224.09,221.78,224.09,221.51,184
328,2016-01-08,222.11,223.26,223.26,222.11,1378
329,2016-01-11,222.43,222.16,223.01,222.16,322
330,2016-01-12,221.18,222.3,222.3,220.6,560
331,2016-01-13,222.28,223.91,224.0,222.26,336
332,2016-01-14,224.37,223.5,225.06,223.5,224
333,2016-01-15,224.5,224.62,225.38,224.1,13040
334,2016-01-18,223.33,224.05,224.62,223.33,6866
335,2016-01-19,223.0,224.25,224.25,223.0,582
336,2016-01-20,224.87,224.53,226.0,224.53,482
337,2016-01-21,224.11,226.3,227.37,224.11,4463
338,2016-01-22,226.35,225.12,226.35,225.12,145
339,2016-01-25,226.4,225.78,226.4,225.4,3561
340,2016-01-26,226.92,227.62,227.62,226.45,515
