,date,open,close,high,low,volumme
0,2014-09-22,166.24,165.89,166.24,165.81,2841
1,2014-09-23,166.1,165.8,166.1,165.73,7692
2,2014-09-24,165.44,165.83,165.9,165.44,6027
3,2014-09-25,165.94,165.96,166.02,165.83,3129
4,2014-09-26,166.1,165.9,166.1,165.9,1557
5,2014-09-29,165.79,165.81,165.85,165.68,10009
6,2014-09-30,166.13,166.01,166.13,165.79,12208
7,2014-10-01,166.11,166.2,166.25,166.02,6908
8,2014-10-02,166.14,166.08,166.26,165.94,7416
9,2014-10-03,166.1,165.99,166.12,165.86,4339
10,2014-10-06,166.2,165.94,166.2,165.88,5272
11,2014-10-07,165.83,165.89,165.98,165.79,5877
12,2014-10-08,165.63,165.9,166.01,165.63,14338
13,2014-10-09,165.9,165.96,166.16,165.9,2091
14,2014-10-10,165.59,165.98,166.04,165.59,3277
15,2014-10-13,166.0,165.9,166.02,165.82,4396
16,2014-10-14,165.8,166.09,166.09,165.8,3822
17,2014-10-15,165.96,165.94,166.15,165.84,8100
18,2014-10-16,165.53,165.3,165.73,164.79,29060
19,2014-10-17,165.1,165.49,165.58,164.96,14412
20,2014-10-20,165.74,165.33,165.74,165.28,3706
21,2014-10-21,165.0,165.47,165.55,165.0,949
22,2014-10-22,165.41,165.54,165.67,165.41,3266
23,2014-10-23,165.58,165.52,165.61,165.36,9376
24,2014-10-24,165.4,165.47,165.69,165.4,1865
25,2014-10-27,165.56,165.47,165.59,165.44,2159
26,2014-10-28,165.8,165.45,165.8,165.36,6701
27,2014-10-29,165.68,165.4,165.68,165.42,11063
28,2014-10-30,164.33,164.39,164.48,164.23,3560
29,2014-10-31,164.7,164.64,164.7,164.52,6980
30,2014-11-03,164.95,164.45,164.95,164.39,4360
31,2014-11-04,164.26,164.52,164.7,164.26,3556
32,2014-11-05,164.15,164.48,165.97,164.15,4035
33,2014-11-06,164.18,164.63,164.78,164.18,4018
34,2014-11-07,164.51,164.64,164.7,164.51,4527
35,2014-11-10,164.91,164.68,164.91,164.57,3283
36,2014-11-11,164.4,164.76,164.82,164.4,2361
37,2014-11-12,164.68,164.69,164.86,164.66,6526
38,2014-11-13,164.76,164.68,164.77,164.57,5097
39,2014-11-14,164.55,164.72,164.78,164.55,8234
40,2014-11-17,164.68,164.72,164.8,164.58,7392
41,2014-11-18,164.88,164.69,164.88,164.67,7273
42,2014-11-19,164.62,164.55,164.66,164.46,7686
43,2014-11-20,164.25,164.68,164.75,164.25,6668
44,2014-11-21,164.44,164.96,165.01,164.44,3319
45,2014-11-24,163.97,165.05,165.17,163.97,5665
46,2014-11-25,165.18,165.13,165.2,165.02,30092
47,2014-11-26,165.99,165.08,165.99,164.93,10482
