,date,open,close,high,low,volumme
0,2014-09-25,103.86,103.97,103.97,103.86,0
1,2014-09-26,103.95,104.26,104.26,103.93,365
2,2014-09-29,104.43,104.2,104.43,104.2,618
3,2014-09-30,104.38,104.87,105.12,104.38,300
4,2014-10-01,104.88,105.11,105.11,104.88,85
5,2014-10-02,104.87,104.76,104.87,104.62,305
6,2014-10-03,104.8,105.74,105.82,104.8,4071
7,2014-10-06,105.65,105.35,105.65,105.35,20000
8,2014-10-07,104.85,104.93,104.93,104.85,0
9,2014-10-08,104.86,104.58,104.86,104.54,375
10,2014-10-09,103.94,104.55,104.55,103.94,0
11,2014-10-10,104.6,105.02,105.02,104.59,3671
12,2014-10-13,104.92,104.79,104.92,104.7,2498
13,2014-10-14,104.48,104.87,105.02,104.48,302
14,2014-10-15,104.95,104.12,105.11,104.12,1397
15,2014-10-16,103.94,103.81,104.31,103.81,4857
16,2014-10-17,103.95,104.15,104.17,103.63,4499
17,2014-10-20,104.28,103.91,104.28,103.91,1146
18,2014-10-21,103.67,104.45,104.45,103.59,497
19,2014-10-22,104.44,104.95,104.95,104.44,737
20,2014-10-23,105.25,104.99,105.25,104.84,5463
21,2014-10-24,105.03,104.82,105.03,104.73,110
22,2014-10-27,104.64,104.5,104.84,104.5,2615
23,2014-10-28,104.47,104.2,104.63,104.2,198
24,2014-10-29,104.26,104.11,104.26,103.99,462
25,2014-10-30,105.44,105.09,105.45,105.09,811
26,2014-10-31,105.43,105.87,106.12,105.43,33580
27,2014-11-03,106.15,106.16,106.23,106.08,8659
28,2014-11-04,106.1,105.64,106.1,105.64,240
29,2014-11-05,105.9,106.18,106.27,105.9,60
30,2014-11-06,106.03,106.78,106.78,106.03,1994
31,2014-11-07,107.02,106.82,107.02,106.82,7143
32,2014-11-10,106.44,106.65,106.65,106.44,1796
33,2014-11-11,106.87,106.49,106.87,106.49,1640
34,2014-11-12,106.18,106.42,106.46,106.18,2644
