,date,open,close,high,low,volumme
0,2014-09-22,153.72,153.78,153.83,153.61,3556
1,2014-09-23,153.85,153.78,153.94,153.69,1619
2,2014-09-24,153.78,153.83,153.93,153.73,1229
3,2014-09-25,153.81,154.04,154.04,153.81,12039
4,2014-09-26,154.1,154.0,154.1,153.86,5160
5,2014-09-29,153.85,154.0,154.0,153.85,1434
6,2014-09-30,153.91,154.03,154.08,153.91,6213
7,2014-10-01,154.05,154.27,154.39,154.04,12659
8,2014-10-02,154.46,154.33,154.76,154.13,15502
9,2014-10-03,154.24,154.27,154.31,154.16,8895
10,2014-10-06,154.33,154.37,154.51,154.25,19402
11,2014-10-07,154.49,154.42,154.49,154.31,7749
12,2014-10-08,154.63,154.46,154.63,154.38,4028
13,2014-10-09,154.56,154.46,154.68,154.41,6998
14,2014-10-10,154.6,154.45,154.6,154.39,10714
15,2014-10-13,154.12,154.47,154.56,154.12,3486
16,2014-10-14,154.41,154.71,154.75,154.41,4269
17,2014-10-15,154.77,155.0,155.18,154.73,10068
18,2014-10-16,154.83,154.49,155.03,154.46,2146
19,2014-10-17,154.37,154.55,154.57,154.34,3969
20,2014-10-20,154.54,154.64,154.73,154.54,1271
21,2014-10-21,154.49,154.52,154.67,154.45,27182
22,2014-10-22,154.6,154.57,154.63,154.48,14898
23,2014-10-23,154.43,154.48,154.55,154.43,3727
24,2014-10-24,154.59,154.46,154.66,154.42,7364
25,2014-10-27,154.51,154.57,154.61,154.47,53010
26,2014-10-28,154.36,154.55,154.62,154.36,7084
27,2014-10-29,154.51,154.54,154.69,154.51,3712
28,2014-10-30,154.65,154.77,154.85,154.61,6928
29,2014-10-31,154.9,154.85,154.95,154.73,10018
30,2014-11-03,154.78,154.81,154.99,154.76,1889
31,2014-11-04,154.88,155.03,155.12,154.88,4089
32,2014-11-05,155.07,154.96,155.07,154.91,6303
33,2014-11-06,154.93,154.95,155.05,154.89,5848
34,2014-11-07,154.99,155.02,155.08,154.66,6313
35,2014-11-10,155.2,155.04,155.2,154.99,3342
36,2014-11-11,155.13,155.01,155.13,154.92,4479
37,2014-11-12,155.06,155.16,155.24,155.04,5254
38,2014-11-13,155.15,155.19,155.3,155.12,9558
39,2014-11-14,155.05,155.21,155.29,155.05,3076
40,2014-11-17,155.3,155.09,155.3,154.97,6980
41,2014-11-18,155.11,155.03,155.16,155.0,1667
42,2014-11-19,155.05,154.82,155.19,154.73,10566
43,2014-11-20,154.87,154.98,155.02,154.84,19660
44,2014-11-21,155.09,155.11,155.13,154.98,1985
45,2014-11-24,155.27,155.04,155.27,154.93,1908
46,2014-11-25,155.08,155.11,155.17,154.99,2561
47,2014-11-26,155.15,155.17,155.18,154.98,6741
48,2014-11-27,155.16,155.24,155.27,155.12,3492
49,2014-11-28,155.19,155.13,155.26,155.03,4407
50,2014-12-01,155.18,154.97,155.72,154.85,2824
51,2014-12-02,155.08,154.88,155.08,154.75,3339
52,2014-12-03,154.64,154.7,155.01,152.7,5087
53,2014-12-04,154.84,154.72,155.0,154.6,2381
54,2014-12-05,154.49,154.67,154.92,154.49,3611
55,2014-12-08,154.66,154.88,155.0,154.66,2870
56,2014-12-09,154.92,154.88,154.99,154.72,5075
57,2014-12-10,155.03,154.96,155.05,154.79,4344
58,2014-12-11,155.23,154.94,155.23,154.79,2878
59,2014-12-12,155.31,155.14,155.31,154.84,6974
60,2014-12-15,155.38,155.06,155.38,154.92,7320
61,2014-12-16,155.07,155.05,155.35,154.98,2358
62,2014-12-17,154.91,155.1,155.34,154.91,5930
63,2014-12-18,153.7,154.04,154.25,153.7,4241
64,2014-12-19,153.95,154.12,154.22,153.91,19754
65,2014-12-22,154.12,154.15,154.18,153.97,1840
66,2014-12-23,154.4,154.18,154.4,154.04,444
67,2014-12-24,154.15,154.09,154.44,153.97,1064
68,2014-12-29,154.05,154.37,154.37,154.05,1944
69,2014-12-30,154.3,154.47,154.51,154.2,796
70,2014-12-31,154.45,154.43,154.65,154.43,27
71,2015-01-02,154.45,154.66,154.81,154.38,3671
72,2015-01-05,154.61,154.58,154.77,154.46,8404
73,2015-01-06,154.67,154.77,154.89,154.56,6101
74,2015-01-07,154.74,154.73,154.9,154.65,4894
75,2015-01-08,154.79,154.68,154.79,154.59,7119
76,2015-01-09,154.64,154.72,154.77,154.5,7257
77,2015-01-12,154.65,154.74,154.94,154.59,5054
78,2015-01-13,154.81,154.7,154.88,154.53,4723
79,2015-01-14,154.84,154.82,154.95,154.7,4272
80,2015-01-15,154.71,154.99,155.13,154.71,3064
81,2015-01-16,155.03,155.02,155.34,154.94,1935
82,2015-01-19,155.09,155.06,155.26,154.89,4475
83,2015-01-20,155.04,155.09,155.23,154.83,4223
84,2015-01-21,155.2,154.65,155.2,154.55,5701
85,2015-01-22,154.73,154.87,154.97,154.43,4491
86,2015-01-23,155.14,155.16,155.29,155.01,6149
87,2015-01-26,155.28,154.93,155.28,154.92,6317
88,2015-01-27,155.09,155.04,155.13,154.8,5169
89,2015-01-28,154.77,155.04,155.18,154.77,3069
90,2015-01-29,155.24,154.9,155.24,154.82,8235
91,2015-01-30,155.17,155.12,155.21,154.76,5205
92,2015-02-02,155.35,155.1,155.35,154.91,4581
93,2015-02-03,154.78,155.09,155.29,154.78,3891
94,2015-02-04,155.08,155.09,155.25,155.0,4029
95,2015-02-05,155.23,155.19,155.26,155.03,9351
96,2015-02-06,155.0,155.15,155.71,155.0,3538
97,2015-02-09,155.25,155.2,155.38,155.15,2742
98,2015-02-10,155.16,155.25,155.31,155.08,1660
99,2015-02-11,155.37,155.3,155.41,155.19,3700
100,2015-02-12,155.54,155.46,155.56,155.23,7793
101,2015-02-13,155.42,155.44,155.52,155.3,4906
102,2015-02-16,155.45,155.43,155.55,155.4,4753
103,2015-02-17,155.52,155.28,155.52,155.28,3505
104,2015-02-18,155.25,155.3,155.46,155.25,3016
105,2015-02-19,155.55,155.35,155.55,155.25,3875
106,2015-02-20,155.47,155.32,155.51,155.19,4630
107,2015-02-23,155.35,155.52,155.54,155.3,4668
108,2015-02-24,155.53,155.51,155.63,155.39,5136
109,2015-02-25,155.79,155.74,155.79,155.53,5483
110,2015-02-26,159.24,155.84,159.24,155.76,3553
111,2015-02-27,155.66,155.73,155.89,155.66,15413
112,2015-03-02,155.99,155.76,155.99,155.69,9699
113,2015-03-03,155.9,155.75,155.94,155.66,5184
114,2015-03-04,155.65,155.67,155.87,155.65,4529
115,2015-03-05,155.8,155.66,155.8,155.58,5083
116,2015-03-06,155.44,155.47,155.62,155.3,7961
117,2015-03-09,155.46,155.45,155.69,155.42,11663
118,2015-03-10,155.82,155.98,156.08,155.68,2322
119,2015-03-11,155.93,156.26,156.26,155.91,4381
120,2015-03-12,156.23,156.08,156.44,156.02,4580
121,2015-03-13,155.96,156.2,156.26,155.85,14339
122,2015-03-16,155.87,156.03,156.25,155.87,9889
123,2015-03-17,156.29,156.03,156.29,155.91,41598
124,2015-03-18,156.01,156.29,156.3,155.92,16072
125,2015-03-19,156.43,156.29,156.45,156.15,14778
126,2015-03-20,156.14,156.36,156.36,156.14,5680
127,2015-03-23,156.6,156.21,156.6,156.1,6937
128,2015-03-24,156.19,156.15,156.26,156.09,6364
129,2015-03-25,156.22,156.16,156.24,156.11,1339
130,2015-03-26,156.2,156.28,156.28,156.19,3462
131,2015-03-27,156.24,156.17,156.32,156.17,892
132,2015-03-30,156.33,156.14,156.33,156.14,625
133,2015-03-31,156.22,156.32,156.38,156.22,252
134,2015-04-01,156.34,156.37,156.4,156.34,241
135,2015-04-02,156.38,156.28,156.38,156.28,3554
136,2015-04-07,156.4,156.42,156.48,156.4,2333
137,2015-04-08,156.46,156.58,156.58,156.37,113
138,2015-04-09,156.53,156.51,156.53,156.39,1392
139,2015-04-10,156.61,156.65,156.65,156.57,876
140,2015-04-13,156.55,156.55,156.68,156.33,10320
141,2015-04-14,156.55,156.72,156.93,156.55,1776
142,2015-04-15,156.71,156.89,156.89,156.71,0
143,2015-04-16,156.93,156.94,156.94,156.8,12127
144,2015-04-17,156.98,156.91,156.99,156.8,329
145,2015-04-20,156.97,156.91,156.97,156.8,193
146,2015-04-21,156.99,156.88,156.99,156.81,3700
147,2015-04-22,156.92,156.64,156.92,156.64,12514
148,2015-04-23,156.95,156.72,156.95,156.53,172
149,2015-04-24,156.74,156.78,156.9,156.74,8081
150,2015-04-27,156.84,156.86,157.04,156.84,2
151,2015-04-28,156.91,156.86,156.97,156.86,171
152,2015-04-29,156.84,156.42,156.84,156.42,107
153,2015-04-30,156.45,156.0,156.45,155.74,6357
154,2015-05-04,155.88,155.58,155.88,155.51,535
155,2015-05-05,155.71,155.28,155.71,155.28,3
156,2015-05-06,155.01,155.12,155.38,155.01,1207
157,2015-05-07,155.0,154.94,155.15,154.22,6389
158,2015-05-08,155.16,155.24,155.24,155.16,1900
159,2015-05-11,155.43,154.94,155.43,154.94,71
160,2015-05-12,154.56,154.66,154.77,154.55,1681
161,2015-05-13,154.7,154.55,155.03,154.55,2666
162,2015-05-14,154.64,154.6,154.64,154.35,1727
163,2015-05-15,154.72,154.86,154.86,154.57,2274
164,2015-05-18,154.85,154.91,154.91,154.67,3826
165,2015-05-19,155.13,155.15,155.31,154.9,1235
166,2015-05-20,155.22,155.03,155.22,154.98,2671
167,2015-05-21,154.97,154.98,154.98,154.96,140
168,2015-05-22,155.02,155.07,155.13,155.02,2756
169,2015-05-25,154.93,154.93,154.93,154.93,0
170,2015-05-26,155.03,155.28,155.37,155.03,30
171,2015-05-27,155.31,155.34,155.34,155.25,15402
