,date,open,close,high,low,volumme
0,2014-09-22,29.445,29.385,29.465,29.385,11400
1,2014-09-23,29.235,28.95,29.235,28.95,2453
2,2014-09-24,28.98,29.205,29.205,28.975,17984
3,2014-09-25,29.2,28.865,29.295,28.865,732
4,2014-09-26,28.82,28.965,29.01,28.82,517
5,2014-09-29,28.95,28.765,28.95,28.6,1877
6,2014-09-30,28.86,29.04,29.05,28.825,16461
7,2014-10-01,29.0,28.78,29.085,28.78,1200
8,2014-10-02,28.685,28.155,28.765,28.155,222
9,2014-10-03,28.33,28.43,28.505,28.29,29800
10,2014-10-06,28.595,28.405,28.595,28.405,345
11,2014-10-07,28.26,27.96,28.26,27.96,1638
12,2014-10-08,27.805,27.695,27.815,27.695,2849
13,2014-10-09,27.99,27.72,28.05,27.72,70
14,2014-10-10,27.515,27.275,27.55,27.275,3578
15,2014-10-13,27.03,27.215,27.31,27.01,4000
16,2014-10-14,27.05,27.235,27.235,27.05,1050
17,2014-10-15,27.225,26.425,27.26,26.425,135
18,2014-10-16,26.68,26.355,26.68,25.7,32370
19,2014-10-17,26.435,27.12,27.125,26.4,3340
20,2014-10-20,27.015,26.82,27.015,26.82,40
21,2014-10-21,26.75,27.365,27.365,26.75,6060
22,2014-10-22,27.43,27.44,27.44,27.43,3000
23,2014-10-23,27.2,27.74,27.74,27.2,3299
24,2014-10-24,27.555,27.605,27.63,27.555,54
25,2014-10-27,27.865,27.5,27.865,27.35,713
26,2014-10-28,27.775,27.93,27.93,27.775,481
27,2014-10-29,28.145,27.985,28.145,27.985,150
28,2014-10-30,28.165,28.145,28.165,27.95,149
29,2014-10-31,28.52,28.745,28.745,28.505,10543
30,2014-11-03,28.67,28.55,28.67,28.55,185
31,2014-11-04,28.47,28.22,28.655,28.22,329
32,2014-11-05,28.465,28.68,28.68,28.465,0
33,2014-11-06,28.6,28.875,28.99,28.6,172
34,2014-11-07,28.885,28.52,28.885,28.465,3717
35,2014-11-10,28.43,28.71,28.71,28.43,2818
36,2014-11-11,28.805,28.84,28.84,28.8,50
37,2014-11-12,28.705,28.43,28.705,28.43,105
38,2014-11-13,28.585,28.615,28.725,28.585,275
39,2014-11-14,28.73,28.635,28.73,28.635,400
40,2014-11-17,28.365,28.74,28.74,28.365,50
41,2014-11-18,28.745,29.04,29.04,28.745,660
42,2014-11-19,29.03,29.105,29.105,29.03,1140
43,2014-11-20,29.06,29.06,29.06,28.86,400
44,2014-11-21,29.125,29.775,29.775,29.125,453
45,2014-11-24,29.76,29.895,30.0,29.76,695
46,2014-11-25,29.875,30.05,30.16,29.875,1963
47,2014-11-26,30.135,29.99,30.135,29.975,1227
48,2014-11-27,30.065,30.255,30.26,30.02,54722
49,2014-11-28,30.335,30.34,30.34,30.18,4389
50,2014-12-01,30.225,30.235,30.26,30.085,18064
51,2014-12-02,30.295,30.17,30.4,30.155,1448
52,2014-12-03,30.19,30.215,30.25,30.175,315
53,2014-12-04,30.31,29.84,30.4,29.84,622
54,2014-12-05,30.115,30.515,30.515,30.115,931
55,2014-12-08,30.52,30.33,30.52,30.33,408
