,date,open,close,high,low,volumme
0,2014-09-22,20.075,20.065,20.13,20.06,169
1,2014-09-23,19.985,19.85,19.985,19.835,910
2,2014-09-24,19.89,19.975,19.975,19.89,0
3,2014-09-25,19.985,19.865,19.985,19.865,0
4,2014-09-26,19.845,19.885,19.92,19.845,300
5,2014-09-29,19.935,19.905,19.935,19.755,590
6,2014-09-30,20.02,20.19,20.19,20.02,325
7,2014-10-01,20.09,20.17,20.175,20.09,248
8,2014-10-02,20.195,19.74,20.195,19.74,1115
9,2014-10-03,19.9,20.015,20.015,19.9,9350
10,2014-10-06,20.155,20.07,20.155,20.07,2
11,2014-10-07,19.95,19.9,19.95,19.9,0
12,2014-10-08,19.89,19.785,19.89,19.785,15000
13,2014-10-09,19.955,19.85,19.955,19.85,0
14,2014-10-10,19.66,19.62,19.755,19.62,7350
15,2014-10-13,19.51,19.68,19.68,19.51,0
16,2014-10-14,19.49,19.585,19.585,19.415,496
17,2014-10-15,19.555,19.05,19.555,19.05,200
18,2014-10-16,19.085,19.165,19.165,18.715,254
19,2014-10-17,19.305,19.48,19.48,19.305,4960
20,2014-10-20,19.525,19.53,19.53,19.35,823
21,2014-10-21,19.49,19.84,19.855,19.45,9184
22,2014-10-22,19.825,20.095,20.095,19.825,0
23,2014-10-23,20.01,20.11,20.11,20.01,10567
24,2014-10-24,20.005,20.13,20.13,20.005,9063
25,2014-10-27,20.23,20.055,20.23,20.055,8500
26,2014-10-28,20.18,20.195,20.285,20.18,62
27,2014-10-29,20.345,20.295,20.345,20.295,0
28,2014-10-30,20.305,20.465,20.465,20.25,6529
29,2014-10-31,20.725,20.76,20.76,20.725,0
30,2014-11-03,20.735,20.72,20.76,20.7,606
31,2014-11-04,20.64,20.425,20.75,20.425,5
32,2014-11-05,20.685,20.81,20.81,20.685,1330
33,2014-11-06,20.775,20.83,21.0,20.775,2625
34,2014-11-07,20.995,20.835,20.995,20.82,480
35,2014-11-10,20.78,20.955,20.955,20.78,0
36,2014-11-11,21.07,20.98,21.07,20.98,55631
37,2014-11-12,20.895,20.68,20.895,20.68,22152
38,2014-11-13,20.7,20.59,20.7,20.59,50
39,2014-11-14,20.555,20.475,20.555,20.475,0
40,2014-11-17,20.29,20.555,20.555,20.29,819
41,2014-11-18,20.595,20.67,20.67,20.545,8800
42,2014-11-19,20.66,20.595,20.66,20.595,250
43,2014-11-20,20.59,20.625,20.665,20.585,2805
44,2014-11-21,20.62,20.925,20.975,20.62,878
45,2014-11-24,21.0,20.82,21.0,20.815,3168
46,2014-11-25,20.86,20.745,20.86,20.73,2157
47,2014-11-26,20.835,20.8,20.92,20.8,1554
48,2014-11-27,20.815,20.9,20.9,20.815,0
49,2014-11-28,20.945,20.945,20.99,20.83,550
50,2014-12-01,20.88,20.825,20.88,20.76,2100
51,2014-12-02,20.86,20.995,20.995,20.86,240
52,2014-12-03,21.035,21.155,21.155,21.035,0
53,2014-12-04,21.19,20.98,21.235,20.98,23518
54,2014-12-05,21.125,21.165,21.165,21.125,300
55,2014-12-08,21.13,21.095,21.145,21.095,3100
56,2014-12-09,20.87,20.725,20.87,20.725,0
57,2014-12-10,20.875,20.635,20.875,20.635,16
58,2014-12-11,20.505,20.72,20.74,20.505,1328
59,2014-12-12,20.53,20.245,20.53,20.245,0
60,2014-12-15,19.995,19.89,19.995,19.89,921
61,2014-12-16,19.975,20.185,20.185,19.97,150
62,2014-12-17,19.965,20.24,20.24,19.965,0
63,2014-12-18,20.585,20.79,20.79,20.585,1700
64,2014-12-19,21.02,21.045,21.08,20.985,476
65,2014-12-22,21.13,21.06,21.13,21.055,344
66,2014-12-23,21.15,21.34,21.37,21.15,1100
67,2014-12-24,21.31,21.31,21.31,21.31,0
68,2014-12-29,21.5,21.81,21.87,21.5,262
69,2014-12-30,21.76,21.585,21.76,21.585,77
70,2014-12-31,21.62,21.64,21.64,21.62,0
71,2015-01-02,21.59,21.56,21.595,21.56,100
72,2015-01-05,21.55,21.28,21.66,21.28,133
73,2015-01-06,21.435,21.175,21.435,21.175,250
74,2015-01-07,21.23,21.34,21.38,21.23,1114
75,2015-01-08,21.525,21.7,21.7,21.525,1050
76,2015-01-09,21.615,21.415,21.745,21.415,350
77,2015-01-12,21.4,21.295,21.57,21.295,105
78,2015-01-13,21.28,21.62,21.68,21.28,761
79,2015-01-14,21.285,21.255,21.42,21.245,844
80,2015-01-15,21.665,21.86,21.9,21.665,1220
81,2015-01-16,21.82,22.165,22.405,21.8,9503
82,2015-01-19,22.32,22.11,22.32,22.11,230
83,2015-01-20,22.225,22.25,22.315,22.215,344
84,2015-01-21,22.38,22.4,22.4,22.19,8345
85,2015-01-22,22.49,22.725,22.725,22.355,50708
86,2015-01-23,22.865,23.125,23.195,22.865,596
87,2015-01-26,23.075,23.085,23.155,23.075,631
88,2015-01-27,23.195,23.025,23.195,23.025,210
89,2015-01-28,23.29,23.185,23.29,23.125,10348
90,2015-01-29,23.14,22.91,23.14,22.91,215
91,2015-01-30,23.005,22.88,23.005,22.88,2486
92,2015-02-02,22.86,22.85,22.86,22.725,13870
93,2015-02-03,22.845,22.695,22.965,22.695,1744
94,2015-02-04,22.755,22.775,22.83,22.75,469
95,2015-02-05,22.755,22.725,22.755,22.6,1139
96,2015-02-06,22.69,22.61,22.69,22.61,220
97,2015-02-09,22.22,22.25,22.29,22.22,440
98,2015-02-10,22.155,22.315,22.365,22.11,1645
99,2015-02-11,22.42,22.26,22.42,22.26,0
100,2015-02-12,22.165,22.15,22.3,22.15,500
101,2015-02-13,22.095,22.065,22.095,22.05,258
102,2015-02-16,22.045,21.925,22.045,21.9,80
103,2015-02-17,21.945,22.065,22.065,21.945,0
104,2015-02-18,21.975,22.11,22.11,21.965,1380
105,2015-02-19,22.085,22.145,22.2,22.085,884
106,2015-02-20,22.145,22.025,22.235,22.025,5200
107,2015-02-23,22.135,22.195,22.195,22.135,0
108,2015-02-24,22.23,22.485,22.485,22.23,84
109,2015-02-25,22.48,22.325,22.48,22.265,124
110,2015-02-26,22.245,22.355,22.355,22.245,0
111,2015-02-27,22.33,22.385,22.385,22.29,100
112,2015-03-02,22.42,22.15,22.42,22.15,20
113,2015-03-03,22.145,22.085,22.145,22.0,599
114,2015-03-04,22.11,22.205,22.205,22.11,1190
115,2015-03-05,22.3,22.44,22.48,22.295,2180
116,2015-03-06,22.44,22.28,22.44,22.28,200
117,2015-03-09,22.165,22.265,22.265,22.165,0
118,2015-03-10,22.28,22.31,22.31,22.28,0
119,2015-03-11,22.415,22.49,22.49,22.415,0
120,2015-03-12,22.43,22.605,22.605,22.43,1
121,2015-03-13,22.635,22.54,22.635,22.54,2
122,2015-03-16,22.53,22.77,22.77,22.53,28
123,2015-03-17,22.67,22.735,22.735,22.67,0
124,2015-03-18,22.79,22.85,22.85,22.67,500
125,2015-03-19,23.17,23.055,23.17,23.055,0
126,2015-03-20,23.08,22.97,23.08,22.97,1033
127,2015-03-23,23.03,22.84,23.03,22.765,832
128,2015-03-24,22.79,22.825,22.825,22.79,0
129,2015-03-25,22.725,22.615,22.725,22.615,1500
130,2015-03-26,22.445,22.57,22.57,22.445,965
131,2015-03-27,22.68,22.605,22.68,22.58,100
132,2015-03-30,22.725,22.895,22.9,22.725,1441
133,2015-03-31,22.885,22.965,22.965,22.885,0
134,2015-04-01,22.785,22.93,22.93,22.785,3099
135,2015-04-02,22.995,22.83,22.995,22.83,4
136,2015-04-07,22.945,23.105,23.12,22.945,452
137,2015-04-08,23.22,23.09,23.22,23.09,5
138,2015-04-09,23.135,23.32,23.32,23.135,0
139,2015-04-10,23.435,23.585,23.625,23.435,16749
140,2015-04-13,23.54,23.6,23.705,23.54,1744
141,2015-04-14,23.665,23.47,23.665,23.365,12583
142,2015-04-15,23.565,23.7,23.7,23.565,471
143,2015-04-16,23.585,23.36,23.585,23.36,625
144,2015-04-17,23.38,23.23,23.38,23.2,7400
145,2015-04-20,23.365,23.53,23.6,23.365,2090
