,date,open,close,high,low,volumme
0,2021-09-06,12.618,12.6447,12.6447,12.618,785
1,2021-09-07,12.6442,12.571,12.6442,12.54,25136
2,2021-09-08,12.583,12.5221,12.583,12.5221,0
3,2021-09-09,12.4058,12.5927,12.5927,12.4058,0
4,2021-09-10,12.6256,12.6014,12.7282,12.6014,174
5,2021-09-13,12.6989,12.9886,12.9886,12.6989,1131
6,2021-09-14,12.9551,12.9551,12.9551,12.9551,0
7,2021-09-15,12.9288,12.9288,12.9288,12.9288,0
8,2021-09-20,13.0072,13.0072,13.0072,13.0072,85
9,2021-09-21,12.8409,12.8409,12.8409,12.8409,0
10,2021-09-28,14.9317,14.7384,14.9317,14.7384,280
11,2021-09-29,14.701,14.8191,14.8191,14.6095,2478
12,2021-09-30,15.0259,14.9728,15.0259,14.8282,105
13,2021-10-01,14.727,15.0775,15.0775,14.727,3544
14,2021-10-04,15.15,15.1532,15.1552,15.1239,365
15,2021-10-05,16.0032,15.9835,16.0155,15.9835,909
16,2021-10-06,15.8601,15.6202,15.8601,15.5708,5408
17,2021-10-07,15.7219,15.82,15.82,15.5434,1806
18,2021-10-08,15.9982,16.3037,16.3037,15.96,2149
19,2021-10-11,16.4708,16.6223,16.7169,16.4699,11628
20,2021-10-12,16.202,16.2926,16.3946,16.202,1837
21,2021-10-13,16.2409,16.1447,16.2766,15.9781,363
22,2021-10-14,16.2405,16.2215,16.4,16.2215,710
23,2021-10-15,16.4436,16.5445,16.5748,16.4436,5515
24,2021-10-18,16.5027,16.5333,16.6883,16.4122,1235
25,2021-10-19,16.4104,16.4909,16.5332,16.3928,12425
26,2021-10-20,16.4517,16.4315,16.4517,16.3431,3127
27,2021-10-21,16.5103,16.1804,16.5798,16.1804,405
28,2021-10-22,16.2549,16.2869,16.3653,16.2274,160
29,2021-10-25,16.5314,16.864,16.8869,16.5175,534
30,2021-10-26,16.8183,16.8709,16.9078,16.7776,18947
31,2021-10-27,16.7638,16.6859,16.7638,16.6138,1090
32,2021-10-28,16.3795,16.1423,16.3795,16.0441,997
33,2021-10-29,16.2607,16.3435,16.3666,16.2346,14225
34,2021-11-01,16.3502,16.5948,16.7058,16.3502,1682
35,2021-11-02,16.6163,16.4502,16.717,16.4502,2803
36,2021-11-03,16.4042,16.2866,16.4129,16.2123,2263
37,2021-11-04,16.3858,16.3723,16.6374,16.3723,13320
38,2021-11-05,16.3552,16.6411,16.6411,16.3552,2407
39,2021-11-08,16.7628,16.9389,16.9435,16.7628,132
40,2021-11-09,16.7873,16.6521,16.8757,16.5885,239
41,2021-11-10,16.7896,16.5649,16.8394,16.5649,163
42,2021-11-11,16.3568,16.5184,16.5184,16.2825,1072
43,2021-11-12,16.4135,16.3833,16.4135,16.3335,222
44,2021-11-15,16.3835,16.3798,16.3835,16.2541,854
45,2021-11-16,16.6176,16.5435,16.6176,16.4966,1302
46,2021-11-17,16.5852,16.5597,16.5852,16.4572,8467
47,2021-11-18,16.1545,16.2921,16.2921,16.1178,759
48,2021-11-19,16.3736,15.6558,16.3799,15.6488,12880
49,2021-11-22,15.6019,15.9339,15.9339,15.6019,106
50,2021-11-23,15.8157,15.8157,15.8157,15.8157,0
51,2021-11-25,16.8548,16.8509,16.8548,16.8159,532
52,2021-11-26,16.35,15.4352,16.35,15.4105,11200
53,2021-11-29,16.1355,15.9376,16.2597,15.9376,2201
54,2021-11-30,15.5534,15.6958,15.7592,15.5524,7168
55,2021-12-01,15.8664,15.9298,15.9298,15.8664,30429
56,2021-12-02,15.5483,15.5109,15.6087,15.5109,602
57,2021-12-03,15.7198,15.6304,15.9529,15.6304,576
58,2021-12-06,15.8412,15.8516,15.8516,15.7118,13063
59,2021-12-07,16.117,16.6386,16.6386,16.1158,4078
60,2021-12-08,16.5716,16.437,16.5716,16.437,0
61,2021-12-09,16.3861,16.2486,16.3861,16.2486,816
62,2021-12-10,16.2256,16.0051,16.3247,16.0051,473
63,2021-12-13,16.3609,16.3609,16.3609,16.3609,0
64,2021-12-17,15.7707,15.4917,15.7707,15.4917,2000
65,2021-12-20,15.0426,14.8254,15.0426,14.5922,29876
66,2021-12-21,15.2296,15.3157,15.3164,15.1439,8393
67,2021-12-22,15.7146,15.7858,15.7858,15.7146,20
68,2021-12-23,15.8414,15.8315,15.8717,15.81,6327
69,2021-12-24,15.7105,15.7196,15.7196,15.7105,0
70,2021-12-27,15.5971,16.0154,16.0154,15.5971,10
71,2021-12-28,16.3236,16.2393,16.3236,16.2393,9
72,2021-12-29,16.2018,16.1339,16.3205,16.1339,12143
73,2021-12-30,16.2102,16.1188,16.2379,16.1188,84
74,2021-12-31,16.0196,15.9994,16.0196,15.9994,36
75,2022-01-03,16.0489,16.3947,16.3947,16.0489,295
76,2022-01-04,16.5847,16.5603,16.5888,16.5603,37
77,2022-01-05,17.1129,17.1204,17.21,17.0162,8224
78,2022-01-06,16.7646,17.1794,17.1794,16.7646,6376
79,2022-01-07,17.293,17.334,17.3729,17.208,6772
80,2022-01-10,17.3645,17.2672,17.59,17.2075,15302
81,2022-01-11,17.3985,17.5794,17.5794,17.3985,4632
82,2022-01-12,18.1,18.0481,18.1139,17.96,9396
83,2022-01-13,18.0456,18.1152,18.1498,17.9928,14626
84,2022-01-14,17.9337,18.1817,18.34,17.9337,12241
85,2022-01-17,18.6374,18.551,18.6374,18.524,1909
86,2022-01-18,18.6572,18.4149,18.9,18.4149,7496
87,2022-01-19,18.475,18.3385,18.714,18.3385,2053
88,2022-01-20,18.4624,18.6147,18.6147,18.09,1358
89,2022-01-21,18.0869,17.753,18.1092,17.4102,4190
90,2022-01-24,17.6103,16.9258,17.6103,16.836,118
91,2022-01-25,17.234,17.6854,17.6854,17.234,50
92,2022-01-26,18.338,18.4745,18.5974,18.3041,4257
93,2022-01-27,18.307,18.6061,18.616,18.2232,835
94,2022-01-28,18.7094,18.6507,18.7094,18.3778,8050
95,2022-01-31,18.8417,18.6071,18.8417,18.4856,8210
96,2022-02-01,18.6143,19.1421,19.1421,18.5387,4416
97,2022-02-02,19.152,18.9234,19.24,18.9234,654
98,2022-02-03,19.1434,18.7388,19.1434,18.7388,6352
99,2022-02-04,18.8658,19.0855,19.1747,18.8658,2697
100,2022-02-07,19.0747,19.0797,19.1932,18.8845,1386
101,2022-02-08,19.16,18.5923,19.2517,18.5434,655
102,2022-02-09,18.523,18.8052,18.9259,18.4452,849
103,2022-02-10,18.7606,18.9657,18.9657,18.65,3242
104,2022-02-11,18.7835,19.1026,19.1026,18.7397,63
105,2022-02-14,19.6068,19.0801,19.6068,19.0801,396
106,2022-02-15,19.0851,18.6856,19.11,18.188,12379
107,2022-02-16,18.8617,19.1537,19.2201,18.8617,126
108,2022-02-17,19.0908,19.0,19.0908,18.9869,411
109,2022-02-18,18.9387,18.8782,19.017,18.7838,8375
110,2022-02-21,18.9066,18.7231,18.9066,18.6041,937
111,2022-02-22,19.0547,18.7917,19.3634,18.7622,8563
112,2022-02-23,18.7445,18.6506,18.848,18.45,2148
113,2022-02-24,18.7186,18.892,19.682,18.6997,15242
114,2022-02-25,19.0251,18.8571,19.0465,18.6828,12683
115,2022-02-28,19.4553,19.3672,19.4553,19.0,15945
116,2022-03-01,19.6721,20.0004,20.29,19.6721,8415
117,2022-03-02,20.4543,20.2661,20.989,20.2088,13998
118,2022-03-03,20.807,20.3129,20.8941,19.8501,15228
