,date,open,close,high,low,volumme
0,2014-09-22,32.475,32.445,32.54,32.435,66297
1,2014-09-23,32.4,32.185,32.4,32.105,39853
2,2014-09-24,32.195,32.435,32.445,32.075,24133
3,2014-09-25,32.715,32.235,32.715,32.18,14409
4,2014-09-26,32.19,32.305,32.38,32.1,22574
5,2014-09-29,32.3,32.295,32.365,32.085,28372
6,2014-09-30,32.32,32.535,32.605,32.32,35208
7,2014-10-01,32.32,32.23,32.475,32.215,30184
8,2014-10-02,32.085,31.575,32.085,31.575,29060
9,2014-10-03,31.975,32.28,32.295,31.94,105547
10,2014-10-06,32.475,32.26,32.475,32.25,46635
11,2014-10-07,32.075,31.82,32.075,31.8,50946
12,2014-10-08,31.68,31.485,31.68,31.4,58589
13,2014-10-09,31.72,31.625,31.85,31.555,27018
14,2014-10-10,31.29,31.15,31.385,31.1,68635
15,2014-10-13,30.845,30.885,31.01,30.74,41057
16,2014-10-14,30.595,30.785,30.785,30.47,34850
17,2014-10-15,30.69,29.875,30.74,29.7,45904
18,2014-10-16,30.07,30.015,30.105,29.45,89333
19,2014-10-17,30.075,30.655,30.655,29.95,623606
20,2014-10-20,30.675,30.58,30.69,30.405,114008
21,2014-10-21,30.515,31.245,31.245,30.43,87842
22,2014-10-22,31.33,31.625,31.625,31.33,111255
23,2014-10-23,31.4,31.755,31.8,31.4,66400
24,2014-10-24,31.615,31.705,31.705,31.57,19426
25,2014-10-27,31.9,31.565,31.9,31.48,14896
26,2014-10-28,31.77,31.755,31.885,31.665,493308
27,2014-10-29,32.005,31.875,32.015,31.865,34647
28,2014-10-30,32.325,32.245,32.33,31.98,47074
29,2014-10-31,32.825,32.92,33.085,32.77,70107
30,2014-11-03,33.035,33.0,33.075,32.95,38631
31,2014-11-04,32.84,32.54,32.94,32.445,57111
32,2014-11-05,32.82,32.96,33.0,32.75,44751
33,2014-11-06,32.83,33.165,33.205,32.83,17080
34,2014-11-07,33.305,33.215,33.35,33.02,65353
35,2014-11-10,33.105,33.335,33.335,33.035,125782
36,2014-11-11,33.455,33.355,33.46,33.31,79355
37,2014-11-12,33.27,33.185,33.295,33.06,106196
38,2014-11-13,33.305,33.215,33.375,33.2,27824
39,2014-11-14,33.355,33.205,33.355,33.175,31362
40,2014-11-17,33.03,33.215,33.28,32.98,88058
41,2014-11-18,33.275,33.315,33.33,33.225,29362
42,2014-11-19,33.265,33.175,33.29,33.135,209192
43,2014-11-20,33.14,33.275,33.275,33.0,22676
44,2014-11-21,33.33,33.905,33.96,33.33,57293
45,2014-11-24,33.91,33.82,34.005,33.82,154861
46,2014-11-25,33.94,33.765,34.0,33.73,62451
47,2014-11-26,33.875,33.74,33.915,33.74,70562
48,2014-11-27,33.78,33.82,33.875,33.75,26184
49,2014-11-28,33.885,33.85,33.885,33.705,28198
50,2014-12-01,33.65,33.5,33.665,33.435,364628
51,2014-12-02,33.65,33.845,33.86,33.62,363333
52,2014-12-03,33.935,34.145,34.165,33.935,44536
53,2014-12-04,34.23,33.685,34.25,33.685,91166
54,2014-12-05,33.99,34.215,34.26,33.985,6181
55,2014-12-08,34.23,34.075,34.24,34.075,41466
56,2014-12-09,33.67,33.31,33.68,33.18,42756
57,2014-12-10,33.605,33.21,33.605,33.18,114600
58,2014-12-11,33.01,33.38,33.425,32.895,49849
59,2014-12-12,33.05,32.56,33.085,32.56,458734
60,2014-12-15,32.495,32.085,32.755,32.085,192166
61,2014-12-16,32.28,32.475,32.475,31.63,104580
62,2014-12-17,32.07,32.395,32.49,32.07,270717
63,2014-12-18,33.115,33.435,33.54,33.03,135425
64,2014-12-19,33.83,33.92,33.945,33.695,121002
65,2014-12-22,34.12,33.995,34.12,33.965,152108
66,2014-12-23,34.12,34.32,34.38,34.1,142122
67,2014-12-24,34.32,34.37,34.41,34.29,14326
68,2014-12-29,34.57,34.445,34.57,34.2,121543
69,2014-12-30,34.28,34.235,34.41,34.205,201074
70,2014-12-31,34.395,34.365,34.42,34.35,5655
71,2015-01-02,34.495,34.25,34.535,34.18,91741
72,2015-01-05,34.25,33.875,34.4,33.855,51590
73,2015-01-06,33.885,33.55,34.01,33.55,22867
74,2015-01-07,33.74,34.045,34.15,33.74,79245
75,2015-01-08,34.345,34.77,34.82,34.34,106445
76,2015-01-09,34.745,34.415,34.9,34.325,350086
77,2015-01-12,34.425,34.34,34.705,34.1,75094
78,2015-01-13,34.26,34.765,34.91,34.26,152100
79,2015-01-14,34.255,34.01,34.49,33.855,60453
80,2015-01-15,34.53,34.805,35.0,34.2,72846
81,2015-01-16,34.565,35.065,35.175,34.37,102057
82,2015-01-19,35.115,35.01,35.16,34.93,139312
83,2015-01-20,35.32,35.165,35.415,35.1,120109
84,2015-01-21,35.37,35.44,35.44,34.98,89248
85,2015-01-22,35.5,36.105,36.2,35.35,103907
86,2015-01-23,36.435,36.715,37.16,36.435,41096
87,2015-01-26,36.705,36.72,36.81,36.6,74914
88,2015-01-27,36.985,36.225,36.985,35.99,280893
89,2015-01-28,36.58,36.355,36.655,36.25,189262
90,2015-01-29,36.175,36.015,36.175,35.8,93522
91,2015-01-30,36.225,36.11,36.225,35.935,112404
92,2015-02-02,35.99,36.065,36.065,35.65,47839
93,2015-02-03,36.24,36.08,36.465,36.08,300567
94,2015-02-04,36.3,36.5,36.5,36.255,63082
95,2015-02-05,36.395,36.645,36.645,36.36,40059
96,2015-02-06,36.615,36.975,37.045,36.535,49837
97,2015-02-09,36.655,36.735,36.785,36.51,56191
98,2015-02-10,36.725,36.85,36.97,36.655,184883
99,2015-02-11,36.925,36.95,37.005,36.855,213858
100,2015-02-12,36.94,37.005,37.13,36.85,138115
101,2015-02-13,37.095,37.235,37.27,37.05,35203
102,2015-02-16,37.215,37.295,37.31,37.17,21526
103,2015-02-17,37.39,37.315,37.39,37.155,189227
104,2015-02-18,37.47,37.55,37.55,37.405,545073
105,2015-02-19,37.34,37.555,37.57,37.195,130578
106,2015-02-20,37.625,37.605,37.77,37.555,186517
107,2015-02-23,37.815,37.84,37.87,37.76,50242
108,2015-02-24,37.94,38.03,38.045,37.87,52462
109,2015-02-25,37.955,37.96,37.975,37.87,118583
110,2015-02-26,38.005,38.425,38.43,37.985,197617
111,2015-02-27,38.44,38.395,38.5,38.27,44263
112,2015-03-02,38.51,38.515,38.515,38.245,154101
113,2015-03-03,38.545,38.23,38.6,38.23,167148
114,2015-03-04,38.36,38.57,38.57,38.305,64587
115,2015-03-05,38.71,38.86,38.93,38.6,66135
116,2015-03-06,38.925,39.035,39.37,38.895,193340
117,2015-03-09,38.815,38.945,39.0,38.7,614816
118,2015-03-10,39.045,38.825,39.125,38.765,237814
119,2015-03-11,38.955,39.345,39.45,38.955,54376
120,2015-03-12,39.315,39.545,39.565,39.25,179254
121,2015-03-13,39.65,39.61,39.78,39.54,152199
122,2015-03-16,39.71,39.83,39.925,39.655,71167
123,2015-03-17,39.9,39.71,39.935,39.595,55750
124,2015-03-18,39.795,39.65,39.865,39.625,79600
125,2015-03-19,40.03,39.955,40.205,39.86,92739
126,2015-03-20,40.195,39.845,40.195,39.765,85831
