,date,open,close,high,low,volumme
0,2019-10-17,5.01,5.0045,5.01,5.0045,27000
1,2019-10-18,5.001,5.0045,5.0045,5.001,0
2,2019-10-21,4.9993,5.0004,5.0004,4.9993,0
3,2019-10-22,5.0019,5.0023,5.0023,5.0019,0
4,2019-10-23,5.005,5.0039,5.005,5.0039,0
5,2019-10-24,5.0054,5.0083,5.0083,5.0054,0
6,2019-10-25,5.0055,5.0066,5.0066,5.0055,0
7,2019-10-28,5.0013,5.0069,5.0069,5.0013,0
8,2019-10-29,5.0025,5.0042,5.0042,5.0025,0
9,2019-10-30,4.9999,5.0026,5.0026,4.9999,0
10,2019-10-31,5.0031,5.0045,5.0045,5.0031,0
11,2019-11-01,5.0046,5.0077,5.0077,5.0046,0
12,2019-11-04,5.0082,5.0076,5.0082,5.0076,0
13,2019-11-05,5.004,5.0077,5.0077,5.004,0
14,2019-11-06,5.0038,5.0064,5.0064,5.0038,0
15,2019-11-07,5.0018,5.0024,5.0024,5.0018,0
16,2019-11-08,5.0006,5.003,5.003,5.0006,0
17,2019-11-11,5.0005,4.9995,5.0005,4.9995,0
18,2019-11-12,4.9962,5.001,5.001,4.9962,0
19,2019-11-13,4.9998,5.0007,5.0007,4.9998,0
20,2019-11-14,4.9979,5.0026,5.0026,4.9979,0
21,2019-11-15,4.999,5.0018,5.0018,4.999,0
22,2019-11-18,4.9972,5.0,5.0,4.9972,0
23,2019-11-19,4.9953,4.9992,4.9992,4.9953,0
24,2019-11-20,4.998,4.9943,4.998,4.9943,0
25,2019-11-21,4.9911,4.9911,4.9911,4.9911,0
26,2019-11-22,4.9906,4.9962,4.9962,4.9906,0
27,2019-11-25,4.9948,4.9981,4.9981,4.9948,0
28,2019-11-26,4.9966,5.0013,5.0013,4.9966,0
29,2019-11-27,5.0026,5.0032,5.0032,5.0026,0
30,2019-11-28,5.0037,5.0036,5.0081,5.0036,5000
31,2019-11-29,5.0008,5.0028,5.0028,5.0008,0
32,2019-12-02,4.998,5.0008,5.0008,4.998,0
33,2019-12-03,4.9972,5.0035,5.0035,4.9972,0
34,2019-12-04,5.0019,5.0022,5.0022,5.0019,0
35,2019-12-05,4.9988,5.0007,5.0007,4.9988,0
36,2019-12-06,5.0008,4.9986,5.0008,4.9986,0
37,2019-12-09,4.9997,5.0041,5.0041,4.9997,0
38,2019-12-10,5.0017,5.0063,5.0063,5.0017,0
39,2019-12-11,5.0055,5.007,5.007,5.0055,0
40,2019-12-12,5.006,5.0059,5.006,5.0059,0
41,2019-12-13,5.0028,5.0095,5.0095,5.0028,0
42,2019-12-16,5.0087,5.0117,5.0117,5.0087,0
43,2019-12-17,5.0111,5.013,5.013,5.0111,0
44,2019-12-18,5.0123,5.0126,5.0181,5.0123,19940
45,2019-12-19,5.011,5.0158,5.0182,5.011,15428
46,2019-12-20,5.0111,5.0161,5.0161,5.0111,0
47,2019-12-23,5.0166,5.0158,5.0166,5.0158,0
48,2019-12-24,5.0196,5.0196,5.0196,5.0196,0
49,2019-12-27,5.0123,5.0156,5.0156,5.0123,0
50,2019-12-30,5.017,5.0098,5.017,5.0098,0
51,2019-12-31,5.0079,5.0083,5.0083,5.0079,0
52,2020-01-02,5.0063,5.0147,5.0164,5.0063,2415
53,2020-01-03,5.0131,5.0161,5.0175,5.0131,6469
54,2020-01-06,5.0115,5.0095,5.0162,5.0095,3
55,2020-01-07,5.0138,5.0123,5.0138,5.0096,1961
56,2020-01-08,5.0138,5.0102,5.0138,5.0102,0
57,2020-01-09,5.0089,5.0063,5.0089,5.0063,0
58,2020-01-10,5.0034,5.0079,5.0086,5.0034,9978
59,2020-01-13,5.0038,5.0022,5.0038,5.0022,0
60,2020-01-14,5.006,5.0048,5.006,5.0048,10003
61,2020-01-15,5.0025,5.0062,5.0062,5.0025,0
62,2020-01-16,5.0035,5.0092,5.0092,5.0035,2000
63,2020-01-17,5.0065,5.0108,5.014,5.0065,610
64,2020-01-20,5.008,5.0121,5.015,5.008,8000
65,2020-01-21,5.0085,5.0097,5.014,5.0085,38614
66,2020-01-22,5.0075,5.0117,5.0117,5.0075,0
67,2020-01-23,5.0095,5.0115,5.014,5.0095,390000
68,2020-01-24,5.012,5.0135,5.015,5.012,16128
69,2020-01-27,5.0149,5.0145,5.017,5.0145,27700
70,2020-01-28,5.0149,5.0105,5.0149,5.01,4534
71,2020-01-29,5.0122,5.0139,5.0139,5.0122,0
72,2020-01-30,5.0166,5.0166,5.022,5.0166,12445
73,2020-01-31,5.0179,5.019,5.0213,5.0179,7494
74,2020-02-03,5.0195,5.0182,5.0195,5.016,2864
75,2020-02-04,5.019,5.0186,5.019,5.0186,0
76,2020-02-05,5.0204,5.0188,5.0204,5.0188,10
77,2020-02-06,5.0175,5.0166,5.0175,5.0166,0
78,2020-02-07,5.0195,5.0165,5.02,5.0165,29554
79,2020-02-10,5.016,5.02,5.02,5.016,0
80,2020-02-11,5.018,5.0175,5.02,5.0175,45218
81,2020-02-12,5.016,5.018,5.018,5.016,0
82,2020-02-13,5.018,5.0175,5.018,5.0175,0
83,2020-02-14,5.017,5.0175,5.02,5.017,6497
84,2020-02-17,5.0165,5.0175,5.0175,5.0165,0
85,2020-02-18,5.02,5.0185,5.023,5.0185,1102
86,2020-02-19,5.0185,5.0191,5.0191,5.0185,0
87,2020-02-20,5.0195,5.0195,5.0195,5.0195,0
88,2020-02-21,5.0204,5.019,5.021,5.019,9133
89,2020-02-24,5.0208,5.0135,5.0208,5.0135,0
90,2020-02-25,5.015,5.0165,5.019,5.008,17998
91,2020-02-26,5.0086,5.0051,5.0086,5.0,434536
92,2020-02-27,5.0105,5.0015,5.0105,5.0015,0
93,2020-02-28,4.9966,4.989,4.9966,4.9853,606390
94,2020-03-02,4.9982,4.9985,4.9985,4.993,200000
95,2020-03-03,4.9935,5.0105,5.0105,4.9935,2000
96,2020-03-04,5.0101,5.011,5.011,5.0101,0
97,2020-03-05,5.0114,5.008,5.0114,5.008,0
98,2020-03-06,5.004,4.9879,5.007,4.9879,7976
99,2020-03-09,4.956,4.9305,4.956,4.9305,4795
100,2020-03-10,4.947,4.9488,4.9488,4.934,29511
101,2020-03-11,4.94,4.9399,4.962,4.9399,5703
102,2020-03-12,4.948,4.948,4.948,4.8853,6760
103,2020-03-13,4.844,4.888,4.888,4.844,19730
104,2020-03-16,4.875,4.7717,4.875,4.7654,10552
105,2020-03-17,4.698,4.649,4.753,4.649,72394
106,2020-03-18,4.7397,4.7397,4.7397,4.7397,0
107,2020-03-20,4.784,4.7415,4.784,4.7415,2399
108,2020-03-23,4.6929,4.7435,4.7435,4.6929,2838
109,2020-03-24,4.801,4.7875,4.801,4.7875,29682
110,2020-03-25,4.782,4.77,4.831,4.77,6189
111,2020-03-26,4.802,4.802,4.802,4.802,0
112,2020-03-27,4.7915,4.824,4.839,4.779,36431
113,2020-03-30,4.8029,4.8029,4.8029,4.802,0
114,2020-03-31,4.7995,4.809,4.809,4.778,16719
115,2020-04-01,4.7985,4.81,4.81,4.794,223053
116,2020-04-02,4.801,4.7975,4.801,4.7975,0
117,2020-04-03,4.793,4.7865,4.813,4.7865,7116
118,2020-04-06,4.8,4.804,4.804,4.8,0
119,2020-04-07,4.7985,4.808,4.808,4.7965,216
120,2020-04-08,4.804,4.803,4.815,4.7985,53689
121,2020-04-09,4.803,4.8752,4.89,4.803,85523
122,2020-04-14,4.8653,4.8698,4.894,4.8653,3481
123,2020-04-15,4.8605,4.8434,4.869,4.8434,600
124,2020-04-16,4.854,4.861,4.861,4.854,0
125,2020-04-17,4.8635,4.869,4.869,4.861,1167
126,2020-04-20,4.8715,4.8655,4.888,4.8651,30400
127,2020-04-21,4.857,4.852,4.869,4.852,347
128,2020-04-22,4.8685,4.8655,4.89,4.8655,122000
129,2020-04-23,4.872,4.879,4.879,4.872,0
130,2020-04-24,4.88,4.8775,4.887,4.8775,13597
131,2020-04-27,4.889,4.892,4.892,4.889,0
132,2020-04-28,4.8895,4.8905,4.903,4.8895,2366
133,2020-04-29,4.8915,4.892,4.899,4.8915,48688
134,2020-04-30,4.911,4.8995,4.911,4.8878,4800
135,2020-05-04,4.884,4.881,4.893,4.881,165699
136,2020-05-05,4.8865,4.8931,4.8931,4.8865,0
137,2020-05-06,4.8877,4.881,4.8959,4.881,3500
138,2020-05-07,4.8785,4.88,4.883,4.8753,10915
139,2020-05-08,4.8856,4.8846,4.893,4.8846,47173
140,2020-05-11,4.8784,4.8784,4.8784,4.8784,0
141,2020-05-12,4.8751,4.8761,4.8761,4.872,1894
142,2020-05-13,4.8729,4.8735,4.8735,4.8667,12855
143,2020-05-14,4.871,4.8663,4.871,4.8663,0
144,2020-05-15,4.8722,4.8673,4.8722,4.8657,15990
145,2020-05-18,4.877,4.8723,4.877,4.8723,0
146,2020-05-19,4.8739,4.8738,4.8748,4.8738,154027
147,2020-05-20,4.8734,4.8791,4.8848,4.8734,17550
148,2020-05-21,4.883,4.8905,4.8905,4.883,0
149,2020-05-22,4.8839,4.8835,4.8839,4.8804,3
150,2020-05-25,4.8891,4.8896,4.8896,4.8891,0
151,2020-05-26,4.886,4.8935,4.8973,4.886,53612
152,2020-05-27,4.9054,4.9026,4.9054,4.9026,7533
153,2020-05-28,4.9101,4.9101,4.9101,4.9101,0
154,2020-05-29,4.9089,4.91,4.9138,4.9089,67086
155,2020-06-01,4.9103,4.9103,4.9121,4.9103,0
156,2020-06-02,4.9096,4.9194,4.9194,4.9096,54464
157,2020-06-03,4.9192,4.9306,4.9356,4.9192,37800
158,2020-06-04,4.9285,4.9479,4.9479,4.9285,1111
159,2020-06-05,4.9471,4.9671,4.9671,4.9471,23551
160,2020-06-09,4.9576,4.945,4.9587,4.944,26548
161,2020-06-10,4.944,4.9427,4.944,4.9427,0
162,2020-06-11,4.9388,4.9343,4.9388,4.9343,0
163,2020-06-12,4.9339,4.9465,4.9465,4.9339,946
164,2020-06-15,4.9401,4.9387,4.9401,4.9368,400
165,2020-06-16,4.9564,4.959,4.9615,4.9547,12292
166,2020-06-17,4.9531,4.9484,4.9531,4.9484,0
167,2020-06-18,4.947,4.9436,4.947,4.9436,0
168,2020-06-19,4.9435,4.9423,4.9475,4.9418,15293
169,2020-06-22,4.9414,4.9431,4.9431,4.9414,0
170,2020-06-23,4.9524,4.9458,4.9524,4.9458,7572
171,2020-06-24,4.9413,4.9391,4.9413,4.9391,0
172,2020-06-25,4.9425,4.9387,4.9425,4.9387,0
173,2020-06-26,4.9399,4.9383,4.9399,4.9351,28205
174,2020-06-29,4.9379,4.9391,4.9391,4.9379,0
175,2020-06-30,4.9403,4.9452,4.9452,4.9403,2000
176,2020-07-01,4.9402,4.9431,4.952,4.9402,35042
177,2020-07-02,4.9463,4.9536,4.9536,4.9463,0
178,2020-07-03,4.9544,4.9502,4.9559,4.9483,48477
179,2020-07-06,4.9513,4.9539,4.9539,4.9502,3000
180,2020-07-07,4.9549,4.9521,4.9549,4.9521,260
181,2020-07-08,4.9511,4.9545,4.9545,4.9494,1100
182,2020-07-09,4.954,4.9554,4.9554,4.954,0
183,2020-07-10,4.9542,4.9556,4.9599,4.9511,4739
184,2020-07-13,4.9552,4.9553,4.9553,4.9552,0
185,2020-07-14,4.9525,4.9569,4.9569,4.9525,726
186,2020-07-15,4.9584,4.9648,4.9648,4.9584,0
187,2020-07-16,4.9642,4.973,4.973,4.9642,0
