,date,open,close,high,low,volumme
0,2023-07-19,75.654,75.654,75.654,75.654,0
1,2023-07-21,74.319,74.319,74.319,74.319,0
2,2023-07-24,74.137,73.848,74.137,73.848,12
3,2023-07-25,74.15,74.15,74.15,74.15,0
4,2023-07-27,74.398,74.398,74.398,74.398,0
5,2023-07-31,74.407,74.407,74.407,74.407,0
6,2023-08-01,74.985,74.985,74.985,74.985,0
7,2023-08-03,72.243,72.243,72.243,72.243,0
8,2023-08-07,72.326,72.326,72.326,72.326,0
9,2023-08-10,70.864,70.864,70.864,70.864,0
10,2023-08-11,70.672,70.672,70.672,70.672,0
11,2023-08-14,70.016,70.016,70.016,70.016,4
12,2023-08-15,70.454,70.454,70.454,70.454,0
13,2023-08-16,69.703,69.703,69.703,69.703,0
14,2023-08-18,68.051,68.051,68.051,68.051,0
15,2023-08-25,68.497,68.497,68.497,68.497,0
16,2023-09-05,71.71,71.71,71.71,71.71,0
17,2023-09-06,71.565,71.565,71.565,71.565,0
18,2023-09-08,70.789,70.789,70.789,70.789,0
19,2023-09-12,71.156,71.156,71.156,71.156,0
20,2023-09-13,70.25,70.25,70.25,70.25,150
21,2023-09-14,70.277,70.144,70.277,70.144,43
22,2023-09-15,70.703,70.703,70.703,70.703,0
23,2023-09-19,69.571,69.571,69.571,69.571,0
24,2023-09-20,69.159,69.159,69.159,69.159,0
25,2023-09-21,68.598,68.598,68.598,68.598,0
26,2023-09-25,67.801,67.801,67.801,67.801,12
27,2023-09-26,67.521,67.521,67.521,67.521,0
28,2023-10-02,67.353,67.353,67.353,67.353,10
29,2023-10-03,67.755,67.755,67.755,67.755,0
30,2023-10-04,66.55,66.55,66.55,66.55,160
31,2023-10-05,67.103,67.103,67.103,67.103,0
32,2023-10-06,67.056,67.056,67.056,67.056,0
33,2023-10-16,67.248,67.248,67.248,67.248,0
34,2023-10-18,67.825,67.825,67.825,67.825,0
35,2023-10-23,64.877,64.877,64.877,64.877,0
36,2023-10-26,63.68,63.68,63.68,63.68,0
37,2023-11-08,67.469,67.469,67.469,67.469,0
38,2023-11-09,67.65,67.65,67.65,67.65,0
39,2023-11-13,67.919,67.919,67.919,67.919,0
40,2023-11-14,68.208,68.208,68.208,68.208,0
41,2023-11-15,70.734,70.734,70.734,70.734,0
42,2023-11-20,70.801,71.0,71.0,70.801,15
43,2023-11-21,71.514,71.514,71.514,71.514,0
44,2023-11-23,71.053,71.053,71.053,71.053,0
45,2023-11-27,70.74,70.74,70.74,70.74,0
46,2023-11-28,71.087,70.389,71.147,70.389,3780
47,2023-11-29,71.341,71.693,72.09,70.476,5220
48,2023-11-30,71.927,71.049,71.959,71.049,6000
49,2023-12-01,71.674,71.674,71.674,71.674,0
50,2023-12-06,72.57,72.57,72.57,72.57,0
51,2023-12-18,74.999,74.999,74.999,74.999,0
52,2023-12-20,75.524,75.524,75.524,75.524,0
53,2023-12-22,75.295,75.295,75.295,75.295,0
54,2023-12-28,77.507,77.507,77.507,77.507,0
55,2023-12-29,77.36,77.13,77.36,77.13,1
56,2024-01-02,76.666,76.666,76.666,76.666,0
57,2024-01-03,74.593,74.593,74.593,74.593,0
58,2024-01-04,73.253,73.253,73.253,73.253,0
59,2024-01-05,72.473,72.473,72.473,72.473,0
60,2024-01-08,71.8,71.72,71.983,71.72,313
61,2024-01-09,73.264,73.264,73.264,73.264,0
62,2024-01-10,73.698,73.698,73.698,73.698,0
63,2024-01-11,74.817,74.817,74.817,74.817,0
64,2024-01-12,74.602,74.602,74.602,74.602,0
65,2024-01-15,74.833,74.833,74.833,74.833,0
66,2024-01-17,73.259,73.259,73.259,73.259,0
67,2024-01-18,73.423,73.423,73.423,73.423,0
68,2024-01-19,73.999,73.999,73.999,73.999,0
69,2024-01-23,75.338,75.353,75.353,75.338,55
70,2024-01-24,75.968,75.968,75.968,75.968,0
71,2024-01-26,74.868,75.106,75.106,74.868,10
72,2024-01-29,74.593,74.593,74.593,74.593,0
73,2024-01-30,75.167,75.167,75.167,75.167,0
74,2024-01-31,74.568,74.04,74.568,74.04,289
75,2024-02-01,73.556,73.544,73.556,73.544,27
76,2024-02-02,73.883,73.883,73.883,73.883,0
77,2024-02-05,73.27,73.27,73.27,73.27,0
78,2024-02-06,73.688,73.688,73.688,73.688,0
79,2024-02-08,75.472,75.274,75.472,75.274,50
80,2024-02-09,76.231,76.231,76.231,76.231,0
81,2024-02-12,76.424,76.424,76.424,76.424,5
82,2024-02-13,77.202,77.202,77.202,77.202,0
83,2024-02-15,76.745,76.844,76.844,76.745,144
84,2024-02-16,76.863,76.863,76.863,76.863,0
85,2024-02-19,76.201,76.201,76.201,76.201,0
86,2024-02-20,76.15,76.15,76.15,76.15,0
87,2024-02-21,75.373,75.373,75.373,75.373,0
88,2024-02-22,75.359,75.359,75.359,75.359,0
89,2024-02-23,75.845,75.845,75.845,75.845,0
90,2024-02-26,76.002,76.002,76.002,76.002,0
91,2024-02-27,77.14,77.14,77.14,77.14,0
92,2024-02-28,76.584,76.584,76.584,76.584,0
93,2024-03-01,78.309,78.309,78.309,78.309,0
94,2024-03-04,78.532,78.532,78.532,78.532,0
95,2024-03-07,77.125,77.125,77.125,77.125,0
96,2024-03-08,78.171,78.171,78.171,78.171,0
97,2024-03-11,78.088,78.088,78.088,78.088,0
98,2024-03-12,78.365,78.365,78.365,78.365,0
99,2024-03-13,78.371,78.371,78.371,78.371,0
100,2024-03-14,78.34,78.34,78.34,78.34,0
101,2024-03-15,77.439,77.439,77.439,77.439,0
102,2024-03-18,77.557,77.557,77.557,77.557,0
103,2024-03-19,77.18,77.18,77.18,77.18,0
104,2024-03-20,77.261,77.261,77.261,77.261,0
105,2024-03-25,77.519,77.519,77.519,77.519,0
106,2024-03-26,77.377,77.377,77.377,77.377,0
107,2024-03-27,76.781,76.781,76.781,76.781,0
108,2024-04-04,76.439,76.378,76.439,76.378,10
109,2024-04-05,75.571,75.56,75.571,75.56,10
110,2024-04-08,75.598,75.321,75.598,75.321,2200
111,2024-04-09,76.122,76.122,76.122,76.122,0
112,2024-04-10,76.287,76.287,76.287,76.287,0
113,2024-04-11,75.063,75.063,75.063,75.063,0
114,2024-04-12,75.399,75.399,75.399,75.399,0
115,2024-04-16,72.063,72.063,72.063,72.063,0
116,2024-04-17,72.541,72.541,72.541,72.541,0
117,2024-04-18,72.625,71.969,72.625,71.969,212
118,2024-04-19,71.623,71.623,71.623,71.623,0
119,2024-04-23,72.137,72.137,72.137,72.137,0
120,2024-04-24,73.293,73.293,73.293,73.293,0
121,2024-04-26,72.885,72.885,72.885,72.885,0
122,2024-04-29,74.365,74.365,74.365,74.365,0
123,2024-04-30,74.418,73.937,74.418,73.937,72
124,2024-05-02,73.544,73.544,73.544,73.544,0
125,2024-05-07,75.009,75.009,75.009,75.009,0
126,2024-05-08,74.889,74.889,74.889,74.889,0
127,2024-05-09,74.365,74.365,74.365,74.365,0
128,2024-05-13,74.543,75.0,75.0,74.543,91
129,2024-05-14,74.701,74.712,74.867,74.454,288
130,2024-05-15,75.641,75.641,75.641,75.641,0
131,2024-05-17,76.155,76.155,76.155,76.155,0
132,2024-05-20,76.425,76.425,76.425,76.425,0
133,2024-05-21,76.337,76.337,76.337,76.337,0
134,2024-05-22,75.972,75.972,75.972,75.972,0
135,2024-05-23,75.397,74.925,75.397,74.925,169
136,2024-05-24,74.633,74.633,74.633,74.633,0
137,2024-05-27,74.967,74.885,74.967,74.837,164
138,2024-05-28,75.268,75.268,75.268,75.268,0
139,2024-05-29,74.139,74.139,74.139,74.139,0
140,2024-06-03,73.51,73.51,73.51,73.51,0
141,2024-06-05,72.806,72.768,72.806,72.768,5
142,2024-06-06,73.722,73.722,73.722,73.722,0
143,2024-06-07,73.847,73.847,73.847,73.847,0
144,2024-06-10,72.845,72.845,72.845,72.845,0
145,2024-06-11,73.687,73.687,73.687,73.687,0
146,2024-06-12,73.85,73.85,73.85,73.85,0
147,2024-06-17,73.355,73.355,73.355,73.355,0
148,2024-06-18,73.878,73.878,73.878,73.878,0
149,2024-06-19,73.686,73.399,73.686,73.399,146
150,2024-06-20,73.586,73.586,73.586,73.586,0
151,2024-06-21,73.415,73.415,73.415,73.415,0
152,2024-06-24,73.564,73.564,73.564,73.564,0
153,2024-06-25,73.563,73.563,73.563,73.563,0
154,2024-06-26,73.571,73.571,73.571,73.571,0
155,2024-06-27,73.488,73.488,73.488,73.488,0
156,2024-07-01,75.05,75.05,75.05,75.05,0
157,2024-07-02,74.943,74.943,74.943,74.943,2
158,2024-07-03,75.087,75.087,75.087,75.087,0
159,2024-07-04,75.315,75.315,75.315,75.315,0
160,2024-07-05,75.601,75.601,75.601,75.601,0
161,2024-07-08,75.539,75.539,75.539,75.539,0
162,2024-07-09,76.027,76.027,76.027,76.027,68
163,2024-07-10,75.438,75.438,75.438,75.438,0
164,2024-07-11,75.803,75.803,75.803,75.803,0
165,2024-07-12,76.487,76.487,76.487,76.487,0
166,2024-07-15,76.7,76.7,76.7,76.7,3
167,2024-07-16,77.385,77.385,77.385,77.385,0
168,2024-07-17,77.92,77.92,77.92,77.92,0
169,2024-07-19,75.773,75.773,75.773,75.773,0
170,2024-07-22,75.486,75.486,75.486,75.486,0
171,2024-07-23,75.485,75.485,75.485,75.485,0
172,2024-07-24,75.511,75.511,75.511,75.511,0
173,2024-07-25,73.98,73.98,73.98,73.98,0
174,2024-07-26,74.751,74.751,74.751,74.751,0
175,2024-07-29,75.129,75.129,75.129,75.129,0
176,2024-07-30,74.607,74.607,74.607,74.607,0
177,2024-07-31,75.721,75.721,75.721,75.721,0
178,2024-08-01,75.212,75.212,75.212,75.212,0
179,2024-08-08,69.303,69.303,69.303,69.303,1
180,2024-08-09,71.922,71.922,71.922,71.922,0
181,2024-08-13,72.249,72.249,72.249,72.249,0
182,2024-08-14,73.072,73.072,73.072,73.072,0
183,2024-08-20,75.374,75.374,75.374,75.374,0
184,2024-08-21,74.998,74.998,74.998,74.998,0
185,2024-08-22,75.554,75.554,75.554,75.554,0
186,2024-08-23,75.171,75.171,75.171,75.171,0
187,2024-08-26,75.952,75.952,75.952,75.952,0
188,2024-08-28,75.807,75.807,75.807,75.807,0
189,2024-08-29,75.939,75.939,75.939,75.939,0
190,2024-08-30,76.606,76.606,76.606,76.606,0
191,2024-09-02,75.781,75.781,75.781,75.781,0
192,2024-09-03,76.079,76.079,76.079,76.079,0
193,2024-09-06,73.5,73.5,73.5,73.5,0
194,2024-09-10,72.773,72.773,72.773,72.773,0
195,2024-09-11,72.869,72.869,72.869,72.869,0
196,2024-09-16,74.827,74.827,74.827,74.827,0
197,2024-09-17,75.11,75.11,75.11,75.11,0
198,2024-09-18,75.12,75.12,75.12,75.12,0
199,2024-09-19,76.034,76.034,76.034,76.034,0
200,2024-09-20,76.201,76.201,76.201,76.201,0
