,date,open,close,high,low,volumme
0,2021-09-06,10.877,10.9049,10.9049,10.877,55
1,2021-09-07,10.881,10.825,10.881,10.825,0
2,2021-09-08,10.823,10.8222,10.823,10.8222,0
3,2021-09-09,10.8164,10.8558,10.9005,10.8164,220
4,2021-09-10,10.819,10.7834,10.819,10.7834,0
5,2021-09-13,10.841,10.7646,10.841,10.7646,0
6,2021-09-14,10.783,10.7612,10.783,10.7612,0
7,2021-09-15,10.745,10.763,10.763,10.7124,218
8,2021-09-16,10.825,10.7923,10.825,10.7923,0
9,2021-09-17,10.8273,10.793,10.8273,10.793,0
10,2021-09-20,10.6788,10.6833,10.6833,10.6833,103
11,2021-09-21,10.6527,10.6413,10.6532,10.626,360
12,2021-09-22,10.6345,10.6797,10.6797,10.6345,0
13,2021-09-23,10.7177,10.7828,10.7828,10.7177,0
14,2021-09-24,10.7506,10.7841,10.7841,10.7506,0
15,2021-09-27,10.8517,10.8192,10.8517,10.8192,0
16,2021-09-28,10.8011,10.6469,10.8011,10.6469,0
17,2021-09-29,10.6866,10.7303,10.7303,10.6804,35
18,2021-09-30,10.8,10.7024,10.8,10.7024,0
19,2021-10-01,10.6101,10.6101,10.6101,10.6101,0
20,2021-10-04,10.626,10.6395,10.6395,10.626,333
21,2021-10-05,10.5654,10.7005,10.7005,10.5654,0
22,2021-10-06,10.6183,10.6229,10.6229,10.6183,0
23,2021-10-07,10.7972,10.9016,10.9016,10.7972,0
24,2021-10-08,10.8833,10.837,10.8833,10.837,0
25,2021-10-11,10.7752,10.884,10.884,10.7752,1462
26,2021-10-12,10.7211,10.8428,10.8428,10.7211,11
27,2021-10-13,10.7809,10.7739,10.8279,10.7736,398
28,2021-10-14,10.8437,10.9715,10.9715,10.8437,0
29,2021-10-15,11.0015,11.0559,11.0559,11.0015,0
30,2021-10-18,11.0587,11.074,11.074,11.0587,0
31,2021-10-19,11.0561,11.1046,11.1078,11.0561,9503
32,2021-10-20,11.1223,11.176,11.176,11.1223,95
33,2021-10-21,11.1566,11.2136,11.2212,11.1566,8
34,2021-10-22,11.3065,11.297,11.3065,11.297,891
35,2021-10-25,11.314,11.4189,11.4189,11.314,0
36,2021-10-26,11.495,11.4922,11.495,11.4922,94
37,2021-10-27,11.5067,11.5409,11.5409,11.5067,374
38,2021-10-28,11.4738,11.4786,11.4786,11.4738,0
39,2021-10-29,11.5104,11.67,11.67,11.5104,7
40,2021-11-01,11.6977,11.6716,11.6977,11.6716,0
41,2021-11-02,11.6739,11.7258,11.7258,11.6739,0
42,2021-11-03,11.7282,11.7214,11.739,11.7175,121
43,2021-11-04,11.836,11.9097,11.9155,11.836,13
44,2021-11-05,11.905,11.9783,12.0329,11.905,396
45,2021-11-08,11.8845,11.9041,11.9216,11.8845,449
46,2021-11-09,11.878,11.8495,11.878,11.8495,0
47,2021-11-10,11.811,11.8914,11.8914,11.8102,52
48,2021-11-11,11.9008,11.8559,11.9008,11.8559,10
49,2021-11-12,11.893,11.9117,11.9117,11.893,4
50,2021-11-15,11.9048,11.8981,11.9048,11.8981,59
51,2021-11-16,11.9391,12.1073,12.1073,11.9391,47139
52,2021-11-17,12.1331,12.0919,12.1331,12.0878,181
53,2021-11-18,12.0804,12.0782,12.0804,12.03,2
54,2021-11-19,12.1391,12.1221,12.1716,12.1221,175
55,2021-11-22,12.2513,12.349,12.349,12.2504,115
