,Unnamed: 0,date,open,close,high,low,volumme
0,0.0,2016-01-29,28.12,28.45,28.45,28.12,0
1,1.0,2016-02-01,28.56,28.52,28.56,28.52,0
2,2.0,2016-02-02,28.45,28.25,28.45,28.25,0
3,3.0,2016-02-03,28.12,27.43,28.12,27.43,0
4,4.0,2016-02-04,27.8,27.42,27.8,27.42,0
5,5.0,2016-02-05,27.4,27.2,27.4,27.2,0
6,6.0,2016-02-08,27.19,26.44,27.19,26.44,0
7,7.0,2016-02-09,26.66,26.29,26.66,26.29,0
8,8.0,2016-02-10,26.45,26.69,26.69,26.45,0
9,9.0,2016-02-11,26.23,25.64,26.23,25.64,0
10,10.0,2016-02-12,26.19,26.65,26.65,26.19,300
11,11.0,2016-02-15,26.95,27.23,27.23,26.95,0
12,12.0,2016-02-16,27.29,27.17,27.29,27.17,0
13,13.0,2016-02-17,27.19,27.78,27.78,27.19,0
14,14.0,2016-02-18,27.9,27.85,27.9,27.85,0
15,15.0,2016-02-19,27.77,27.73,27.77,27.73,0
16,16.0,2016-02-22,28.08,28.34,28.34,28.08,0
17,17.0,2016-02-23,28.15,28.07,28.15,28.07,0
18,18.0,2016-02-24,28.12,27.65,28.12,27.65,0
19,19.0,2016-02-25,28.18,28.2,28.2,28.18,0
20,20.0,2016-02-26,28.61,28.78,28.78,28.61,300
21,21.0,2016-02-29,28.39,29.0,29.0,28.39,0
22,22.0,2016-03-01,28.68,29.11,29.11,28.68,0
23,23.0,2016-03-02,29.31,29.41,29.41,29.31,0
24,24.0,2016-03-03,29.39,29.11,29.39,29.11,0
25,25.0,2016-03-04,29.3,29.28,29.3,29.28,0
26,26.0,2016-03-07,29.27,29.3,29.3,29.27,0
27,27.0,2016-03-08,29.01,28.97,29.01,28.97,0
28,28.0,2016-03-09,29.13,29.09,29.13,29.09,0
29,29.0,2016-03-10,29.23,28.46,29.23,28.46,0
30,30.0,2016-03-11,28.99,29.09,29.09,28.99,0
31,31.0,2016-03-14,29.22,29.29,29.29,29.22,0
32,32.0,2016-03-15,29.16,29.16,29.16,29.16,0
33,33.0,2016-03-16,29.33,29.33,29.33,29.33,0
34,34.0,2016-03-17,29.11,29.02,29.11,29.02,0
35,35.0,2016-03-18,29.14,29.27,29.27,29.14,0
36,36.0,2016-03-21,29.23,29.34,29.34,29.23,0
37,37.0,2016-03-22,29.33,29.5,29.5,29.33,0
38,38.0,2016-03-23,29.54,29.5,29.54,29.5,0
39,39.0,2016-03-24,29.35,29.21,29.35,29.21,0
40,40.0,2016-03-29,29.42,29.29,29.42,29.29,0
41,41.0,2016-03-30,29.34,29.34,29.34,29.34,0
42,42.0,2016-03-31,29.28,29.21,29.28,29.21,0
43,43.0,2016-04-01,29.06,29.24,29.24,29.06,0
44,44.0,2016-04-04,29.31,29.29,29.31,29.29,0
45,45.0,2016-04-05,29.15,29.0,29.15,29.0,0
46,46.0,2016-04-06,29.11,29.11,29.11,29.11,0
47,47.0,2016-04-07,29.09,28.98,29.09,28.98,0
48,48.0,2016-04-08,29.15,29.0,29.15,29.0,0
49,49.0,2016-04-11,28.89,28.93,28.93,28.89,0
50,50.0,2016-04-12,28.88,29.12,29.12,28.88,0
