,Unnamed: 0,date,open,close,high,low,volumme
0,0.0,2016-01-29,30.11,30.18,30.18,30.11,0
1,1.0,2016-02-01,30.08,29.97,30.08,29.97,0
2,2.0,2016-02-02,29.72,29.36,29.72,29.36,0
3,3.0,2016-02-03,29.02,28.66,29.02,28.66,0
4,4.0,2016-02-04,29.33,29.15,29.33,29.15,0
5,5.0,2016-02-05,29.12,28.8,29.12,28.8,0
6,6.0,2016-02-08,29.05,28.41,29.05,28.41,0
7,7.0,2016-02-09,28.11,27.65,28.11,27.65,0
8,8.0,2016-02-10,27.7,27.98,27.98,27.7,0
9,9.0,2016-02-11,27.86,27.32,27.86,27.32,0
10,10.0,2016-02-12,27.68,28.08,28.08,27.68,0
11,11.0,2016-02-15,28.55,28.83,28.83,28.55,0
12,12.0,2016-02-16,29.13,28.91,29.13,28.91,0
13,13.0,2016-02-17,28.68,29.41,29.41,28.68,0
14,14.0,2016-02-18,29.56,29.63,29.63,29.56,0
15,15.0,2016-02-19,29.4,29.45,29.45,29.4,0
16,16.0,2016-02-22,30.04,30.48,30.48,30.04,0
17,17.0,2016-02-23,30.15,30.04,30.15,30.04,0
18,18.0,2016-02-24,29.68,29.22,29.68,29.22,0
19,19.0,2016-02-25,29.35,29.45,29.45,29.35,0
20,20.0,2016-02-26,29.87,29.89,29.89,29.87,0
21,21.0,2016-02-29,29.62,30.24,30.24,29.62,0
22,22.0,2016-03-01,30.35,30.71,30.71,30.35,0
23,23.0,2016-03-02,31.21,31.49,31.49,31.21,0
24,24.0,2016-03-03,31.76,31.74,31.76,31.74,0
25,25.0,2016-03-04,31.91,32.23,32.23,31.91,0
26,26.0,2016-03-07,32.14,32.38,32.38,32.14,0
27,27.0,2016-03-08,31.7,31.77,31.77,31.7,0
28,28.0,2016-03-09,32.23,32.4,32.4,32.23,0
29,29.0,2016-03-10,32.32,31.47,32.32,31.47,0
30,30.0,2016-03-11,32.14,32.39,32.39,32.14,0
31,31.0,2016-03-14,32.33,32.36,32.36,32.33,0
32,32.0,2016-03-15,31.83,31.83,31.83,31.83,0
33,33.0,2016-03-16,31.99,31.99,31.99,31.99,0
34,34.0,2016-03-17,32.41,32.37,32.41,32.37,0
35,35.0,2016-03-18,32.38,32.62,32.62,32.38,0
36,36.0,2016-03-21,32.34,32.55,32.55,32.34,0
37,37.0,2016-03-22,32.27,32.59,32.59,32.27,0
38,38.0,2016-03-23,32.45,32.22,32.45,32.22,0
39,39.0,2016-03-24,31.78,31.78,31.78,31.78,0
40,40.0,2016-03-29,31.61,31.53,31.61,31.53,0
41,41.0,2016-03-30,31.84,32.04,32.04,31.84,0
42,42.0,2016-03-31,31.94,31.94,31.94,31.94,0
43,43.0,2016-04-01,31.38,31.48,31.48,31.38,0
44,44.0,2016-04-04,31.33,31.31,31.33,31.31,0
45,45.0,2016-04-05,30.77,30.58,30.77,30.58,0
46,46.0,2016-04-06,30.85,30.9,30.9,30.85,0
47,47.0,2016-04-07,30.91,30.63,30.91,30.63,0
48,48.0,2016-04-08,30.88,30.92,30.92,30.88,0
49,49.0,2016-04-11,30.77,30.98,30.98,30.77,0
50,50.0,2016-04-12,31.27,31.49,31.49,31.27,0
51,51.0,2016-04-13,32.0,32.5,32.5,32.0,0
52,52.0,2016-04-14,32.61,32.91,32.91,32.61,0
53,53.0,2016-04-15,33.0,32.93,33.0,32.93,0
54,54.0,2016-04-18,32.54,33.11,33.11,32.54,0
55,55.0,2016-04-19,33.25,33.39,33.39,33.25,0
56,56.0,2016-04-20,33.26,33.63,33.63,33.26,0
57,57.0,2016-04-21,33.77,33.54,33.77,33.54,0
58,58.0,2016-04-22,33.42,33.51,33.51,33.42,0
59,59.0,2016-04-25,33.58,33.31,33.58,33.31,0
60,60.0,2016-04-26,33.23,33.29,33.29,33.23,0
61,61.0,2016-04-27,32.65,32.71,32.71,32.65,0
62,62.0,2016-04-28,32.81,33.05,33.05,32.81,0
63,63.0,2016-04-29,32.65,32.27,32.65,32.27,0
64,64.0,2016-05-02,32.19,32.19,32.19,32.19,0
65,65.0,2016-05-03,32.32,31.86,32.32,31.86,0
66,66.0,2016-05-04,31.72,31.44,31.72,31.44,0
67,67.0,2016-05-05,31.88,31.8,31.88,31.8,0
68,68.0,2016-05-06,31.41,31.47,31.47,31.41,0
69,69.0,2016-05-09,31.72,31.52,31.72,31.52,0
70,70.0,2016-05-10,31.9,31.92,31.92,31.9,0
71,71.0,2016-05-11,31.83,31.8,31.83,31.8,0
72,72.0,2016-05-12,31.63,31.64,31.64,31.63,0
73,73.0,2016-05-13,31.41,31.75,31.75,31.41,0
74,74.0,2016-05-16,31.66,31.89,31.89,31.66,0
75,75.0,2016-05-17,32.15,32.06,32.15,32.06,0
76,76.0,2016-05-18,31.89,32.05,32.05,31.89,0
77,77.0,2016-05-19,31.71,31.54,31.71,31.54,0
78,78.0,2016-05-20,31.92,32.03,32.03,31.92,0
79,79.0,2016-05-23,31.73,31.76,31.76,31.73,0
80,80.0,2016-05-24,31.44,32.07,32.07,31.44,0
81,81.0,2016-05-25,32.18,32.29,32.29,32.18,0
82,82.0,2016-05-26,32.24,32.38,32.38,32.24,0
83,83.0,2016-05-27,32.39,32.64,32.64,32.39,0
84,84.0,2016-05-30,32.51,32.53,32.53,32.51,0
85,85.0,2016-05-31,32.69,32.52,32.69,32.52,0
86,86.0,2016-06-01,32.44,32.3,32.44,32.3,0
87,87.0,2016-06-02,32.09,32.24,32.24,32.09,0
88,88.0,2016-06-03,32.15,32.15,32.15,32.15,0
89,89.0,2016-06-06,32.46,32.6,32.6,32.46,0
90,90.0,2016-06-07,32.83,32.95,32.95,32.83,0
91,91.0,2016-06-08,32.78,32.91,32.91,32.78,0
92,92.0,2016-06-09,32.75,32.72,32.75,32.72,0
93,93.0,2016-06-10,32.58,32.36,32.58,32.36,0
