,date,open,close,high,low,volumme
0,2014-10-17,36.75,37.47,37.47,36.75,0
1,2014-10-20,37.48,37.37,37.48,37.37,0
2,2014-10-21,37.28,38.18,38.18,37.28,70
3,2014-10-22,38.33,38.63,38.63,38.33,0
4,2014-10-23,38.39,38.81,38.81,38.39,1500
5,2014-10-24,38.61,38.75,38.75,38.61,0
6,2014-10-27,38.99,38.58,38.99,38.58,0
7,2014-10-28,38.81,38.82,38.96,38.81,770
8,2014-10-29,39.09,38.98,39.1,38.98,730
9,2014-10-30,39.49,39.42,39.49,39.15,80
10,2014-10-31,40.06,40.26,40.26,40.06,0
11,2014-11-03,40.32,40.32,40.32,40.32,0
12,2014-11-04,40.1,39.76,40.1,39.76,150
13,2014-11-05,40.28,40.28,40.28,40.28,0
14,2014-11-06,40.14,40.49,40.49,40.14,0
15,2014-11-07,40.7,40.56,40.73,40.45,5930
16,2014-11-10,40.37,40.69,41.61,40.37,12780
17,2014-11-11,40.78,40.71,40.81,40.71,103760
18,2014-11-12,40.53,40.5,40.53,40.5,0
19,2014-11-13,40.67,40.55,40.67,40.55,0
20,2014-11-14,40.67,40.54,40.67,40.54,0
21,2014-11-17,40.54,40.54,40.54,40.54,0
22,2014-11-18,40.62,40.62,40.62,40.6,215
23,2014-11-19,40.49,40.49,40.49,40.49,0
24,2014-11-20,40.41,40.6,40.6,40.41,0
25,2014-11-21,40.66,41.38,41.38,40.66,0
26,2014-11-24,41.32,41.25,41.32,41.25,0
27,2014-11-25,41.34,41.2,41.4,41.2,70
28,2014-11-26,41.29,41.18,41.29,41.18,0
29,2014-11-27,41.24,41.28,41.28,41.24,0
30,2014-11-28,41.38,41.34,41.38,41.17,3430
31,2014-12-01,41.05,40.89,41.05,40.89,0
32,2014-12-02,41.08,41.34,41.34,41.08,0
33,2014-12-03,41.45,41.67,41.67,41.42,3000
34,2014-12-04,42.01,41.11,42.01,41.11,60
35,2014-12-05,41.45,41.77,41.77,41.45,1100
36,2014-12-08,41.71,41.57,41.71,41.57,0
37,2014-12-09,41.3,40.66,41.3,40.66,36
38,2014-12-10,40.97,40.53,40.97,40.53,0
39,2014-12-11,40.26,40.73,40.73,40.26,0
40,2014-12-12,40.31,39.77,40.31,39.77,0
41,2014-12-15,39.66,39.18,39.75,39.18,37
42,2014-12-16,39.39,39.66,39.66,39.39,280
43,2014-12-17,39.17,39.54,39.54,39.17,1890
44,2014-12-18,40.25,40.69,40.69,40.25,100
45,2014-12-19,41.22,41.28,41.28,41.22,0
46,2014-12-22,41.38,41.32,41.38,41.29,5740
47,2014-12-23,41.42,41.78,41.78,41.42,5606
48,2014-12-24,41.78,41.77,41.78,41.77,3000
49,2014-12-29,41.92,41.94,41.94,41.7,6035
50,2014-12-30,41.73,41.63,41.73,41.63,150
51,2014-12-31,41.76,41.76,41.76,41.76,0
52,2015-01-02,41.78,41.64,41.78,41.64,185
53,2015-01-05,41.83,41.21,41.83,41.21,860
54,2015-01-06,41.18,40.81,41.3,40.81,45
55,2015-01-07,41.09,41.41,41.41,41.09,0
56,2015-01-08,42.01,42.32,42.32,41.79,4203
57,2015-01-09,42.24,41.88,42.24,41.88,3000
58,2015-01-12,41.88,41.78,41.88,41.78,0
59,2015-01-13,42.25,42.26,42.26,42.15,125
60,2015-01-14,41.68,41.38,41.68,41.38,4320
61,2015-01-15,42.07,42.38,42.38,42.05,3000
62,2015-01-16,42.01,42.66,42.66,41.94,200
63,2015-01-19,42.58,42.6,42.6,42.55,690
64,2015-01-20,42.89,42.77,42.89,42.77,3605
65,2015-01-21,43.02,43.1,43.1,42.83,3955
66,2015-01-22,43.19,43.89,43.89,43.1,1400
67,2015-01-23,44.4,44.7,44.92,44.4,550
68,2015-01-26,44.66,44.68,44.69,44.56,1767
69,2015-01-27,44.94,44.11,44.94,44.11,1164
70,2015-01-28,44.58,44.25,44.58,44.25,1441
71,2015-01-29,44.02,43.86,44.02,43.86,0
72,2015-01-30,44.05,43.9,44.05,43.9,175
73,2015-02-02,43.81,43.92,43.92,43.81,0
