,Unnamed: 0,date,open,close,high,low,volumme
0,0.0,2024-07-05,5.017,5.027,5.027,5.017,9249
1,1.0,2024-07-08,5.025,5.025,5.025,5.025,0
2,2.0,2024-07-09,5.032,5.032,5.032,5.032,0
3,3.0,2024-07-10,5.029,5.029,5.029,5.029,0
4,4.0,2024-07-11,5.032,5.032,5.032,5.032,0
5,5.0,2024-07-12,5.046,5.045,5.046,5.045,3653
6,6.0,2024-07-15,5.044,5.044,5.044,5.044,0
7,7.0,2024-07-16,5.053,5.053,5.053,5.053,0
8,8.0,2024-07-17,5.054,5.054,5.054,5.054,0
9,9.0,2024-07-18,5.057,5.06,5.06,5.057,3630
10,10.0,2024-07-19,5.067,5.067,5.067,5.062,19735
11,11.0,2024-07-22,5.057,5.057,5.057,5.057,0
12,12.0,2024-07-23,5.05,5.05,5.05,5.05,0
13,13.0,2024-07-24,5.068,5.068,5.068,5.068,1849
14,14.0,2024-07-25,5.07,5.07,5.07,5.07,0
15,15.0,2024-07-26,5.071,5.077,5.077,5.071,1849
16,16.0,2024-07-29,5.081,5.092,5.092,5.081,1425
17,17.0,2024-07-30,5.093,5.093,5.093,5.093,0
18,18.0,2024-07-31,5.105,5.105,5.105,5.105,0
19,19.0,2024-08-01,5.108,5.111,5.111,5.108,2162
20,20.0,2024-08-02,5.117,5.117,5.117,5.117,0
21,21.0,2024-08-05,5.121,5.121,5.121,5.121,0
22,22.0,2024-08-06,5.093,5.093,5.093,5.093,0
23,23.0,2024-08-07,5.101,5.1,5.101,5.1,980
24,24.0,2024-08-08,5.11,5.11,5.11,5.11,980
25,25.0,2024-08-09,5.107,5.107,5.107,5.107,0
26,26.0,2024-08-12,5.11,5.108,5.11,5.108,20552
27,27.0,2024-08-13,5.11,5.113,5.113,5.11,18
28,28.0,2024-08-14,5.122,5.122,5.122,5.122,0
29,29.0,2024-08-15,5.123,5.123,5.123,5.123,0
30,30.0,2024-08-16,5.118,5.125,5.125,5.118,3000
31,31.0,2024-08-19,5.124,5.13,5.13,5.124,6822
32,32.0,2024-08-20,5.12,5.128,5.128,5.12,1849
33,33.0,2024-08-21,5.126,5.132,5.132,5.126,3698
34,34.0,2024-08-22,5.138,5.138,5.138,5.138,0
35,35.0,2024-08-23,5.117,5.121,5.121,5.117,1849
36,36.0,2024-08-26,5.135,5.135,5.135,5.135,0
37,37.0,2024-08-27,5.121,5.121,5.121,5.121,0
38,38.0,2024-08-28,5.123,5.123,5.123,5.123,1000
39,39.0,2024-08-29,5.119,5.119,5.119,5.119,0
40,40.0,2024-08-30,5.127,5.129,5.132,5.127,4658
41,41.0,2024-09-02,5.113,5.116,5.116,5.113,20424
42,42.0,2024-09-03,5.118,5.123,5.123,5.118,1849
43,43.0,2024-09-04,5.125,5.135,5.16,5.125,163432
44,44.0,2024-09-05,5.137,5.142,5.142,5.137,698
45,45.0,2024-09-06,5.137,5.137,5.137,5.137,0
46,46.0,2024-09-09,5.139,5.149,5.149,5.139,11714
47,47.0,2024-09-10,5.152,5.159,5.159,5.152,971
48,48.0,2024-09-11,5.163,5.163,5.163,5.163,0
49,49.0,2024-09-12,5.116,5.119,5.119,5.116,3698
50,50.0,2024-09-13,5.113,5.113,5.113,5.113,0
51,51.0,2024-09-16,5.117,5.122,5.122,5.117,395
52,52.0,2024-09-17,5.13,5.127,5.13,5.127,17201
53,53.0,2024-09-18,5.122,5.122,5.122,5.122,0
54,54.0,2024-09-19,5.117,5.135,5.135,5.117,20912
55,55.0,2024-09-20,5.119,5.119,5.119,5.119,0
0,,2024-07-05 00:00:00,5.017,5.027,5.027,5.017,9249
1,,2024-07-08 00:00:00,5.025,5.025,5.025,5.025,0
2,,2024-07-09 00:00:00,5.032,5.032,5.032,5.032,0
3,,2024-07-10 00:00:00,5.029,5.029,5.029,5.029,0
4,,2024-07-11 00:00:00,5.032,5.032,5.032,5.032,0
5,,2024-07-12 00:00:00,5.046,5.045,5.046,5.045,3653
6,,2024-07-15 00:00:00,5.044,5.044,5.044,5.044,0
7,,2024-07-16 00:00:00,5.053,5.053,5.053,5.053,0
8,,2024-07-17 00:00:00,5.054,5.054,5.054,5.054,0
9,,2024-07-18 00:00:00,5.057,5.06,5.06,5.057,3630
10,,2024-07-19 00:00:00,5.067,5.067,5.067,5.062,19735
11,,2024-07-22 00:00:00,5.057,5.057,5.057,5.057,0
12,,2024-07-23 00:00:00,5.05,5.05,5.05,5.05,0
13,,2024-07-24 00:00:00,5.068,5.068,5.068,5.068,1849
14,,2024-07-25 00:00:00,5.07,5.07,5.07,5.07,0
15,,2024-07-26 00:00:00,5.071,5.077,5.077,5.071,1849
16,,2024-07-29 00:00:00,5.081,5.092,5.092,5.081,1425
17,,2024-07-30 00:00:00,5.093,5.093,5.093,5.093,0
18,,2024-07-31 00:00:00,5.105,5.105,5.105,5.105,0
19,,2024-08-01 00:00:00,5.108,5.111,5.111,5.108,2162
20,,2024-08-02 00:00:00,5.117,5.117,5.117,5.117,0
21,,2024-08-05 00:00:00,5.121,5.121,5.121,5.121,0
22,,2024-08-06 00:00:00,5.093,5.093,5.093,5.093,0
23,,2024-08-07 00:00:00,5.101,5.1,5.101,5.1,980
24,,2024-08-08 00:00:00,5.11,5.11,5.11,5.11,980
25,,2024-08-09 00:00:00,5.107,5.107,5.107,5.107,0
26,,2024-08-12 00:00:00,5.11,5.108,5.11,5.108,20552
27,,2024-08-13 00:00:00,5.11,5.113,5.113,5.11,18
28,,2024-08-14 00:00:00,5.122,5.122,5.122,5.122,0
29,,2024-08-15 00:00:00,5.123,5.123,5.123,5.123,0
30,,2024-08-16 00:00:00,5.118,5.125,5.125,5.118,3000
31,,2024-08-19 00:00:00,5.124,5.13,5.13,5.124,6822
32,,2024-08-20 00:00:00,5.12,5.128,5.128,5.12,1849
33,,2024-08-21 00:00:00,5.126,5.132,5.132,5.126,3698
34,,2024-08-22 00:00:00,5.138,5.138,5.138,5.138,0
35,,2024-08-23 00:00:00,5.117,5.121,5.121,5.117,1849
36,,2024-08-26 00:00:00,5.135,5.135,5.135,5.135,0
37,,2024-08-27 00:00:00,5.121,5.121,5.121,5.121,0
38,,2024-08-28 00:00:00,5.123,5.123,5.123,5.123,1000
39,,2024-08-29 00:00:00,5.119,5.119,5.119,5.119,0
40,,2024-08-30 00:00:00,5.127,5.129,5.132,5.127,4658
41,,2024-09-02 00:00:00,5.113,5.116,5.116,5.113,20424
42,,2024-09-03 00:00:00,5.118,5.123,5.123,5.118,1849
43,,2024-09-04 00:00:00,5.125,5.135,5.16,5.125,163432
44,,2024-09-05 00:00:00,5.137,5.142,5.142,5.137,698
45,,2024-09-06 00:00:00,5.137,5.137,5.137,5.137,0
46,,2024-09-09 00:00:00,5.139,5.149,5.149,5.139,11714
47,,2024-09-10 00:00:00,5.152,5.159,5.159,5.152,971
48,,2024-09-11 00:00:00,5.163,5.163,5.163,5.163,0
49,,2024-09-12 00:00:00,5.116,5.119,5.119,5.116,3698
50,,2024-09-13 00:00:00,5.113,5.113,5.113,5.113,0
51,,2024-09-16 00:00:00,5.117,5.122,5.122,5.117,395
52,,2024-09-17 00:00:00,5.13,5.127,5.13,5.127,17201
53,,2024-09-18 00:00:00,5.122,5.122,5.122,5.122,0
54,,2024-09-19 00:00:00,5.117,5.135,5.135,5.117,20912
55,,2024-09-20 00:00:00,5.119,5.119,5.119,5.119,0
56,,2024-09-23 00:00:00,5.124,5.124,5.124,5.124,0
57,,2024-09-24 00:00:00,5.139,5.143,5.143,5.139,2000
