,Unnamed: 0,date,open,close,high,low,volumme
0,0.0,2024-07-05,4.7135,4.7135,4.7135,4.7135,0
1,1.0,2024-07-08,4.7245,4.7245,4.7245,4.7245,0
2,2.0,2024-07-09,4.725,4.725,4.725,4.725,0
3,3.0,2024-07-10,4.728,4.728,4.728,4.728,0
4,4.0,2024-07-11,4.724,4.724,4.724,4.724,0
5,5.0,2024-07-12,4.7305,4.7305,4.7305,4.7305,0
6,6.0,2024-07-15,4.727,4.727,4.727,4.727,0
7,7.0,2024-07-16,4.7305,4.7305,4.7305,4.7305,0
8,8.0,2024-07-17,4.728,4.728,4.728,4.728,0
9,9.0,2024-07-18,4.7155,4.7155,4.7155,4.7155,0
10,10.0,2024-07-19,4.733,4.733,4.733,4.733,0
11,11.0,2024-07-22,4.7285,4.7285,4.7285,4.7285,0
12,12.0,2024-07-23,4.721,4.721,4.721,4.721,0
13,13.0,2024-07-24,4.7455,4.7455,4.7455,4.7455,0
14,14.0,2024-07-25,4.7585,4.751,4.7585,4.751,66228
15,15.0,2024-07-26,4.744,4.744,4.744,4.744,0
16,16.0,2024-07-29,4.7615,4.7615,4.7615,4.7615,0
17,17.0,2024-07-30,4.772,4.7705,4.772,4.7705,1936
18,18.0,2024-07-31,4.7835,4.7785,4.7835,4.7785,21970
19,19.0,2024-08-01,4.8055,4.8195,4.8195,4.8055,21939
20,20.0,2024-08-02,4.8445,4.8445,4.8445,4.8445,0
21,21.0,2024-08-05,4.8465,4.8465,4.8465,4.8465,0
22,22.0,2024-08-06,4.8065,4.8065,4.8065,4.8065,61
23,23.0,2024-08-07,4.804,4.804,4.804,4.804,0
24,24.0,2024-08-08,4.7975,4.8015,4.8015,4.797,65751
25,25.0,2024-08-09,4.789,4.789,4.789,4.789,0
26,26.0,2024-08-12,4.79,4.79,4.79,4.79,0
27,27.0,2024-08-13,4.7975,4.8015,4.8015,4.7975,21899
28,28.0,2024-08-14,4.7865,4.7865,4.7865,4.7865,0
29,29.0,2024-08-15,4.782,4.7685,4.782,4.7685,109770
30,30.0,2024-08-16,4.772,4.772,4.772,4.772,0
31,31.0,2024-08-19,4.7545,4.7545,4.7545,4.7545,0
32,32.0,2024-08-20,4.7345,4.7345,4.7345,4.7345,0
33,33.0,2024-08-21,4.7305,4.736,4.74,4.7305,45412
34,34.0,2024-08-22,4.7295,4.7295,4.7295,4.7295,0
35,35.0,2024-08-23,4.728,4.728,4.728,4.728,0
