,date,open,close,high,low,volumme
0,2024-07-05,5.013,5.018,5.018,5.013,9249
1,2024-07-08,5.018,5.018,5.018,5.018,9249
2,2024-07-09,5.03,5.03,5.03,5.03,0
3,2024-07-10,5.024,5.024,5.024,5.024,0
4,2024-07-11,5.034,5.025,5.034,5.025,22753
5,2024-07-12,5.043,5.048,5.048,5.039,3698
6,2024-07-15,5.047,5.047,5.047,5.047,0
7,2024-07-16,5.049,5.055,5.055,5.049,20815
8,2024-07-17,5.058,5.058,5.058,5.058,0
9,2024-07-18,5.056,5.067,5.067,5.056,2827
10,2024-07-19,5.056,5.063,5.063,5.056,22615
11,2024-07-22,5.057,5.053,5.063,5.053,111416
12,2024-07-23,5.064,5.057,5.064,5.057,20836
13,2024-07-24,5.065,5.065,5.065,5.065,20836
14,2024-07-25,5.079,5.079,5.079,5.079,0
15,2024-07-26,5.068,5.073,5.073,5.068,3698
16,2024-07-29,5.086,5.1,5.1,5.086,41378
17,2024-07-30,5.095,5.097,5.098,5.09,45798
18,2024-07-31,5.113,5.113,5.113,5.113,0
19,2024-08-01,5.114,5.112,5.114,5.112,1500
20,2024-08-02,5.127,5.119,5.128,5.119,25021
21,2024-08-05,5.14,5.099,5.14,5.099,64729
22,2024-08-06,5.093,5.116,5.116,5.093,24643
23,2024-08-07,5.099,5.097,5.099,5.097,1500
24,2024-08-08,5.117,5.104,5.12,5.1,70485
25,2024-08-09,5.107,5.107,5.107,5.107,0
26,2024-08-12,5.115,5.107,5.115,5.107,26561
27,2024-08-13,5.116,5.114,5.116,5.11,6000
28,2024-08-14,5.121,5.127,5.127,5.121,14676
29,2024-08-15,5.12,5.12,5.12,5.12,0
30,2024-08-16,5.119,5.122,5.122,5.117,3381
31,2024-08-19,5.124,5.117,5.13,5.117,11322
32,2024-08-20,5.121,5.125,5.125,5.121,1500
33,2024-08-21,5.12,5.12,5.12,5.12,0
34,2024-08-22,5.135,5.139,5.139,5.135,1500
35,2024-08-23,5.121,5.121,5.121,5.121,0
36,2024-08-26,5.133,5.133,5.133,5.133,0
37,2024-08-27,5.118,5.118,5.118,5.118,0
38,2024-08-28,5.116,5.116,5.116,5.116,0
39,2024-08-29,5.12,5.125,5.131,5.12,12200
40,2024-08-30,5.121,5.134,5.134,5.121,7500
41,2024-09-02,5.108,5.099,5.108,5.099,1500
42,2024-09-03,5.113,5.113,5.113,5.113,0
43,2024-09-04,5.123,5.123,5.123,5.123,0
44,2024-09-05,5.144,5.144,5.144,5.144,0
45,2024-09-06,5.151,5.151,5.151,5.151,0
46,2024-09-09,5.152,5.141,5.152,5.141,19910
47,2024-09-10,5.157,5.157,5.157,5.157,0
48,2024-09-11,5.172,5.158,5.172,5.158,19974
49,2024-09-12,5.113,5.113,5.113,5.113,0
50,2024-09-13,5.107,5.114,5.114,5.107,17220
51,2024-09-16,5.111,5.113,5.113,5.111,395
52,2024-09-17,5.118,5.118,5.118,5.118,0
53,2024-09-18,5.115,5.117,5.131,5.115,115437
54,2024-09-19,5.112,5.112,5.112,5.112,0
55,2024-09-20,5.126,5.112,5.126,5.112,1200
