,date,open,close,high,low,volumme
0,2014-09-22,118.44,118.44,118.44,118.44,0
1,2014-09-23,120.89,118.32,120.89,118.32,32
2,2014-09-24,118.51,118.83,118.83,118.51,0
3,2014-09-25,118.79,118.6,118.79,118.6,0
4,2014-09-26,118.73,118.37,118.73,118.37,0
5,2014-09-29,118.35,117.69,118.35,117.69,0
6,2014-09-30,117.69,117.23,117.69,117.23,16500
7,2014-10-01,117.06,117.55,117.82,117.06,215
8,2014-10-02,117.76,117.49,117.76,117.49,113
9,2014-10-03,117.84,117.68,117.84,117.52,1000
10,2014-10-06,117.67,117.7,118.0,117.61,10587
11,2014-10-07,117.76,117.76,117.77,117.76,8230
12,2014-10-08,118.0,118.03,118.03,118.0,0
13,2014-10-09,118.26,118.74,118.74,118.26,0
14,2014-10-10,118.62,118.22,118.62,118.22,250
15,2014-10-13,118.25,118.6,118.6,117.65,4750
16,2014-10-14,118.31,118.44,118.44,117.96,50
17,2014-10-15,118.53,118.7,118.87,118.53,1013
18,2014-10-16,118.55,118.3,118.55,118.3,0
19,2014-10-17,118.48,119.17,119.17,118.48,465
20,2014-10-20,119.32,119.48,119.48,119.32,0
21,2014-10-21,119.39,119.34,119.5,119.09,250
22,2014-10-22,119.27,119.34,119.48,119.27,23
23,2014-10-23,119.31,119.19,119.31,119.19,0
24,2014-10-24,119.14,119.14,119.14,119.14,0
25,2014-10-27,119.13,118.89,119.13,118.88,100
26,2014-10-28,119.02,119.33,119.33,119.02,0
27,2014-10-29,119.63,119.63,119.63,119.63,0
28,2014-10-30,119.59,119.63,119.63,119.59,0
29,2014-10-31,119.7,119.88,119.88,119.7,18400
30,2014-11-03,119.96,119.47,119.96,119.47,1140
31,2014-11-04,119.4,119.17,119.43,119.17,2087
32,2014-11-05,119.01,119.12,119.19,118.9,3655
33,2014-11-06,119.02,118.55,119.02,118.55,10
34,2014-11-07,118.35,118.42,118.42,118.35,0
35,2014-11-10,118.43,118.5,118.8,118.43,363
36,2014-11-11,118.36,118.36,118.36,118.36,0
37,2014-11-12,118.36,118.36,118.36,118.36,0
38,2014-11-13,118.53,118.25,118.53,118.25,576
39,2014-11-14,118.22,118.09,118.22,118.09,0
40,2014-11-17,118.27,117.93,118.27,117.93,0
41,2014-11-18,117.87,117.87,117.87,117.87,0
42,2014-11-19,117.93,118.26,118.26,117.93,36
43,2014-11-20,118.33,118.33,118.33,118.33,288
44,2014-11-21,118.55,118.89,118.89,118.55,0
45,2014-11-24,119.11,119.05,119.24,118.91,348
46,2014-11-25,119.08,119.11,119.11,119.08,0
47,2014-11-26,119.41,119.51,119.51,119.41,0
48,2014-11-27,118.98,119.48,119.48,118.98,100
49,2014-11-28,119.61,119.94,119.94,116.6,3620
50,2014-12-01,119.75,118.84,119.75,116.69,17304
51,2014-12-02,118.71,118.74,118.74,118.71,50
52,2014-12-03,118.67,118.56,118.75,118.34,70
53,2014-12-04,118.85,118.98,118.98,118.85,0
54,2014-12-05,118.99,118.61,118.99,118.61,300
55,2014-12-08,118.64,118.09,118.64,117.97,1665
56,2014-12-09,117.4,117.4,117.4,117.4,0
