,date,open,close,high,low,volumme
0,2014-09-22,33.835,33.745,33.865,33.745,1233
1,2014-09-23,33.68,33.695,33.72,33.505,3088
2,2014-09-24,33.66,34.06,34.06,33.59,11268
3,2014-09-25,34.24,33.685,34.355,33.685,154
4,2014-09-26,33.605,33.735,33.88,33.57,11245
5,2014-09-29,33.995,34.015,34.015,33.7,2808
6,2014-09-30,34.09,34.41,34.49,34.09,12398
7,2014-10-01,34.22,33.965,34.26,33.805,6325
8,2014-10-02,33.7,33.385,33.7,33.385,1252
9,2014-10-03,33.735,34.325,34.375,33.735,811
10,2014-10-06,34.4,34.135,34.4,34.135,1788
11,2014-10-07,33.875,33.665,33.885,33.665,1687
12,2014-10-08,33.52,33.39,33.52,33.13,3293
13,2014-10-09,33.79,33.905,33.905,33.79,1114
14,2014-10-10,33.395,33.125,33.41,33.105,2526
15,2014-10-13,32.455,32.5,32.5,32.355,2368
16,2014-10-14,32.1,32.35,32.41,32.08,2246
17,2014-10-15,32.24,31.385,32.27,31.225,10856
18,2014-10-16,31.425,31.415,31.455,30.98,2960
19,2014-10-17,31.395,32.13,32.13,31.395,1112
20,2014-10-20,32.07,32.015,32.1,31.795,26591
21,2014-10-21,32.115,33.07,33.07,32.115,42347
22,2014-10-22,33.34,33.635,33.635,33.34,1609
23,2014-10-23,33.475,33.89,33.89,33.395,2087
24,2014-10-24,33.71,33.925,33.925,33.705,2402
25,2014-10-27,34.07,33.91,34.07,33.91,4330
26,2014-10-28,34.075,34.165,34.24,34.075,8713
27,2014-10-29,34.285,34.21,34.33,34.21,2152
28,2014-10-30,34.71,34.575,34.76,34.38,67
29,2014-10-31,35.18,35.35,35.465,35.18,1578
30,2014-11-03,35.435,35.63,35.635,35.435,3834
31,2014-11-04,35.55,35.18,35.56,35.1,1620
32,2014-11-05,35.52,35.54,35.705,35.49,595
33,2014-11-06,35.375,35.75,35.855,35.35,6071
34,2014-11-07,36.0,35.76,36.0,35.6,1071
35,2014-11-10,35.56,35.895,35.895,35.56,1578
36,2014-11-11,35.975,35.86,35.975,35.86,350
37,2014-11-12,35.775,35.865,35.865,35.77,1636
38,2014-11-13,36.085,36.055,36.14,36.055,4301
39,2014-11-14,36.185,36.07,36.225,36.07,288
40,2014-11-17,35.93,35.96,36.16,35.93,960
41,2014-11-18,36.06,36.085,36.15,35.935,2864
42,2014-11-19,36.105,35.925,36.15,35.905,2061
43,2014-11-20,35.905,36.19,36.19,35.905,150
44,2014-11-21,36.2,36.735,36.815,36.2,37097
45,2014-11-24,36.635,36.725,36.775,36.635,112964
46,2014-11-25,36.85,36.78,36.87,36.765,846
47,2014-11-26,36.83,36.77,36.91,36.735,35424
