,date,open,close,high,low,volumme
0,2014-09-22,46.36,46.54,46.57,46.36,830
1,2014-09-23,46.42,46.07,46.42,46.0,48
2,2014-09-24,46.16,46.3,46.3,46.1,433
3,2014-09-25,46.29,46.2,46.6,46.17,965
4,2014-09-26,46.27,46.33,46.33,45.97,443
5,2014-09-29,46.42,46.22,46.42,46.22,64
6,2014-09-30,46.3,46.56,46.56,46.3,1165
7,2014-10-01,46.37,46.24,46.63,46.2,4585
8,2014-10-02,46.09,45.29,46.09,45.29,1203
9,2014-10-03,45.44,45.8,45.85,45.44,1824
10,2014-10-06,46.0,45.81,46.0,45.77,2732
11,2014-10-07,45.76,45.12,45.76,45.12,545
12,2014-10-08,44.88,44.83,44.96,44.73,1535
13,2014-10-09,45.11,44.69,45.11,44.51,1310
14,2014-10-10,44.4,43.95,44.46,43.95,1180
15,2014-10-13,43.45,43.74,43.78,43.45,2247
16,2014-10-14,43.36,43.65,43.7,43.17,9829
17,2014-10-15,43.58,42.19,43.6,42.19,4028
18,2014-10-16,42.5,41.79,42.5,40.66,18920
19,2014-10-17,41.71,43.19,43.24,41.71,5755
20,2014-10-20,43.32,42.96,43.34,42.71,2978
21,2014-10-21,42.96,43.85,43.85,42.85,10953
22,2014-10-22,44.0,44.32,44.32,43.76,4445
23,2014-10-23,44.01,44.47,44.5,44.0,3945
24,2014-10-24,44.35,44.57,44.57,44.35,212
25,2014-10-27,44.92,44.35,44.92,44.25,2138
26,2014-10-28,44.72,45.04,45.04,44.72,1743
27,2014-10-29,45.21,45.13,45.22,45.12,685
28,2014-10-30,45.32,45.18,45.32,44.46,880
29,2014-10-31,45.34,45.66,45.82,45.24,1767
30,2014-11-03,45.57,45.23,45.59,45.13,280
31,2014-11-04,45.22,45.05,45.22,45.05,0
32,2014-11-05,45.38,45.75,45.8,45.38,9130
33,2014-11-06,45.66,45.84,46.07,45.66,1397
34,2014-11-07,46.0,45.51,46.04,45.48,2054
35,2014-11-10,45.58,45.77,45.77,45.58,149
36,2014-11-11,45.81,45.99,46.11,45.81,5556
37,2014-11-12,45.79,45.46,45.79,45.46,3876
38,2014-11-13,45.66,45.87,45.89,45.66,13
39,2014-11-14,45.89,45.84,45.89,45.6,675
40,2014-11-17,45.55,45.95,45.95,45.55,0
41,2014-11-18,45.91,46.37,46.39,45.91,1015
42,2014-11-19,46.33,46.54,46.54,46.33,553
43,2014-11-20,46.53,46.26,46.53,46.1,1350
44,2014-11-21,46.32,46.89,46.9,46.32,1767
45,2014-11-24,46.91,47.02,47.16,46.91,2702
46,2014-11-25,47.03,47.29,47.47,47.03,3229
47,2014-11-26,47.23,47.3,47.38,47.23,1407
48,2014-11-27,47.42,47.63,47.63,47.28,776
49,2014-11-28,47.7,47.67,47.7,47.46,2042
50,2014-12-01,47.43,47.5,47.5,47.28,2636
51,2014-12-02,47.52,47.61,47.77,47.46,8681
52,2014-12-03,47.6,47.84,47.95,47.6,16772
53,2014-12-04,47.9,47.37,48.14,47.36,3247
54,2014-12-05,47.86,48.33,48.33,47.86,11733
55,2014-12-08,48.27,48.26,48.35,48.26,960
56,2014-12-09,48.0,47.24,48.0,47.11,2744
57,2014-12-10,47.53,47.25,47.56,47.24,624
