,date,open,close,high,low,volumme
0,2014-09-22,61.67,61.75,61.93,61.67,47587
1,2014-09-23,61.48,60.805,61.48,60.75,18965
2,2014-09-24,60.835,61.485,61.485,60.545,46615
3,2014-09-25,61.485,60.665,61.79,60.635,129722
4,2014-09-26,60.595,61.02,61.07,60.5,19467
5,2014-09-29,61.11,60.45,61.11,60.3,24109
6,2014-09-30,60.705,61.14,61.175,60.645,11311
7,2014-10-01,61.005,60.585,61.295,60.585,22464
8,2014-10-02,60.38,58.91,60.54,58.91,88175
9,2014-10-03,59.305,59.535,59.59,59.155,27646
10,2014-10-06,60.005,59.565,60.005,59.425,94561
11,2014-10-07,59.085,58.475,59.2,58.475,160114
12,2014-10-08,58.225,57.905,58.51,57.81,33124
13,2014-10-09,58.475,57.68,58.475,57.46,43128
14,2014-10-10,57.285,56.74,57.53,56.74,143732
15,2014-10-13,56.245,56.88,57.06,56.245,34052
16,2014-10-14,56.605,56.885,56.975,56.005,45468
17,2014-10-15,56.845,54.845,56.885,54.845,36487
18,2014-10-16,55.32,54.47,55.32,52.97,126164
19,2014-10-17,54.73,56.195,56.21,54.695,135092
20,2014-10-20,55.83,55.59,55.92,55.38,31413
21,2014-10-21,55.41,56.83,56.83,55.41,61617
22,2014-10-22,56.87,57.075,57.075,56.415,55271
23,2014-10-23,56.62,57.745,57.885,56.62,58132
24,2014-10-24,57.325,57.515,57.58,57.325,16218
25,2014-10-27,58.11,56.895,58.11,56.565,68872
26,2014-10-28,57.26,57.605,57.605,57.26,3691
27,2014-10-29,57.865,57.345,57.865,57.345,3038
28,2014-10-30,57.825,57.61,57.825,56.355,1446
29,2014-10-31,58.53,59.07,59.225,58.39,44541
30,2014-11-03,58.945,58.545,59.135,58.545,10893
31,2014-11-04,58.415,57.61,58.735,57.53,70530
32,2014-11-05,58.165,58.64,58.64,58.025,103949
33,2014-11-06,58.41,58.885,59.45,58.37,51294
34,2014-11-07,59.045,58.215,59.045,57.93,26690
35,2014-11-10,58.03,58.77,58.77,58.03,1047
36,2014-11-11,58.945,58.955,59.05,58.935,6663
37,2014-11-12,58.785,57.895,58.785,57.895,3071
38,2014-11-13,58.215,58.03,58.4,58.03,32248
39,2014-11-14,58.29,58.16,58.29,57.87,42544
40,2014-11-17,57.595,58.57,58.57,57.595,201
41,2014-11-18,58.65,59.26,59.29,58.65,111253
42,2014-11-19,59.26,59.32,59.705,59.145,390349
43,2014-11-20,59.16,58.985,59.16,58.48,85171
44,2014-11-21,59.125,60.665,60.745,59.125,119988
45,2014-11-24,60.775,61.065,61.43,60.775,31485
46,2014-11-25,61.095,61.285,61.615,61.095,33196
47,2014-11-26,61.505,61.28,61.53,61.205,135627
48,2014-11-27,61.45,61.69,61.785,61.29,163451
49,2014-11-28,61.675,61.78,61.78,61.36,20945
50,2014-12-01,61.375,61.465,61.55,61.175,70848
51,2014-12-02,61.61,61.58,62.0,61.34,86863
52,2014-12-03,61.705,61.78,61.91,61.59,44053
53,2014-12-04,61.92,60.75,62.285,60.615,87957
54,2014-12-05,61.37,62.315,62.315,61.37,55697
55,2014-12-08,62.145,61.8,62.145,61.8,42758
56,2014-12-09,61.135,60.225,61.26,60.17,81696
57,2014-12-10,60.6,59.955,60.72,59.945,30447
58,2014-12-11,59.945,60.105,60.365,59.685,74574
59,2014-12-12,59.62,58.385,59.62,58.3,185917
60,2014-12-15,58.275,56.69,58.79,56.69,63036
61,2014-12-16,57.025,58.065,58.065,55.57,196225
62,2014-12-17,57.28,58.11,58.4,57.28,165137
63,2014-12-18,59.12,60.03,60.03,59.005,125033
64,2014-12-19,60.525,59.735,60.525,59.325,101972
65,2014-12-22,60.17,60.125,60.49,59.84,35771
66,2014-12-23,60.845,60.845,60.845,60.845,0
67,2014-12-29,60.0,60.735,60.735,59.89,10999
68,2014-12-30,59.71,59.71,59.71,59.71,0
