,date,open,close,high,low,volumme
0,2014-09-25,83.47,82.46,83.56,82.46,78
1,2014-09-26,82.36,82.79,82.86,82.36,1522
2,2014-09-29,82.95,82.41,82.95,82.41,6
3,2014-09-30,82.68,82.8,82.8,82.46,1743
4,2014-10-01,82.69,82.16,82.9,82.16,936
5,2014-10-02,82.04,80.27,82.04,80.27,881
6,2014-10-03,80.83,80.99,81.06,80.79,239
7,2014-10-06,81.37,81.08,81.37,81.08,1454
8,2014-10-07,80.68,79.9,80.68,79.9,8117
9,2014-10-08,79.66,79.6,79.98,79.6,621
10,2014-10-09,80.2,79.0,80.2,79.0,487
11,2014-10-10,78.55,78.06,78.58,77.81,429
12,2014-10-13,77.71,78.13,78.53,77.55,1497
13,2014-10-14,77.78,78.09,78.09,77.54,3233
14,2014-10-15,78.05,75.9,78.15,75.9,18404
15,2014-10-16,76.34,75.37,76.34,73.5,23326
16,2014-10-17,75.76,77.49,77.49,75.67,1630
17,2014-10-20,77.27,76.89,77.27,76.67,80
18,2014-10-21,76.83,78.16,78.26,76.83,4127
19,2014-10-22,78.53,79.06,79.09,78.3,120
20,2014-10-23,78.91,79.77,79.77,78.91,1863
21,2014-10-24,79.41,79.46,79.47,79.24,3797
22,2014-10-27,80.25,78.98,80.25,78.98,92
23,2014-10-28,79.79,80.63,80.63,79.79,5088
24,2014-10-29,81.1,80.4,81.1,80.4,1633
25,2014-10-30,80.95,80.84,80.95,79.4,2014
26,2014-10-31,81.74,82.1,82.1,81.28,4496
27,2014-11-03,81.85,80.73,82.08,80.73,6872
28,2014-11-04,81.02,80.16,81.46,80.16,2731
29,2014-11-05,80.81,81.4,81.4,80.75,2944
30,2014-11-06,81.18,81.35,82.03,81.0,1449
31,2014-11-07,81.9,81.04,81.9,80.72,1536
32,2014-11-10,81.29,81.86,81.86,81.1,1892
33,2014-11-11,82.12,82.24,82.41,82.12,4754
34,2014-11-12,82.18,80.85,82.18,80.85,3514
35,2014-11-13,81.58,81.03,81.6,80.6,1221
36,2014-11-14,81.34,81.45,81.48,81.16,498
37,2014-11-17,81.01,81.76,81.85,80.9,5058
38,2014-11-18,82.01,82.67,82.72,82.01,1992
39,2014-11-19,82.85,82.9,83.18,82.8,843
40,2014-11-20,82.89,82.54,82.89,82.08,417
41,2014-11-21,82.8,84.54,84.59,82.8,2051
42,2014-11-24,84.67,85.09,85.16,84.6,1042
43,2014-11-25,84.99,85.29,85.48,84.99,1289
44,2014-11-26,85.42,85.33,85.51,85.17,307
45,2014-11-27,85.78,85.66,85.89,85.32,850
46,2014-11-28,85.46,85.4,85.46,84.89,699
47,2014-12-01,84.89,84.88,85.0,84.71,13677
48,2014-12-02,85.2,85.22,85.46,84.75,6261
49,2014-12-03,85.39,85.67,85.75,85.31,49
50,2014-12-04,85.77,84.54,85.77,84.54,432
51,2014-12-05,85.17,85.95,85.95,85.17,421
52,2014-12-08,85.57,85.3,85.64,85.3,71
53,2014-12-09,84.47,83.52,84.47,83.49,558
54,2014-12-10,83.87,83.25,83.92,83.25,5068
55,2014-12-11,83.2,83.23,83.51,83.0,939
56,2014-12-12,82.59,81.06,82.59,81.06,48
57,2014-12-15,81.09,79.07,81.4,79.07,78
58,2014-12-16,79.41,80.91,80.91,78.25,3759
59,2014-12-17,80.13,80.94,81.18,80.13,6965
60,2014-12-18,82.07,83.07,83.07,82.07,11
61,2014-12-19,83.52,83.29,83.66,82.95,3704
62,2014-12-22,83.77,83.79,84.16,83.48,1854
63,2014-12-23,84.44,84.44,84.44,84.44,0
64,2014-12-29,84.29,84.1,84.29,83.32,625
65,2014-12-30,83.09,83.09,83.09,83.09,0
66,2015-01-02,83.63,83.28,83.63,83.23,9
67,2015-01-05,82.73,80.8,83.38,80.8,554
68,2015-01-06,80.95,80.54,80.95,80.09,660
69,2015-01-07,80.87,81.03,81.55,80.87,361
70,2015-01-08,81.96,83.1,83.22,81.96,991
71,2015-01-09,82.94,82.28,83.39,82.19,200
72,2015-01-12,82.58,82.69,83.32,82.23,140
73,2015-01-13,82.53,83.84,83.94,82.53,5093
74,2015-01-14,82.96,82.58,83.44,82.58,10
75,2015-01-15,83.18,84.52,84.52,83.18,1015
76,2015-01-16,84.37,85.71,85.71,84.37,690
77,2015-01-19,85.71,86.28,86.28,85.63,134
78,2015-01-20,86.65,86.57,87.0,86.57,1066
79,2015-01-21,86.92,87.42,87.42,86.52,638
80,2015-01-22,87.75,89.0,89.09,87.47,499
81,2015-01-23,89.63,90.24,90.39,89.6,1141
82,2015-01-26,89.41,91.15,91.15,89.32,450
83,2015-01-27,91.23,90.47,91.23,90.3,247
84,2015-01-28,90.92,90.45,90.92,90.2,343
85,2015-01-29,89.91,90.49,90.49,89.55,158
86,2015-01-30,90.78,90.02,90.78,90.02,71
87,2015-02-02,90.38,90.04,90.38,89.58,796
88,2015-02-03,90.77,91.41,91.49,90.77,956
89,2015-02-04,91.52,91.01,91.52,90.67,4026
90,2015-02-05,90.28,91.13,91.13,90.28,1984
91,2015-02-06,90.92,91.06,91.26,90.88,647
92,2015-02-09,90.52,89.89,90.52,89.47,3313
93,2015-02-10,90.02,90.7,90.94,90.02,2120
94,2015-02-11,90.88,90.37,90.89,90.37,2167
95,2015-02-12,90.48,91.49,91.51,90.47,7937
96,2015-02-13,91.84,91.65,92.06,91.65,1121
97,2015-02-16,91.49,91.12,91.54,91.12,8383
98,2015-02-17,90.66,91.08,91.19,90.66,1474
99,2015-02-18,91.55,91.76,91.8,91.55,299
100,2015-02-19,91.57,91.97,92.0,91.52,116
101,2015-02-20,91.8,92.0,92.0,91.49,4263
102,2015-02-23,92.55,92.9,92.9,92.29,3941
103,2015-02-24,92.89,93.66,93.79,92.65,5737
104,2015-02-25,94.0,93.76,94.0,93.52,2812
105,2015-02-26,93.8,94.08,94.08,93.62,645
106,2015-02-27,94.31,94.53,94.6,93.98,378
107,2015-03-02,94.94,94.33,94.94,94.14,239
108,2015-03-03,94.46,93.46,94.57,93.46,2550
109,2015-03-04,93.62,93.69,93.75,93.0,1187
110,2015-03-05,94.02,94.71,94.75,94.02,167
111,2015-03-06,94.84,94.57,94.93,94.57,505
112,2015-03-09,93.92,94.6,94.6,93.92,1793
113,2015-03-10,94.81,93.85,94.81,93.84,1727
114,2015-03-11,94.15,95.15,95.15,94.15,109
115,2015-03-12,95.26,95.28,95.38,95.18,306
116,2015-03-13,95.45,95.3,95.51,95.08,744
117,2015-03-16,95.62,96.35,96.41,95.62,1342
118,2015-03-17,96.48,95.66,96.48,95.4,960
119,2015-03-18,95.96,95.79,95.96,95.3,863
120,2015-03-19,96.16,96.04,96.38,95.75,1677
121,2015-03-20,96.45,97.57,97.74,96.34,5153
122,2015-03-23,97.45,97.19,97.45,96.85,1559
123,2015-03-24,96.99,97.69,97.86,96.99,1864
124,2015-03-25,97.46,97.04,97.55,97.0,490
125,2015-03-26,96.38,96.41,96.41,95.52,564
126,2015-03-27,96.79,96.5,96.95,96.19,5414
127,2015-03-30,97.2,97.72,97.72,97.0,479
128,2015-03-31,97.57,96.63,97.68,96.48,1361
129,2015-04-01,96.28,97.24,97.62,96.28,4162
130,2015-04-02,97.47,97.4,97.56,97.26,6800
131,2015-04-07,98.23,98.89,99.09,98.23,1858
132,2015-04-08,99.09,98.78,99.09,98.78,63
133,2015-04-09,99.18,99.8,99.8,99.16,1914
134,2015-04-10,100.13,100.72,100.72,100.13,51
135,2015-04-13,100.87,101.12,101.25,100.87,532
136,2015-04-14,101.03,100.65,101.22,100.28,7958
137,2015-04-15,100.56,100.87,101.14,100.56,740
138,2015-04-16,100.83,100.11,100.83,100.11,1053
139,2015-04-17,100.02,98.36,100.02,98.36,2818
140,2015-04-20,98.71,99.16,99.16,98.71,332
141,2015-04-21,99.86,99.53,99.99,99.53,1775
142,2015-04-22,99.83,98.7,99.83,98.4,75
143,2015-04-23,98.89,98.0,98.89,97.76,125
144,2015-04-24,98.49,98.11,98.49,97.78,316
145,2015-04-27,98.2,99.32,99.32,97.45,3922
146,2015-04-28,99.43,98.06,99.43,97.95,5256
147,2015-04-29,98.69,96.16,98.69,96.16,813
148,2015-04-30,96.27,96.48,96.76,95.6,830
149,2015-05-04,96.8,97.14,97.16,96.06,2435
150,2015-05-05,96.88,94.86,97.55,94.86,1463
151,2015-05-06,95.07,94.81,95.24,94.72,124
152,2015-05-07,94.31,94.73,94.95,93.32,13414
153,2015-05-08,95.36,96.71,96.71,95.31,224
154,2015-05-11,96.67,96.43,96.76,96.43,1341
155,2015-05-12,95.96,95.45,95.96,94.93,6461
156,2015-05-13,95.87,95.66,96.56,95.6,638
157,2015-05-14,95.44,96.76,96.76,95.15,2853
158,2015-05-15,96.93,96.14,96.93,96.14,889
159,2015-05-18,96.28,96.53,96.7,95.82,2959
160,2015-05-19,97.34,98.04,98.5,97.34,379
161,2015-05-20,97.89,98.18,98.18,97.61,626
162,2015-05-21,98.3,98.3,98.39,97.89,1093
163,2015-05-22,98.39,98.24,98.64,98.11,777
164,2015-05-26,97.46,96.68,97.46,96.3,1045
165,2015-05-27,96.78,97.56,97.56,96.32,1233
166,2015-05-28,97.23,96.95,97.31,96.49,306
167,2015-05-29,96.92,95.3,96.92,95.3,273
168,2015-06-01,95.41,95.26,95.65,94.85,732
169,2015-06-02,95.1,95.35,95.74,94.57,5973
170,2015-06-03,95.55,95.35,95.7,95.15,3983
171,2015-06-04,94.74,94.43,94.74,93.69,2245
172,2015-06-05,93.85,93.5,94.15,93.5,249
173,2015-06-08,93.05,92.22,93.06,92.22,1085
174,2015-06-09,92.2,92.14,92.41,91.25,1140
175,2015-06-10,91.95,93.4,93.59,91.95,423
176,2015-06-11,93.43,93.92,94.08,93.43,218
177,2015-06-12,93.65,92.77,93.65,92.77,37
178,2015-06-15,92.0,91.42,92.14,91.42,1054
179,2015-06-16,91.07,91.99,92.0,90.5,2178
180,2015-06-17,92.16,91.51,92.16,91.51,1583
181,2015-06-18,91.41,92.42,92.42,91.17,2067
182,2015-06-19,92.26,92.41,93.14,92.26,3887
183,2015-06-22,94.15,95.38,95.5,94.15,844
184,2015-06-23,96.99,96.0,96.99,95.96,296
185,2015-06-24,95.98,95.68,96.24,95.3,2909
186,2015-06-25,95.33,95.6,96.14,95.33,3281
187,2015-06-26,95.24,95.83,96.09,95.24,872
188,2015-06-29,91.17,92.84,93.04,91.17,596
189,2015-06-30,92.73,91.81,92.73,91.69,2339
190,2015-07-01,92.35,92.77,93.33,91.86,7958
191,2015-07-02,93.07,92.83,93.25,92.93,3442
192,2015-07-03,92.78,92.49,92.8,92.33,370
193,2015-07-06,91.0,90.65,91.35,90.65,367
194,2015-07-07,90.86,89.19,91.09,89.19,1144
195,2015-07-08,89.38,90.08,90.37,89.38,318
196,2015-07-09,90.39,92.28,92.46,90.39,1856
197,2015-07-10,94.1,94.78,94.81,93.7,4011
198,2015-07-13,95.73,96.1,96.1,95.7,3295
199,2015-07-14,95.99,96.57,96.57,95.88,1913
200,2015-07-15,96.77,97.23,97.23,96.77,368
201,2015-07-16,97.67,98.52,98.52,97.67,852
202,2015-07-17,98.59,98.32,98.59,98.17,1594
203,2015-07-20,98.64,98.76,99.19,98.63,1764
204,2015-07-21,98.8,97.62,98.8,97.6,13051
205,2015-07-22,97.21,97.35,97.55,97.11,273
206,2015-07-23,97.88,97.02,97.88,97.02,491
207,2015-07-24,96.61,96.12,97.1,96.12,2767
208,2015-07-27,95.66,94.37,95.66,94.37,2649
209,2015-07-28,94.69,94.94,95.06,94.34,844
210,2015-07-29,95.55,95.35,95.55,94.84,1167
