,date,open,close,high,low,volumme
0,2014-09-22,181.7,181.56,182.29,181.54,264
1,2014-09-23,181.01,180.51,181.01,179.82,127
2,2014-09-24,180.27,181.68,181.68,180.27,783
3,2014-09-25,182.73,180.86,183.32,180.86,35
4,2014-09-26,180.62,181.31,181.84,180.32,425
5,2014-09-29,181.73,181.43,181.73,180.28,221
6,2014-09-30,181.85,182.85,183.51,181.85,218
7,2014-10-01,181.88,181.03,181.88,181.03,33
8,2014-10-02,179.79,177.76,179.79,177.76,3
9,2014-10-03,179.76,182.36,182.44,179.76,149
10,2014-10-06,183.35,182.14,183.35,182.14,213
11,2014-10-07,180.69,179.74,180.69,179.74,0
12,2014-10-08,179.31,177.71,179.31,177.43,1600
13,2014-10-09,179.28,179.0,179.3,179.0,25
14,2014-10-10,176.81,176.26,177.03,176.26,64
15,2014-10-13,175.0,174.33,175.0,173.38,1348
16,2014-10-14,172.35,173.61,173.61,172.21,286
17,2014-10-15,173.23,168.79,173.42,168.79,12
18,2014-10-16,169.52,169.98,169.98,168.27,10
19,2014-10-17,169.99,172.87,172.87,169.76,2146
20,2014-10-20,173.98,172.85,173.98,172.14,111
21,2014-10-21,172.43,176.74,176.74,172.43,1219
22,2014-10-22,177.59,179.06,179.06,177.59,71
23,2014-10-23,178.05,179.63,179.63,178.05,10
24,2014-10-24,178.88,179.51,179.51,178.41,19
25,2014-10-27,180.38,178.9,180.38,178.9,305
26,2014-10-28,180.01,179.82,180.13,179.82,12
27,2014-10-29,181.19,180.51,181.19,180.51,0
28,2014-10-30,183.23,182.93,183.23,182.93,29
29,2014-10-31,185.98,187.04,187.42,185.98,384
30,2014-11-03,187.47,187.97,187.97,187.11,103
31,2014-11-04,186.73,185.2,186.73,185.2,101
32,2014-11-05,186.69,187.32,187.67,186.62,85
33,2014-11-06,186.74,188.57,188.7,186.5,1638
34,2014-11-07,189.58,189.27,189.58,189.17,124
35,2014-11-10,188.25,189.65,189.65,188.2,52
36,2014-11-11,190.21,189.66,190.21,189.66,83
37,2014-11-12,189.0,189.14,189.26,188.51,98
38,2014-11-13,189.99,189.26,189.99,189.26,100
39,2014-11-14,189.93,189.22,189.93,189.22,70
40,2014-11-17,188.02,188.93,188.93,188.02,126
41,2014-11-18,189.2,189.1,189.23,188.4,235
42,2014-11-19,188.84,188.28,188.84,188.28,10
43,2014-11-20,188.06,189.11,189.11,187.44,32
44,2014-11-21,189.26,192.56,192.77,189.26,1947
45,2014-11-24,192.18,191.76,192.81,191.76,158
46,2014-11-25,192.17,191.3,192.81,191.3,192
47,2014-11-26,191.75,190.97,191.78,190.97,556
48,2014-11-27,191.47,191.47,191.47,191.47,0
49,2014-11-28,192.0,191.89,192.0,191.27,290
50,2014-12-01,190.57,189.52,190.57,189.45,25
51,2014-12-02,190.49,191.71,191.71,190.45,14
52,2014-12-03,192.18,193.66,193.66,192.18,0
53,2014-12-04,193.95,190.99,193.99,190.99,88
54,2014-12-05,192.55,193.93,194.83,192.55,833
55,2014-12-08,194.09,193.23,194.09,193.23,96
56,2014-12-09,190.71,189.03,190.71,188.05,176
57,2014-12-10,190.61,188.5,190.64,188.5,28
58,2014-12-11,186.78,189.82,189.82,186.78,118
59,2014-12-12,187.62,185.45,187.62,185.45,540
60,2014-12-15,184.71,183.26,185.71,183.26,119
61,2014-12-16,183.81,184.85,184.85,180.5,282
62,2014-12-17,182.44,184.11,184.11,182.44,54
63,2014-12-18,188.31,190.18,190.31,188.31,76
64,2014-12-19,193.1,193.53,193.53,193.1,5
65,2014-12-22,193.6,193.67,193.84,193.6,51
66,2014-12-23,195.84,195.84,195.84,195.84,0
67,2014-12-29,197.0,196.68,197.0,195.5,317
68,2014-12-30,195.79,195.79,195.79,195.79,0
69,2015-01-02,196.73,195.91,197.06,195.6,258
70,2015-01-05,196.3,194.59,196.47,194.59,717
71,2015-01-06,194.47,192.69,195.14,192.69,659
72,2015-01-07,193.79,195.82,195.82,193.79,98
73,2015-01-08,197.57,199.63,199.63,197.45,58
74,2015-01-09,199.51,197.82,199.63,197.82,440
75,2015-01-12,197.35,196.86,199.4,196.86,397
76,2015-01-13,196.47,199.12,199.12,196.47,303
77,2015-01-14,196.09,194.65,197.67,194.65,365
78,2015-01-15,198.03,199.07,199.07,197.17,21
79,2015-01-16,197.31,200.38,200.38,197.0,6
80,2015-01-19,206.2,199.48,206.2,199.28,429
81,2015-01-20,200.98,200.0,201.34,200.0,139
82,2015-01-21,201.2,199.78,201.88,199.78,1828
83,2015-01-22,202.03,205.79,205.79,201.55,939
84,2015-01-23,207.95,209.31,211.28,207.95,232
85,2015-01-26,209.25,208.96,209.53,208.95,61
86,2015-01-27,210.18,205.86,210.18,205.35,32
87,2015-01-28,209.16,206.22,209.16,206.22,62
88,2015-01-29,205.35,204.03,205.35,204.03,2388
89,2015-01-30,205.21,204.79,205.21,204.0,2031
90,2015-02-02,204.3,204.82,204.82,202.07,1501
91,2015-02-03,205.77,204.39,206.0,204.39,157
92,2015-02-04,205.81,207.11,207.11,205.74,13
93,2015-02-05,206.71,208.01,208.01,206.71,462
94,2015-02-06,207.94,210.54,210.54,207.94,10
95,2015-02-09,208.34,209.01,209.01,207.56,12
96,2015-02-10,208.84,209.56,209.87,208.79,36
97,2015-02-11,209.87,210.53,210.53,209.87,0
98,2015-02-12,210.93,210.22,211.49,210.22,463
99,2015-02-13,210.76,211.89,211.98,210.76,221
100,2015-02-16,211.66,212.29,212.29,211.66,233
101,2015-02-17,212.31,212.35,212.35,212.31,0
102,2015-02-18,213.0,213.39,213.44,212.95,929
103,2015-02-19,212.15,213.39,213.39,211.91,272
104,2015-02-20,214.09,213.84,214.67,213.84,11
105,2015-02-23,214.59,214.78,215.03,214.4,656
106,2015-02-24,215.12,215.79,215.84,215.12,615
107,2015-02-25,215.18,215.4,215.48,215.07,147
