,date,open,close,high,low,volumme
0,2014-09-25,82.37,80.67,82.37,80.67,60
1,2014-09-26,80.53,80.49,80.64,80.38,367
2,2014-09-29,80.31,80.13,80.31,80.01,326
3,2014-09-30,80.45,80.98,80.98,80.42,12658
4,2014-10-01,80.56,79.74,80.71,79.74,151
5,2014-10-02,79.31,78.3,79.82,78.3,361
6,2014-10-03,78.85,78.92,78.92,78.78,2026
7,2014-10-06,79.55,79.1,79.72,79.1,125
8,2014-10-07,78.87,77.84,78.87,77.84,17271
9,2014-10-08,77.35,76.88,77.59,76.88,14972
10,2014-10-09,77.71,77.25,78.17,77.14,3195
11,2014-10-10,76.36,75.69,76.57,75.47,9058
12,2014-10-13,74.92,75.58,76.05,74.92,1479
13,2014-10-14,75.35,75.85,76.06,74.82,537
14,2014-10-15,75.93,73.7,75.93,73.7,24693
15,2014-10-16,74.64,74.43,74.64,72.05,2536
16,2014-10-17,74.9,76.57,76.57,74.77,860
17,2014-10-20,76.36,75.47,76.36,75.47,10600
18,2014-10-21,75.27,77.0,77.03,75.27,6717
19,2014-10-22,77.07,77.54,77.57,77.01,2283
20,2014-10-23,76.84,78.35,78.39,76.84,2871
21,2014-10-24,77.57,77.44,77.59,77.44,93
22,2014-10-27,78.02,76.93,78.02,76.93,257
23,2014-10-28,77.63,78.1,78.1,77.63,34
24,2014-10-29,78.5,78.34,78.68,78.34,3278
25,2014-10-30,78.79,79.03,79.05,77.81,1368
26,2014-10-31,80.32,80.44,80.59,80.23,3107
27,2014-11-03,80.12,79.7,80.12,79.7,150
28,2014-11-04,79.69,79.28,79.95,79.28,2604
29,2014-11-05,79.89,80.62,80.65,79.87,270
30,2014-11-06,80.39,81.18,81.3,80.39,808
31,2014-11-07,81.14,80.39,81.14,80.39,213
32,2014-11-10,80.36,80.78,80.78,80.36,0
33,2014-11-11,81.03,80.98,81.1,80.98,40
34,2014-11-12,80.86,80.21,80.86,80.21,25
35,2014-11-13,80.78,80.67,81.17,80.33,4099
36,2014-11-14,80.98,80.49,80.98,80.49,0
37,2014-11-17,80.06,80.85,80.93,80.02,217
38,2014-11-18,81.08,82.14,82.26,81.08,2618
39,2014-11-19,82.03,82.16,82.36,82.03,223
40,2014-11-20,82.0,82.26,82.26,81.63,975
41,2014-11-21,82.48,84.2,84.34,82.48,4148
42,2014-11-24,84.25,84.06,84.51,84.06,4010
43,2014-11-25,84.19,84.3,84.56,84.19,2091
44,2014-11-26,84.54,84.63,84.69,84.54,111
45,2014-11-27,85.01,85.18,85.66,84.79,21558
46,2014-11-28,85.03,84.82,85.03,84.51,376
47,2014-12-01,84.12,84.93,84.93,84.12,2430
48,2014-12-02,85.16,84.67,85.64,84.67,154
49,2014-12-03,85.02,85.19,85.27,84.9,3256
50,2014-12-04,85.54,84.3,85.84,84.3,6039
51,2014-12-05,84.95,85.89,85.89,84.95,44
52,2014-12-08,85.52,85.16,85.52,84.99,157
53,2014-12-09,84.34,83.42,84.46,83.42,6
54,2014-12-10,83.88,83.56,84.1,83.56,220
55,2014-12-11,83.53,83.57,83.67,83.51,2208
56,2014-12-12,82.63,81.36,82.63,81.36,2116
57,2014-12-15,81.29,79.36,81.66,79.36,13803
58,2014-12-16,79.52,81.31,81.31,78.44,33209
59,2014-12-17,80.35,81.26,81.51,80.35,35
60,2014-12-18,82.71,83.34,83.34,82.71,628
61,2014-12-19,83.89,83.16,83.89,82.24,118
62,2014-12-22,83.77,84.03,84.03,83.71,13
63,2014-12-23,84.62,84.62,84.62,84.62,0
64,2014-12-29,85.18,84.51,85.18,84.31,200
65,2014-12-30,83.57,83.57,83.57,83.57,0
66,2015-01-02,84.17,83.37,84.2,83.17,329
67,2015-01-05,83.29,81.25,83.77,81.25,931
68,2015-01-06,81.4,81.4,81.99,81.03,256
69,2015-01-07,81.47,81.53,82.25,81.42,440
70,2015-01-08,82.77,84.79,84.79,82.77,90000
71,2015-01-09,84.62,83.51,84.78,83.39,2430
72,2015-01-12,84.15,84.49,85.05,83.66,2830
73,2015-01-13,84.45,85.92,85.92,84.45,95
74,2015-01-14,84.87,85.14,86.16,84.87,2651
75,2015-01-15,86.16,86.81,86.81,85.81,2035
76,2015-01-16,86.64,88.24,88.24,86.64,45
77,2015-01-19,88.39,88.51,88.91,88.0,228
78,2015-01-20,89.18,88.87,89.24,88.49,2002
79,2015-01-21,88.82,88.87,89.1,88.04,4887
80,2015-01-22,88.82,89.86,89.86,88.31,17206
81,2015-01-23,90.39,91.69,91.69,90.39,2005
82,2015-01-26,91.55,92.79,92.79,91.55,566
83,2015-01-27,93.01,91.71,93.29,91.71,6281
84,2015-01-28,92.24,92.53,92.53,91.75,821
85,2015-01-29,92.09,92.55,92.55,92.03,40
86,2015-01-30,93.25,92.64,93.25,92.64,4374
87,2015-02-02,93.05,93.41,93.41,92.47,704
88,2015-02-03,93.73,93.07,94.08,93.07,18320
89,2015-02-04,93.44,93.61,93.61,92.91,13336
90,2015-02-05,93.01,93.79,93.79,93.01,6
91,2015-02-06,93.53,93.1,93.53,93.1,53
92,2015-02-09,92.44,92.12,92.44,91.63,8222
93,2015-02-10,92.3,92.74,93.1,92.07,2724
94,2015-02-11,93.03,93.11,93.2,92.75,477
95,2015-02-12,93.49,94.47,94.48,93.34,2388
96,2015-02-13,94.92,95.34,95.37,94.92,2010
97,2015-02-16,95.38,94.91,95.38,94.82,2327
98,2015-02-17,94.27,94.44,94.44,94.0,2709
99,2015-02-18,94.4,94.68,94.68,94.4,25
100,2015-02-19,94.53,94.78,94.95,94.53,100
101,2015-02-20,94.86,95.18,95.18,94.82,24360
102,2015-02-23,95.64,95.68,96.16,95.64,109
103,2015-02-24,95.69,96.46,96.46,95.67,102
104,2015-02-25,96.5,96.48,96.6,96.27,30
105,2015-02-26,96.62,98.08,98.08,96.62,20
106,2015-02-27,98.23,97.91,98.23,97.6,5995
107,2015-03-02,98.42,97.81,98.42,97.3,151
108,2015-03-03,97.57,97.03,98.32,97.03,163
109,2015-03-04,96.85,97.59,97.59,96.6,248
110,2015-03-05,97.74,98.62,98.62,97.68,348
111,2015-03-06,98.21,99.07,99.07,98.21,815
112,2015-03-09,98.49,99.52,99.53,98.49,1847
113,2015-03-10,99.58,99.17,99.58,98.46,30215
114,2015-03-11,99.37,101.38,101.69,99.37,2777
115,2015-03-12,101.55,101.6,101.92,101.55,1283
116,2015-03-13,101.68,102.14,102.14,101.25,143
117,2015-03-16,102.83,103.91,104.14,102.75,809
118,2015-03-17,103.89,102.63,103.89,102.22,125
119,2015-03-18,102.66,102.44,102.66,102.13,8028
120,2015-03-19,102.46,102.38,103.03,102.38,212
121,2015-03-20,102.81,103.43,103.75,102.81,10594
122,2015-03-23,103.19,102.23,103.19,102.02,685
123,2015-03-24,101.75,102.74,102.87,101.75,125
124,2015-03-25,102.62,101.77,102.9,101.76,511
125,2015-03-26,100.02,101.2,101.2,100.02,505
126,2015-03-27,101.94,101.47,101.94,101.05,370
127,2015-03-30,102.08,103.36,103.36,102.08,2870
128,2015-03-31,103.22,102.24,103.6,102.19,747
129,2015-04-01,101.62,102.74,103.76,101.53,1876
130,2015-04-02,102.28,102.28,102.62,102.28,343
131,2015-04-07,102.93,103.89,103.89,102.93,992
132,2015-04-08,103.97,103.32,103.97,103.32,1306
133,2015-04-09,103.69,104.77,104.77,103.69,0
134,2015-04-10,105.3,106.46,106.46,105.3,96
135,2015-04-13,106.24,106.11,106.34,106.11,290
136,2015-04-14,106.05,105.24,106.05,105.06,320
137,2015-04-15,105.74,105.33,105.92,105.33,987
138,2015-04-16,104.73,103.23,104.73,103.23,112
139,2015-04-17,102.06,100.43,102.98,100.38,6630
140,2015-04-20,100.61,102.02,102.02,100.61,1375
141,2015-04-21,103.01,103.11,103.69,102.8,3196
142,2015-04-22,103.4,102.23,103.52,102.23,1660
143,2015-04-23,102.31,101.09,102.31,100.75,4515
144,2015-04-24,101.3,101.28,101.3,100.91,423
145,2015-04-27,101.68,102.98,102.98,100.63,1398
146,2015-04-28,102.67,100.79,102.67,100.35,2491
147,2015-04-29,101.33,97.9,101.33,97.63,7401
148,2015-04-30,98.13,98.01,98.93,96.41,24345
149,2015-05-04,99.62,99.78,99.79,98.5,784
150,2015-05-05,99.42,97.74,100.52,97.74,14011
151,2015-05-06,97.65,97.54,97.86,97.41,1623
152,2015-05-07,96.55,97.4,97.75,95.86,5952
153,2015-05-08,101.01,101.9,101.94,101.01,586
154,2015-05-11,102.06,101.59,102.06,101.29,258
155,2015-05-12,100.63,100.16,100.63,99.61,3552
156,2015-05-13,100.34,99.49,101.16,99.44,2970
157,2015-05-14,99.13,101.15,101.15,99.0,630
158,2015-05-15,101.17,100.38,101.56,100.38,100
159,2015-05-18,100.4,101.47,101.47,100.4,1053
160,2015-05-19,102.58,103.51,103.62,102.58,1297
161,2015-05-20,103.5,103.79,103.98,103.17,2552
162,2015-05-21,103.57,104.01,104.07,103.26,180
163,2015-05-22,104.12,103.94,104.12,103.59,156
164,2015-05-26,104.77,102.69,104.77,102.36,1321
165,2015-05-27,103.12,104.35,104.35,102.91,3559
166,2015-05-28,104.16,103.85,104.2,103.29,5574
167,2015-05-29,104.03,101.64,104.03,101.64,11088
168,2015-06-01,103.03,101.72,103.03,101.72,29
169,2015-06-02,102.14,100.53,102.14,100.41,6213
170,2015-06-03,101.04,101.06,101.33,101.04,10
171,2015-06-04,100.33,100.11,100.86,99.0,2763
172,2015-06-05,99.27,98.5,99.27,98.43,11627
173,2015-06-08,97.44,97.32,98.1,97.32,271
174,2015-06-09,97.07,97.25,97.51,96.97,1372
175,2015-06-10,97.31,99.5,99.5,97.31,2902
176,2015-06-11,99.36,99.98,100.0,99.36,50
177,2015-06-12,99.21,98.56,99.21,98.39,286
178,2015-06-15,97.54,96.98,97.54,96.98,288
179,2015-06-16,96.57,97.69,97.86,95.79,7642
180,2015-06-17,98.18,97.45,98.23,97.45,10796
181,2015-06-18,97.27,98.85,98.85,96.99,6291
182,2015-06-19,99.3,98.42,99.3,98.42,3498
183,2015-06-22,101.0,101.45,101.45,100.49,585
184,2015-06-23,101.87,102.32,102.77,101.87,8674
185,2015-06-24,102.71,101.36,102.71,101.36,2856
186,2015-06-25,100.67,101.16,101.71,100.56,20828
187,2015-06-26,101.11,101.58,101.8,100.91,2032
188,2015-06-29,97.75,98.42,98.96,97.38,1280
189,2015-06-30,98.08,97.24,98.08,97.24,2061
190,2015-07-01,97.96,98.58,98.58,97.96,0
191,2015-07-02,98.97,98.21,98.97,98.21,0
192,2015-07-03,98.12,98.03,98.41,98.03,22
193,2015-07-06,96.93,96.65,97.11,96.65,201
194,2015-07-07,96.88,94.77,96.89,94.77,1062
195,2015-07-08,94.55,95.22,95.22,94.55,100
196,2015-07-09,95.68,97.41,97.41,95.68,30
197,2015-07-10,99.48,100.3,100.35,99.11,84
198,2015-07-13,101.48,101.88,101.88,101.48,87
199,2015-07-14,101.59,102.29,102.29,101.53,36
200,2015-07-15,102.35,102.73,102.89,102.35,50
201,2015-07-16,103.29,103.72,103.86,103.29,204
202,2015-07-17,104.07,103.6,104.07,103.52,2909
203,2015-07-20,104.11,103.98,104.38,103.98,2499
204,2015-07-21,104.34,102.96,104.34,102.96,5060
205,2015-07-22,102.51,102.02,102.51,102.02,16
206,2015-07-23,102.27,101.61,102.27,101.61,0
207,2015-07-24,100.88,100.11,100.98,100.11,372
208,2015-07-27,99.72,97.54,99.72,97.54,620
209,2015-07-28,97.95,98.39,98.39,97.95,0
210,2015-07-29,99.25,99.67,99.67,99.25,23
211,2015-07-30,100.28,99.81,100.28,98.8,10000
212,2015-07-31,100.05,100.53,100.53,99.31,10009
213,2015-08-03,100.42,101.57,101.57,100.42,32
214,2015-08-04,101.52,101.8,101.8,101.52,0
215,2015-08-05,102.13,103.29,103.3,102.13,168
216,2015-08-06,103.0,102.7,103.05,102.62,189
217,2015-08-07,102.42,101.67,102.42,101.67,0
218,2015-08-10,102.14,102.42,102.42,101.46,138
219,2015-08-11,102.17,99.84,102.17,99.84,5567
220,2015-08-12,98.52,96.63,98.52,96.57,292
221,2015-08-13,98.06,97.61,98.31,97.61,16
222,2015-08-14,97.63,97.53,98.24,97.28,31
223,2015-08-17,98.24,97.23,98.24,96.46,16508
224,2015-08-18,96.91,97.12,97.41,96.91,2876
225,2015-08-19,96.5,94.81,96.5,94.81,2690
226,2015-08-20,94.56,92.69,94.56,92.6,241
227,2015-08-21,90.95,89.88,92.07,89.88,91
228,2015-08-24,86.85,85.0,87.52,83.52,185
229,2015-08-25,87.94,89.91,90.3,87.94,5695
230,2015-08-26,88.57,86.88,89.69,86.88,21816
231,2015-08-27,88.63,89.84,90.17,88.63,6148
232,2015-08-28,90.07,90.06,90.07,89.0,2268
233,2015-08-31,89.58,89.99,89.99,89.48,6570
234,2015-09-01,88.49,87.94,88.49,87.22,3535
235,2015-09-02,88.19,88.28,88.5,88.19,25
236,2015-09-03,89.43,90.47,90.47,89.43,1
237,2015-09-04,89.35,87.93,89.35,87.93,1942
238,2015-09-07,89.13,88.52,89.22,88.44,3949
