,date,open,close,high,low,volumme
0,2021-12-14,8.246,8.057,8.246,8.057,0
1,2021-12-15,8.088,8.0005,8.088,8.0005,0
2,2021-12-16,8.238,8.149,8.238,8.149,0
3,2021-12-17,8.0885,8.0885,8.0885,8.0885,0
4,2021-12-20,7.9125,7.8055,7.9125,7.8055,0
5,2021-12-21,7.9335,7.98,7.98,7.9335,0
6,2021-12-22,8.0795,8.0795,8.0795,8.0795,0
7,2021-12-23,8.114,8.175,8.175,8.114,0
8,2021-12-24,8.1645,8.169,8.169,8.169,0
9,2021-12-27,8.1545,8.191,8.191,8.1545,0
10,2021-12-28,8.2135,8.192,8.2135,8.192,0
11,2021-12-29,8.19,8.133,8.19,8.133,0
12,2021-12-30,8.1505,8.224,8.224,8.1505,0
13,2021-12-31,8.213,8.2,8.213,8.2,0
14,2022-01-03,8.226,8.275,8.275,8.226,0
15,2022-01-04,8.3015,8.213,8.3015,8.213,710
16,2022-01-05,8.209,8.1655,8.209,8.1655,0
17,2022-01-06,7.992,7.952,7.992,7.952,0
18,2022-01-07,7.9105,7.8785,7.9105,7.8785,0
19,2022-01-10,7.7055,7.7055,7.7055,7.7055,0
20,2022-01-17,7.729,7.729,7.729,7.729,0
21,2022-03-03,7.208,7.208,7.208,7.208,200
22,2022-03-04,7.178,7.178,7.178,7.178,10
23,2022-03-23,7.556,7.556,7.556,7.556,0
24,2022-04-12,7.423,7.423,7.423,7.423,0
25,2022-05-11,6.611,6.611,6.611,6.611,0
26,2022-06-06,7.294,7.294,7.294,7.294,3350
27,2022-06-07,7.254,7.254,7.254,7.254,0
28,2022-08-10,7.8033,7.8033,7.8033,7.8033,0
29,2022-08-30,7.5781,7.5781,7.5781,7.5781,0
30,2022-09-01,7.2233,7.2331,7.2331,7.2233,9654
31,2022-09-02,7.2967,7.2967,7.2967,7.2967,1
32,2022-09-09,7.6211,7.6211,7.6211,7.6211,10
33,2022-09-14,7.4863,7.4863,7.4863,7.4863,0
34,2022-09-30,6.6758,6.6758,6.6758,6.6758,7515
35,2022-10-26,6.6,6.6,6.6,6.6,378
36,2022-10-27,6.6945,6.6945,6.6945,6.6945,0
37,2022-11-08,6.7409,6.7409,6.7409,6.7409,0
38,2022-12-09,6.75,6.75,6.75,6.75,370
39,2022-12-14,6.78,6.78,6.78,6.78,0
40,2022-12-19,6.573,6.573,6.573,6.573,300
41,2022-12-20,6.4516,6.4516,6.4516,6.4516,3
42,2022-12-21,6.4489,6.4489,6.4489,6.4489,4
43,2022-12-22,6.5328,6.5328,6.5328,6.5328,0
44,2023-01-25,6.7264,6.7264,6.7264,6.7264,0
45,2023-02-06,7.1252,7.1252,7.1252,7.1252,0
46,2023-02-08,7.1179,7.1179,7.1179,7.1179,0
47,2023-02-10,6.921,6.921,6.921,6.921,357
48,2023-02-21,6.9838,6.9838,6.9838,6.9838,0
49,2023-03-06,6.9727,6.9727,6.9727,6.9727,0
50,2023-03-07,6.887,6.887,6.887,6.887,0
51,2023-03-08,6.8536,6.8536,6.8536,6.8536,0
52,2023-03-09,6.8547,6.8547,6.8547,6.8547,0
53,2023-03-10,6.6772,6.6772,6.6772,6.6772,0
54,2023-03-13,6.6048,6.6048,6.6048,6.6048,0
55,2023-03-14,6.4815,6.4815,6.4815,6.4815,370
56,2023-03-15,6.5703,6.5703,6.5703,6.5703,0
57,2023-03-16,6.5007,6.5007,6.5007,6.5007,0
58,2023-03-17,6.5308,6.5308,6.5308,6.5308,0
59,2023-03-20,6.3387,6.3387,6.3387,6.3387,0
60,2023-03-21,6.428,6.428,6.428,6.428,0
61,2023-03-22,6.493,6.493,6.493,6.493,0
62,2023-03-23,6.4237,6.4237,6.4237,6.4237,0
63,2023-03-24,6.4362,6.4362,6.4362,6.4362,0
64,2023-03-28,6.4377,6.4377,6.4377,6.4377,0
65,2023-03-30,6.5397,6.5397,6.5397,6.5397,0
66,2023-03-31,6.5967,6.5967,6.5967,6.5967,0
