,date,open,close,high,low,volumme
0,2014-09-25,298.31,295.12,298.89,294.95,78
1,2014-09-26,294.51,295.82,296.4,294.21,542
2,2014-09-29,296.34,295.22,296.34,293.73,2874
3,2014-09-30,295.84,297.93,298.55,295.75,1148
4,2014-10-01,297.67,294.79,298.42,294.79,1577
5,2014-10-02,294.54,288.23,294.54,288.23,2166
6,2014-10-03,291.61,291.49,291.61,290.07,616
7,2014-10-06,293.25,291.42,293.34,291.02,1398
8,2014-10-07,290.66,285.52,290.66,285.52,4667
9,2014-10-08,282.94,281.72,283.48,281.01,155
10,2014-10-09,285.5,279.8,286.0,278.97,2945
11,2014-10-10,275.75,275.14,277.3,273.86,5436
12,2014-10-13,271.77,275.11,276.59,271.77,8467
13,2014-10-14,274.51,275.32,275.89,272.67,7632
14,2014-10-15,274.28,266.91,275.06,266.91,46086
15,2014-10-16,269.44,265.93,270.19,260.68,9525
16,2014-10-17,266.23,274.92,275.21,266.23,2900
17,2014-10-20,274.97,273.43,274.97,271.29,944
18,2014-10-21,273.87,280.3,280.3,273.87,7006
19,2014-10-22,281.4,283.33,283.33,279.77,982
20,2014-10-23,283.61,286.75,286.75,283.61,3887
21,2014-10-24,286.35,285.37,286.59,285.07,1712
22,2014-10-27,288.86,283.98,288.86,283.13,1249
23,2014-10-28,285.24,284.69,285.24,283.03,9708
24,2014-10-29,286.73,286.59,287.27,284.9,811
25,2014-10-30,288.35,290.19,290.31,285.75,2140
26,2014-10-31,294.04,292.68,294.04,291.49,16209
27,2014-11-03,292.98,290.19,293.37,290.19,1572
28,2014-11-04,289.39,287.35,290.34,287.06,1225
29,2014-11-05,288.92,291.73,291.73,288.17,2823
30,2014-11-06,290.7,291.8,292.52,289.6,4937
31,2014-11-07,293.45,291.03,293.45,290.01,779
32,2014-11-10,291.45,292.66,292.66,291.45,405
33,2014-11-11,292.89,293.75,294.39,292.69,2327
34,2014-11-12,293.48,290.61,293.48,290.61,341
35,2014-11-13,292.16,291.72,292.78,290.54,501
36,2014-11-14,292.48,290.99,292.48,290.8,559
37,2014-11-17,289.44,291.1,291.1,289.05,396
38,2014-11-18,291.27,294.21,294.21,291.27,437
39,2014-11-19,293.61,293.03,294.21,292.81,15067
40,2014-11-20,293.22,292.47,293.22,291.89,5658
41,2014-11-21,292.83,297.54,297.72,292.83,836
42,2014-11-24,297.81,299.64,299.64,297.81,307
43,2014-11-25,299.01,300.29,300.75,299.01,1867
44,2014-11-26,300.74,298.88,300.81,298.52,529
45,2014-11-27,299.27,298.05,299.7,297.8,5153
46,2014-11-28,297.25,296.32,297.25,294.94,1913
47,2014-12-01,293.99,294.83,295.27,293.3,622
48,2014-12-02,296.16,294.92,296.88,294.75,2476
49,2014-12-03,296.63,297.44,297.86,296.63,356
50,2014-12-04,298.6,293.53,298.6,293.53,1878
51,2014-12-05,296.13,298.24,298.41,296.13,1476
52,2014-12-08,298.01,296.22,298.01,296.1,1869
53,2014-12-09,293.77,291.49,295.03,291.49,394
54,2014-12-10,293.42,291.59,294.67,290.68,1919
55,2014-12-11,291.25,290.38,292.16,289.87,7450
56,2014-12-12,288.77,283.24,288.77,282.73,4014
57,2014-12-15,282.41,277.13,285.82,276.71,6581
58,2014-12-16,277.54,277.9,277.9,269.52,19141
59,2014-12-17,274.95,278.32,279.19,274.95,519
60,2014-12-18,284.05,287.71,287.71,283.62,1407
61,2014-12-19,289.33,288.66,289.74,286.4,3028
62,2014-12-22,290.8,289.79,290.96,288.95,7118
63,2014-12-23,291.3,291.3,291.3,291.3,0
64,2014-12-29,290.56,291.51,292.58,289.12,10654
65,2014-12-30,289.59,289.59,289.59,289.59,0
66,2015-01-02,292.41,289.7,292.41,289.39,6170
67,2015-01-05,289.3,284.14,290.71,284.14,8939
68,2015-01-06,284.84,282.23,285.94,281.32,6414
69,2015-01-07,285.73,284.26,286.92,283.89,6459
70,2015-01-08,287.7,290.18,290.39,287.35,1014
71,2015-01-09,289.84,287.62,290.61,287.35,2473
72,2015-01-12,288.34,288.22,289.93,286.38,843
73,2015-01-13,288.06,291.99,292.92,288.06,4316
74,2015-01-14,289.19,287.58,291.86,287.05,3445
75,2015-01-15,290.12,293.27,293.36,284.17,1721
76,2015-01-16,291.44,295.87,296.31,290.66,5181
77,2015-01-19,297.41,298.64,298.86,296.49,929
78,2015-01-20,300.01,299.36,301.2,299.36,300
79,2015-01-21,301.21,301.21,302.23,299.2,20939
80,2015-01-22,302.61,308.2,309.08,302.49,28446
81,2015-01-23,310.0,312.39,313.27,309.91,16365
82,2015-01-26,310.99,315.39,315.39,310.19,7370
83,2015-01-27,316.16,312.5,316.16,310.83,2179
84,2015-01-28,315.79,315.61,316.44,313.85,7206
85,2015-01-29,314.71,315.3,316.78,313.4,9378
86,2015-01-30,317.08,316.19,317.08,315.33,4220
87,2015-02-02,316.85,315.5,316.85,313.96,22603
88,2015-02-03,316.56,317.25,318.3,316.56,10586
89,2015-02-04,318.16,315.37,318.16,314.07,1957
90,2015-02-05,314.97,317.22,317.36,314.97,3330
91,2015-02-06,316.25,316.67,317.89,315.54,1385
92,2015-02-09,315.32,315.71,316.0,313.75,57262
93,2015-02-10,315.48,318.92,319.29,315.3,1284
94,2015-02-11,318.05,315.31,318.9,314.69,1882
95,2015-02-12,317.26,317.38,317.57,315.24,2691
96,2015-02-13,318.72,321.04,321.45,318.37,1435
97,2015-02-16,320.74,321.88,322.11,320.54,891
98,2015-02-17,321.63,323.39,323.39,320.83,1315
99,2015-02-18,324.02,326.54,326.54,324.02,391
100,2015-02-19,326.65,326.95,326.95,325.0,2254
101,2015-02-20,326.57,330.19,330.37,326.42,1847
102,2015-02-23,333.1,332.1,333.1,330.33,607
103,2015-02-24,331.52,332.95,332.95,330.25,5486
104,2015-02-25,333.26,334.82,335.16,332.56,546
105,2015-02-26,335.74,337.4,337.4,335.74,4259
106,2015-02-27,338.37,339.45,339.54,336.76,3868
107,2015-03-02,340.01,338.61,341.2,337.32,551
108,2015-03-03,339.64,336.01,340.39,336.01,553
109,2015-03-04,336.63,336.55,336.63,334.1,671
