,date,open,close,high,low,volumme
0,2023-04-06,30.365,30.365,30.365,30.365,0
1,2023-04-13,30.465,30.465,30.465,30.465,0
2,2023-04-17,31.078,31.078,31.078,31.078,0
3,2023-04-24,29.72,30.13,30.13,29.72,31
4,2023-04-25,29.072,29.072,29.072,29.072,270
5,2023-04-26,29.113,29.092,29.113,29.092,540
6,2023-04-27,28.974,28.974,28.974,28.974,0
7,2023-05-02,29.475,29.463,29.475,29.463,68
8,2023-05-03,28.902,28.928,28.928,28.902,372
9,2023-05-04,29.365,29.365,29.365,29.365,280
10,2023-05-05,29.688,29.738,29.738,29.688,590
11,2023-05-09,29.601,29.874,29.874,29.601,660
12,2023-05-10,29.783,29.568,29.818,29.566,999
13,2023-05-11,29.768,29.768,29.768,29.768,0
14,2023-05-15,30.476,30.476,30.476,30.476,0
15,2023-05-17,29.771,29.701,29.771,29.701,354
16,2023-05-18,29.864,30.027,30.133,29.864,4728
17,2023-05-19,29.609,29.601,29.705,29.584,4804
18,2023-05-22,29.981,29.981,29.981,29.981,0
19,2023-05-24,29.068,29.068,29.068,29.068,0
20,2023-05-25,28.727,28.686,28.727,28.686,507
21,2023-05-26,29.022,29.022,29.022,29.022,253
22,2023-05-30,28.107,28.107,28.107,28.107,280
23,2023-05-31,28.026,28.026,28.026,28.026,0
24,2023-06-06,29.309,29.309,29.309,29.309,0
25,2023-06-08,29.637,29.637,29.637,29.637,270
26,2023-06-09,29.676,29.676,29.676,29.676,192
27,2023-06-12,29.68,29.68,29.68,29.68,0
28,2023-06-15,30.511,30.511,30.511,30.511,270
29,2023-06-16,30.66,30.66,30.66,30.66,158
30,2023-06-20,29.661,29.713,29.713,29.661,135
31,2023-06-21,29.218,29.218,29.218,29.218,270
32,2023-06-22,28.8,28.8,28.8,28.8,0
33,2023-06-26,28.667,28.667,28.667,28.667,227
34,2023-06-27,28.979,28.979,28.979,28.979,10
35,2023-06-28,28.941,28.941,28.941,28.941,0
36,2023-06-30,29.028,29.007,29.028,29.001,657
37,2023-07-03,29.717,29.717,29.717,29.717,0
38,2023-07-06,28.674,28.493,28.674,28.493,385
39,2023-07-07,28.389,28.617,28.617,28.389,560
40,2023-07-10,28.383,28.475,28.475,28.383,560
41,2023-07-11,28.626,28.8,28.8,28.615,840
42,2023-07-12,28.742,29.043,29.062,28.742,4011
43,2023-07-13,29.225,29.172,29.225,29.172,560
44,2023-07-14,29.045,28.931,29.045,28.931,540
45,2023-07-17,28.644,28.644,28.644,28.644,270
46,2023-07-18,28.446,28.387,28.481,28.387,1680
47,2023-07-19,28.436,28.436,28.436,28.436,0
48,2023-07-21,28.72,28.685,28.72,28.685,466
49,2023-07-24,28.169,28.169,28.169,28.169,0
50,2023-07-25,30.072,30.072,30.072,30.072,280
51,2023-07-26,29.673,29.673,29.673,29.673,0
52,2023-07-27,30.027,30.027,30.027,30.027,0
53,2023-07-28,31.174,31.174,31.174,31.174,1
54,2023-07-31,31.483,31.546,31.546,31.462,550
55,2023-08-01,31.301,31.266,31.301,31.2,1040
56,2023-08-02,30.401,30.356,30.401,30.338,1040
57,2023-08-03,30.723,30.723,30.723,30.723,1
58,2023-08-04,30.865,30.696,30.909,30.696,1072
59,2023-08-07,30.157,30.157,30.157,30.157,0
60,2023-08-10,29.888,30.089,30.278,29.888,1114
61,2023-08-11,29.441,29.261,29.441,29.261,270
62,2023-08-14,28.926,28.926,28.926,28.926,0
63,2023-08-16,28.01,28.01,28.01,28.01,0
64,2023-08-21,27.373,27.373,27.373,27.373,0
65,2023-08-23,27.953,27.953,27.953,27.953,0
66,2023-08-25,28.155,28.186,28.186,28.155,361
67,2023-08-29,28.967,28.967,28.967,28.967,0
68,2023-08-30,28.738,28.614,28.738,28.611,743
69,2023-08-31,28.511,28.511,28.511,28.511,0
70,2023-09-01,28.881,29.478,29.486,28.833,4954
71,2023-09-04,29.678,29.582,29.678,29.582,385
72,2023-09-05,29.309,29.471,29.471,29.309,1477
73,2023-09-06,29.182,29.182,29.182,29.182,0
74,2023-09-07,28.734,28.734,28.734,28.734,0
75,2023-09-11,28.789,28.789,28.789,28.789,0
76,2023-09-12,28.884,28.884,28.884,28.884,0
77,2023-09-13,28.753,28.613,28.753,28.613,280
78,2023-09-14,28.734,28.734,28.734,28.734,0
79,2023-09-15,29.149,28.842,29.149,28.842,94
80,2023-09-18,28.942,28.942,28.942,28.942,0
81,2023-09-19,28.795,28.795,28.795,28.795,0
82,2023-09-20,28.487,28.487,28.487,28.487,0
83,2023-09-21,28.142,28.142,28.142,28.142,0
84,2023-09-22,28.7,28.7,28.7,28.7,0
85,2023-09-25,28.443,28.376,28.443,28.325,1008
86,2023-09-26,28.277,28.371,28.371,28.277,5
87,2023-09-27,28.422,28.422,28.422,28.422,0
88,2023-09-28,28.315,28.315,28.315,28.315,0
89,2023-09-29,28.881,28.515,28.881,28.488,14651
90,2023-10-02,28.572,28.653,28.689,28.537,2045
91,2023-10-03,28.231,28.231,28.231,28.231,0
92,2023-10-04,27.841,27.841,27.841,27.841,0
93,2023-10-05,27.835,27.768,27.845,27.768,1890
94,2023-10-06,28.146,28.223,28.223,28.104,2951
95,2023-10-09,28.289,28.332,28.332,28.289,1044
96,2023-10-10,28.348,28.762,28.762,28.348,5913
97,2023-10-11,28.65,28.658,28.658,28.65,257
98,2023-10-12,29.194,29.194,29.194,29.194,0
99,2023-10-13,28.714,28.627,28.78,28.498,3245
100,2023-10-16,28.296,28.505,28.505,28.296,673
101,2023-10-17,28.428,28.308,28.428,28.308,2
102,2023-10-18,28.024,27.983,28.038,27.97,322
103,2023-10-19,27.447,27.447,27.447,27.447,0
104,2023-10-20,27.115,27.037,27.115,27.017,1634
105,2023-10-23,26.628,26.462,26.628,26.462,794
106,2023-10-24,26.594,27.593,27.593,26.594,1310
107,2023-10-25,27.171,27.25,27.298,27.047,11545
108,2023-10-26,27.231,27.231,27.231,27.231,0
109,2023-10-27,27.856,27.497,27.856,27.497,186
110,2023-10-30,27.858,27.629,27.858,27.597,1525
111,2023-10-31,27.3,27.092,27.3,27.049,3800
112,2023-11-01,27.217,27.217,27.217,27.217,193
113,2023-11-02,27.243,27.243,27.243,27.243,0
114,2023-11-03,27.926,27.92,27.956,27.882,1602
115,2023-11-06,28.265,28.033,28.293,28.033,6593
116,2023-11-07,27.915,27.915,27.915,27.915,0
117,2023-11-08,27.861,27.861,27.861,27.861,0
118,2023-11-09,27.75,27.75,27.75,27.75,0
119,2023-11-10,27.248,27.248,27.248,27.248,0
120,2023-11-13,27.602,27.602,27.602,27.602,0
121,2023-11-14,27.44,27.573,27.576,27.44,1829
122,2023-11-15,28.072,28.286,28.287,28.072,872
123,2023-11-16,27.834,27.834,27.834,27.834,0
124,2023-11-17,27.435,27.601,27.601,27.435,1
125,2023-11-20,27.702,27.734,27.734,27.702,1832
126,2023-11-21,27.608,27.663,27.663,27.608,1291
127,2023-11-22,27.646,27.744,27.744,27.646,375
128,2023-11-23,28.135,28.107,28.135,28.071,1710
129,2023-11-24,27.529,27.529,27.529,27.529,0
130,2023-11-27,27.417,27.417,27.417,27.417,0
131,2023-11-28,27.2,27.075,27.297,27.075,2598
132,2023-11-29,26.635,26.835,26.836,26.635,1797
133,2023-11-30,26.848,26.855,26.855,26.848,659
134,2023-12-01,26.507,26.507,26.507,26.507,0
135,2023-12-04,26.079,26.236,26.236,26.079,4578
136,2023-12-05,25.669,25.643,25.689,25.619,2197
137,2023-12-06,26.003,26.057,26.058,25.967,2763
138,2023-12-07,25.906,25.94,25.941,25.887,3145
139,2023-12-08,25.727,25.727,25.727,25.727,30
140,2023-12-11,25.603,25.651,25.651,25.603,320
141,2023-12-12,25.862,25.68,25.862,25.68,100
142,2023-12-13,25.566,25.478,25.566,25.478,3
143,2023-12-14,25.391,25.607,25.656,25.388,3093
144,2023-12-15,25.683,25.683,25.683,25.683,320
145,2023-12-18,25.594,25.594,25.594,25.594,0
146,2023-12-19,25.46,25.46,25.46,25.46,0
147,2023-12-20,25.433,25.343,25.457,25.296,6587
148,2023-12-21,25.542,25.431,25.542,25.431,620
149,2023-12-22,24.76,25.084,25.087,24.76,4140
150,2023-12-27,25.144,25.001,25.144,25.001,640
151,2023-12-28,25.786,25.786,25.786,25.786,0
152,2023-12-29,25.95,25.95,25.95,25.95,204
153,2024-01-02,25.773,25.762,25.791,25.762,6025
154,2024-01-03,25.667,25.88,25.885,25.631,3368
155,2024-01-04,25.824,25.804,25.824,25.757,898
156,2024-01-05,25.427,25.431,25.491,25.427,6224
157,2024-01-08,24.88,24.859,24.882,24.809,2184
158,2024-01-09,24.824,24.824,24.824,24.824,0
159,2024-01-10,24.745,24.745,24.745,24.745,0
160,2024-01-11,24.931,24.952,24.974,24.903,1708
161,2024-01-12,24.795,24.795,24.795,24.795,0
