,date,open,close,high,low,volumme
0,2024-02-08,8.107,8.107,8.107,8.107,0
1,2024-02-09,8.136,8.136,8.136,8.136,0
2,2024-02-12,8.016,8.016,8.016,8.016,0
3,2024-02-13,8.096,8.096,8.096,8.096,0
4,2024-02-14,8.067,8.067,8.067,8.067,0
5,2024-02-15,8.031,8.031,8.031,8.031,0
6,2024-02-16,8.03,8.03,8.03,8.03,0
7,2024-02-19,8.036,8.036,8.036,8.036,0
8,2024-02-22,10.365,10.365,10.365,10.365,0
9,2024-02-23,10.415,10.415,10.415,10.415,0
10,2024-02-26,10.459,10.459,10.459,10.459,0
11,2024-02-27,10.398,10.398,10.398,10.398,0
12,2024-02-28,10.413,10.413,10.413,10.413,0
13,2024-02-29,10.398,10.398,10.398,10.398,0
14,2024-03-01,10.376,10.376,10.376,10.376,0
15,2024-03-04,10.309,10.318,10.318,10.309,1650
16,2024-03-05,10.353,10.357,10.357,10.353,220
17,2024-03-06,10.369,10.369,10.369,10.369,0
18,2024-03-07,10.404,10.412,10.412,10.404,1
19,2024-03-08,10.352,10.352,10.352,10.352,0
20,2024-03-11,10.308,10.308,10.308,10.308,0
21,2024-03-12,10.384,10.384,10.384,10.384,0
22,2024-03-13,10.429,10.429,10.429,10.429,0
23,2024-03-14,10.457,10.457,10.457,10.457,0
24,2024-03-15,10.432,10.432,10.432,10.432,0
25,2024-03-18,10.411,10.411,10.411,10.411,0
26,2024-03-19,10.539,10.539,10.539,10.539,0
27,2024-03-20,10.564,10.564,10.564,10.564,0
28,2024-03-21,10.567,10.567,10.567,10.567,0
29,2024-03-22,10.658,10.658,10.658,10.658,0
30,2024-03-25,10.637,10.598,10.637,10.598,372
31,2024-03-26,10.576,10.576,10.576,10.576,0
32,2024-03-27,10.621,10.683,10.683,10.621,500
33,2024-03-28,10.709,10.714,10.714,10.709,5
34,2024-04-02,10.729,10.729,10.729,10.729,0
35,2024-04-03,10.632,10.632,10.632,10.632,0
36,2024-04-04,10.458,10.458,10.458,10.458,0
37,2024-04-05,10.43,10.43,10.43,10.43,182
38,2024-04-08,10.432,10.404,10.437,10.404,548
39,2024-04-09,10.397,10.399,10.399,10.397,2
40,2024-04-10,10.454,10.467,10.467,10.454,47
41,2024-04-11,10.52,10.53,10.53,10.52,191
