,date,open,close,high,low,volumme
0,2014-09-25,129.29,129.39,129.39,129.29,0
1,2014-09-26,129.61,129.07,129.61,129.07,0
2,2014-09-29,128.94,129.08,129.08,128.94,0
3,2014-09-30,128.97,129.2,129.2,128.97,0
4,2014-10-01,129.16,129.74,129.74,129.16,0
5,2014-10-02,129.78,130.1,130.1,129.78,0
6,2014-10-03,130.11,129.46,130.11,129.46,0
7,2014-10-06,129.91,129.83,129.91,129.83,0
8,2014-10-07,129.98,130.83,130.83,129.98,0
9,2014-10-08,130.94,131.06,131.06,130.94,0
10,2014-10-09,131.5,130.8,131.5,130.8,0
11,2014-10-10,130.73,131.14,131.14,130.73,0
12,2014-10-13,131.23,131.56,131.56,131.23,0
13,2014-10-14,131.53,131.92,131.92,131.53,0
14,2014-10-15,131.75,133.41,133.41,131.75,0
15,2014-10-16,132.85,131.65,132.85,131.65,0
16,2014-10-17,131.37,130.1,131.37,130.1,0
17,2014-10-20,130.34,130.5,130.5,130.34,0
18,2014-10-21,130.82,130.23,130.82,130.23,0
19,2014-10-22,130.54,130.11,130.54,130.11,0
20,2014-10-23,129.85,129.85,129.85,129.85,0
21,2014-10-24,130.02,130.02,130.02,130.02,0
22,2014-10-27,130.27,130.27,130.27,130.27,0
23,2014-10-28,130.16,129.81,130.16,129.81,0
24,2014-10-29,129.62,129.62,129.62,129.62,0
25,2014-10-30,129.61,129.96,129.96,129.61,0
26,2014-10-31,129.85,129.73,129.85,129.73,0
27,2014-11-03,130.08,129.48,130.08,129.48,0
28,2014-11-04,129.66,130.06,130.06,129.66,0
29,2014-11-05,129.87,129.76,129.87,129.76,0
30,2014-11-06,129.9,129.94,129.94,129.9,0
31,2014-11-07,129.81,130.42,130.42,129.81,0
32,2014-11-10,130.72,130.65,130.72,130.65,0
33,2014-11-11,130.41,130.22,130.41,130.22,0
34,2014-11-12,130.42,130.67,130.67,130.42,0
35,2014-11-13,130.41,130.78,130.78,130.41,0
36,2014-11-14,130.93,131.13,131.13,130.93,0
37,2014-11-17,131.59,131.07,131.59,131.07,0
38,2014-11-18,130.96,130.96,130.96,130.96,0
39,2014-11-19,131.32,130.59,131.32,130.59,0
40,2014-11-20,130.82,130.82,130.82,130.82,0
41,2014-11-21,130.91,131.46,131.46,130.91,0
42,2014-11-24,131.54,131.59,131.59,131.54,0
43,2014-11-25,131.94,132.13,132.13,131.94,0
44,2014-11-26,132.37,132.64,132.64,132.37,0
45,2014-11-27,132.76,133.29,133.29,132.76,0
46,2014-11-28,133.34,133.13,133.34,133.13,0
47,2014-12-01,133.39,133.3,133.39,133.3,0
48,2014-12-02,132.82,132.04,132.82,132.04,0
49,2014-12-03,132.12,131.98,132.12,131.98,0
50,2014-12-04,132.15,132.27,132.27,132.15,0
51,2014-12-05,132.42,132.23,132.42,132.23,0
52,2014-12-08,132.04,132.82,132.82,132.04,0
53,2014-12-09,132.97,133.7,133.7,132.97,0
54,2014-12-10,133.59,133.59,133.59,133.59,0
55,2014-12-11,133.58,133.58,133.58,133.58,0
56,2014-12-12,134.1,134.75,134.75,134.1,0
57,2014-12-15,134.64,134.64,134.64,134.64,0
58,2014-12-16,134.62,134.63,134.63,134.62,0
59,2014-12-17,134.6,134.6,134.6,134.6,0
60,2014-12-18,134.6,133.57,134.6,133.57,0
61,2014-12-19,133.42,133.56,133.56,133.42,0
62,2014-12-22,133.71,133.9,133.9,133.71,0
63,2014-12-23,133.67,133.67,133.67,133.67,0
64,2014-12-29,133.63,134.11,134.11,133.63,0
65,2014-12-30,134.59,134.59,134.59,134.59,0
66,2015-01-02,135.0,135.86,135.86,135.0,0
67,2015-01-05,135.74,136.73,136.73,135.74,0
68,2015-01-06,136.89,137.74,137.74,136.89,0
69,2015-01-07,137.77,137.54,137.77,137.54,0
70,2015-01-08,137.49,137.25,137.49,137.25,0
71,2015-01-09,137.47,138.0,138.0,137.47,0
72,2015-01-12,137.89,138.35,138.35,137.89,0
73,2015-01-13,138.93,138.51,138.93,138.51,0
74,2015-01-14,139.2,139.61,139.61,139.2,0
75,2015-01-15,139.06,139.55,139.55,139.06,0
76,2015-01-16,140.18,139.63,140.18,139.63,0
77,2015-01-19,139.7,140.12,140.12,139.7,0
78,2015-01-20,140.08,140.82,140.82,140.08,0
79,2015-01-21,140.89,140.89,141.49,140.89,0
80,2015-01-22,140.74,141.38,141.38,140.74,0
81,2015-01-23,141.75,142.75,143.38,141.75,50
82,2015-01-26,142.71,142.73,142.73,142.71,0
83,2015-01-27,142.87,143.02,143.02,142.87,0
84,2015-01-28,142.32,143.18,143.18,142.32,0
85,2015-01-29,143.53,143.64,143.64,143.53,0
86,2015-01-30,143.71,144.81,144.81,143.71,0
87,2015-02-02,144.65,144.33,144.65,144.33,0
88,2015-02-03,144.35,143.16,144.35,143.16,0
89,2015-02-04,142.78,142.14,142.78,142.14,0
90,2015-02-05,143.02,142.06,143.02,142.06,0
91,2015-02-06,142.28,140.84,142.28,140.84,0
92,2015-02-09,141.19,141.19,141.19,141.19,0
93,2015-02-10,140.86,140.37,141.27,140.37,700
94,2015-02-11,140.37,139.96,140.37,139.96,0
95,2015-02-12,140.17,139.91,140.17,139.91,0
96,2015-02-13,139.51,139.86,139.86,139.51,0
97,2015-02-16,139.69,139.69,139.69,139.69,0
98,2015-02-17,140.13,138.68,140.13,138.68,0
99,2015-02-18,138.68,137.57,138.68,137.57,0
100,2015-02-19,137.99,137.99,137.99,137.99,0
101,2015-02-20,137.89,138.88,138.88,137.89,0
102,2015-02-23,138.39,138.47,138.47,138.39,0
103,2015-02-24,139.37,139.37,139.37,139.37,0
104,2015-02-26,140.39,139.93,140.39,139.93,0
105,2015-02-27,139.12,139.12,139.12,139.12,0
106,2015-03-02,138.74,138.74,138.74,138.74,0
107,2015-03-03,137.72,137.72,137.72,137.72,0
108,2015-03-04,137.43,137.43,137.43,137.43,0
109,2015-03-05,137.57,137.57,137.57,137.57,0
110,2015-03-06,137.73,137.08,137.73,137.08,0
111,2015-03-09,136.64,136.66,136.66,136.64,0
112,2015-03-10,136.81,138.18,138.18,136.81,0
113,2015-03-11,138.25,137.96,138.25,137.96,0
114,2015-03-12,138.01,139.01,139.01,138.01,0
115,2015-03-13,139.22,139.22,139.22,139.22,0
116,2015-03-16,139.41,139.5,139.5,139.41,0
117,2015-03-17,139.65,139.42,139.65,139.42,0
118,2015-03-18,139.54,140.38,140.38,139.54,0
119,2015-03-19,141.11,141.4,141.4,141.11,0
120,2015-03-20,141.57,141.61,141.61,141.57,0
121,2015-03-23,141.78,141.63,141.78,141.63,0
122,2015-03-24,141.75,141.59,141.75,140.69,14
123,2015-03-25,142.05,141.95,142.05,141.95,0
124,2015-03-26,141.63,140.46,141.63,140.46,0
125,2015-03-27,140.5,141.18,141.18,140.5,0
126,2015-03-30,141.05,140.66,141.05,140.66,0
127,2015-03-31,140.76,140.6,140.76,140.6,0
128,2015-04-01,140.65,141.18,141.18,140.65,0
129,2015-04-02,141.16,140.73,141.16,140.73,0
130,2015-04-07,140.73,140.51,140.73,140.51,0
131,2015-04-08,140.84,140.84,140.84,140.84,0
132,2015-04-09,141.04,140.89,141.04,140.89,0
133,2015-04-10,140.24,140.75,140.75,140.24,0
134,2015-04-13,140.88,140.8,140.88,140.8,0
135,2015-04-14,141.01,141.86,141.86,141.01,0
136,2015-04-15,141.49,141.24,141.49,141.24,0
137,2015-04-16,140.93,140.55,140.93,140.55,0
138,2015-04-17,140.62,140.62,140.62,140.62,0
139,2015-04-20,140.59,140.54,140.59,140.54,0
140,2015-04-21,140.38,140.47,140.82,140.38,10
141,2015-04-22,140.49,138.52,140.49,138.52,0
142,2015-04-23,138.51,138.74,138.74,138.51,0
143,2015-04-24,138.81,139.11,139.11,138.81,0
144,2015-04-27,139.28,138.55,139.28,138.55,0
145,2015-04-28,138.68,138.37,138.68,138.37,0
146,2015-04-29,136.51,136.51,136.51,136.51,0
147,2015-04-30,136.79,136.69,136.79,136.69,0
148,2015-05-04,134.3,136.49,136.49,134.3,50
149,2015-05-05,134.86,134.86,134.86,134.86,0
150,2015-05-06,134.62,135.04,135.04,134.62,0
151,2015-05-07,134.75,135.72,135.72,134.75,0
152,2015-05-08,136.87,136.87,136.87,136.87,0
153,2015-05-11,136.13,136.13,136.13,136.13,0
154,2015-05-12,135.49,135.19,135.49,135.19,0
155,2015-05-13,135.09,135.11,135.11,135.09,0
156,2015-05-14,135.17,135.0,135.17,135.0,0
157,2015-05-15,135.54,136.47,136.47,135.54,0
158,2015-05-18,136.64,135.7,136.64,135.7,0
159,2015-05-19,135.67,135.67,135.67,135.67,0
160,2015-05-20,135.8,135.24,135.8,135.24,0
161,2015-05-21,135.51,135.26,135.51,135.26,0
162,2015-05-22,135.72,135.81,135.81,135.72,0
163,2015-05-26,136.02,136.57,136.57,136.02,0
164,2015-05-27,136.47,136.54,136.54,136.47,0
165,2015-05-28,136.84,136.98,136.98,136.84,0
166,2015-05-29,137.28,137.41,137.41,137.28,0
167,2015-06-01,136.87,136.87,136.87,136.87,0
168,2015-06-02,136.4,135.23,136.4,135.23,0
169,2015-06-03,135.21,133.61,135.21,133.61,0
170,2015-06-04,133.17,134.17,134.17,133.17,0
171,2015-06-05,134.01,133.66,134.01,133.66,0
172,2015-06-08,133.67,133.74,133.74,133.67,0
173,2015-06-09,134.03,132.87,134.03,132.87,0
174,2015-06-10,132.35,132.35,132.35,132.35,0
175,2015-06-11,132.15,133.2,133.2,132.15,0
176,2015-06-12,133.87,134.14,134.14,133.87,0
177,2015-06-15,134.44,133.6,134.44,133.6,0
178,2015-06-16,133.46,133.59,133.59,133.46,0
179,2015-06-17,132.69,132.69,132.69,132.69,0
180,2015-06-18,132.67,132.67,132.67,132.67,0
181,2015-06-19,133.28,132.89,133.28,132.89,0
182,2015-06-22,131.65,131.65,131.65,131.65,0
183,2015-06-23,131.48,132.0,132.0,131.48,0
184,2015-06-24,131.7,131.78,131.78,131.7,0
185,2015-06-25,132.04,131.61,132.04,131.61,0
186,2015-06-26,131.82,131.13,131.82,131.13,0
187,2015-06-29,131.72,131.72,131.72,131.72,0
188,2015-06-30,132.26,132.23,132.26,132.23,0
189,2015-07-01,131.85,131.04,131.85,131.04,0
190,2015-07-02,131.42,131.42,131.42,131.42,0
191,2015-07-03,131.61,132.37,132.37,131.61,0
192,2015-07-06,131.96,131.96,131.96,131.96,0
193,2015-07-07,132.05,134.03,134.03,132.05,0
194,2015-07-08,134.37,133.13,134.37,133.13,0
195,2015-07-09,133.23,132.62,133.23,132.62,0
196,2015-07-10,131.78,131.56,131.78,131.56,0
197,2015-07-13,130.77,131.2,131.2,130.77,0
198,2015-07-14,131.69,131.21,131.69,131.21,0
199,2015-07-15,131.1,131.4,131.4,131.1,0
200,2015-07-16,131.54,132.0,132.0,131.54,0
201,2015-07-17,131.92,131.69,131.92,131.69,0
202,2015-07-20,131.67,132.47,132.47,131.67,0
203,2015-07-21,132.5,132.36,132.5,132.36,0
204,2015-07-22,132.6,133.17,133.17,132.6,0
205,2015-07-23,133.25,133.45,133.45,133.25,0
206,2015-07-24,133.96,134.46,134.46,133.96,0
207,2015-07-27,134.61,134.61,134.61,134.61,0
208,2015-07-28,134.39,134.52,134.52,134.39,0
209,2015-07-29,134.38,134.08,134.38,134.08,0
210,2015-07-30,134.31,134.31,134.31,134.31,0
211,2015-07-31,134.27,135.25,135.25,134.27,0
212,2015-08-03,135.09,135.45,135.45,135.09,0
213,2015-08-04,135.84,135.46,135.84,135.46,0
214,2015-08-05,134.9,134.18,134.9,134.18,0
215,2015-08-06,134.56,135.02,135.02,134.56,0
216,2015-08-07,134.89,135.86,135.86,134.89,0
217,2015-08-10,135.68,135.0,135.68,135.0,0
218,2015-08-11,135.31,135.89,135.89,135.31,0
219,2015-08-12,135.48,135.48,135.48,135.48,0
220,2015-08-13,134.8,134.8,134.8,134.8,0
221,2015-08-14,134.48,134.17,134.48,134.17,0
222,2015-08-17,134.22,134.65,134.65,134.22,0
223,2015-08-18,134.84,133.88,134.84,133.88,0
224,2015-08-19,133.76,133.91,133.91,133.76,0
225,2015-08-20,134.33,134.42,134.42,134.33,0
226,2015-08-21,134.85,134.78,134.85,134.78,0
227,2015-08-24,134.99,134.99,134.99,134.99,0
228,2015-08-25,133.93,132.88,133.93,132.88,0
229,2015-08-26,132.14,132.14,132.14,132.14,0
230,2015-08-27,132.13,132.13,132.13,132.13,0
231,2015-08-28,132.51,132.2,132.51,132.2,0
232,2015-08-31,131.74,131.74,131.74,131.74,0
233,2015-09-01,131.97,131.97,131.97,131.97,0
234,2015-09-02,132.47,132.28,132.47,132.28,0
235,2015-09-03,132.45,132.6,132.6,132.45,0
236,2015-09-04,133.05,133.73,133.73,133.05,0
237,2015-09-07,133.37,133.37,133.37,133.37,0
238,2015-09-08,133.9,133.9,133.9,133.9,0
239,2015-09-09,133.46,133.67,133.67,133.46,0
240,2015-09-10,134.12,133.68,134.12,133.68,0
241,2015-09-11,133.63,133.98,133.98,133.63,0
242,2015-09-14,133.93,133.64,133.93,133.64,0
243,2015-09-15,133.57,132.89,133.57,132.89,0
244,2015-09-16,132.51,132.3,132.51,132.3,0
