,date,open,close,high,low,volumme
0,2014-09-22,139.59,139.85,139.92,139.59,1962
1,2014-09-23,139.92,139.77,139.98,139.71,820
2,2014-09-24,139.74,139.62,139.74,139.62,325
3,2014-09-25,139.82,139.89,139.94,139.68,762
4,2014-09-26,139.93,139.94,139.97,139.93,1683
5,2014-09-29,139.7,139.71,139.97,139.7,601
6,2014-09-30,139.82,140.12,140.12,139.71,663
7,2014-10-01,139.98,139.99,140.19,139.87,128
8,2014-10-02,140.05,139.98,140.15,139.98,4679
9,2014-10-03,140.07,139.95,140.07,139.75,1470
10,2014-10-06,139.98,140.13,140.13,139.98,14743
11,2014-10-07,140.1,139.91,140.14,139.91,9334
12,2014-10-08,140.08,140.14,140.18,139.98,5538
13,2014-10-09,140.23,140.02,140.26,140.02,2491
14,2014-10-10,140.08,140.02,140.08,139.95,66
15,2014-10-13,140.0,139.94,140.16,139.94,5004
16,2014-10-14,140.07,140.29,140.36,140.07,35718
17,2014-10-15,140.26,140.46,140.49,140.12,6006
18,2014-10-16,140.27,139.84,140.8,139.84,16475
19,2014-10-17,139.83,139.82,140.0,139.82,17124
20,2014-10-20,140.1,140.05,140.13,139.87,10390
21,2014-10-21,140.11,139.79,140.11,139.79,5193
22,2014-10-22,139.98,140.1,140.16,139.89,9753
23,2014-10-23,140.2,139.99,140.2,139.9,3393
24,2014-10-24,140.01,140.01,140.25,140.01,2145
25,2014-10-27,140.11,140.08,140.21,140.08,4475
26,2014-10-28,140.06,140.0,140.17,140.0,8682
27,2014-10-29,140.27,140.1,140.27,140.02,4267
28,2014-10-30,140.13,140.13,140.31,140.0,4482
29,2014-10-31,140.26,140.41,140.41,140.18,2094
30,2014-11-03,140.48,140.3,140.48,140.26,2569
31,2014-11-04,140.29,140.43,140.54,140.22,560
32,2014-11-05,140.47,140.32,140.51,140.32,1725
33,2014-11-06,140.42,140.51,140.66,140.34,1207
34,2014-11-07,140.5,140.56,140.63,140.39,4241
35,2014-11-10,140.86,140.75,140.86,140.45,2323
36,2014-11-11,140.58,140.63,140.68,140.49,397
37,2014-11-12,140.68,140.85,140.85,140.61,3730
38,2014-11-13,140.78,140.77,140.88,140.59,4107
39,2014-11-14,140.79,140.88,140.9,140.68,7745
40,2014-11-17,140.95,140.68,140.95,140.62,9867
41,2014-11-18,140.81,140.76,140.81,140.64,854
42,2014-11-19,140.88,140.49,140.88,140.49,1343
43,2014-11-20,140.67,140.61,140.69,140.41,1023
44,2014-11-21,140.6,140.78,140.83,140.56,23759
45,2014-11-24,140.77,140.69,140.82,140.57,8626
46,2014-11-25,140.75,140.75,140.86,140.63,21227
47,2014-11-26,140.74,140.81,140.9,140.69,897
48,2014-11-27,140.87,140.88,141.01,140.79,1336
49,2014-11-28,140.93,140.95,140.97,140.71,6926
50,2014-12-01,140.87,140.69,140.87,140.57,2387
51,2014-12-02,140.48,140.65,140.67,140.48,2828
52,2014-12-03,140.67,140.59,140.7,140.59,2345
53,2014-12-04,140.71,140.68,140.78,140.41,6861
54,2014-12-05,140.65,140.5,140.71,140.35,3150
55,2014-12-08,140.56,140.65,140.92,140.56,3120
56,2014-12-09,140.82,140.95,140.95,140.72,4758
57,2014-12-10,140.78,140.74,140.79,140.74,118
58,2014-12-11,140.95,140.71,140.95,140.66,4460
59,2014-12-12,140.72,140.94,140.94,140.72,2386
60,2014-12-15,140.9,140.91,141.05,140.75,5181
61,2014-12-16,140.89,140.96,141.16,140.82,2007
62,2014-12-17,141.04,141.05,141.31,140.89,5337
63,2014-12-18,141.19,141.24,141.24,141.0,1505
64,2014-12-19,141.05,141.27,141.27,141.02,8655
65,2014-12-22,141.34,141.39,141.39,141.09,2473
66,2014-12-23,141.2,141.2,141.2,141.2,0
67,2014-12-29,141.43,141.52,141.65,141.39,9041
68,2014-12-30,141.56,141.56,141.56,141.56,0
69,2015-01-02,141.59,141.71,141.71,141.42,131
70,2015-01-05,141.65,141.73,141.81,141.51,26566
71,2015-01-06,141.67,141.78,141.97,141.53,3763
72,2015-01-07,141.96,141.74,142.0,141.66,4518
73,2015-01-08,141.92,141.75,141.92,141.62,4392
74,2015-01-09,141.74,141.81,141.91,141.74,1321
75,2015-01-12,141.39,141.71,141.85,141.39,6544
76,2015-01-13,141.77,141.7,141.84,141.6,256
77,2015-01-14,141.75,141.91,141.98,141.75,10564
78,2015-01-15,141.75,141.92,142.03,141.6,2581
79,2015-01-16,141.78,141.96,142.08,141.78,3985
80,2015-01-19,141.82,142.0,142.04,141.78,5939
81,2015-01-20,141.67,141.82,141.95,141.67,8801
82,2015-01-21,141.76,141.63,141.83,141.58,2101
83,2015-01-22,141.48,141.76,141.87,141.23,12605
84,2015-01-23,141.81,142.06,142.19,141.81,6600
85,2015-01-26,142.05,141.81,142.09,141.8,5955
86,2015-01-27,141.67,141.9,141.9,141.67,3674
87,2015-01-28,141.68,141.84,142.0,141.68,5835
88,2015-01-29,141.98,141.93,142.09,141.86,6683
89,2015-01-30,141.99,142.27,142.27,141.98,17272
90,2015-02-02,141.99,141.97,142.25,141.95,8863
91,2015-02-03,142.07,142.11,142.25,142.0,2321
92,2015-02-04,142.21,142.25,142.26,142.19,2920
93,2015-02-05,142.18,142.09,142.29,142.09,8781
94,2015-02-06,142.17,142.08,142.35,142.08,4816
95,2015-02-09,142.2,142.04,142.38,142.04,4584
96,2015-02-10,142.17,142.34,142.34,142.1,5562
97,2015-02-11,142.24,142.11,142.38,142.11,2643
98,2015-02-12,142.17,142.26,142.5,142.15,4656
99,2015-02-13,142.48,142.45,142.48,142.29,6185
100,2015-02-16,142.43,142.24,142.5,142.24,7547
101,2015-02-17,142.57,142.2,142.57,142.2,11579
102,2015-02-18,142.31,142.44,142.5,142.31,5754
103,2015-02-19,142.46,142.67,142.67,142.39,32983
104,2015-02-20,142.51,142.55,142.7,142.41,4738
105,2015-02-23,142.5,142.71,142.71,142.4,15471
106,2015-02-24,142.72,142.74,142.74,142.45,5797
107,2015-02-25,142.64,142.61,142.81,142.55,6856
108,2015-02-26,142.46,142.84,142.96,142.46,4989
109,2015-02-27,142.89,142.58,142.89,142.58,5961
110,2015-03-02,142.54,142.67,142.8,142.54,10068
111,2015-03-03,142.64,142.36,142.68,142.36,3288
112,2015-03-04,142.51,142.45,142.54,142.42,20003
113,2015-03-05,142.44,142.29,142.45,142.23,8158
114,2015-03-06,142.62,142.4,142.62,142.28,9706
115,2015-03-09,142.38,142.58,142.67,142.38,2953
116,2015-03-10,142.52,142.72,142.82,142.51,11722
117,2015-03-11,142.68,142.78,142.78,142.68,4591
118,2015-03-12,142.66,142.54,142.77,142.32,5648
119,2015-03-13,142.4,142.35,142.44,142.11,2337
120,2015-03-16,142.39,141.97,142.39,141.97,6249
121,2015-03-17,141.96,141.84,142.09,141.84,8342
122,2015-03-18,142.03,141.95,142.26,141.79,7025
123,2015-03-19,142.13,141.95,142.26,141.95,8796
124,2015-03-20,141.96,141.98,142.22,141.95,8216
125,2015-03-23,141.97,141.76,142.2,141.76,9844
126,2015-03-24,141.93,141.75,142.0,141.63,5325
127,2015-03-25,141.85,141.94,141.94,141.66,9443
128,2015-03-26,141.83,141.84,141.93,141.7,4170
129,2015-03-27,141.86,142.02,142.02,141.75,6101
130,2015-03-30,141.96,141.89,142.12,141.82,4494
131,2015-03-31,141.9,142.1,142.24,141.81,7563
132,2015-04-01,142.03,142.31,142.33,141.95,5991
133,2015-04-02,142.3,142.26,142.31,142.03,6087
134,2015-04-07,142.91,142.25,142.91,142.03,6623
135,2015-04-08,142.34,142.49,142.55,142.22,2546
136,2015-04-09,142.49,142.38,142.62,142.38,9821
137,2015-04-10,142.56,142.47,142.58,142.28,1415
138,2015-04-13,142.31,142.53,142.54,142.31,3786
139,2015-04-14,142.57,142.5,142.58,142.41,2550
140,2015-04-15,142.49,142.63,142.65,142.41,6619
141,2015-04-16,142.57,142.65,142.68,142.57,4390
142,2015-04-17,142.65,142.47,142.67,142.42,4369
143,2015-04-20,142.67,142.48,142.67,142.33,1800
144,2015-04-21,142.52,142.38,142.6,142.38,4898
145,2015-04-22,142.4,142.27,142.56,142.03,12717
146,2015-04-23,142.19,142.18,142.35,142.04,4189
147,2015-04-24,142.35,142.21,142.35,142.15,2115
148,2015-04-27,142.39,142.38,142.43,142.3,6685
149,2015-04-28,142.28,142.47,142.48,142.23,6294
150,2015-04-29,142.43,141.99,142.43,141.87,8633
151,2015-04-30,142.36,141.53,142.36,141.53,883
152,2015-05-04,141.58,141.27,141.64,141.27,8361
153,2015-05-05,141.35,141.15,141.54,141.04,4934
154,2015-05-06,141.03,141.1,141.16,140.91,1439
155,2015-05-07,140.8,140.84,141.0,140.05,5514
156,2015-05-08,141.41,140.93,141.41,140.93,1516
