,date,open,close,high,low,volumme
0,2019-09-17,49.982,49.862,49.982,49.862,774
1,2019-09-18,49.865,49.901,49.928,49.865,1442
2,2019-09-19,49.873,49.903,49.905,49.873,1510
3,2019-09-20,49.882,49.88,49.882,49.86,1237
4,2019-09-23,49.872,49.893,49.919,49.87,1919
5,2019-09-24,49.878,49.904,49.926,49.86,4889
6,2019-09-25,49.883,49.937,49.937,49.87,2399
7,2019-09-26,49.92,49.986,49.986,49.917,2208
8,2019-09-27,49.991,49.938,50.009,49.938,1162
9,2019-09-30,49.95,49.963,49.98,49.95,1889
10,2019-10-01,49.952,49.977,50.0,49.952,1685
11,2019-10-02,49.973,49.952,49.976,49.952,4
12,2019-10-03,49.962,49.965,50.006,49.962,3099
13,2019-10-04,49.948,49.949,49.949,49.93,18
14,2019-10-07,49.943,49.949,49.971,49.931,2061
15,2019-10-08,49.95,49.952,49.976,49.93,2413
16,2019-10-09,49.951,49.975,49.994,49.93,2523
17,2019-10-10,49.955,49.94,49.975,49.931,3130
18,2019-10-11,49.941,49.949,49.969,49.92,2754
19,2019-10-14,49.954,49.939,49.964,49.939,756
20,2019-10-15,49.922,49.949,49.949,49.922,568
21,2019-10-16,49.971,49.96,50.009,49.953,576
22,2019-10-17,49.96,49.956,49.96,49.937,15
23,2019-10-18,49.951,49.938,49.951,49.919,1500
24,2019-10-21,49.949,49.967,49.967,49.918,4
25,2019-10-22,49.97,49.983,49.983,49.954,30
26,2019-10-23,49.987,49.981,50.009,49.981,1001
27,2019-10-24,49.979,49.984,49.984,49.949,1
28,2019-10-25,49.986,49.964,49.986,49.936,18
29,2019-10-28,49.955,49.976,49.976,49.951,11
30,2019-10-29,49.962,49.958,49.983,49.932,1687
31,2019-10-30,49.949,49.94,49.949,49.92,340
32,2019-10-31,49.96,49.962,49.962,49.94,2044
33,2019-11-01,49.959,49.958,49.959,49.958,0
34,2019-11-04,49.952,49.958,49.958,49.94,69
35,2019-11-05,49.949,49.95,49.95,49.93,78
36,2019-11-06,49.96,49.95,49.96,49.93,32
37,2019-11-07,49.928,49.937,49.937,49.928,32
38,2019-11-08,49.932,49.939,49.939,49.92,705
39,2019-11-11,49.928,49.915,49.97,49.905,13856
40,2019-11-12,49.919,49.912,49.919,49.89,2
41,2019-11-13,49.922,49.895,49.934,49.895,1149
42,2019-11-14,49.9,49.899,49.919,49.876,1014
43,2019-11-15,49.916,49.891,49.916,49.865,405
44,2019-11-18,49.888,49.897,49.927,49.857,3416
45,2019-11-19,49.871,49.907,49.945,49.871,3283
46,2019-11-20,49.906,49.881,49.918,49.855,5174
47,2019-11-21,49.886,49.869,49.912,49.863,1116
48,2019-11-22,49.879,49.905,49.929,49.879,2057
49,2019-11-25,49.901,49.918,49.944,49.869,4914
50,2019-11-26,49.907,49.944,49.987,49.887,726
51,2019-11-27,49.954,49.975,49.988,49.954,5242
52,2019-11-28,49.959,49.967,49.999,49.943,7635
53,2019-11-29,49.975,49.983,50.017,49.96,2880
54,2019-12-02,49.96,49.964,49.974,49.96,393
55,2019-12-03,49.954,49.956,49.998,49.954,410
56,2019-12-04,49.937,49.963,49.992,49.937,5045
57,2019-12-05,49.921,49.928,49.943,49.896,899
58,2019-12-06,49.921,49.949,49.97,49.903,2419
59,2019-12-09,49.926,49.952,49.974,49.902,3086
60,2019-12-10,49.933,49.979,49.979,49.933,1981
61,2019-12-11,49.969,49.978,50.0,49.969,687
62,2019-12-12,49.963,49.963,49.992,49.951,923
63,2019-12-13,49.955,49.98,50.08,49.955,3913
64,2019-12-16,49.989,49.982,49.989,49.96,1649
65,2019-12-17,50.008,50.018,50.034,49.993,2384
66,2019-12-18,50.01,50.005,50.015,50.005,542
67,2019-12-19,50.04,50.037,50.04,50.014,2601
68,2019-12-20,50.003,50.035,50.038,49.981,2057
69,2019-12-23,50.038,50.013,50.06,50.013,1019
70,2019-12-24,50.025,50.025,50.025,50.025,0
71,2019-12-27,49.995,49.99,50.021,49.974,1522
72,2019-12-30,49.997,49.984,50.016,49.965,607
73,2019-12-31,49.943,49.991,49.991,49.943,55
74,2020-01-02,49.941,49.961,49.972,49.917,844
75,2020-01-03,49.972,49.965,50.001,49.956,4617
76,2020-01-06,49.932,49.96,49.982,49.932,4534
77,2020-01-07,49.954,49.929,49.954,49.929,2230
78,2020-01-08,49.95,49.968,49.975,49.95,2177
79,2020-01-09,49.937,49.949,49.977,49.912,1490
80,2020-01-10,49.927,49.935,49.953,49.91,857
81,2020-01-13,49.928,49.939,49.97,49.904,5003
