,date,open,close,high,low,volumme
0,2020-07-08,19.912,19.912,19.912,19.912,0
1,2020-07-09,19.572,19.572,19.572,19.572,0
2,2020-07-10,19.546,19.77,19.77,19.546,0
3,2020-07-13,20.01,20.085,20.085,20.01,0
4,2020-07-14,19.818,19.894,19.894,19.818,0
5,2020-07-15,20.045,20.205,20.205,20.045,0
6,2020-07-16,20.07,20.15,20.15,20.07,0
7,2020-07-17,20.215,20.155,20.215,20.155,0
8,2020-07-20,20.09,20.355,20.355,20.09,0
9,2020-07-21,20.53,20.43,20.69,20.43,146
10,2020-07-22,20.35,20.27,20.35,20.27,500
11,2020-07-23,20.385,20.26,20.385,20.26,670
12,2020-07-24,20.005,19.94,20.005,19.904,250
13,2020-07-27,19.94,19.918,19.94,19.918,0
14,2020-07-28,19.906,19.91,19.91,19.826,1090
15,2020-07-29,19.968,19.938,19.968,19.938,0
16,2020-07-30,19.868,19.368,19.868,19.368,0
17,2020-07-31,19.43,19.182,19.43,19.182,0
18,2020-08-03,19.222,19.558,19.558,19.222,0
19,2020-08-04,19.694,19.53,19.694,19.53,0
20,2020-08-05,19.656,19.588,19.656,19.588,25
21,2020-08-06,19.55,19.466,19.55,19.466,0
22,2020-08-07,19.468,19.534,19.534,19.468,0
23,2020-08-10,19.576,19.552,19.576,19.552,0
24,2020-08-11,19.74,19.928,19.928,19.74,0
25,2020-08-12,19.892,20.145,20.145,19.892,1
26,2020-08-13,20.125,20.07,20.125,20.07,49
27,2020-08-14,19.952,19.83,19.952,19.83,0
28,2020-08-17,19.978,19.874,19.978,19.874,200
29,2020-08-18,19.752,19.76,19.83,19.752,175
30,2020-08-19,19.734,19.914,19.914,19.734,0
31,2020-08-20,19.758,19.682,19.758,19.682,1702
32,2020-08-21,19.754,19.618,19.754,19.5,25
33,2020-08-24,19.884,20.005,20.005,19.884,0
34,2020-08-25,20.175,20.01,20.2,20.01,25
35,2020-08-26,19.994,20.21,20.21,19.994,1344
36,2020-08-27,20.24,20.055,20.24,20.055,3716
37,2020-08-28,20.095,19.99,20.095,19.99,750
38,2020-08-31,20.105,19.732,20.105,19.732,0
39,2020-09-01,19.878,19.76,19.878,19.76,250
40,2020-09-02,19.92,20.085,20.185,19.92,2
41,2020-09-03,20.355,19.866,20.355,19.866,0
