,date,open,close,high,low,volumme
0,2021-05-14,19.866,19.866,19.866,19.866,0
1,2021-05-17,19.823,19.823,19.823,19.823,0
2,2021-05-18,19.849,19.849,19.849,19.849,0
3,2021-05-20,19.837,19.837,19.837,19.837,0
4,2021-05-21,19.878,19.931,19.931,19.878,0
5,2021-05-24,20.035,20.035,20.035,20.035,0
6,2021-05-25,20.144,20.144,20.144,20.144,0
7,2021-05-26,20.195,20.128,20.195,20.128,0
8,2021-05-27,20.1,20.092,20.1,20.092,0
9,2021-05-28,20.169,20.251,20.251,20.141,6091
10,2021-05-31,20.135,19.961,20.139,19.961,14329
11,2021-06-01,20.123,20.188,20.188,20.123,0
12,2021-06-02,20.247,20.237,20.247,20.237,0
13,2021-06-03,20.193,20.214,20.214,20.193,0
14,2021-06-04,20.255,20.303,20.303,20.255,0
15,2021-06-07,20.283,20.367,20.367,20.283,0
16,2021-06-08,20.388,20.383,20.388,20.383,0
17,2021-06-09,20.384,20.402,20.402,20.384,0
18,2021-06-10,20.441,20.426,20.441,20.426,0
19,2021-06-11,20.431,20.522,20.522,20.431,0
20,2021-06-14,20.61,20.545,20.61,20.545,0
21,2021-06-15,20.565,20.63,20.63,20.565,4877
22,2021-06-16,20.622,20.654,20.654,20.622,5671
23,2021-06-17,20.627,20.683,20.683,20.627,5671
24,2021-06-18,20.678,20.331,20.678,20.331,0
25,2021-06-21,20.268,20.512,20.512,20.268,0
26,2021-06-22,20.519,20.547,20.547,20.519,0
27,2021-06-23,20.557,20.338,20.557,20.338,0
28,2021-06-24,20.427,20.56,20.56,20.427,0
29,2021-06-25,20.576,20.597,20.597,20.576,0
30,2021-06-28,20.593,20.507,20.593,20.507,0
31,2021-06-29,20.554,20.602,20.602,20.554,0
32,2021-06-30,20.647,20.44,20.647,20.44,0
33,2021-07-01,20.614,20.589,20.614,20.589,0
34,2021-07-02,20.649,20.605,20.649,20.605,0
35,2021-07-05,20.585,20.654,20.654,20.585,0
36,2021-07-06,20.62,20.577,20.62,20.577,0
37,2021-07-07,20.668,20.76,20.76,20.668,0
38,2021-07-08,20.604,20.416,20.604,20.416,0
39,2021-07-09,20.528,20.673,20.673,20.528,0
40,2021-07-12,20.704,20.793,20.793,20.704,0
41,2021-07-13,20.798,20.82,20.82,20.798,0
42,2021-07-14,20.809,20.805,20.809,20.805,0
43,2021-07-15,20.733,20.604,20.733,20.604,0
44,2021-07-16,20.633,20.571,20.633,20.571,0
45,2021-07-19,20.403,20.187,20.403,20.187,400
46,2021-07-20,20.313,20.293,20.313,20.293,0
47,2021-07-21,20.473,20.593,20.593,20.473,0
