,date,open,close,high,low,volumme
0,2015-08-31,35.67,35.67,35.67,35.67,0
1,2015-09-01,34.84,34.53,34.84,34.53,0
2,2015-09-02,34.52,34.52,34.52,34.52,0
3,2015-11-13,36.74,36.74,36.74,36.74,0
4,2015-11-16,36.58,36.58,36.58,36.58,0
5,2015-11-17,37.28,37.63,37.63,37.28,0
6,2015-11-18,37.56,37.56,37.56,37.56,0
7,2015-11-19,37.75,37.57,37.75,37.57,0
8,2015-11-20,37.83,38.01,38.01,37.83,0
9,2015-11-23,38.08,38.08,38.08,38.08,0
10,2015-11-24,38.02,37.87,38.02,37.87,0
11,2015-11-25,37.88,38.21,38.21,37.88,0
12,2015-11-26,38.31,38.45,38.45,38.31,0
13,2015-11-27,38.13,38.27,38.27,38.13,0
14,2015-11-30,38.18,38.39,38.39,38.18,0
15,2015-12-01,38.55,38.4,38.55,38.4,0
16,2015-12-02,38.44,38.5,38.5,38.44,0
17,2015-12-03,38.42,37.13,38.42,37.13,0
18,2015-12-04,37.13,37.1,37.13,37.1,0
19,2015-12-07,37.24,37.1,37.24,37.1,0
20,2015-12-08,36.89,36.58,36.89,36.58,0
21,2015-12-09,36.56,36.33,36.56,36.33,0
22,2015-12-10,36.08,36.27,36.27,36.08,0
23,2015-12-11,36.15,36.15,36.15,36.15,0
24,2015-12-14,35.02,35.02,35.02,35.02,0
25,2015-12-15,35.27,35.27,35.27,35.27,0
26,2015-12-16,36.06,36.01,36.06,36.01,0
27,2015-12-17,36.54,36.38,36.54,36.38,0
28,2015-12-18,36.03,36.12,36.12,36.03,0
29,2015-12-21,36.01,36.01,36.01,36.01,0
30,2015-12-22,35.79,35.79,35.79,35.79,0
31,2015-12-24,36.32,36.32,36.32,36.32,0
32,2015-12-28,36.03,36.03,36.03,36.03,0
33,2015-12-29,36.81,36.81,36.81,36.81,0
34,2015-12-30,36.63,36.65,36.65,36.63,0
35,2015-12-31,36.46,36.53,36.53,36.46,0
36,2016-01-04,35.81,35.81,35.81,35.81,0
37,2016-01-05,36.08,36.25,36.25,36.08,0
38,2016-01-06,35.94,35.68,35.94,35.68,0
39,2016-01-07,34.96,34.96,34.96,34.96,0
40,2016-01-08,34.79,34.06,34.79,34.06,0
41,2016-01-11,34.04,34.04,34.04,34.04,0
42,2016-01-13,34.42,34.1,34.42,34.1,0
43,2016-01-14,33.51,33.51,33.51,33.51,0
44,2016-01-18,32.92,32.92,32.92,32.92,0
45,2016-01-19,33.29,33.29,33.29,33.29,0
46,2016-01-25,33.46,33.27,33.46,33.27,0
47,2016-01-26,32.76,33.32,33.32,32.76,1000
48,2016-01-27,33.38,33.54,33.54,33.38,0
49,2016-01-28,33.37,33.37,33.37,33.37,0
50,2016-01-29,33.72,34.01,34.01,33.72,0
51,2016-02-01,34.09,34.09,34.09,34.09,0
52,2016-02-02,34.03,34.03,34.03,34.03,0
53,2016-02-04,33.08,32.71,33.08,32.71,0
54,2016-02-05,32.67,32.39,32.67,32.39,1000
55,2016-02-08,32.47,31.42,32.47,31.42,1000
56,2016-02-09,30.98,30.98,30.98,30.98,0
57,2016-02-10,31.29,31.27,31.29,31.27,5000
58,2016-02-11,30.28,30.28,30.28,30.28,0
59,2016-02-12,30.69,31.12,31.12,30.69,1000
60,2016-02-15,31.67,31.97,31.97,31.67,1000
61,2016-02-16,32.15,31.96,32.15,31.96,0
62,2016-02-17,31.94,32.74,32.74,31.94,0
63,2016-02-18,32.87,32.84,32.87,32.84,0
64,2016-02-19,32.68,32.68,32.68,32.68,0
65,2016-02-22,33.41,33.41,33.41,33.41,0
66,2016-02-24,33.15,32.62,33.15,32.62,6100
67,2016-02-25,33.12,33.19,33.19,33.12,0
68,2016-02-26,33.58,33.76,33.76,33.58,0
69,2016-02-29,33.32,33.98,33.98,33.32,5000
70,2016-03-01,33.87,34.33,34.33,33.87,3000
71,2016-03-02,34.58,34.62,34.62,34.58,0
72,2016-03-03,34.76,34.63,34.76,34.63,0
73,2016-03-04,34.87,34.98,34.98,34.87,0
74,2016-03-07,34.93,34.97,34.97,34.93,0
75,2016-03-08,34.53,34.36,34.53,34.36,0
76,2016-03-09,34.43,34.47,34.47,34.43,0
77,2016-03-10,34.55,33.66,34.55,33.66,0
78,2016-03-11,34.43,34.58,34.58,34.43,5000
79,2016-03-14,34.79,34.79,34.79,34.79,0
80,2016-03-15,34.6,34.48,34.6,34.48,0
81,2016-03-16,34.59,34.7,34.7,34.59,0
82,2016-03-17,34.69,34.64,34.69,34.64,0
83,2016-03-18,34.67,34.84,34.84,34.67,0
84,2016-03-21,34.76,34.76,34.76,34.76,0
85,2016-03-23,34.89,34.89,34.89,34.89,0
86,2016-03-24,34.47,34.47,34.47,34.47,0
87,2016-03-29,34.73,34.73,34.73,34.73,0
88,2016-03-30,34.93,35.02,35.02,34.93,5000
89,2016-03-31,34.83,34.71,34.83,34.71,0
90,2016-04-01,34.32,34.32,34.32,34.32,0
91,2016-04-06,33.89,33.9,33.9,33.89,0
92,2016-04-07,33.88,33.67,33.88,33.67,0
93,2016-04-08,34.02,34.0,34.02,34.0,0
94,2016-04-11,34.0,34.11,34.11,34.0,0
95,2016-04-12,34.18,34.4,34.4,34.18,0
96,2016-04-13,34.82,35.38,35.38,34.82,5000
97,2016-04-14,35.27,35.27,35.27,35.27,0
98,2016-04-15,35.02,35.02,35.02,35.02,0
99,2016-04-18,35.08,35.08,35.08,35.08,0
100,2016-04-19,35.24,35.38,35.38,35.24,5000
101,2016-04-20,35.52,35.52,35.52,35.52,0
102,2016-04-21,35.42,35.42,35.42,35.42,0
103,2016-04-22,35.37,35.37,35.37,35.37,0
104,2016-04-25,35.23,35.23,35.23,35.23,0
