,date,open,close,high,low,volumme
0,2014-09-25,135.37,135.67,135.67,135.37,0
1,2014-09-26,136.02,135.55,136.02,135.55,0
2,2014-09-29,135.42,136.07,136.07,135.42,0
3,2014-09-30,135.88,136.51,136.51,135.88,0
4,2014-10-01,136.38,137.11,137.11,136.38,0
5,2014-10-02,137.25,137.47,137.47,137.25,0
6,2014-10-03,137.22,137.01,137.22,137.01,0
7,2014-10-06,137.6,137.45,137.6,137.45,0
8,2014-10-07,137.67,138.62,138.62,137.67,0
9,2014-10-08,138.68,138.49,138.68,138.49,0
10,2014-10-09,138.99,138.37,138.99,138.37,0
11,2014-10-10,138.47,139.08,139.08,138.47,0
12,2014-10-13,139.45,139.61,139.61,139.45,0
13,2014-10-14,139.38,140.25,140.25,139.38,0
14,2014-10-15,140.02,140.02,140.02,140.02,0
15,2014-10-16,141.69,141.29,142.76,141.29,10
16,2014-10-17,141.06,140.07,141.06,140.07,0
17,2014-10-20,140.45,140.76,140.76,140.45,0
18,2014-10-21,141.38,140.48,141.38,140.48,0
19,2014-10-22,140.98,140.56,140.98,140.56,0
20,2014-10-23,139.79,139.79,139.79,139.79,0
21,2014-10-24,140.15,139.47,140.15,139.47,0
22,2014-10-27,139.5,139.5,139.5,139.5,0
23,2014-10-28,139.31,139.24,139.31,139.24,0
24,2014-10-29,139.08,139.08,139.08,139.08,0
25,2014-10-30,139.08,139.29,139.29,139.08,0
26,2014-10-31,139.15,138.86,139.15,138.86,0
27,2014-11-03,139.52,138.52,139.52,138.52,0
28,2014-11-04,138.81,139.34,139.34,138.81,0
29,2014-11-05,139.06,138.93,139.06,138.93,0
30,2014-11-06,139.14,139.14,139.14,139.14,0
31,2014-11-07,138.89,140.15,140.15,138.89,0
32,2014-11-10,140.64,140.46,140.64,140.46,0
33,2014-11-11,140.07,140.05,140.07,140.05,0
34,2014-11-12,140.4,140.46,140.46,140.4,0
35,2014-11-13,140.05,140.83,140.83,140.05,0
36,2014-11-14,141.09,141.38,141.38,141.09,0
37,2014-11-17,142.26,141.33,142.26,141.33,0
38,2014-11-18,141.21,141.21,141.21,141.21,0
39,2014-11-19,141.68,140.91,141.68,140.91,0
40,2014-11-20,141.32,141.32,141.32,141.32,0
41,2014-11-21,141.56,142.51,142.51,141.56,0
42,2014-11-24,142.59,142.84,142.84,142.59,0
43,2014-11-25,143.86,143.86,143.86,143.86,0
44,2014-11-26,144.4,144.93,144.93,144.4,0
45,2014-11-27,145.07,145.63,145.63,145.07,0
46,2014-11-28,145.75,145.66,145.75,145.66,0
47,2014-12-01,146.14,145.81,146.14,145.81,0
48,2014-12-02,145.25,145.26,145.26,145.25,0
49,2014-12-03,145.31,145.79,145.79,145.31,0
50,2014-12-04,146.04,146.59,146.59,146.04,0
51,2014-12-05,146.82,146.35,146.82,146.35,0
52,2014-12-08,146.1,147.03,147.03,146.1,0
53,2014-12-09,147.36,148.0,148.0,147.36,0
54,2014-12-10,147.95,147.98,148.09,147.95,1385
55,2014-12-11,148.34,148.34,148.34,148.34,0
56,2014-12-12,149.33,149.55,149.55,149.33,0
