,date,open,close,high,low,volumme
0,2014-09-25,81.31,80.5,81.55,80.5,95
1,2014-09-26,80.46,81.41,81.48,80.46,3386
2,2014-09-29,81.22,80.82,81.22,80.77,121
3,2014-09-30,80.72,81.03,81.03,80.72,5831
4,2014-10-01,81.12,80.18,81.12,80.18,250
5,2014-10-02,79.97,79.09,79.97,78.74,738
6,2014-10-03,79.93,80.53,80.53,79.93,459
7,2014-10-06,81.3,80.73,81.41,80.73,60
8,2014-10-07,80.24,79.74,80.24,79.74,405
9,2014-10-08,79.31,79.0,79.31,79.0,818
10,2014-10-09,79.83,79.43,79.89,79.34,600
11,2014-10-10,78.54,77.8,78.73,77.8,78
12,2014-10-13,76.98,77.01,77.01,76.24,20
13,2014-10-14,76.32,77.02,77.02,76.32,0
14,2014-10-15,77.18,75.65,77.18,75.65,24
15,2014-10-16,76.21,76.26,76.43,75.29,16
16,2014-10-17,76.91,78.08,78.21,76.91,100
17,2014-10-20,77.96,77.87,77.96,77.87,0
18,2014-10-21,77.59,79.67,79.67,77.59,760
19,2014-10-22,79.99,80.56,80.56,79.99,14
20,2014-10-23,79.89,80.82,80.82,79.89,0
21,2014-10-24,80.21,80.24,80.24,80.21,0
22,2014-10-27,80.61,79.96,80.61,79.96,0
23,2014-10-28,80.6,80.31,80.6,80.14,1668
24,2014-10-29,81.07,81.0,81.07,81.0,0
25,2014-10-30,81.84,81.83,81.84,81.83,0
26,2014-10-31,83.16,83.09,83.16,82.98,834
27,2014-11-03,83.46,83.43,83.7,83.27,2450
28,2014-11-04,82.79,81.61,82.79,81.61,0
29,2014-11-05,82.04,82.25,82.46,82.04,2
30,2014-11-06,81.86,83.05,83.11,81.86,488
31,2014-11-07,83.56,83.12,83.56,83.12,0
32,2014-11-10,82.86,83.72,83.72,82.86,0
33,2014-11-11,83.9,83.97,84.0,83.72,3010
34,2014-11-12,83.74,83.63,83.74,83.47,11
35,2014-11-13,84.28,84.26,84.28,84.26,0
36,2014-11-14,84.63,84.27,84.63,84.27,0
37,2014-11-17,83.66,84.2,84.2,83.66,0
38,2014-11-18,84.17,84.33,84.33,84.17,0
39,2014-11-19,84.37,84.26,84.37,84.26,0
40,2014-11-20,84.26,84.83,84.83,84.14,28
41,2014-11-21,85.02,86.6,86.6,85.02,0
42,2014-11-24,86.56,86.79,86.79,86.56,0
43,2014-11-25,86.97,86.76,86.97,86.76,0
44,2014-11-26,87.09,86.71,87.09,86.71,0
45,2014-11-27,87.09,87.18,87.18,87.09,35
46,2014-11-28,87.36,88.3,88.3,87.36,0
47,2014-12-01,87.91,87.07,87.91,87.07,104
48,2014-12-02,87.0,87.26,87.39,87.0,6077
49,2014-12-03,87.12,87.39,87.39,87.12,0
50,2014-12-04,87.48,86.38,87.86,86.38,1449
51,2014-12-05,87.07,87.9,87.9,87.07,0
52,2014-12-08,87.63,87.33,87.63,87.33,40
53,2014-12-09,86.26,85.27,86.26,85.27,220
54,2014-12-10,86.01,85.23,86.01,85.23,10
55,2014-12-11,84.75,85.48,85.7,84.75,908
56,2014-12-12,84.82,83.92,84.82,83.92,0
57,2014-12-15,83.77,82.77,83.8,82.77,12
58,2014-12-16,83.05,83.02,83.05,82.05,5169
59,2014-12-17,81.72,82.24,82.52,81.72,10023
60,2014-12-18,84.13,84.9,84.9,84.12,65
61,2014-12-19,85.81,85.22,85.81,85.22,1415
62,2014-12-22,85.52,85.53,85.53,85.52,0
63,2014-12-23,86.59,86.59,86.59,86.59,0
64,2014-12-29,86.54,87.28,87.28,86.54,70
65,2014-12-30,86.66,86.66,86.66,86.66,0
66,2015-01-02,87.39,86.21,87.39,86.21,11
67,2015-01-05,86.12,85.08,86.12,85.08,203
68,2015-01-06,84.91,83.91,84.91,83.91,0
69,2015-01-07,84.62,85.52,85.52,84.62,2515
70,2015-01-08,86.46,87.54,87.54,86.46,0
71,2015-01-09,87.26,86.61,88.0,86.61,1828
72,2015-01-12,86.68,86.82,87.07,86.6,348
73,2015-01-13,86.89,88.05,88.05,86.89,0
74,2015-01-14,86.81,86.09,86.81,86.09,1
75,2015-01-15,87.17,87.83,87.83,87.17,150
76,2015-01-16,86.93,87.92,87.92,86.93,0
77,2015-01-19,87.81,87.81,87.81,87.81,0
78,2015-01-20,88.31,87.96,88.31,87.96,0
79,2015-01-21,88.41,88.41,88.41,88.41,0
80,2015-01-22,89.02,90.48,90.48,89.02,40
81,2015-01-23,91.31,92.59,92.59,91.31,80
82,2015-01-26,92.76,93.28,93.28,92.76,325
83,2015-01-27,93.85,92.46,93.85,92.46,0
84,2015-01-28,93.35,92.77,93.35,92.71,2438
85,2015-01-29,92.41,92.93,92.93,92.41,0
86,2015-01-30,93.14,92.13,93.14,92.13,1750
87,2015-02-02,91.92,91.76,91.92,91.0,13
88,2015-02-03,92.05,92.09,92.09,92.05,0
89,2015-02-04,92.76,93.21,93.21,92.76,80
90,2015-02-05,92.79,93.24,93.24,92.79,25
91,2015-02-06,93.29,93.8,93.91,93.29,621
92,2015-02-09,92.93,92.51,92.93,92.3,423
93,2015-02-10,92.67,93.72,93.72,92.67,100
94,2015-02-11,93.7,93.84,93.84,93.7,0
95,2015-02-12,93.49,93.88,94.11,93.49,417
96,2015-02-13,94.11,94.41,94.41,94.07,720
97,2015-02-16,94.43,94.42,94.43,94.1,71
98,2015-02-17,94.56,94.38,94.56,94.01,25
99,2015-02-18,94.38,94.98,94.99,94.38,251
100,2015-02-19,94.71,95.69,95.69,94.71,90
101,2015-02-20,95.73,95.92,95.92,95.67,28
102,2015-02-23,96.34,96.39,96.39,96.26,100
103,2015-02-24,96.61,96.23,96.61,96.0,200
104,2015-02-25,95.9,95.9,95.99,95.65,162
105,2015-02-26,95.81,97.14,97.14,95.81,152
106,2015-02-27,97.16,97.23,97.35,96.91,194
107,2015-03-02,96.98,97.65,97.65,96.98,34
108,2015-03-03,97.9,96.75,98.08,96.75,684
109,2015-03-04,97.13,97.66,97.66,97.13,0
110,2015-03-05,98.0,98.65,98.75,98.0,65
111,2015-03-06,98.69,99.09,99.25,98.69,29
112,2015-03-09,99.36,98.23,99.36,98.23,441
113,2015-03-10,98.35,97.82,98.43,97.82,472
114,2015-03-11,98.13,99.4,99.4,98.13,0
115,2015-03-12,99.31,99.67,99.73,99.31,100
116,2015-03-13,99.79,99.91,99.91,99.77,30
117,2015-03-16,99.96,100.69,100.73,99.96,200
118,2015-03-17,101.68,99.99,101.68,99.98,459
119,2015-03-18,100.11,99.31,100.11,99.2,63
120,2015-03-19,99.13,100.26,100.26,99.13,1819
121,2015-03-20,100.94,100.26,100.94,100.26,360
122,2015-03-23,99.96,99.13,99.96,99.13,50
123,2015-03-24,98.63,99.12,99.12,98.63,20
124,2015-03-25,98.92,97.79,98.92,97.79,40
125,2015-03-26,96.52,97.67,97.67,96.05,130
126,2015-03-27,98.55,98.06,98.55,98.06,0
127,2015-03-30,99.22,99.52,99.52,99.22,40
128,2015-03-31,99.38,99.7,99.83,99.38,20
129,2015-04-01,98.69,98.97,98.97,98.69,30
130,2015-04-02,98.9,99.08,99.3,98.87,361
