,date,open,close,high,low,volumme
0,2018-09-11,49.165,49.227,49.293,49.165,50
1,2018-09-12,49.282,49.116,49.361,49.116,40
2,2018-09-13,49.185,49.162,49.408,49.162,3074
3,2018-09-14,49.44,49.585,49.585,49.44,20
4,2018-09-17,49.562,49.344,49.579,49.344,189
5,2018-09-18,49.2,49.464,49.464,49.2,450
6,2018-09-19,49.565,49.553,49.581,49.553,80
7,2018-09-20,49.464,49.417,49.5,49.417,400
8,2018-09-21,49.528,49.691,49.74,49.528,1680
9,2018-09-24,49.568,49.251,49.568,49.251,1430
10,2018-09-25,49.407,49.371,49.5,49.371,2960
11,2018-09-26,49.617,49.542,49.65,49.542,137
12,2018-09-27,49.764,49.699,49.764,49.699,61
13,2018-09-28,49.841,49.967,50.132,49.841,500
14,2018-10-01,50.248,50.208,50.32,50.208,114
15,2018-10-02,50.039,49.977,50.08,49.977,85
16,2018-10-03,49.795,50.058,50.058,49.795,2056
17,2018-10-04,49.926,49.535,49.926,49.535,68
18,2018-10-05,49.352,48.949,49.352,48.949,0
19,2018-10-08,48.841,48.549,48.841,48.549,0
20,2018-10-09,48.481,48.416,48.604,48.416,103
21,2018-10-10,48.21,47.274,48.21,47.274,0
22,2018-10-11,46.082,46.054,46.22,46.0,3434
23,2018-10-12,46.397,46.347,46.397,46.347,0
24,2018-10-15,46.321,46.342,46.342,46.028,179
25,2018-10-16,46.41,46.942,46.942,46.41,124
26,2018-10-17,47.491,47.202,47.98,47.202,73
27,2018-10-18,47.318,46.927,47.45,46.927,523
28,2018-10-19,46.973,46.791,47.072,46.791,526
29,2018-10-22,46.572,46.66,46.66,46.572,0
30,2018-10-23,46.082,45.731,46.082,45.731,1332
31,2018-10-24,45.95,45.79,46.269,45.79,362
32,2018-10-25,45.174,45.76,45.76,45.0,3843
33,2018-10-26,45.15,45.03,45.15,44.888,11
34,2018-10-29,44.599,45.249,45.682,44.599,12706
35,2018-10-30,45.025,45.13,45.306,44.958,938
36,2018-10-31,45.891,46.39,46.39,45.891,564
37,2018-11-01,52.578,53.089,53.089,52.578,5
38,2018-11-02,47.267,46.984,47.77,46.984,16671
39,2018-11-05,46.907,46.573,47.014,46.573,125
40,2018-11-06,46.798,46.789,46.798,46.789,0
41,2018-11-07,46.963,47.125,47.184,46.963,1632
42,2018-11-08,47.481,47.614,47.72,47.481,3145
43,2018-11-09,47.488,47.183,47.62,47.183,3230
44,2018-11-12,47.467,46.69,47.467,46.69,110
45,2018-11-13,46.767,46.837,46.838,46.7,410
46,2018-11-14,46.431,46.437,46.589,46.431,220
47,2018-11-15,46.422,46.501,46.554,46.422,612
48,2018-11-16,46.583,46.275,46.583,46.275,0
49,2018-11-19,46.473,45.74,46.473,45.74,0
50,2018-11-20,45.28,44.9,45.28,44.86,3534
51,2018-11-21,45.084,45.457,45.457,45.084,0
52,2018-11-22,45.281,45.061,45.281,45.061,0
53,2018-11-23,45.108,45.527,45.527,45.108,0
54,2018-11-26,45.736,46.062,46.25,45.736,2202
55,2018-11-27,47.65,46.364,47.65,46.347,600
56,2018-11-28,46.618,46.626,46.848,46.618,313
57,2018-11-29,47.005,46.873,47.08,46.8,448
58,2018-11-30,46.874,46.971,46.971,46.874,420
59,2018-12-03,47.919,47.65,48.205,47.65,10430
60,2018-12-04,47.541,47.257,47.58,47.257,2145
61,2018-12-05,46.513,46.401,46.513,46.401,0
62,2018-12-06,45.88,45.132,45.88,45.132,0
63,2018-12-07,45.706,45.326,46.0,45.326,4890
64,2018-12-10,44.852,44.563,44.852,44.563,1180
65,2018-12-11,44.86,45.288,45.699,44.86,973
66,2018-12-12,45.449,46.077,46.101,45.449,7158
67,2018-12-13,45.833,45.585,45.833,45.585,0
68,2018-12-14,45.001,45.588,45.736,45.001,11869
69,2018-12-17,45.111,44.937,45.233,44.78,14834
70,2018-12-18,44.189,44.255,44.39,44.189,244
71,2018-12-19,44.137,44.23,44.23,44.137,0
72,2018-12-20,43.5,42.924,43.5,42.924,573
73,2018-12-21,42.643,42.44,42.84,42.44,7260
74,2018-12-27,42.565,42.242,43.799,41.819,6561
75,2018-12-28,43.0,42.742,43.0,42.742,1
76,2018-12-31,43.175,43.172,43.175,43.172,0
77,2019-01-02,42.544,43.388,43.388,42.544,10125
78,2019-01-03,43.02,42.64,43.02,42.64,10
79,2019-01-04,42.778,43.424,43.424,42.778,3
80,2019-01-07,43.882,43.99,43.99,43.882,0
81,2019-01-08,44.291,44.385,44.541,44.291,1012
82,2019-01-09,44.678,44.755,44.964,44.678,760
83,2019-01-10,44.532,44.875,44.875,44.532,1
84,2019-01-11,44.996,45.101,45.101,44.98,38
85,2019-01-14,44.928,44.925,44.928,44.925,100
86,2019-01-15,45.415,45.625,45.625,45.4,742
87,2019-01-16,45.746,45.79,45.79,45.746,0
88,2019-01-17,45.646,45.8,45.8,45.646,104
89,2019-01-18,46.161,46.745,46.845,46.161,1954
90,2019-01-21,46.726,46.585,46.73,46.58,6206
91,2019-01-22,46.501,46.275,46.54,46.275,2350
92,2019-01-23,46.143,45.96,46.519,45.96,2050
93,2019-01-24,46.225,46.695,46.695,46.225,400
94,2019-01-25,47.111,47.25,47.25,47.111,0
95,2019-01-28,47.158,46.68,47.25,46.68,1200
96,2019-01-29,46.729,46.685,46.81,46.685,227
97,2019-01-30,46.736,46.736,46.736,46.736,0
98,2019-01-31,47.134,47.345,47.345,47.134,357
99,2019-02-01,47.274,47.34,47.378,47.225,1080
100,2019-02-04,47.435,47.62,47.622,47.435,33
101,2019-02-05,47.824,48.014,48.014,47.824,24
102,2019-02-06,48.071,48.37,48.462,48.071,4657
103,2019-02-07,48.166,47.59,48.362,47.59,2705
104,2019-02-08,47.509,47.505,47.69,47.5,135
105,2019-02-11,47.818,48.105,48.113,47.818,4794
106,2019-02-12,48.355,48.556,48.556,48.355,1
107,2019-02-13,48.857,48.86,49.07,48.857,755
108,2019-02-14,49.172,48.947,49.212,48.947,1243
109,2019-02-15,48.808,49.339,49.339,48.808,0
110,2019-02-18,49.414,49.471,49.471,49.369,3851
111,2019-02-19,49.449,49.258,49.449,49.258,195
112,2019-02-20,49.36,49.515,49.63,49.339,1094
113,2019-02-21,49.505,49.347,49.61,49.347,293
114,2019-02-22,49.453,49.895,49.895,49.35,73
115,2019-02-25,50.015,50.235,50.368,50.015,1092
116,2019-02-26,49.997,49.981,49.997,49.85,6555
117,2019-02-27,49.811,49.735,49.86,49.735,1055
118,2019-02-28,49.527,49.44,49.63,49.418,1412
119,2019-03-01,49.76,49.631,49.86,49.631,206
120,2019-03-04,50.192,49.865,50.3,49.865,3583
121,2019-03-05,49.81,49.795,50.072,49.606,4268
122,2019-03-06,49.689,49.461,49.75,49.461,109
123,2019-03-07,49.209,49.13,49.209,48.933,8658
124,2019-03-08,48.823,48.705,48.823,48.531,1232
125,2019-03-11,48.935,49.41,49.435,48.848,1506
126,2019-03-12,49.53,49.445,49.53,49.445,705
127,2019-03-13,49.329,49.58,49.662,49.329,115
128,2019-03-14,49.304,49.485,49.559,49.304,80
129,2019-03-15,49.455,49.795,49.795,49.455,325
130,2019-03-18,49.814,49.752,50.008,49.75,3158
131,2019-03-19,49.923,50.154,50.244,49.923,1902
132,2019-03-20,49.928,49.54,49.95,49.54,2000
133,2019-03-21,49.431,50.06,50.06,49.431,0
134,2019-03-22,50.194,49.597,50.221,49.597,1036
135,2019-03-25,49.269,49.062,49.269,49.062,40
136,2019-03-26,49.379,49.639,49.639,49.379,0
137,2019-03-27,49.883,49.371,49.883,49.371,50
138,2019-03-28,49.395,49.462,49.8,49.395,68
139,2019-03-29,49.801,49.936,49.936,49.801,1062
140,2019-04-01,50.094,50.756,50.756,50.094,53
141,2019-04-02,50.949,51.05,51.163,50.949,105
142,2019-04-03,51.221,51.465,51.565,51.221,5907
143,2019-04-04,51.433,51.331,51.52,51.331,1605
144,2019-04-05,51.415,51.64,51.64,51.415,60
145,2019-04-08,51.882,51.565,51.882,51.463,1660
146,2019-04-09,51.755,51.466,51.755,51.466,506
147,2019-04-10,51.517,51.659,51.659,51.517,200
148,2019-04-11,51.633,51.748,51.748,51.633,0
149,2019-04-12,51.719,51.75,51.75,51.719,19
150,2019-04-15,51.941,51.917,51.941,51.917,0
151,2019-04-16,52.071,52.239,52.239,52.071,1462
152,2019-04-17,52.293,52.269,52.499,52.269,1026
153,2019-04-18,52.112,52.407,52.579,52.112,22
154,2019-04-23,52.603,52.963,53.012,52.5,65
155,2019-04-24,52.941,53.151,53.151,52.92,1974
