,date,open,close,high,low,volumme
0,2014-12-09,52.51,52.51,52.51,52.51,0
1,2014-12-10,52.5,52.5,52.5,52.5,0
2,2014-12-11,52.48,52.49,52.49,52.48,0
3,2014-12-12,52.49,52.47,52.49,52.47,0
4,2014-12-15,52.48,52.48,52.48,52.48,0
5,2014-12-16,52.48,52.48,52.48,52.48,0
6,2014-12-17,52.48,52.49,52.49,52.48,0
7,2014-12-18,52.51,52.5,52.51,52.5,0
8,2014-12-19,52.51,52.51,52.51,52.51,0
9,2014-12-22,52.53,52.54,52.54,52.53,0
10,2014-12-23,52.54,52.54,52.54,52.54,0
11,2014-12-29,52.58,52.58,52.58,52.58,0
12,2014-12-30,52.59,52.59,52.59,52.59,0
13,2015-01-02,52.6,52.62,52.62,52.6,0
14,2015-01-05,52.62,52.62,52.62,52.62,0
15,2015-01-06,52.61,52.6,52.61,52.6,0
16,2015-01-07,52.6,52.6,52.6,52.6,0
17,2015-01-08,52.6,52.6,52.6,52.6,0
18,2015-01-09,52.6,52.6,52.6,52.6,0
19,2015-01-12,52.59,52.6,52.6,52.59,0
20,2015-01-13,52.61,52.6,52.61,52.6,0
21,2015-01-14,52.6,52.61,52.61,52.6,0
22,2015-01-15,52.6,52.61,52.61,52.6,0
23,2015-01-16,52.62,52.65,52.65,52.62,0
24,2015-01-19,52.66,52.66,52.66,52.66,0
25,2015-01-20,52.66,52.66,52.66,52.66,0
26,2015-01-21,52.66,52.66,52.66,52.66,0
27,2015-01-22,52.63,52.68,52.68,52.63,0
28,2015-01-23,52.7,52.68,52.7,52.68,0
29,2015-01-26,52.69,52.67,52.69,52.67,0
30,2015-01-27,52.67,52.66,52.67,52.66,0
31,2015-01-28,52.66,52.65,52.66,52.65,0
32,2015-01-29,52.65,52.64,52.65,52.64,0
33,2015-01-30,52.54,52.54,52.54,52.54,0
34,2015-02-02,52.56,52.54,52.56,52.54,527
35,2015-02-03,52.55,52.56,52.56,52.55,0
36,2015-02-04,52.56,52.56,52.56,52.56,0
37,2015-02-05,52.55,52.56,52.56,52.55,0
38,2015-02-06,52.56,52.56,52.56,52.56,0
39,2015-02-09,52.56,52.55,52.56,52.55,0
40,2015-02-10,52.56,52.56,52.56,52.56,0
41,2015-02-11,52.56,52.55,52.56,52.55,0
42,2015-02-12,52.54,52.56,52.56,52.54,0
43,2015-02-13,52.56,52.56,52.56,52.56,0
44,2015-02-16,52.57,52.56,52.57,52.56,0
45,2015-02-17,52.56,52.56,52.56,52.56,0
46,2015-02-18,52.56,52.57,52.57,52.56,0
47,2015-02-19,52.56,52.56,52.56,52.56,0
48,2015-02-20,52.57,52.57,52.57,52.57,0
49,2015-02-23,52.58,52.59,52.59,52.58,0
50,2015-02-24,52.6,52.6,52.6,52.6,0
51,2015-02-25,52.6,52.61,52.61,52.6,0
52,2015-02-26,52.62,52.62,52.62,52.62,0
53,2015-02-27,52.62,52.62,52.64,52.62,9
54,2015-03-02,52.63,52.62,52.63,52.62,0
55,2015-03-03,52.62,52.61,52.62,52.61,0
56,2015-03-04,52.61,52.61,52.61,52.61,0
57,2015-03-05,52.6,52.62,52.62,52.6,0
58,2015-03-06,52.63,52.62,52.63,52.62,0
59,2015-03-09,52.63,52.63,52.63,52.63,0
60,2015-03-10,52.64,52.64,52.64,52.64,0
61,2015-03-11,52.65,52.66,52.66,52.65,0
62,2015-03-12,52.65,52.67,52.67,52.65,0
63,2015-03-13,52.66,52.66,52.66,52.66,0
64,2015-03-16,52.67,52.66,52.67,52.66,0
65,2015-03-17,52.66,52.65,52.66,52.65,0
66,2015-03-18,52.65,52.64,52.65,52.64,0
67,2015-03-19,52.61,52.65,52.65,52.61,9
68,2015-03-20,52.66,52.65,52.66,52.65,0
69,2015-03-23,52.65,52.63,52.65,52.63,0
70,2015-03-24,52.62,52.62,52.62,52.62,0
71,2015-03-25,52.62,52.62,52.62,52.62,0
72,2015-03-26,52.61,52.63,52.63,52.61,0
73,2015-03-27,52.64,52.64,52.64,52.64,0
74,2015-03-30,52.64,52.65,52.65,52.64,0
75,2015-03-31,52.65,52.65,52.65,52.65,0
76,2015-04-01,52.64,52.64,52.64,52.64,0
77,2015-04-02,52.65,52.64,52.65,52.64,0
78,2015-04-07,52.66,52.67,52.67,52.66,0
79,2015-04-08,52.67,52.67,52.67,52.67,0
80,2015-04-09,52.66,52.66,52.66,52.66,0
81,2015-04-10,52.66,52.66,52.66,52.66,0
82,2015-04-13,52.67,52.67,52.67,52.67,0
83,2015-04-14,52.67,52.67,52.67,52.67,0
84,2015-04-15,52.66,52.67,52.67,52.66,0
85,2015-04-16,52.66,52.65,52.66,52.65,0
86,2015-04-17,52.65,52.64,52.65,52.64,0
87,2015-04-20,52.65,52.65,52.65,52.65,0
88,2015-04-21,52.65,52.65,52.65,52.65,0
89,2015-04-22,52.66,52.66,52.66,52.66,0
90,2015-04-23,52.66,52.67,52.67,52.66,0
91,2015-04-24,52.67,52.66,52.67,52.66,0
92,2015-04-27,52.67,52.68,52.68,52.67,0
93,2015-04-28,52.69,52.69,52.69,52.69,0
94,2015-04-29,52.67,52.64,52.67,52.64,0
95,2015-04-30,52.64,52.64,52.64,52.64,0
96,2015-05-04,52.64,52.65,52.65,52.64,0
97,2015-05-05,52.64,52.63,52.64,52.63,0
98,2015-05-06,52.62,52.62,52.62,52.62,0
99,2015-05-07,52.61,52.62,52.62,52.61,0
100,2015-05-08,52.62,52.63,52.63,52.62,0
101,2015-05-11,52.63,52.63,52.63,52.63,0
102,2015-05-12,52.63,52.62,52.64,52.62,1439
103,2015-05-13,52.62,52.62,52.62,52.62,0
104,2015-05-14,52.61,52.61,52.61,52.61,0
105,2015-05-15,52.62,52.62,52.62,52.62,0
106,2015-05-18,52.63,52.63,52.63,52.63,0
