,date,open,close,high,low,volumme
0,2014-09-16,1.825,1.755,1.825,1.755,360822
1,2014-09-17,1.75,1.765,1.79,1.745,115905
2,2014-09-18,1.775,1.72,1.78,1.72,1546409
3,2014-09-19,1.735,1.795,1.795,1.725,261032
4,2014-09-22,1.785,1.76,1.785,1.755,114134
5,2014-09-23,1.77,1.71,1.77,1.705,851831
6,2014-09-24,1.715,1.725,1.735,1.7,447106
7,2014-09-25,1.74,1.685,1.75,1.675,164946
8,2014-09-26,1.675,1.685,1.705,1.675,366602
9,2014-09-29,1.71,1.645,1.71,1.63,1110095
10,2014-09-30,1.67,1.665,1.675,1.64,618944
11,2014-10-01,1.645,1.665,1.72,1.645,235756
12,2014-10-02,1.67,1.645,1.72,1.635,150499
13,2014-10-03,1.66,1.66,1.665,1.625,151917
14,2014-10-06,1.68,1.64,1.68,1.615,137972
15,2014-10-07,1.635,1.595,1.64,1.58,664375
16,2014-10-08,1.6,1.585,1.6,1.575,608937
17,2014-10-09,1.6,1.61,1.63,1.59,169943
18,2014-10-10,1.58,1.565,1.6,1.555,191206
19,2014-10-13,1.545,1.565,1.59,1.545,1333006
20,2014-10-14,1.555,1.49,1.565,1.475,4693566
21,2014-10-15,1.5,1.375,1.5,1.32,5021835
22,2014-10-16,1.36,1.35,1.395,1.315,1733886
23,2014-10-17,1.35,1.455,1.47,1.35,1702550
24,2014-10-20,1.465,1.46,1.485,1.435,808604
25,2014-10-21,1.46,1.545,1.56,1.46,777536
26,2014-10-22,1.56,1.545,1.56,1.535,67470
27,2014-10-23,1.53,1.55,1.565,1.515,200954
28,2014-10-24,1.53,1.55,1.575,1.53,663324
29,2014-10-27,1.6,1.47,1.61,1.46,487844
30,2014-10-28,1.5,1.5,1.51,1.49,280063
31,2014-10-29,1.51,1.45,1.52,1.45,846390
32,2014-10-30,1.47,1.415,1.48,1.38,2668603
33,2014-10-31,1.425,1.415,1.46,1.415,652934
34,2014-11-03,1.43,1.455,1.455,1.42,236246
35,2014-11-04,1.45,1.44,1.5,1.44,834049
36,2014-11-05,1.475,1.48,1.505,1.46,309786
37,2014-11-06,1.505,1.48,1.505,1.48,96727
38,2014-11-07,1.485,1.42,1.495,1.405,387195
39,2014-11-10,1.41,1.395,1.415,1.37,3104856
40,2014-11-11,1.41,1.395,1.415,1.385,541966
41,2014-11-12,1.38,1.36,1.4,1.345,598431
42,2014-11-13,1.35,1.36,1.385,1.35,152091
43,2014-11-14,1.365,1.38,1.415,1.365,411483
44,2014-11-17,1.38,1.375,1.4,1.37,110012
