,date,open,close,high,low,volumme
0,2016-05-17,7.85584,7.85584,7.85584,7.85584,0
1,2016-05-18,7.81353,7.83507,7.83507,7.81353,0
2,2016-05-19,7.70738,7.70431,7.70738,7.70431,0
3,2016-05-20,7.8043,7.7943,7.8043,7.7943,0
4,2016-05-23,7.74738,7.74738,7.74738,7.74738,0
5,2016-05-24,7.75354,7.75354,7.75354,7.75354,0
6,2016-05-25,7.76584,7.75431,7.76584,7.75431,0
7,2016-05-26,7.85199,7.8043,7.85199,7.8043,0
8,2016-05-27,7.77738,7.79123,7.79123,7.77738,0
9,2016-05-30,7.75431,7.78584,7.78584,7.75431,0
10,2016-05-31,7.8643,7.8643,7.8643,7.8643,0
11,2016-06-01,7.76584,7.82584,7.82584,7.76584,0
12,2016-06-02,7.86584,7.86584,7.86584,7.86584,0
13,2016-06-03,7.89738,7.89738,7.89738,7.89738,0
14,2016-06-06,7.94199,7.98122,7.98122,7.94199,0
15,2016-06-07,7.94737,7.96968,7.96968,7.94737,0
16,2016-06-08,8.02045,8.09429,8.09429,8.02045,0
17,2016-06-09,8.16737,8.11198,8.16737,8.11198,0
18,2016-06-10,8.06737,8.0366,8.06737,8.0366,0
19,2016-06-13,7.99276,8.07506,8.07506,7.99276,0
20,2016-06-14,7.98353,7.9743,7.98353,7.9743,0
21,2016-06-15,7.97353,7.97353,7.97353,7.97353,0
22,2016-06-16,7.96199,7.89661,7.96199,7.89661,0
23,2016-06-17,7.88276,7.92968,7.92968,7.88276,0
24,2016-06-20,8.03199,8.13891,8.13891,8.03199,0
25,2016-06-21,8.11275,8.09968,8.11275,8.09968,0
26,2016-06-22,8.17506,8.11352,8.17506,8.11352,0
27,2016-06-23,8.09737,8.14121,8.14121,8.09737,0
28,2016-06-24,7.99276,8.05583,8.05583,7.99276,0
29,2016-06-27,8.05352,7.93584,8.05352,7.93584,0
30,2016-06-28,8.02737,8.0866,8.0866,8.02737,0
31,2016-06-29,8.1689,8.26352,8.26352,8.1689,0
32,2016-06-30,8.23967,8.23967,8.23967,8.23967,0
33,2016-07-01,8.30274,8.30274,8.30274,8.30274,0
34,2016-07-04,8.36813,8.3189,8.36813,8.3189,0
35,2016-07-05,8.26198,8.26198,8.26198,8.26198,0
36,2016-07-06,8.11583,8.11583,8.11583,8.11583,0
37,2016-07-07,8.17198,8.04814,8.17198,8.04814,0
38,2016-07-08,7.98737,8.01045,8.01045,7.98737,0
39,2016-07-11,8.0466,8.02353,8.0466,8.02353,0
40,2016-07-12,7.99891,8.09429,8.09429,7.99891,0
41,2016-07-13,8.11352,8.02199,8.11352,8.02199,0
42,2016-07-14,8.07429,8.07583,8.07583,8.07429,0
43,2016-07-15,8.04814,8.07275,8.07275,8.04814,0
44,2016-07-18,8.06506,8.01814,8.06506,8.01814,0
45,2016-07-19,8.02122,8.03276,8.03276,8.02122,0
46,2016-07-20,7.99814,7.9743,7.99814,7.9743,0
47,2016-07-21,8.00045,7.96045,8.00045,7.96045,0
48,2016-07-22,7.91122,7.91122,7.91122,7.91122,0
49,2016-07-25,7.93199,7.83892,7.93199,7.83892,0
50,2016-07-26,7.82353,7.80969,7.82353,7.80969,0
51,2016-07-27,7.77738,7.75354,7.77738,7.75354,0
52,2016-07-28,7.75969,7.80046,7.80046,7.75969,0
53,2016-07-29,7.76354,7.84046,7.84046,7.76354,0
54,2016-08-01,7.87815,7.77046,7.87815,7.77046,0
55,2016-08-02,7.76354,7.73969,7.76354,7.73969,0
56,2016-08-03,7.80353,7.80353,7.80353,7.80353,0
57,2016-08-04,7.78661,7.83353,7.83353,7.78661,0
58,2016-08-05,7.85815,7.78738,7.85815,7.78738,0
59,2016-08-08,7.82584,7.82584,7.82584,7.82584,0
60,2016-08-09,7.81507,7.83969,7.83969,7.81507,0
61,2016-08-10,7.82584,7.772,7.82584,7.772,0
62,2016-08-11,7.75046,7.75046,7.75046,7.75046,0
63,2016-08-12,7.85353,7.91122,7.91122,7.85353,0
64,2016-08-15,7.89584,7.98122,7.98122,7.89584,0
65,2016-08-16,8.05429,8.05429,8.05429,8.05429,0
66,2016-08-17,8.03506,8.07352,8.07352,8.03506,0
67,2016-08-18,8.12583,8.18198,8.18198,8.12583,0
68,2016-08-19,8.20429,8.12198,8.20429,8.12198,0
69,2016-08-22,8.06814,8.06814,8.06814,8.06814,0
70,2016-08-23,8.04122,8.11891,8.11891,8.04122,0
71,2016-08-24,8.06814,8.02353,8.06814,8.02353,0
72,2016-08-25,8.02199,8.05891,8.05891,8.02199,0
73,2016-08-26,8.0766,8.0766,8.0766,8.0766,0
74,2016-08-29,8.05045,8.05045,8.05045,8.05045,0
75,2016-08-30,8.04122,8.04122,8.04122,8.04122,0
76,2016-08-31,7.96507,7.96507,7.96507,7.96507,0
77,2016-09-01,7.90045,7.90045,7.90045,7.90045,0
78,2016-09-02,7.7943,7.7943,7.7943,7.7943,0
79,2016-09-05,7.83661,7.86738,7.86738,7.83661,0
80,2016-09-06,7.83584,7.83584,7.83584,7.83584,0
81,2016-09-07,7.90199,7.90199,7.90199,7.90199,0
82,2016-09-08,7.95199,7.95199,7.95199,7.95199,0
