,date,open,close,high,low,volumme
0,2022-09-09,28.52,28.9,28.9,28.52,0
1,2022-09-12,28.75,29.05,29.05,28.75,2
2,2022-09-13,29.14,28.53,29.14,28.53,10
3,2022-09-14,28.36,28.22,28.36,28.22,0
4,2022-09-15,28.31,28.07,28.36,28.07,15
5,2022-09-16,27.71,27.55,27.71,27.55,0
6,2022-09-19,27.68,27.63,27.68,27.63,0
7,2022-09-20,27.87,27.54,27.87,27.54,0
8,2022-09-21,27.57,27.88,27.88,27.57,0
9,2022-09-22,27.26,27.17,27.26,27.17,0
10,2022-09-23,27.11,26.89,27.11,26.89,0
11,2022-09-26,26.91,26.89,26.91,26.89,0
12,2022-09-27,27.0,26.85,27.0,26.85,0
13,2022-09-28,26.64,26.86,26.86,26.64,0
14,2022-09-29,26.23,26.23,26.23,26.23,0
15,2022-09-30,26.27,26.45,26.45,26.27,0
16,2022-10-03,25.98,26.47,26.47,25.98,0
17,2022-10-04,26.76,27.05,27.05,26.76,0
18,2022-10-05,26.96,26.98,26.98,26.96,0
19,2022-10-06,27.15,27.22,27.22,27.15,0
20,2022-10-07,27.0,26.53,27.0,26.53,0
21,2022-10-10,26.39,26.33,26.39,26.33,0
22,2022-10-11,26.05,26.09,26.09,26.05,0
23,2022-10-12,26.06,25.99,26.06,25.99,0
24,2022-10-13,25.88,26.0,26.0,25.88,0
25,2022-10-14,26.48,26.48,26.48,26.48,0
26,2022-10-17,26.17,26.39,26.39,26.17,0
27,2022-10-18,26.63,26.43,26.63,26.43,0
28,2022-10-19,26.63,26.59,26.63,26.59,0
29,2022-10-20,26.46,26.71,26.71,26.46,0
30,2022-10-21,26.41,26.53,26.53,26.41,0
31,2022-10-24,26.83,26.85,26.85,26.83,0
32,2022-10-25,27.03,27.17,27.17,27.03,0
33,2022-10-26,27.07,27.32,27.32,27.07,0
34,2022-10-27,27.09,27.3,27.3,27.09,0
35,2022-10-28,27.01,27.55,27.55,27.01,0
36,2022-10-31,27.72,27.76,27.76,27.72,0
37,2022-11-01,27.89,27.81,27.89,27.81,0
38,2022-11-02,27.8,27.63,27.8,27.63,0
39,2022-11-03,27.34,27.3,27.34,27.3,0
40,2022-11-04,27.11,27.11,27.11,27.11,0
41,2022-11-07,27.12,27.24,27.24,27.12,0
42,2022-11-08,27.29,27.67,27.67,27.29,0
43,2022-11-09,27.48,27.28,27.48,27.28,0
44,2022-11-10,27.15,28.08,28.08,27.15,0
45,2022-11-11,28.04,28.04,28.04,28.04,0
46,2022-11-14,28.21,28.23,28.23,28.21,0
47,2022-11-15,28.13,28.41,28.41,28.13,0
48,2022-11-16,28.25,27.94,28.25,27.94,0
49,2022-11-17,28.02,27.81,28.02,27.81,0
50,2022-11-18,27.81,27.98,27.98,27.81,0
51,2022-11-21,28.11,28.1,28.11,28.1,0
52,2022-11-22,28.07,28.25,28.25,28.07,0
53,2022-11-23,28.29,28.44,28.44,28.29,0
54,2022-11-24,28.39,28.48,28.48,28.39,0
55,2022-11-25,28.42,28.45,28.45,28.42,0
56,2022-11-28,28.31,28.27,28.31,28.27,907
57,2022-11-29,28.19,28.19,28.19,28.19,0
58,2022-11-30,28.17,28.17,28.17,28.17,0
59,2022-12-01,28.84,28.84,28.84,28.84,0
60,2022-12-02,28.49,28.49,28.49,28.49,0
61,2022-12-05,28.38,28.25,28.38,28.25,1070
62,2022-12-06,28.12,28.04,28.12,28.04,350
63,2022-12-07,27.87,27.87,27.87,27.87,0
64,2022-12-08,27.72,27.83,27.83,27.72,1180
65,2022-12-09,27.9,27.87,27.9,27.83,700
66,2022-12-12,27.79,27.79,27.79,27.79,0
67,2022-12-13,28.08,28.08,28.08,28.08,0
68,2022-12-14,28.15,28.15,28.15,28.15,0
