,date,open,close,high,low,volumme
0,2015-06-10,21.7,21.86,21.86,21.7,0
1,2015-06-11,21.91,22.07,22.08,21.91,90
2,2015-06-12,22.06,21.91,22.06,21.91,0
3,2015-06-15,21.91,21.83,21.91,21.83,0
4,2015-06-16,21.61,21.87,21.87,21.61,0
5,2015-06-17,21.92,21.93,21.93,21.92,0
6,2015-06-18,21.79,21.9,21.9,21.79,0
7,2015-06-19,22.06,22.03,22.06,22.03,0
8,2015-06-22,21.94,21.97,21.97,21.94,0
9,2015-06-23,22.17,22.27,22.27,22.17,0
10,2015-06-24,22.24,22.23,22.24,22.23,0
11,2015-06-25,22.14,22.12,22.14,22.12,0
12,2015-06-26,22.0,22.15,22.15,22.0,0
13,2015-06-29,22.08,21.98,22.08,21.98,0
14,2015-06-30,21.81,21.75,21.81,21.75,0
15,2015-07-01,22.03,21.97,22.03,22.03,0
16,2015-07-03,22.02,21.98,22.02,21.98,0
17,2015-07-06,21.93,22.03,22.03,21.93,0
18,2015-07-07,22.26,22.27,22.27,22.26,0
19,2015-07-08,22.25,22.24,22.25,22.24,0
20,2015-07-09,22.26,22.36,22.36,22.26,0
21,2015-07-10,22.37,22.24,22.37,22.24,615
22,2015-07-13,22.2,22.56,22.56,22.2,0
23,2015-07-14,22.66,22.59,22.66,22.59,0
24,2015-07-15,22.67,22.68,22.68,22.67,0
25,2015-07-16,22.8,22.95,22.95,22.8,0
26,2015-07-17,23.08,23.05,23.08,23.05,0
27,2015-07-20,23.08,23.08,23.08,23.08,0
28,2015-07-21,23.17,22.82,23.17,22.82,0
29,2015-07-22,22.76,22.84,22.84,22.76,0
30,2015-07-23,22.79,22.55,22.79,22.55,0
31,2015-07-24,22.5,22.46,22.5,22.46,0
32,2015-07-27,22.15,22.15,22.15,22.15,0
33,2015-07-28,22.41,22.42,22.42,22.41,0
34,2015-07-29,22.54,22.65,22.65,22.54,0
35,2015-07-30,22.83,22.94,22.94,22.83,0
36,2015-07-31,23.0,22.9,23.0,22.9,617
37,2015-08-03,22.98,22.98,22.98,22.97,619
38,2015-08-04,22.96,22.98,22.98,22.96,0
39,2015-08-05,23.08,23.22,23.22,23.08,0
40,2015-08-06,23.02,22.89,23.02,22.89,0
41,2015-08-07,22.96,22.9,22.96,22.9,0
42,2015-08-10,22.99,23.06,23.06,22.99,0
43,2015-08-11,22.99,22.85,22.99,22.85,0
44,2015-08-12,22.65,22.43,22.65,22.43,0
45,2015-08-13,22.92,22.74,22.92,22.74,0
46,2015-08-14,22.78,22.85,22.85,22.78,0
47,2015-08-17,23.09,23.1,23.1,23.09,0
48,2015-08-18,23.14,23.18,23.18,23.14,0
49,2015-08-19,23.1,22.87,23.1,22.87,100
50,2015-08-20,22.84,22.66,22.84,22.66,0
51,2015-08-21,22.23,21.92,22.23,21.92,0
52,2015-08-24,21.14,21.14,21.14,20.85,12000
53,2015-08-25,20.83,21.15,21.15,20.83,0
54,2015-08-26,20.56,20.66,20.66,20.5,50
55,2015-08-27,21.25,21.6,21.6,21.25,0
56,2015-08-28,21.64,21.64,21.64,21.64,0
57,2015-08-31,21.69,21.61,21.69,21.61,0
58,2015-09-01,21.14,21.14,21.14,21.14,0
59,2015-09-02,21.2,21.09,21.2,21.09,628
60,2015-09-03,21.5,21.64,21.64,21.5,50
61,2015-09-04,21.41,21.23,21.41,21.23,0
62,2015-09-07,21.49,21.49,21.49,21.49,0
63,2015-09-08,21.28,21.42,21.42,21.28,0
64,2015-09-09,21.82,21.67,21.82,21.67,0
65,2015-09-10,21.37,21.22,21.37,21.22,0
66,2015-09-11,21.17,21.17,21.17,21.17,0
67,2015-09-14,21.11,21.21,21.21,21.11,0
68,2015-09-15,21.26,21.36,21.36,21.26,0
69,2015-09-16,21.53,21.64,21.64,21.53,0
70,2015-09-17,21.64,21.64,21.64,21.64,0
71,2015-09-21,21.47,21.85,21.85,21.47,0
72,2015-09-22,21.87,21.67,21.87,21.67,0
73,2015-09-23,21.68,21.64,21.68,21.64,0
74,2015-09-24,21.62,21.35,21.62,21.35,617
75,2015-09-25,21.73,21.74,21.74,21.73,0
76,2015-09-28,21.32,21.32,21.32,21.32,0
77,2015-09-30,21.48,21.48,21.48,21.48,0
78,2015-10-02,21.49,21.18,21.49,20.96,10050
79,2015-10-05,21.49,21.86,21.86,21.49,1242
80,2015-10-06,21.98,21.91,21.98,21.91,0
81,2015-10-07,21.95,21.94,21.95,21.94,0
82,2015-10-08,21.93,22.1,22.1,21.93,0
83,2015-10-09,22.22,22.05,22.22,22.05,0
84,2015-10-12,22.07,22.03,22.07,22.03,500
85,2015-10-13,22.05,22.05,22.05,21.89,500
86,2015-10-14,21.86,21.79,21.86,21.79,0
87,2015-10-15,21.73,21.88,21.88,21.73,0
88,2015-10-16,22.07,22.26,22.26,22.07,0
