,date,open,close,high,low,volumme
0,2022-12-12,10.39,10.39,10.39,10.39,0
1,2022-12-13,10.37,10.37,10.37,10.37,0
2,2022-12-14,10.41,10.41,10.41,10.41,0
3,2022-12-15,10.21,10.21,10.21,10.21,0
4,2022-12-16,10.18,10.18,10.18,10.18,0
5,2022-12-19,10.18,10.18,10.18,10.18,0
6,2022-12-20,10.1,10.1,10.1,10.1,0
7,2022-12-21,10.15,10.15,10.15,10.15,0
8,2022-12-22,10.31,10.31,10.31,10.31,0
9,2022-12-23,10.1881,10.1881,10.1881,10.1881,0
10,2022-12-27,10.2727,10.2727,10.2727,10.2727,0
11,2022-12-29,10.2127,10.2127,10.2127,10.2127,0
12,2022-12-30,10.286,10.286,10.286,10.286,0
13,2023-01-02,10.2152,10.2152,10.2152,10.2152,0
14,2023-01-03,10.3594,10.3594,10.3594,10.3594,0
15,2023-03-14,10.431,10.431,10.431,10.431,0
16,2023-04-25,10.3888,10.3888,10.3888,10.3888,0
17,2023-04-26,10.4124,10.4124,10.4124,10.4124,0
18,2023-04-27,10.3811,10.3811,10.3811,10.3811,0
19,2023-05-03,10.3798,10.3798,10.3798,10.3798,0
20,2023-05-04,10.4685,10.4685,10.4685,10.4685,0
21,2023-05-15,10.6738,10.6738,10.6738,10.6738,0
22,2023-05-16,10.6609,10.6609,10.6609,10.6609,0
23,2023-05-17,10.6779,10.6779,10.6779,10.6779,0
24,2023-05-18,10.7643,10.7643,10.7643,10.7643,0
25,2023-05-19,10.7678,10.7678,10.7678,10.7678,0
26,2023-05-22,10.8266,10.8266,10.8266,10.8266,0
27,2023-05-23,10.7584,10.7584,10.7584,10.7584,0
28,2023-05-24,10.6488,10.6488,10.6488,10.6488,0
29,2023-05-25,10.6533,10.6295,10.6533,10.6295,19760
30,2023-05-26,10.6739,10.6739,10.6739,10.6739,0
31,2023-05-29,10.7981,10.7691,10.7981,10.7691,705
32,2023-05-30,10.6964,10.6964,10.6964,10.6964,9421
33,2023-05-31,10.6499,10.6499,10.6499,10.6499,0
34,2023-06-01,10.7437,10.7437,10.7437,10.7437,0
35,2023-06-02,10.8721,10.8721,10.8721,10.8721,0
36,2023-06-05,10.9824,10.9824,10.9824,10.9824,0
37,2023-06-06,10.9689,10.9689,10.9689,10.9689,0
38,2023-06-07,11.0773,11.0773,11.0773,11.0773,0
39,2023-06-08,11.0471,11.0471,11.0471,11.0471,0
40,2023-06-09,11.1115,11.1115,11.1115,11.1115,0
41,2023-06-12,11.1447,11.1447,11.1447,11.1447,0
42,2023-06-13,11.2178,11.2178,11.2178,11.2178,0
43,2023-06-14,11.1633,11.2081,11.2081,11.1633,100
44,2023-06-15,11.2679,11.2679,11.2679,11.2679,0
45,2023-06-16,11.214,11.214,11.214,11.214,0
46,2023-06-19,11.1298,11.1298,11.1298,11.1298,0
47,2023-06-20,11.0601,11.0601,11.0601,11.0601,0
48,2023-06-21,10.9538,10.9538,10.9538,10.9538,0
49,2023-06-22,10.8678,10.8678,10.8678,10.8678,0
50,2023-06-26,10.8492,10.8492,10.8492,10.8492,0
51,2023-06-27,10.9174,10.9174,10.9174,10.9174,0
52,2023-06-28,10.8566,10.8566,10.8566,10.8566,0
53,2023-06-29,10.8022,10.8022,10.8022,10.8022,0
54,2023-06-30,10.8967,10.8967,10.8967,10.8967,0
55,2023-07-03,10.9898,10.9898,10.9898,10.9898,0
56,2023-07-04,11.0618,11.0618,11.0618,11.0618,0
57,2023-07-05,10.954,10.954,10.954,10.954,0
58,2023-07-06,10.8321,10.8321,10.8321,10.8321,0
59,2023-07-07,10.7644,10.7685,10.7685,10.7644,1166
60,2023-07-10,10.6814,10.6814,10.6814,10.6814,470
61,2023-07-11,10.7546,10.7546,10.7546,10.7546,0
62,2023-07-12,10.7511,10.7511,10.7511,10.7511,0
63,2023-07-13,10.8303,10.8303,10.8303,10.8303,0
64,2023-07-14,10.9106,10.9002,10.9106,10.9002,696
65,2023-07-17,10.825,10.825,10.825,10.825,0
66,2023-07-18,10.7598,10.7598,10.7598,10.7598,0
67,2023-07-19,10.761,10.761,10.761,10.761,0
68,2023-07-20,10.7193,10.7193,10.7193,10.7193,0
69,2023-07-21,10.7191,10.7191,10.7191,10.7191,0
70,2023-07-24,10.7268,10.8856,10.8856,10.7268,3043
71,2023-07-25,11.0109,11.0368,11.0368,11.0109,470
72,2023-07-26,10.97,10.9621,10.97,10.9621,460
73,2023-07-27,11.0137,11.0553,11.0553,11.0137,460
74,2023-07-28,11.1793,11.1795,11.1795,11.1793,450
75,2023-08-01,11.237,11.1812,11.237,11.1812,450
76,2023-08-02,10.911,10.911,10.911,10.911,0
77,2023-08-04,10.8889,10.8889,10.8889,10.8889,0
78,2023-08-07,10.8654,10.8246,10.8654,10.8246,460
79,2023-08-08,10.7261,10.7377,10.7377,10.7261,227
80,2023-08-09,10.7685,10.7499,10.7685,10.7499,470
81,2023-08-10,10.7105,10.7105,10.7105,10.7105,0
82,2023-08-11,10.648,10.648,10.648,10.648,0
83,2023-08-14,10.5937,10.6243,10.6243,10.5937,675
84,2023-08-15,10.6196,10.6018,10.6196,10.6018,235
85,2023-08-16,10.5429,10.5429,10.5429,10.5429,0
86,2023-08-17,10.615,10.5926,10.615,10.5828,706
87,2023-08-18,10.4992,10.5207,10.5207,10.4549,940
88,2023-08-21,10.4576,10.5248,10.5248,10.4576,792
89,2023-08-22,10.5551,10.6367,10.6531,10.5551,3652
90,2023-08-23,10.6903,10.7363,10.7363,10.6903,480
91,2023-08-24,10.8435,10.8435,10.8435,10.8435,0
92,2023-08-25,10.7784,10.7784,10.7784,10.7784,0
93,2023-08-28,10.8713,10.9616,10.9616,10.8713,159
94,2023-08-29,10.9718,11.033,11.033,10.9718,480
95,2023-08-30,10.9452,10.9452,10.9452,10.9452,0
96,2023-09-01,10.8896,10.9708,10.9708,10.8896,697
97,2023-09-04,11.0713,11.098,11.098,11.0713,1309
98,2023-09-05,10.9559,10.9559,10.9559,10.9559,0
99,2023-09-06,10.9639,10.9639,10.9639,10.9639,0
100,2023-09-07,10.9092,10.9147,10.9368,10.8816,2181
101,2023-09-08,10.8658,10.8658,10.8658,10.8658,0
102,2023-09-11,10.9244,10.942,10.942,10.9041,5618
103,2023-09-12,10.9563,10.9401,10.9998,10.9401,3219
104,2023-09-13,10.9317,10.9317,10.9317,10.9317,0
105,2023-09-14,11.0298,11.0298,11.0298,11.0298,0
106,2023-09-15,11.1852,11.1333,11.1852,11.1333,3500
107,2023-09-18,11.11,11.0884,11.11,11.0884,1020
108,2023-09-19,11.0433,10.9888,11.0433,10.9888,1471
109,2023-09-20,11.0489,11.0489,11.0489,11.0489,0
110,2023-09-21,10.9344,10.9088,10.9344,10.9088,229
111,2023-09-22,10.9627,10.9627,10.9627,10.9627,0
112,2023-09-25,10.9608,10.9608,10.9608,10.9608,0
113,2023-09-26,10.8798,10.8798,10.8798,10.8798,0
114,2023-09-27,10.934,10.9635,10.9635,10.934,1560
115,2023-09-28,10.9348,10.9348,10.9348,10.9348,0
116,2023-09-29,10.9849,10.9849,10.9849,10.9849,0
117,2023-10-02,10.9406,10.9406,10.9406,10.9406,0
118,2023-10-03,10.8717,10.8717,10.8717,10.8717,0
119,2023-10-04,10.7259,10.7732,10.7732,10.7259,460
120,2023-10-05,10.7709,10.7709,10.7709,10.7709,0
121,2023-10-06,10.8159,10.8266,10.8266,10.8159,470
122,2023-10-09,10.8457,10.8457,10.8457,10.8457,0
123,2023-10-10,10.8596,10.8596,10.8596,10.8596,0
124,2023-10-11,11.0094,11.0094,11.0094,11.0094,0
125,2023-10-12,11.1018,11.0631,11.1018,11.0631,470
126,2023-10-13,10.9839,10.9839,10.9839,10.9839,0
127,2023-10-16,10.9429,10.9429,10.9429,10.9429,0
128,2023-10-17,11.0176,11.0176,11.0176,11.0176,0
129,2023-10-18,10.9303,10.9303,10.9303,10.9303,0
130,2023-10-19,10.8058,10.8058,10.8058,10.8058,0
131,2023-10-20,10.7033,10.7089,10.7089,10.7033,470
132,2023-10-23,10.58,10.58,10.58,10.58,0
133,2023-10-24,10.563,10.563,10.563,10.563,0
134,2023-10-25,10.6487,10.6935,10.6935,10.6487,373
135,2023-10-26,10.5665,10.5665,10.5665,10.5665,0
136,2023-10-27,10.7459,10.7459,10.7459,10.7459,0
137,2023-10-30,10.7415,10.7415,10.7415,10.7415,0
138,2023-10-31,10.5704,10.5883,10.5883,10.5704,470
139,2023-11-01,10.637,10.637,10.637,10.637,0
140,2023-11-02,10.8269,10.8269,10.8269,10.8269,0
141,2023-11-03,10.9556,10.9556,10.9556,10.9556,0
142,2023-11-06,11.1088,11.0912,11.1088,11.0853,1380
143,2023-11-07,11.0002,11.0595,11.0595,11.0002,1400
144,2023-11-08,10.9854,10.9854,10.9854,10.9854,0
145,2023-11-09,10.9671,10.9728,10.9792,10.9671,1314
146,2023-11-10,10.8972,10.8972,10.8972,10.8972,0
