,date,open,close,high,low,volumme
0,2023-01-20,12.244,12.244,12.244,12.244,0
1,2023-01-23,12.292,12.292,12.292,12.292,660
2,2023-01-24,12.316,12.338,12.342,12.316,6000
3,2023-01-25,12.292,12.292,12.292,12.292,0
4,2023-01-26,12.366,12.526,12.526,12.366,6660
5,2023-01-27,12.384,12.384,12.384,12.384,0
6,2023-01-30,12.212,12.212,12.212,12.212,0
7,2023-01-31,12.154,12.19,12.19,12.154,1300
8,2023-02-01,12.224,12.224,12.224,12.224,1300
9,2023-02-02,12.13,12.27,12.27,12.13,660
10,2023-02-03,12.13,12.13,12.13,12.13,0
11,2023-02-06,11.96,11.96,11.96,11.96,0
12,2023-02-07,12.066,12.066,12.066,12.066,0
13,2023-02-08,12.13,12.13,12.13,12.13,0
14,2023-02-09,12.154,12.154,12.154,12.154,0
15,2023-02-10,12.02,12.082,12.082,12.02,530
16,2023-02-13,12.054,12.054,12.054,12.054,0
17,2023-02-14,12.094,12.094,12.094,12.094,0
18,2023-02-15,11.964,11.958,11.964,11.958,660
19,2023-02-16,12.124,12.126,12.126,12.032,2400
20,2023-02-17,12.0,12.048,12.048,12.0,700
21,2023-02-20,12.012,12.06,12.06,12.012,1340
22,2023-02-21,11.984,11.984,11.984,11.984,0
23,2023-02-22,11.816,11.816,11.816,11.816,0
24,2023-02-23,11.892,11.932,11.958,11.892,1360
25,2023-02-24,11.836,11.836,11.836,11.836,0
26,2023-02-27,11.69,11.69,11.69,11.69,0
27,2023-02-28,11.574,11.656,11.656,11.574,1380
28,2023-03-01,11.732,11.748,11.748,11.732,690
29,2023-03-02,11.764,11.764,11.764,11.764,3
30,2023-03-03,11.898,11.974,11.988,11.898,3450
31,2023-03-06,12.02,12.012,12.04,12.012,1360
32,2023-03-07,11.898,11.898,11.898,11.898,0
33,2023-03-08,11.794,11.794,11.794,11.794,0
34,2023-03-09,11.742,11.746,11.778,11.742,4070
35,2023-03-10,11.55,11.582,11.582,11.55,680
36,2023-03-13,11.594,11.594,11.594,11.594,0
37,2023-03-15,11.388,11.388,11.388,11.388,0
38,2023-03-16,11.454,11.454,11.454,11.454,0
39,2023-03-17,11.568,11.568,11.568,11.568,0
40,2023-03-20,11.42,11.42,11.42,11.42,0
41,2023-03-21,11.458,11.458,11.458,11.458,0
42,2023-03-22,11.51,11.51,11.51,11.51,0
43,2023-03-23,11.542,11.542,11.542,11.542,0
44,2023-03-24,11.55,11.498,11.55,11.498,690
45,2023-03-27,11.57,11.57,11.57,11.57,0
46,2023-03-28,11.608,11.608,11.608,11.608,0
47,2023-03-29,11.634,11.634,11.634,11.634,0
48,2023-03-30,11.69,11.69,11.69,11.69,0
49,2023-03-31,11.702,11.702,11.702,11.702,0
50,2023-04-03,11.698,11.698,11.698,11.698,0
51,2023-04-04,11.698,11.698,11.698,11.698,0
52,2023-04-05,11.738,11.738,11.738,11.738,0
53,2023-04-06,11.658,11.658,11.658,11.658,0
54,2023-04-11,11.944,11.906,11.944,11.906,6101
55,2023-04-12,11.918,11.918,11.918,11.918,0
56,2023-04-13,11.966,11.966,11.966,11.966,0
57,2023-04-14,11.958,11.946,11.998,11.946,1320
58,2023-04-17,12.034,12.034,12.034,12.034,0
59,2023-04-18,12.018,12.018,12.018,12.018,0
60,2023-04-19,11.95,11.95,11.95,11.95,0
61,2023-04-20,11.888,11.888,11.888,11.888,0
62,2023-04-21,11.856,11.856,11.856,11.856,0
63,2023-04-24,11.752,11.752,11.752,11.752,0
64,2023-04-25,11.618,11.618,11.618,11.618,0
65,2023-04-26,11.664,11.664,11.664,11.664,0
66,2023-04-27,11.69,11.69,11.69,11.69,0
67,2023-04-28,11.792,11.792,11.792,11.792,0
68,2023-05-02,11.834,11.864,11.864,11.834,3
69,2023-05-03,11.712,11.712,11.712,11.712,0
70,2023-05-04,11.728,11.728,11.728,11.728,0
71,2023-05-05,11.844,11.844,11.844,11.844,0
72,2023-05-08,11.914,11.952,11.952,11.914,680
73,2023-05-09,11.922,11.922,11.922,11.922,0
74,2023-05-10,11.896,11.896,11.896,11.896,0
75,2023-05-11,11.89,11.89,11.89,11.89,0
76,2023-05-12,11.814,11.814,11.814,11.814,0
77,2023-05-15,11.966,11.966,11.966,11.966,0
78,2023-05-16,11.922,11.922,11.922,11.922,0
79,2023-05-17,11.884,11.884,11.884,11.884,0
80,2023-05-18,11.95,11.95,11.95,11.95,0
81,2023-05-19,12.042,12.042,12.042,12.042,0
82,2023-05-22,12.066,12.066,12.066,12.066,0
83,2023-05-23,12.076,12.076,12.076,12.076,0
84,2023-05-24,12.034,12.034,12.034,12.034,0
85,2023-05-25,12.056,12.056,12.056,12.056,0
86,2023-05-26,12.106,12.106,12.106,12.106,0
87,2023-05-29,12.168,12.168,12.168,12.168,0
88,2023-05-30,12.236,12.176,12.236,12.176,660
89,2023-05-31,12.096,12.096,12.096,12.096,0
90,2023-06-01,12.176,12.176,12.176,12.176,0
91,2023-06-02,12.326,12.326,12.326,12.326,0
92,2023-06-05,12.424,12.468,12.468,12.424,3
93,2023-06-06,12.46,12.572,12.572,12.46,1300
94,2023-06-07,12.54,12.54,12.54,12.54,0
95,2023-06-08,12.516,12.506,12.516,12.506,640
96,2023-06-09,12.614,12.7,12.7,12.614,3114
97,2023-06-12,12.612,12.644,12.644,12.612,1758
98,2023-06-13,12.688,12.77,12.77,12.688,741
99,2023-06-14,12.668,12.702,12.702,12.668,630
100,2023-06-15,12.73,12.716,12.73,12.716,1
101,2023-06-16,12.676,12.676,12.676,12.676,0
102,2023-06-19,12.56,12.56,12.56,12.56,0
103,2023-06-20,12.482,12.448,12.482,12.448,630
104,2023-06-21,12.344,12.344,12.344,12.344,0
105,2023-06-22,12.278,12.278,12.278,12.278,0
106,2023-06-23,12.214,12.214,12.214,12.214,0
107,2023-06-26,12.226,12.226,12.226,12.226,0
108,2023-06-27,12.282,12.282,12.282,12.282,0
109,2023-06-28,12.204,12.204,12.204,12.204,0
110,2023-06-29,12.192,12.23,12.23,12.192,335
111,2023-06-30,12.256,12.256,12.256,12.256,0
112,2023-07-03,12.372,12.372,12.372,12.372,0
113,2023-07-04,12.4,12.4,12.4,12.4,0
114,2023-07-05,12.332,12.332,12.332,12.332,0
115,2023-07-06,12.246,12.246,12.246,12.246,0
116,2023-07-07,12.062,12.062,12.062,12.062,0
117,2023-07-10,12.018,12.018,12.018,12.018,0
118,2023-07-11,12.162,12.162,12.162,12.162,0
119,2023-07-12,12.2,12.276,12.276,12.2,650
120,2023-07-13,12.272,12.272,12.272,12.272,0
121,2023-07-14,12.316,12.242,12.316,12.242,1950
122,2023-07-17,12.24,12.21,12.24,12.21,7
123,2023-07-18,12.216,12.216,12.216,12.216,0
124,2023-07-19,12.222,12.222,12.222,12.222,0
125,2023-07-20,12.256,12.256,12.256,12.256,0
126,2023-07-21,12.184,12.184,12.184,12.184,0
127,2023-07-24,12.17,12.34,12.34,12.17,660
128,2023-07-25,12.398,12.398,12.398,12.398,0
129,2023-07-26,12.424,12.454,12.454,12.424,640
130,2023-07-27,12.49,12.578,12.578,12.49,2033
131,2023-07-28,12.578,12.596,12.596,12.578,740
132,2023-07-31,12.574,12.574,12.574,12.574,0
133,2023-08-01,12.638,12.638,12.638,12.638,0
134,2023-08-02,12.334,12.29,12.334,12.29,640
135,2023-08-03,12.306,12.306,12.306,12.306,0
136,2023-08-04,12.224,12.146,12.224,12.146,721
137,2023-08-07,12.228,12.228,12.228,12.228,8
138,2023-08-08,12.046,12.046,12.046,12.046,0
139,2023-08-09,12.14,12.14,12.14,12.14,0
140,2023-08-10,12.098,12.098,12.098,12.098,330
141,2023-08-11,11.994,11.964,12.058,11.964,2521
142,2023-08-14,11.972,11.944,11.972,11.944,1320
143,2023-08-15,11.928,11.822,11.928,11.822,670
144,2023-08-16,11.85,11.848,11.85,11.846,2017
145,2023-08-17,11.882,11.882,11.882,11.882,0
146,2023-08-18,11.778,11.74,11.778,11.74,680
147,2023-08-21,11.78,11.78,11.78,11.78,340
148,2023-08-22,11.762,11.762,11.762,11.762,0
