,Unnamed: 0,date,open,close,high,low,volumme
0,0.0,2023-10-06,15.41,15.48,15.48,15.41,6860
1,1.0,2023-10-09,15.42,15.42,15.42,15.42,3880
2,2.0,2023-10-10,15.7,15.7,15.7,15.7,0
3,3.0,2023-10-11,15.62,15.62,15.62,15.62,0
4,4.0,2023-10-12,15.82,15.78,15.85,15.78,5730
5,5.0,2023-10-13,15.61,15.61,15.61,15.61,0
6,6.0,2023-10-16,15.48,15.48,15.48,15.48,0
7,7.0,2023-10-17,15.53,15.55,15.55,15.53,1955
8,8.0,2023-10-18,15.43,15.43,15.43,15.43,0
9,9.0,2023-10-19,15.29,15.29,15.29,15.29,0
10,10.0,2023-10-20,15.14,15.14,15.14,15.14,0
11,11.0,2023-10-23,15.0,15.0,15.0,15.0,0
12,12.0,2023-10-24,14.87,14.87,14.87,14.87,0
13,13.0,2023-10-25,14.96,14.96,14.96,14.96,0
14,14.0,2023-10-26,14.78,14.78,14.78,14.78,0
15,15.0,2023-10-27,14.94,14.94,14.94,14.94,0
16,16.0,2023-10-30,14.86,14.86,14.86,14.86,0
17,17.0,2023-10-31,14.65,14.65,14.65,14.65,0
18,18.0,2023-11-01,15.0,15.0,15.0,15.0,0
19,19.0,2023-11-02,15.26,15.26,15.26,15.26,0
20,20.0,2023-11-06,15.31,15.31,15.31,15.31,0
21,21.0,2023-11-07,15.08,15.14,15.14,15.08,6
22,22.0,2023-11-08,15.1,15.1,15.1,15.1,0
23,23.0,2023-11-09,15.25,15.25,15.25,15.25,0
24,24.0,2023-11-10,15.19,15.19,15.19,15.19,0
25,25.0,2023-11-13,15.1,15.1,15.1,15.1,0
26,26.0,2023-11-14,15.14,15.14,15.14,15.14,0
27,27.0,2023-11-15,15.33,15.33,15.33,15.33,0
28,28.0,2023-11-16,15.3,15.3,15.3,15.3,0
29,29.0,2023-11-17,15.63,15.63,15.63,15.63,0
30,30.0,2023-11-20,15.52,15.52,15.52,15.52,0
31,31.0,2023-11-21,15.64,15.6,15.64,15.6,4914
32,32.0,2023-11-22,15.7,15.78,15.79,15.7,13
33,33.0,2023-11-23,15.77,15.77,15.77,15.77,1
34,34.0,2023-11-24,15.8,15.82,15.82,15.8,3
35,35.0,2023-11-27,15.7,15.77,15.78,15.7,6
36,36.0,2023-11-28,15.66,15.66,15.66,15.66,0
37,37.0,2023-11-29,15.7,15.7,15.7,15.7,0
38,38.0,2023-11-30,15.85,15.85,15.85,15.85,119
39,39.0,2023-12-01,15.81,15.81,15.81,15.81,15
40,40.0,2023-12-04,15.83,15.83,15.83,15.83,0
41,41.0,2023-12-05,15.76,15.76,15.76,15.76,0
42,42.0,2023-12-06,16.03,16.03,16.03,16.03,0
43,43.0,2023-12-07,15.89,15.89,15.89,15.89,0
44,44.0,2023-12-08,15.83,15.83,15.83,15.83,0
45,45.0,2023-12-11,15.92,15.92,15.92,15.92,0
46,46.0,2023-12-12,15.92,15.92,15.92,15.92,0
47,47.0,2023-12-13,15.91,15.89,15.91,15.89,1920
48,48.0,2023-12-14,15.99,15.99,15.99,15.99,0
49,49.0,2023-12-15,15.96,15.93,15.96,15.93,3760
50,50.0,2023-12-18,15.93,15.95,15.95,15.93,75
51,51.0,2023-12-19,15.97,15.97,15.97,15.97,0
52,52.0,2023-12-20,16.03,16.03,16.03,16.03,0
53,53.0,2023-12-21,16.02,16.02,16.02,16.02,0
54,54.0,2023-12-22,16.08,16.08,16.08,16.08,0
55,55.0,2023-12-27,16.13,16.13,16.13,16.13,0
56,56.0,2023-12-28,16.16,16.16,16.16,16.16,0
57,57.0,2023-12-29,16.18,16.18,16.18,16.18,0
58,58.0,2024-01-02,16.22,16.22,16.22,16.22,0
59,59.0,2024-01-03,16.27,16.27,16.27,16.27,0
60,60.0,2024-01-04,16.27,16.27,16.27,16.27,0
61,61.0,2024-01-05,16.13,16.13,16.13,16.13,0
62,62.0,2024-01-08,16.16,16.16,16.16,16.16,0
63,63.0,2024-01-09,16.31,16.31,16.31,16.31,0
64,64.0,2024-01-10,16.5,16.5,16.5,16.5,0
65,65.0,2024-01-11,16.57,16.57,16.57,16.57,0
66,66.0,2024-01-12,16.54,16.54,16.54,16.54,0
67,67.0,2024-01-15,16.8,16.8,16.8,16.8,0
68,68.0,2024-01-16,16.66,16.66,16.66,16.66,0
69,69.0,2024-01-17,16.53,16.53,16.53,16.53,0
70,70.0,2024-01-18,16.48,16.61,16.61,16.48,742
71,71.0,2024-01-19,16.57,16.57,16.57,16.57,84
72,72.0,2024-01-22,16.86,16.86,16.86,16.86,0
73,73.0,2024-01-23,16.84,16.84,16.84,16.84,0
74,74.0,2024-01-24,16.85,16.85,16.85,16.85,0
75,75.0,2024-01-25,16.77,16.77,16.77,16.77,7
76,76.0,2024-01-26,16.69,16.69,16.69,16.69,0
77,77.0,2024-01-29,16.76,16.76,16.76,16.76,0
78,78.0,2024-01-30,16.81,16.81,16.81,16.81,0
79,79.0,2024-01-31,17.02,17.02,17.02,17.02,0
80,80.0,2024-02-01,16.97,16.97,16.97,16.97,0
81,81.0,2024-02-02,16.94,16.98,16.98,16.94,11
82,82.0,2024-02-05,17.01,16.98,17.06,16.98,105
