,date,open,close,high,low,volumme
0,2022-12-09,21.81,21.81,21.81,21.81,230
1,2022-12-12,21.64,21.64,21.64,21.64,0
2,2022-12-13,21.92,22.11,22.15,21.92,1230
3,2022-12-14,21.96,21.96,21.96,21.96,0
4,2022-12-15,21.72,21.42,21.72,21.42,230
5,2022-12-16,21.3,21.3,21.3,21.3,0
6,2022-12-19,21.12,21.12,21.12,21.12,0
7,2022-12-20,20.78,20.78,20.78,20.78,0
8,2022-12-21,20.94,20.94,20.94,20.94,0
9,2022-12-22,21.13,21.13,21.13,21.13,0
10,2022-12-23,20.8213,20.8213,20.8213,20.8213,0
11,2022-12-27,20.9659,20.9659,20.9659,20.9659,0
12,2022-12-28,20.7447,20.7447,20.7447,20.7447,0
13,2022-12-29,20.5841,20.5841,20.5841,20.5841,0
14,2022-12-30,20.8008,20.8008,20.8008,20.8008,0
15,2023-01-02,20.9496,20.9496,20.9496,20.9496,0
16,2023-01-03,20.9698,20.9698,20.9698,20.9698,0
17,2023-01-04,20.9046,20.9046,20.9046,20.9046,0
18,2023-01-05,20.7843,20.7843,20.7843,20.7843,0
19,2023-01-06,20.6918,20.6918,20.6918,20.6918,0
20,2023-01-09,20.7931,20.7931,20.7931,20.7931,0
21,2023-01-10,20.7052,20.7052,20.7052,20.7052,0
22,2023-01-11,20.812,20.812,20.812,20.812,0
23,2023-01-12,21.0567,21.0567,21.0567,21.0567,0
24,2023-01-13,20.9556,20.9556,20.9556,20.9556,0
25,2023-01-16,21.0615,21.0615,21.0615,21.0615,0
26,2023-01-17,20.9786,20.9786,20.9786,20.9786,0
27,2023-01-18,21.0543,21.0543,21.0543,21.0543,0
28,2023-01-19,20.6895,20.6895,20.6895,20.6895,0
29,2023-01-20,20.5591,20.5591,20.5591,20.5591,0
30,2023-01-23,20.781,20.781,20.781,20.781,0
31,2023-01-24,21.118,21.0819,21.118,21.0713,1055
32,2023-01-25,20.9646,20.9646,20.9646,20.9646,0
33,2023-01-26,21.0553,21.0553,21.0553,21.0553,0
34,2023-01-27,21.2759,21.2759,21.2759,21.2759,0
35,2023-01-30,21.3367,21.3367,21.3367,21.3367,0
36,2023-01-31,21.1943,21.1943,21.1943,21.1943,0
37,2023-02-01,21.3756,21.3756,21.3756,21.3756,0
38,2023-02-02,21.5168,21.5168,21.5168,21.5168,0
39,2023-02-03,21.9902,21.9902,21.9902,21.9902,0
40,2023-02-06,21.9452,21.9452,21.9452,21.9452,0
41,2023-02-07,21.9683,21.9683,21.9683,21.9683,0
42,2023-02-08,22.2804,22.2804,22.2804,22.2804,0
43,2023-02-09,22.2908,22.2908,22.2908,22.2908,0
44,2023-02-10,21.952,22.0135,22.0135,21.952,230
45,2023-02-13,22.0517,22.0517,22.0517,22.0517,0
46,2023-02-14,22.2913,22.3706,22.3706,22.2913,220
47,2023-02-15,22.2668,22.2668,22.2668,22.2668,0
48,2023-02-16,22.4829,22.4829,22.4829,22.4829,0
49,2023-02-17,22.0465,22.0465,22.0465,22.0465,0
50,2023-02-20,21.9682,21.9682,21.9682,21.9682,0
51,2023-02-21,21.9777,21.9777,21.9777,21.9777,0
52,2023-02-22,21.6932,21.6932,21.6932,21.6932,0
53,2023-02-23,21.7982,21.7982,21.7982,21.7982,0
54,2023-02-24,21.8704,21.8704,21.8704,21.8704,0
55,2023-02-27,21.7649,21.7649,21.7649,21.7649,0
56,2023-02-28,21.6093,21.6093,21.6093,21.6093,0
57,2023-03-01,21.5864,21.5864,21.5864,21.5864,0
58,2023-03-02,21.3949,21.3949,21.3949,21.3949,0
59,2023-03-03,21.7693,21.7693,21.7693,21.7693,0
60,2023-03-06,22.0475,22.0475,22.0475,22.0475,0
61,2023-03-07,21.9573,21.9573,21.9573,21.9573,0
62,2023-03-08,21.9201,21.9201,21.9201,21.9201,0
63,2023-03-09,21.8267,21.8267,21.8267,21.8267,0
64,2023-03-10,21.3659,21.3659,21.3659,21.3659,0
65,2023-03-13,21.2189,21.1052,21.2189,21.1052,23
66,2023-03-14,21.1717,21.1717,21.1717,21.1717,0
67,2023-03-15,21.4285,21.4285,21.4285,21.4285,0
68,2023-03-16,21.6812,21.6812,21.6812,21.6812,0
69,2023-03-17,22.0539,22.0539,22.0539,22.0539,0
70,2023-03-20,21.7757,21.7757,21.7757,21.7757,0
71,2023-03-21,21.8506,21.8506,21.8506,21.8506,0
72,2023-03-22,21.8953,21.8953,21.8953,21.8953,0
73,2023-03-23,21.5519,21.5519,21.5519,21.5519,0
